Group.1,GEODES001,GEODES002,GEODES003,GEODES009,GEODES010,GEODES011,GEODES014,GEODES016,GEODES017,GEODES018,GEODES019,GEODES020,GEODES021,GEODES022,GEODES023,GEODES024,GEODES026,GEODES027,GEODES028,GEODES029,GEODES030,GEODES031,GEODES032,GEODES033,GEODES035,GEODES036,GEODES037,GEODES038,GEODES039,GEODES040,GEODES041,GEODES042,GEODES043,GEODES045,GEODES046,GEODES047,GEODES049,GEODES050,GEODES051,sum,avg
GEODES005-bin.115,8678.69956,0,11619.203452,21285.61308,19777.144,18814.5314,16943.394,17972.15752,17180.88634,21557.8431,0,16274.4287,24674.82033,8128.0462,16963.12094,12053.2072,17963.98749,11398.44952,18284.72331391,13763.05,13124.04321,12656.0669,19396.7293,24082.11102,29285.97,20003.972,18544.87,25725.08457,15809.52963,12818.568,31468.39913,0,31056.83142,30153.67176,32458.16372,18703.60339,19796.93475,26231.02399,230343.8,904992.67893591,23204.9404855362
GEODES005-bin.13,711.3805,0,982.70739,955.14019,0,2260.5927,883.8634,3090.05709,1036.41032,1132.90671,0,3719.5916,27428.7574,6222.5552,1588.6285,3817.9212,989.41194,3763.96067,198.52791,0,762.93312,5180.0003,8298.2985,3393.8814,0,2855.652,1677.87,1077.7118,870.5232,2999.429,944.75414,0,4144.77503,393.7964,3929.9442,1551.3217,376.5276,962.445,0,98202.27611,2518.00707974359
GEODES005-bin.140,5603.1096,0,3663.585805,2414.46144,1209.9,2681.1712,4826.692,12588.4328492737,5829.58754,22386.0744,0,6728.91875,1092.3142,3555.2536,9422.68362,3381.0136,7915.38353,6577.66135,5494.00368,2088.29,8381.53145,2383.2698,8625.06535,17296.70176,0,7178.34,9024.437,7928.84354,10586.1342,26800.784,16678.79336,0,15397.98301,6952.98158,5939.89785,24648.01318,13041.74365,9350.6131,0,297673.669994274,7632.65820498138
GEODES005-bin.144,24153.9057,9220.46,18611.654364,10404.89453,12670.1,16401.271,14625.28054,21436.36975,19043.931524,15099.98886,0,18419.94516,2403.8098,9508.65049,25407.56883,50474.2898,16643.40388,30748.95842,14652.40718,25633.058,11471.2469,746.0292,19586.96356,13247.52321,22852.245,3340.014,11672.12,8995.85825,9228.0494,11591.817,10246.00394,143040,13800.509859,3530.52365,9937.08666,6467.31351,16445.80849,6569.20798,0,678328.268437,17393.0325240256
GEODES005-bin.153,17180.929,8184.34,16388.583091,15464.76028,6776.734,15452.3157,26679.9507,21495.9693936,38116.61768,25830.55856,0,20884.81844,98742.6584065,10661.87153,29868.3507,7884.9429,26788.46545,25978.99273,38258.7756,20971.263,37740.04226,85711.3254,24101.94247,31479.37393017,0,49673.848,10120.354,40634.59535,46570.1501,31618.679,31436.7503221,0,33625.596263,63248.73961,40139.1247516,47736.62984,41485.01972,30938.25268,38004.4,1155875.72085797,29637.8389963582
GEODES005-bin.155,45178.4612389619,30500.244,40025.93253,68030.81462,27448.406,55622.2526,33390.19787,21506.30386,34102.7452732727,36988.09475,254.917,26689.81182,10922.7641,27659.929,35425.59591,87561.294236,40712.07663,36847.56075,39313.68293,41463.071,20363.37161,11511.1482,12733.2257,28210.10218,9029.66,41530.284,10349.258,23555.9177,12020.0919,11073.469,21166.6025,0,15329.738962,28943.34489,24730.976744,9511.516484,15665.55264,2921.9377,9958.92,1048249.27432823,26878.1865212368
GEODES005-bin.165,69080.85691,17984.867,18971.917065,2725.34546,6043.97,1380.8974,3253.99009,2383.8217,4435.19662,8705.2175,0,9775.607,8346.2692,11652.0238,1471.212,6166.7123,2873.55093,5807.91982,172.55909,0,1694.55089,101423.216,1263.73882,3547.8272,0,2130,11649.889,10399.73048,27332.6255,792.285,1266.83186,0,2917.83565,17168.03115,2416.17455,707.87687,12826.89839,6186.99924,0,384956.444485,9870.67806371795
GEODES005-bin.19,13772.1129,0,8140.21028,7111.89185,3972.16,8866.3329,6557.4963,11117.03759,8991.44318,4902.6542,0,8276.64644,4396.6489,4046.82703,17643.96172,28752.0691,9326.28505,7069.1858512,7541.56398,12816.348,8830.16704,3483.6063,11988.4196,11042.09453,4579.16,15736.105,22347.402,8894.39417,22822.564,5649.232,20470.61438,0,17398.782888,23282.4782,22172.9718,14887.5821,10709.20995,18852.67661,0,416448.3358392,10678.1624574154
GEODES005-bin.2,1903.2693,2663.982,3180.3887,1207.61187,0,1725.6459,1490.1925,3134.77777,2085.48338,1030.74457,0,2032.27631,1689.7082,7588.9931,2752.07802,10369.8454,4808.45738,1941.67122,301.80292,0,2295.69291,1685.9119,776.45471,3351.7577,0,982.573,5656.75,647.33334,4694.557,5003.618,4699.5966,0,3250.02951,1224.6905,4638.32175,2320.20779,5880.27063,1023.0548,0,98037.74868,2513.78842769231
GEODES005-bin.21,114147.95853,103318.684,123224.603902,140124.94291,109609.815,125155.68136,86955.96435,74575.93888,98613.9184,81449.88015,280.067,79556.88826,32502.217,60004.29656,98820.194063,80751.1872,81406.35283,85934.81608,80176.78152,103838.169,50463.53989,21243.212256,35071.61252,54079.70178,31902.393,135869.491,59883.407,37049.86824,19420.1467,20225.276,20849.94925,0,24293.454737,31167.54013,33391.049166,8926.63353,8523.7624,747.7654,0,2353557.159994,60347.6194870256
