genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9178733296690424,5.844733991762664,137050
3300020492-bin.7,2555680,0.0915106742628185,0.11349487233816913,1552
3300020495-bin.7,5532598,0.02863284120769302,0.03024719855456341,915
3300020497-bin.26,1115662,0.9363041853177755,3.243810631361917,19959
3300020497-bin.28,2077447,0.9228923770377776,2.970978471516625,33645
3300020497-bin.30,1842193,0.9861252322639376,6.097083530465215,61305
3300020497-bin.31,2429201,0.2618342409705907,0.331043704403665,4227
3300020500-bin.11,1335224,0.26565580007549294,0.3471255668723974,2530
3300020500-bin.15,1886585,0.51570801209593,0.7820422027950341,8084
3300020502-bin.7,1668780,0.9754760963098791,5.051965628181006,45916
3300020508-bin.4,5675695,0.003578240197896469,0.0038651127348654393,113
3300020509-bin.11,1732222,0.04081116623619836,0.06572682521789759,619
3300020509-bin.3,3028046,0.10153148267892892,0.11156372137659569,1855
3300020509-bin.4,2331221,0.13142640702018385,0.14650204997407465,1891
3300020509-bin.9,1690287,0.0952134164198151,0.11549760418163095,1083
3300020510-bin.6,4630102,0.025637880115816022,0.02682933813547992,688
3300020512-bin.21,2627940,0.42409872371515334,0.5991824734729031,8400
3300020513-bin.8,2366479,0.014519883759796728,0.018870031240417983,243
3300020516-bin.14,1185293,0.39907179068804083,0.5761341525331375,3652
3300020516-bin.18,835254,0.02745392419551418,0.03000814331970455,140
3300020517-bin.16,4826932,0.7219962908116377,1.4801983237063827,37878
3300020518-bin.8,3501331,0.06264389170861023,0.06983164991121087,1332
3300020519-bin.18,2530461,0.019884519065893527,0.020936804124821524,277
3300020519-bin.22,1656815,0.045621870878764376,0.05596051807321815,505
3300020520-bin.11,2293813,0.017623930111129373,0.021727433778399113,272
3300020521-bin.7,1576449,0.034815588706009516,0.041248292323105645,347
3300020522-bin.12,2422381,0.0023262236617608875,0.0032339554972363144,43
3300020522-bin.7,2411729,0.5185097496443423,0.8719269712821802,11537
3300020523-bin.14,1566836,0.9749086694459408,5.451697943324954,46530
3300020523-bin.3,4818280,0.8848858928912392,2.389882100775215,63166
3300020524-bin.12,2228983,0.004896852062128782,0.006250914244993344,76
3300020525-bin.11,1614305,0.05445996884108022,0.06193256110277298,541
3300020528-bin.19,1077450,0.9976110260336907,11.19193272352935,66254
3300020533-bin.7,2370078,0.0369165065453542,0.04228632656387636,521
3300020534-bin.11,2328727,0.05680485518482845,0.0609569898407127,754
3300020534-bin.13,1337114,0.32906693071794924,0.6059251782602958,4472
3300020536-bin.4,2760056,0.07807558977064233,0.08578040693880952,1298
3300020537-bin.19,4310370,0.04556267791396098,0.049633220450932304,1154
3300020538-bin.10,2226241,0.004431685518324386,0.006021514821281972,71
3300020538-bin.12,2107864,0.5654449243404698,0.9817143534205574,11215
