genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9336636451284455,4.810655651287114,109622
3300020492-bin.7,2555680,0.0031776278720340575,0.004381011190862315,57
3300020495-bin.7,5532598,0.005685032601320392,0.00583425699757369,166
3300020497-bin.26,1115662,0.19380780200454978,0.2213194161701232,1263
3300020497-bin.28,2077447,0.29687881327417737,0.36860145419222723,3925
3300020497-bin.30,1842193,0.819854380078526,1.936551331889526,18219
3300020497-bin.31,2429201,0.002590152070577939,0.0029270349363272117,36
3300020500-bin.11,1335224,0.16831333169565557,0.19272907051542812,1328
3300020500-bin.15,1886585,0.20575007222044064,0.24071560498237934,2334
3300020502-bin.7,1668780,0.9977180934574958,15.637931146255463,133241
3300020508-bin.4,5675695,0.07997011819697852,0.11148763837463253,3232
3300020509-bin.11,1732222,0.004144965252721649,0.008336662375597355,79
3300020509-bin.3,3028046,0.6400490613418687,1.9294675908584147,30695
3300020509-bin.4,2331221,0.7532263135927482,1.555991652002449,18871
3300020509-bin.9,1690287,0.013711872599150321,0.03162208333391246,276
3300020510-bin.6,4630102,0.9939234600015291,7.775871110917225,184092
3300020512-bin.21,2627940,0.01245119751592502,0.014908178908807662,208
3300020513-bin.8,2366479,0.040977756405191,0.054513041448774856,672
3300020516-bin.14,1185293,0.006201842076178633,0.008460811683609284,53
3300020516-bin.18,835254,0.008969726574191803,0.009462175997583727,44
3300020517-bin.16,4826932,0.05415966083632419,0.06058616837533311,1493
3300020518-bin.8,3501331,0.09721588732970404,0.1445535559988727,2633
3300020519-bin.18,2530461,0.009684796564736623,0.01012425601332105,131
3300020519-bin.22,1656815,0.0045352076121956885,0.005175219074358935,47
3300020520-bin.11,2293813,0.5041361261794226,0.774976567641015,9148
3300020521-bin.7,1576449,0.002158648963588419,0.00726946048025683,58
3300020522-bin.12,2422381,0.025325083048455217,0.027350695528630425,341
3300020522-bin.7,2411729,0.32856925467164844,0.4338032767411166,5386
3300020523-bin.14,1566836,0.9854853985994705,7.775675342768671,61881
3300020523-bin.3,4818280,0.13446312792116688,0.15105850188641018,3745
3300020524-bin.12,2228983,0.0017999240012149039,0.002005364244910347,24
3300020525-bin.11,1614305,0.023096007260090257,0.02459681335078935,199
3300020528-bin.19,1077450,0.9852698501090538,6.7520906724345435,37496
3300020533-bin.7,2370078,0.7996956218318553,1.8146439156812006,21901
3300020534-bin.11,2328727,0.34998907128229284,0.4748259963007917,5756
