genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.16123052594588264,0.1894124259639654,4329
3300020492-bin.7,2555680,0.0029768985162461656,0.007196531434202288,93
3300020495-bin.7,5532598,0.0004681345002835919,0.000498266577683956,14
3300020497-bin.26,1115662,0.015384587805267186,0.016269932054840713,97
3300020497-bin.28,2077447,0.008005017697202384,0.009198679784161522,101
3300020497-bin.30,1842193,0.06309002368372912,0.06653874861330003,618
3300020497-bin.31,2429201,0.0024983523388966166,0.00305592970396439,38
3300020500-bin.11,1335224,0.019782448488043954,0.02172820161237402,149
3300020500-bin.15,1886585,0.012411844682322822,0.01310571667398649,127
3300020502-bin.7,1668780,0.617077745418809,1.054936611471645,8920
3300020508-bin.4,5675695,0.016406448901852548,0.022719638736771634,660
3300020509-bin.11,1732222,0.4435944122635551,0.6279910455908998,5552
3300020509-bin.3,3028046,0.6435427334987646,1.4235552447236495,22463
3300020509-bin.4,2331221,0.4263409603808476,0.5947316397861248,7158
3300020509-bin.9,1690287,0.8741669314146059,2.5807501881216135,22156
3300020510-bin.6,4630102,0.19330006120815482,0.2294678278808477,5376
3300020512-bin.21,2627940,0.0010548186031644558,0.0018125111961875082,26
3300020513-bin.8,2366479,0.0022818710835802894,0.003691144151863592,44
3300020516-bin.14,1185293,0.8651438926915117,2.2539140596919234,13418
3300020516-bin.18,835254,0.02076254648286629,0.021233285198241976,95
3300020517-bin.16,4826932,0.12195551957226661,0.14619917192701515,3581
3300020518-bin.8,3501331,0.8867047988322155,3.3519920658508426,60950
3300020519-bin.18,2530461,0.33301955651559145,0.4356241450656067,5526
3300020519-bin.22,1656815,0.00345663215265434,0.0056924137171754235,49
3300020520-bin.11,2293813,0.0023144868391625647,0.002837042469502091,33
3300020521-bin.7,1576449,0.4262681507616168,0.5923037335343735,4728
3300020522-bin.12,2422381,0.0017491055288164827,0.0028761283609704666,36
3300020522-bin.7,2411729,0.019884489509393467,0.022461442401255357,277
3300020523-bin.14,1566836,0.7695770329504811,1.6975392892377297,13399
3300020523-bin.3,4818280,0.4349842682450999,0.5934188507964278,14765
3300020524-bin.12,2228983,0.0017649304638034475,0.002454079739225019,29
3300020525-bin.11,1614305,0.0007761854172538647,0.0007724602003939775,6
3300020528-bin.19,1077450,0.9554234535245255,4.030710734855816,22079
3300020533-bin.7,2370078,0.3931132224340296,0.5427722788396009,6539
3300020534-bin.11,2328727,0.1594819830748731,0.20328655901905252,2433
3300020534-bin.13,1337114,0.058950096999956625,0.06857582421248525,459
3300020536-bin.4,2760056,0.6822430414455359,1.335895674234359,18929
3300020537-bin.19,4310370,0.4315276878783028,0.6227111401981521,13492
3300020538-bin.10,2226241,0.001638636607626937,0.002763071968585611,31
3300020538-bin.12,2107864,0.002330795535195819,0.002849767068146948,34
3300020538-bin.15,1233688,0.00012158665724234976,0.000124039322499692,1
3300020539-bin.14,2892631,0.048025482683411745,0.05588041360529226,827
3300020539-bin.2,2652915,0.3279588678868339,0.4274533935410867,5975
3300020539-bin.6,2963442,0.32005789214028824,0.4538044663611275,6859
3300020540-bin.12,2304448,0.09853422598383647,0.11290251725781143,1312
3300020540-bin.20,900323,0.4998206199330685,0.7484009751314936,3415
3300020540-bin.4,1192163,0.009741117615628065,0.010501671374051788,64
3300020542-bin.8,4789593,0.2796135287486849,0.37094517234916585,9123
3300020543-bin.11,2546855,0.05024353565475852,0.05516608332771357,705
3300020544-bin.10,1670847,0.16788969905682566,0.20192719935736747,1721
3300020544-bin.2,1167181,0.9256173635451571,3.1187557073229426,18452
3300020544-bin.4,1837905,0.030119075795538942,0.04381491585177527,411
3300020544-bin.7,6185992,0.11773390589577225,0.13221685923641688,4123
3300020546-bin.10,2648679,0.9230186066337219,3.013177598494422,40723
3300020546-bin.16,2792585,0.9302771446527143,3.6458159827151086,53703
3300020546-bin.23,1278754,0.4080112359374829,0.5607434351735043,3649
3300020547-bin.20,2389223,0.9351303750215028,3.9202116660191155,48494
3300020547-bin.4,1279585,0.9864667060023367,6.090417095505339,39160
3300020547-bin.9,3685659,0.027442853503267667,0.06662961215937599,1257
3300020548-bin.13,1400347,0.36926347541002336,0.5058737814052587,3547
3300020548-bin.16,3959933,0.21146014339131494,0.3011302389894097,6173
3300020548-bin.2,4352364,0.1733214409456562,0.20498327796494814,4563
3300020548-bin.6,836275,0.9814498819168336,6.443874216088485,27925
3300020549-bin.11,2823801,0.7432538624357736,1.8642819068358232,27213
3300020551-bin.8,3712937,0.24547682872076743,0.342892262738597,6680
3300020552-bin.15,1237357,0.011945622807322382,0.015400523996904683,93
3300020553-bin.6,3312638,0.4575742957727346,0.6948630495243635,11832
3300020555-bin.16,4405293,0.27436154643970334,0.34354402996219596,7717
3300020555-bin.7,5011034,0.4852122336427971,0.7296221281819869,18560
3300020556-bin.9,1216607,0.28174094017213447,0.37709263273838484,2322
3300020557-bin.14,1790125,0.9539981844843237,3.7842367360742966,34587
3300020557-bin.24,1191111,0.9919176298430625,7.055177406183728,44122
3300020557-bin.7,1997574,0.010017651411161739,0.011874145908307132,122
3300020558-bin.18,831182,0.47477327468592917,0.8878050022821956,3852
3300020558-bin.22,1903551,0.055642323215926444,0.06589918074909001,642
3300020558-bin.31,2346779,0.035923280377061495,0.03954239995466423,485
3300020560-bin.28,1013543,0.4478991024554459,0.6571572131518052,3389
3300020560-bin.30,1063131,0.07154151275807026,0.07660828956797229,418
3300020562-bin.12,1753974,0.035685249610313496,0.04091355110475719,373
3300020562-bin.13,1336106,0.010438543049728091,0.012652420993312204,92
3300020562-bin.20,2423354,0.03280824840283343,0.034543564937113615,434
3300020562-bin.25,2270258,0.004411833368718445,0.0060589174537453465,74
3300020562-bin.31,2425552,0.07971505042975785,0.0877110035473472,1082
3300020562-bin.36,3656038,0.00031318055228091174,0.00034854084247811434,6
3300020562-bin.39,2066301,0.042138584843156926,0.04582760210496683,484
3300020562-bin.44,1976431,0.002159448015134351,0.002239263900657802,22
3300020562-bin.5,2248693,0.0032320997130333043,0.004413366326429842,52
3300020563-bin.20,2115286,0.00550374748379179,0.006143478959672878,65
3300020564-bin.6,4099214,0.4154977027303283,0.5950779872569162,12527
3300020566-bin.10,3811262,0.3745853735586795,0.4974470153062464,9476
3300020566-bin.16,1947691,0.1769854663804474,0.2039020789291872,2065
3300020566-bin.3,1470926,0.6281865981021479,1.1355143330699642,8426
3300020568-bin.14,1134331,0.9351124142776668,3.43439473202663,20028
3300020568-bin.25,1889639,0.7277400604030717,1.4856164067905075,14272
3300020568-bin.4,994173,0.672420192461473,1.2623904934813144,6346
3300020569-bin.10,2480291,0.06289907111705845,0.06872574146611181,872
3300020569-bin.8,1917646,0.0009011047920210509,0.0012487081287688134,13
3300020570-bin.4,1660798,0.32923450052324243,0.42691778076555364,3536
3300020572-bin.32,1326201,0.011324075309851222,0.011782641799968633,79
