genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.13543196583198927,0.7743702563769244,18472
3300020492-bin.7,2555680,0.6510948162524259,1.2039871002013312,15957
3300020495-bin.7,5532598,0.03692081007873697,0.039614430181794245,1137
3300020497-bin.26,1115662,0.19616245780532096,0.23535478286558453,1356
3300020497-bin.28,2077447,0.8790192962804827,2.5522447755736724,27441
3300020497-bin.30,1842193,0.4564608594213527,0.6687684229123168,6371
3300020497-bin.31,2429201,0.2752703460932216,0.36689044908675095,4609
3300020500-bin.11,1335224,0.791939779392821,1.7790697108534903,12244
3300020500-bin.15,1886585,0.3143107784700928,0.4016263081255876,3952
3300020502-bin.7,1668780,0.920415513129352,3.0178455074170474,25917
3300020508-bin.4,5675695,0.0036467780597794633,0.004460368501974667,135
3300020509-bin.11,1732222,0.0025060298275856097,0.017664880717725557,161
3300020509-bin.3,3028046,0.03028685825776755,0.03215986459696015,517
3300020509-bin.4,2331221,0.13270813878220897,0.14815232422399296,1802
3300020509-bin.9,1690287,0.11788589748368176,0.1401816993288217,1216
3300020510-bin.6,4630102,0.6663464433396932,1.211273958667428,28847
3300020512-bin.21,2627940,0.006537439971993272,0.010803879943008972,157
3300020513-bin.8,2366479,0.025588648790037857,0.029962193239272284,377
3300020516-bin.14,1185293,0.018557436853166263,0.04838169818184468,309
3300020516-bin.18,835254,0.00019155849597846884,0.00019883655905868157,1
3300020517-bin.16,4826932,0.3163647219393188,0.453374369725275,11415
3300020518-bin.8,3501331,0.017488492233382107,0.01868342224363583,343
3300020519-bin.18,2530461,0.0034242772364403164,0.004479950099056852,59
3300020519-bin.22,1656815,0.008398040819282781,0.012655927432212406,121
3300020520-bin.11,2293813,0.006601671539920647,0.008994314917409787,109
3300020521-bin.7,1576449,0.0016118504309368714,0.004553744655126806,37
3300020522-bin.12,2422381,0.020022861804150544,0.021928236942788105,274
3300020522-bin.7,2411729,0.642526171058191,1.3387310418430713,16768
3300020523-bin.14,1566836,0.9771960817852028,5.598763738014574,45004
3300020523-bin.3,4818280,0.2517616244801049,0.3095558617171513,7766
3300020524-bin.12,2228983,0.6443593333820851,1.1518257001540575,13266
3300020525-bin.11,1614305,0.018015183004450833,0.01998582023755709,168
3300020528-bin.19,1077450,0.9933806673163488,9.905340637671543,55979
3300020533-bin.7,2370078,0.2785967381664232,0.36545935343272823,4434
3300020534-bin.11,2328727,0.06109432320748632,0.06590022474802795,791
3300020534-bin.13,1337114,0.36496588922111356,0.7347938057365189,5166
3300020536-bin.4,2760056,0.1760580220111476,0.20312399353653438,2921
3300020537-bin.19,4310370,0.004069952231478968,0.00563434179990314,130
3300020538-bin.10,2226241,0.003951503902767041,0.0073765637004382725,91
3300020538-bin.12,2107864,0.7758935111563174,2.1857902066372823,24340
3300020538-bin.15,1233688,0.24808379428186056,0.3056103594483323,1930
3300020539-bin.14,2892631,0.082457112573294,0.09366125324024809,1405
3300020539-bin.2,2652915,0.03161315006323233,0.03814105960429506,546
3300020539-bin.6,2963442,0.2626655085539045,0.3308457303626583,5059
3300020540-bin.12,2304448,0.9694751194212237,6.098048245238468,71979
3300020540-bin.20,900323,0.9021262369171953,2.8144625305214896,13225
3300020540-bin.4,1192163,0.16381400865485676,0.19820596650871908,1220
3300020542-bin.8,4789593,0.9999062550826344,61.994764458647964,1551285
3300020543-bin.11,2546855,0.9762369667688188,5.509475990233952,72871
3300020544-bin.10,1670847,0.5781026030510275,1.1560807692392845,10050
3300020544-bin.2,1167181,0.013248159454274872,0.02586278486895271,166
3300020544-bin.4,1837905,0.004470851322565639,0.005529408421106096,55
3300020544-bin.7,6185992,0.13540318189871567,0.155274611147946,4960
3300020546-bin.10,2648679,0.03447265599191144,0.04118906001857286,572
3300020546-bin.16,2792585,0.30165706683950533,0.4286774941054609,6302
3300020546-bin.23,1278754,0.843557869613702,2.153930820082378,14097
3300020547-bin.20,2389223,0.004425288053898694,0.004714157877907043,61
3300020547-bin.4,1279585,0.01638031080389345,0.03248131620645771,221
3300020547-bin.9,3685659,0.0006991965344596449,0.0007895353060953279,16
3300020548-bin.13,1400347,0.7591325578588736,1.6422403088967186,11821
3300020548-bin.16,3959933,0.26318576602179883,0.32409299722686735,6695
3300020548-bin.2,4352364,0.05340109420995119,0.05758663571619881,1284
3300020548-bin.6,836275,0.9998624854264446,62.43658647481151,274349
3300020549-bin.11,2823801,0.03904984805940645,0.04140442465197113,618
3300020551-bin.8,3712937,0.21478360661654103,0.26618666676762254,5237
3300020552-bin.15,1237357,0.5869615640433602,0.9734351590034002,6146
3300020553-bin.6,3312638,0.015748777862235476,0.03112158666637767,542
3300020555-bin.16,4405293,0.011646444402222508,0.015772876475181333,375
3300020555-bin.7,5011034,0.0066798588874072695,0.008650744672104459,225
3300020556-bin.9,1216607,0.9984259502041333,21.224252686522924,133978
3300020557-bin.14,1790125,0.0052454437539277985,0.011062894167244578,106
3300020557-bin.24,1191111,0.9825490655362934,5.3324818553396796,33337
3300020557-bin.7,1997574,0.9176070573605783,3.042507541679806,31289
3300020558-bin.18,831182,0.6574300213430994,3.4540625632466586,15183
3300020558-bin.22,1903551,0.9648766962377158,5.525517179822181,53922
3300020558-bin.31,2346779,0.0007439984762093064,0.006393240269139957,87
3300020560-bin.28,1013543,0.4269182461918241,0.6169196343235501,3222
3300020560-bin.30,1063131,0.8899947419461948,2.762594206383503,15075
3300020562-bin.12,1753974,0.3756304255365245,0.6361070002121437,5848
3300020562-bin.13,1336106,0.9059228833640445,2.7923674562735297,19367
3300020562-bin.20,2423354,0.9685064584043437,6.953669598449709,87485
3300020562-bin.25,2270258,0.03581266974942936,0.05936768852300522,726
3300020562-bin.31,2425552,0.9380978020673232,4.17032399268487,52823
3300020562-bin.36,3656038,0.7113309544375633,1.4758758940573165,27811
3300020562-bin.39,2066301,0.977779132856249,5.2833865393020165,56874
3300020562-bin.44,1976431,0.8857101512777324,2.6280828610204474,26763
3300020562-bin.5,2248693,0.09410088438039341,0.1090332834660205,1280
3300020563-bin.20,2115286,0.13509189773865093,0.1561145795415376,1745
3300020564-bin.6,4099214,0.05297552164878438,0.057548049087696396,1230
3300020566-bin.10,3811262,0.046198345849747406,0.05300731770246888,1030
3300020566-bin.16,1947691,0.0064789537970858825,0.011352199460186964,116
3300020566-bin.3,1470926,0.000464333351915732,0.0006737340980459247,6
3300020568-bin.14,1134331,0.9977034921905511,14.2481456785701,84483
3300020568-bin.25,1889639,0.0014981697562338626,0.01081443089047019,109
3300020568-bin.4,994173,0.9358693104721211,3.4581228669068658,17694
3300020569-bin.10,2480291,0.0027363724659727425,0.0044851064791252325,61
3300020569-bin.8,1917646,0.01024641670047548,0.012381702185185386,122
3300020570-bin.4,1660798,0.005839963680110405,0.01821033587754844,162
3300020572-bin.32,1326201,0.8872659574227436,2.593166898502639,17845
3300020572-bin.37,2938332,0.09978518424738933,0.12046881832736503,1850
3300020573-bin.11,1457006,0.7933886339520908,2.8009148581857253,21188
