genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.25864494823438244,0.33416225103626124,7683
3300020492-bin.7,2555680,0.03260110811995242,0.051204514689914396,673
3300020495-bin.7,5532598,0.0024635804011063156,0.0025345264765163486,71
3300020497-bin.26,1115662,0.6484275703573305,1.1697924757660207,6639
3300020497-bin.28,2077447,0.6040375518605288,1.010063742069535,10629
3300020497-bin.30,1842193,0.38669998203228434,0.5253398552586129,4910
3300020497-bin.31,2429201,0.03436273902406594,0.07713459011735455,982
3300020500-bin.11,1335224,0.5626936004745271,0.9113340269216696,6158
3300020500-bin.15,1886585,0.6065064653858692,1.0028359715797384,9588
3300020502-bin.7,1668780,0.9477258835796211,3.6862043897000794,30961
3300020508-bin.4,5675695,0.022841960323801754,0.026356573793487374,755
3300020509-bin.11,1732222,0.009548429704737614,0.01845339682259006,164
3300020509-bin.3,3028046,0.3001833525646572,0.4863731848555438,7684
3300020509-bin.4,2331221,0.23033938009309285,0.2752081369721579,3286
3300020509-bin.9,1690287,0.006741458699025669,0.011483181670503767,99
3300020510-bin.6,4630102,0.3848314788745475,0.5230161921953314,12228
3300020512-bin.21,2627940,0.004882151038455977,0.008085610503874142,116
3300020513-bin.8,2366479,0.028016306081735776,0.03660513775658591,443
3300020516-bin.14,1185293,0.3764048214239011,0.49573229143279857,2980
3300020517-bin.16,4826932,0.40681886548225665,0.6192281798782548,15330
3300020518-bin.8,3501331,0.09850711058166166,0.1201655384691069,2172
3300020519-bin.18,2530461,0.3193287705283741,0.40861504543921146,5311
3300020519-bin.22,1656815,0.006978449615678274,0.01155500366206245,111
3300020520-bin.11,2293813,0.11602994664342735,0.13498628368204516,1555
3300020521-bin.7,1576449,0.00886676321276489,0.01441362430084005,117
3300020522-bin.12,2422381,0.0017581875022962944,0.00338253392351261,44
3300020522-bin.7,2411729,0.09249629622565388,0.11040000363380252,1359
3300020523-bin.14,1566836,0.9217084621491974,3.291699097184439,25996
3300020523-bin.3,4818280,0.11013826510705065,0.11954929167980015,2922
3300020524-bin.12,2228983,0.00795340296449098,0.013154280736735628,152
3300020525-bin.11,1614305,0.00364553166842697,0.0037658148296043806,32
3300020528-bin.19,1077450,0.9724785372871131,4.926663256212165,27567
3300020533-bin.7,2370078,0.9599954094337824,3.9647946126986926,47620
3300020534-bin.11,2328727,0.5220736479630287,0.8162688134347779,9674
3300020534-bin.13,1337114,0.3848834130822054,0.6233539112895159,4264
3300020536-bin.4,2760056,0.9902357053624999,8.39460248957663,117867
3300020537-bin.19,4310370,0.36324027867677255,0.4863486130870739,10520
