genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.8173072417801245,3.8523837925710396,87495
3300020492-bin.7,2555680,0.009063341263381958,0.01039079222087139,135
3300020495-bin.7,5532598,0.41125055534488497,0.5717335815937991,16070
3300020497-bin.26,1115662,0.5763152280887939,0.9986328395237266,5666
3300020497-bin.28,2077447,0.8964315335120463,2.647850876994724,27857
3300020497-bin.30,1842193,0.9391665259828911,3.470363347160097,32214
3300020497-bin.31,2429201,0.022664653933536172,0.0238328946813943,295
3300020500-bin.11,1335224,0.9061513274177216,2.9008591132539565,19623
3300020500-bin.15,1886585,0.9646276208069077,4.090501172731047,39100
3300020502-bin.7,1668780,0.9886479943431729,6.7519063658343175,56866
3300020508-bin.4,5675695,0.0074101938176734305,0.007806429207249787,224
3300020509-bin.11,1732222,0.0022710714908366248,0.012862049927858383,116
3300020509-bin.3,3028046,0.022793907358078444,0.023367734379198476,367
3300020509-bin.4,2331221,0.042158594144441904,0.0447751519216865,538
3300020509-bin.9,1690287,0.4575666735885681,0.6856064885694784,5860
3300020510-bin.6,4630102,0.09090858041572303,0.09944351434600165,2323
3300020512-bin.21,2627940,0.9705693432878985,4.177794681736951,55019
3300020513-bin.8,2366479,0.6420944365025001,1.3314704477821557,16096
3300020516-bin.14,1185293,0.010059959858026666,0.017061179735513913,107
3300020516-bin.18,835254,0.0005495334353382324,0.0005516686740700434,3
3300020517-bin.16,4826932,0.025499012623339215,0.02877007183973905,705
3300020518-bin.8,3501331,0.04759789919890464,0.05513795444466052,1001
3300020519-bin.18,2530461,0.0011780462137136276,0.001195154437718898,18
3300020519-bin.22,1656815,0.0006560780775161983,0.0008243180663308819,9
3300020520-bin.11,2293813,0.8076242483585192,1.966748713328723,22979
3300020521-bin.7,1576449,0.0018059575666577224,0.004672516091474891,39
3300020522-bin.12,2422381,0.18073251069918397,0.21315384570467658,2659
3300020522-bin.7,2411729,0.6646849625310306,1.4191356586629216,17436
3300020523-bin.14,1566836,0.9761442805756314,5.883170054223922,46218
3300020523-bin.3,4818280,0.9077235029927692,2.694147494100489,66144
3300020524-bin.12,2228983,0.0008021595498933819,0.0009544130161836139,12
3300020525-bin.11,1614305,0.03991315148004869,0.04448873226523056,371
3300020528-bin.19,1077450,0.9530669636642072,4.000178328123902,21965
3300020533-bin.7,2370078,0.0872713893804339,0.09699159145246573,1175
3300020534-bin.11,2328727,0.09979186053152646,0.10956702256957727,1301
3300020534-bin.13,1337114,0.14366688255451668,0.2005000805323981,1369
3300020536-bin.4,2760056,0.04044519386563171,0.04264057689332284,605
3300020537-bin.19,4310370,0.002962158700993186,0.00309763174380341,66
3300020538-bin.10,2226241,0.017037688192787753,0.01755531304193855,208
3300020538-bin.12,2107864,0.2749470554077493,0.34133550770069243,3699
3300020538-bin.15,1233688,0.028437497973555714,0.02959741586961961,188
3300020539-bin.14,2892631,0.03522433383310903,0.03748479105924138,554
3300020539-bin.2,2652915,0.01616787571407301,0.01724710190840524,229
3300020539-bin.6,2963442,0.06899072092519441,0.07445861211529901,1136
3300020540-bin.12,2304448,0.852582483961452,2.4080707392984766,27822
3300020540-bin.20,900323,0.9551105547675668,4.028496072628155,18419
3300020540-bin.4,1192163,0.28721324181340974,0.3829971147273592,2286
3300020542-bin.8,4789593,0.05198729829444798,0.1776447787646364,4538
3300020543-bin.11,2546855,0.11784141617799207,0.1331272672782719,1705
3300020544-bin.10,1670847,0.10719473416776042,0.12131431881695626,1023
3300020544-bin.2,1167181,0.055215086606104795,0.06354421270348773,379
3300020544-bin.4,1837905,0.013206340915335667,0.014761993915144577,140
3300020544-bin.7,6185992,0.22804006212746475,0.2736586215089816,8533
3300020546-bin.10,2648679,0.04349941989950462,0.04658730423327779,623
3300020546-bin.16,2792585,0.13056182712433104,0.14765834229082223,2119
3300020546-bin.23,1278754,0.9544298590659345,3.961665447393789,25417
3300020547-bin.20,2389223,0.009811139437381943,0.010148198956065252,125
3300020547-bin.4,1279585,0.01937659475533083,0.021504740799085247,142
3300020547-bin.9,3685659,0.003764591352591219,0.00406357844365393,76
3300020548-bin.13,1400347,0.029852600819653987,0.054546065050516034,383
3300020548-bin.16,3959933,0.09543924101746167,0.11138732139630243,2296
3300020548-bin.2,4352364,0.002429714058842505,0.0026139854217585895,58
3300020548-bin.6,836275,0.999679531254671,44.726606003423484,193804
3300020549-bin.11,2823801,0.022359224322110516,0.023007004289512408,341
3300020551-bin.8,3712937,0.02457407707160127,0.025553400992917193,493
3300020552-bin.15,1237357,0.011309589714205358,0.013621077888663497,88
3300020553-bin.6,3312638,0.002386617553744176,0.0028609824553488795,50
3300020555-bin.16,4405293,0.02929475973561804,0.03441228810373921,772
