genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.2749900883935088,0.3686371105958023,8658
3300020492-bin.7,2555680,0.06043714393038252,0.07243793774982196,968
3300020495-bin.7,5532598,0.01338304355386023,0.014078552797824584,412
3300020497-bin.26,1115662,0.059429289516000364,0.06549742767497863,388
3300020497-bin.28,2077447,0.19295125218597634,0.22504134442516502,2428
3300020497-bin.30,1842193,0.10751153652196051,0.12011262467936097,1148
3300020497-bin.31,2429201,0.05988100614152555,0.0731097428456608,928
3300020500-bin.11,1335224,0.2953946304140728,0.36847399452485946,2564
3300020500-bin.15,1886585,0.22529279094236412,0.2663071400471751,2623
3300020502-bin.7,1668780,0.9601888804995266,4.232498117894929,36579
3300020508-bin.4,5675695,0.005777618423822985,0.008783908542306115,264
3300020509-bin.11,1732222,0.002489288324475731,0.004127659295479448,37
3300020509-bin.3,3028046,0.7189560528472817,1.6694080272824523,26934
3300020509-bin.4,2331221,0.7206661230316646,1.390088171132252,17119
3300020509-bin.9,1690287,0.05992059336668862,0.07293819576049748,641
3300020510-bin.6,4630102,0.6785921778829063,1.2888544901789052,30951
3300020512-bin.21,2627940,0.0017766767886633636,0.0027558474375678293,42
3300020513-bin.8,2366479,0.4456963277510597,0.6618390636435224,8260
3300020516-bin.14,1185293,0.7514631403374524,1.571869608199796,9688
3300020516-bin.18,835254,0.0006704547359246409,0.0009441511764706305,4
3300020517-bin.16,4826932,0.36974914914898327,0.5758143174152506,14688
3300020518-bin.8,3501331,0.15304979734849405,0.1920379213192074,3540
3300020519-bin.18,2530461,0.0677216522997193,0.07412045736474103,966
3300020519-bin.22,1656815,0.021021055458817068,0.024632571740442973,217
3300020520-bin.11,2293813,0.30219333485336425,0.4086604139428525,4872
3300020521-bin.7,1576449,0.001841480441168728,0.0033952185226613736,29
3300020522-bin.12,2422381,0.13074656711722887,0.14879468183786274,1896
3300020522-bin.7,2411729,0.19443975670566635,0.235495414724991,2980
3300020523-bin.14,1566836,0.9520205050177555,4.159849451384,33658
3300020523-bin.3,4818280,0.9909940891770508,6.351767204503868,161140
3300020524-bin.12,2228983,0.004834940419016206,0.0063678492674888055,72
3300020525-bin.11,1614305,0.0035829660442109764,0.003762679913194285,32
3300020528-bin.19,1077450,0.9932377372499884,8.281022953865333,47243
3300020533-bin.7,2370078,0.3641200838115876,0.49992908265516994,6155
3300020534-bin.11,2328727,0.41960049417557316,0.5825419392572808,7093
3300020534-bin.13,1337114,0.4200606679759542,0.6470978929604059,4538
3300020536-bin.4,2760056,0.5254737585034507,0.8054797437837712,11700
3300020537-bin.19,4310370,0.14883803478587684,0.1761787447206248,3919
3300020538-bin.10,2226241,0.012199038648556019,0.02573438233910884,313
3300020538-bin.12,2107864,0.02594285020285939,0.03000786467000765,334
3300020538-bin.15,1233688,0.0018546018118033084,0.002151262306765649,14
3300020539-bin.14,2892631,0.4363785080087989,0.640377376935559,9697
3300020539-bin.2,2652915,0.3280263408364007,0.4349522119855157,6191
3300020539-bin.6,2963442,0.821776501784074,2.538450779995376,39337
3300020540-bin.12,2304448,0.11285435818035382,0.1274168966750887,1524
3300020540-bin.20,900323,0.9908966004422857,6.414070378132848,30585
3300020540-bin.4,1192163,0.13950860746391222,0.1641403029732579,1012
3300020542-bin.8,4789593,0.8982184916338403,2.6611046791228206,66360
3300020543-bin.11,2546855,0.6616112813646635,1.2605482908628147,16550
3300020544-bin.10,1670847,0.7971657488686875,1.9845065638845816,17470
3300020544-bin.2,1167181,0.4092193070312145,0.56330722956903,3451
3300020544-bin.4,1837905,0.02162951839186465,0.02784510077707117,270
3300020544-bin.7,6185992,0.4656467386314111,0.679140525437908,21859
3300020546-bin.10,2648679,0.12486715075703775,0.14360982312342915,1983
3300020546-bin.16,2792585,0.9040358664105121,2.888417346149225,42869
3300020546-bin.23,1278754,0.7694998412517184,1.6338545491078496,10776
3300020547-bin.20,2389223,0.3708758035562189,0.5070353024885498,6439
3300020547-bin.4,1279585,0.2847243442209779,0.36865747049076864,2438
3300020547-bin.9,3685659,0.0034628814005853497,0.004030278613814057,81
3300020548-bin.13,1400347,0.7649339770785384,1.639043562076114,11709
3300020548-bin.16,3959933,0.48217027914361177,0.7340746661429939,15210
3300020548-bin.2,4352364,0.6716593556972716,1.2723772352104235,28842
3300020548-bin.6,836275,0.999458312158082,34.9215220773681,154975
3300020549-bin.11,2823801,0.8265097292620832,2.2330281937837326,33352
3300020551-bin.8,3712937,0.4388369638375227,0.6922693409093639,13619
3300020552-bin.15,1237357,0.9455832067867236,3.4959743356995614,21894
3300020553-bin.6,3312638,0.2098608420237889,0.25975137504075124,4480
3300020555-bin.16,4405293,0.18049219427629445,0.21528439677844177,4965
3300020555-bin.7,5011034,0.14516564844700713,0.17298091753643488,4523
3300020556-bin.9,1216607,0.946074615714031,3.74971304749233,23910
3300020557-bin.14,1790125,0.17125787305355772,0.19729749902396204,1828
3300020557-bin.24,1191111,0.9875435622708547,5.897855644026713,37372
3300020557-bin.7,1997574,0.8761252399160181,2.369885815209719,24422
3300020558-bin.18,831182,0.44721011763969865,2.0402457563097847,9109
3300020558-bin.22,1903551,0.25190551763519864,0.32229650171213925,3139
3300020558-bin.31,2346779,0.0033100688219896294,0.005499432379187432,72
3300020560-bin.28,1013543,0.4681133410225318,0.7051255385054505,3728
3300020560-bin.30,1063131,0.38379465935994717,0.5138102412953861,2821
3300020562-bin.12,1753974,0.29932256692516535,0.5200155680559623,4843
3300020562-bin.13,1336106,0.15717540374790623,0.1819113112093935,1278
3300020562-bin.20,2423354,0.10634269693986104,0.1178487115138964,1494
3300020562-bin.25,2270258,0.016819674239667914,0.026564389439065073,330
3300020562-bin.31,2425552,0.16373551257610638,0.1963553636434608,2535
3300020562-bin.36,3656038,0.0024778188848146544,0.00283879262516522,59
3300020562-bin.39,2066301,0.9300087450957049,3.131061723452538,34132
3300020562-bin.44,1976431,0.4443894069663955,0.6410868014323088,6580
3300020562-bin.5,2248693,0.008928742162669603,0.010567573858207856,133
3300020563-bin.20,2115286,0.03289531533797321,0.03462672773579625,387
3300020564-bin.6,4099214,0.10816171100118217,0.12368179226040552,2653
3300020566-bin.10,3811262,0.07701281097967025,0.08726005907130337,1719
3300020566-bin.16,1947691,0.009767463114015518,0.011343782900606409,122
3300020566-bin.3,1470926,0.31531021954877403,0.4187280868000315,3167
3300020568-bin.14,1134331,0.9947475648642239,9.142681211424614,54716
3300020568-bin.25,1889639,0.42726097418607467,0.6123478700572594,6046
3300020568-bin.4,994173,0.951405841840404,3.860296481839277,19908
3300020569-bin.10,2480291,0.007850288534692098,0.00897154511245963,115
3300020569-bin.8,1917646,0.0945195307163053,0.10626927622359188,1063
3300020570-bin.4,1660798,0.874712036021238,2.438383623204748,21024
3300020572-bin.32,1326201,0.15348352172860674,0.17179392724991688,1197
3300020572-bin.37,2938332,0.02440023795813407,0.028173546394216365,441
3300020573-bin.11,1457006,0.197807696056159,0.26998189917624155,2086
3300020573-bin.18,3479868,0.8995536612308282,3.2784083480756605,59057
3300020575-bin.17,979260,0.8718736597022241,2.494072649046177,12971
3300020575-bin.25,1872784,0.23706417825013457,0.2957747962432533,2867
3300021108-bin.1,2974610,0.008168801960593153,0.009739519817373877,156
3300021140-bin.2,1811203,0.2781355817100568,0.35483503459248433,3345
3300021140-bin.22,2658358,0.8608238619478641,2.2877604066030974,31851
3300021140-bin.31,1894949,0.8878260048159607,2.4983213475240227,25080
3300021140-bin.33,1172618,0.3632146189125529,0.5374701756280218,3332
3300021140-bin.34,1682713,0.9034333246370593,2.961236439731802,26359
3300021140-bin.57,1350024,0.5321697984628422,0.818845269207733,5794
3300021141-bin.17,3723396,0.009672352873559513,0.011041566819169115,213
3300021141-bin.24,1339146,0.39308111288836317,0.6466201794139982,4514
3300021141-bin.35,1078250,0.7675205193600741,1.7409168709607132,9900
3300021141-bin.52,5723746,0.005776112357187059,0.010542745526985822,324
3300021141-bin.54,2721258,0.003710783762509839,0.004307600527076374,65
