r1	r2	sample
GEODES113-nonrRNA-F.fastq	GEODES113-nonrRNA-R.fastq	GEODES113
GEODES114-nonrRNA-F.fastq	GEODES114-nonrRNA-R.fastq	GEODES114
GEODES115-nonrRNA-F.fastq	GEODES115-nonrRNA-R.fastq	GEODES115
GEODES121-nonrRNA-F.fastq	GEODES121-nonrRNA-R.fastq	GEODES121
GEODES122-nonrRNA-F.fastq	GEODES122-nonrRNA-R.fastq	GEODES122
GEODES123-nonrRNA-F.fastq	GEODES123-nonrRNA-R.fastq	GEODES123
GEODES124-nonrRNA-F.fastq	GEODES124-nonrRNA-R.fastq	GEODES124
GEODES125-nonrRNA-F.fastq	GEODES125-nonrRNA-R.fastq	GEODES125
GEODES126-nonrRNA-F.fastq	GEODES126-nonrRNA-R.fastq	GEODES126
GEODES128-nonrRNA-F.fastq	GEODES128-nonrRNA-R.fastq	GEODES128
GEODES129-nonrRNA-F.fastq	GEODES129-nonrRNA-R.fastq	GEODES129
GEODES130-nonrRNA-F.fastq	GEODES130-nonrRNA-R.fastq	GEODES130
GEODES131-nonrRNA-F.fastq	GEODES131-nonrRNA-R.fastq	GEODES131
GEODES133-nonrRNA-F.fastq	GEODES133-nonrRNA-R.fastq	GEODES133
GEODES134-nonrRNA-F.fastq	GEODES134-nonrRNA-R.fastq	GEODES134
GEODES135-nonrRNA-F.fastq	GEODES135-nonrRNA-R.fastq	GEODES135
GEODES137-nonrRNA-F.fastq	GEODES137-nonrRNA-R.fastq	GEODES137
GEODES138-nonrRNA-F.fastq	GEODES138-nonrRNA-R.fastq	GEODES138
GEODES139-nonrRNA-F.fastq	GEODES139-nonrRNA-R.fastq	GEODES139
GEODES141-nonrRNA-F.fastq	GEODES141-nonrRNA-R.fastq	GEODES141
GEODES143-nonrRNA-F.fastq	GEODES143-nonrRNA-R.fastq	GEODES143
GEODES144-nonrRNA-F.fastq	GEODES144-nonrRNA-R.fastq	GEODES144
GEODES145-nonrRNA-F.fastq	GEODES145-nonrRNA-R.fastq	GEODES145
GEODES147-nonrRNA-F.fastq	GEODES147-nonrRNA-R.fastq	GEODES147
GEODES148-nonrRNA-F.fastq	GEODES148-nonrRNA-R.fastq	GEODES148
GEODES150-nonrRNA-F.fastq	GEODES150-nonrRNA-R.fastq	GEODES150
GEODES152-nonrRNA-F.fastq	GEODES152-nonrRNA-R.fastq	GEODES152
GEODES153-nonrRNA-F.fastq	GEODES153-nonrRNA-R.fastq	GEODES153
GEODES154-nonrRNA-F.fastq	GEODES154-nonrRNA-R.fastq	GEODES154
GEODES155-nonrRNA-F.fastq	GEODES155-nonrRNA-R.fastq	GEODES155
GEODES156-nonrRNA-F.fastq	GEODES156-nonrRNA-R.fastq	GEODES156
GEODES157-nonrRNA-F.fastq	GEODES157-nonrRNA-R.fastq	GEODES157
GEODES158-nonrRNA-F.fastq	GEODES158-nonrRNA-R.fastq	GEODES158
GEODES159-nonrRNA-F.fastq	GEODES159-nonrRNA-R.fastq	GEODES159
GEODES160-nonrRNA-F.fastq	GEODES160-nonrRNA-R.fastq	GEODES160
GEODES161-nonrRNA-F.fastq	GEODES161-nonrRNA-R.fastq	GEODES161
GEODES162-nonrRNA-F.fastq	GEODES162-nonrRNA-R.fastq	GEODES162
GEODES163-nonrRNA-F.fastq	GEODES163-nonrRNA-R.fastq	GEODES163
GEODES164-nonrRNA-F.fastq	GEODES164-nonrRNA-R.fastq	GEODES164
