genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.17852402663518982,0.20693129404694924,4775
3300020492-bin.7,2555680,0.09072145182495461,0.11767178190371368,1559
3300020495-bin.7,5532598,0.0021720356331690824,0.002188807261224798,62
3300020497-bin.26,1115662,0.09747486245834312,0.10783333739009938,605
3300020497-bin.28,2077447,0.28928824658342667,0.3560580035230376,3808
3300020497-bin.30,1842193,0.4872790201678109,0.7150296439348102,6727
3300020497-bin.31,2429201,0.5127220843396656,0.8091543992233579,10178
3300020500-bin.11,1335224,0.5542687968460722,0.8846503118970678,6026
3300020500-bin.15,1886585,0.763746133887421,1.6116793365582416,15621
3300020502-bin.7,1668780,0.8345030501324321,2.070903224979217,17585
3300020508-bin.4,5675695,0.004749374305701768,0.005060778789624705,147
3300020509-bin.11,1732222,0.0022248880339817874,0.00518155595540739,47
3300020509-bin.3,3028046,0.004639955931977255,0.004661025007340907,73
3300020509-bin.4,2331221,0.2606960043685262,0.3133170834972688,3820
3300020509-bin.9,1690287,0.582846581675183,0.9574997266995782,8297
3300020510-bin.6,4630102,0.22421881850551026,0.2670041138057471,6331
3300020512-bin.21,2627940,0.0031663584404514563,0.004816907593127317,70
3300020513-bin.8,2366479,0.0007441435144786833,0.0008138408235861378,9
3300020516-bin.14,1185293,0.48256507040875124,0.7576329766741472,4583
3300020517-bin.16,4826932,0.10768765750170087,0.13411556355839066,3342
3300020518-bin.8,3501331,0.018460979553204197,0.0202680123986694,368
3300020519-bin.18,2530461,0.9977569304565452,9.94161155513482,128462
3300020519-bin.22,1656815,0.9958239151625257,7.202627557794921,61598
3300020520-bin.11,2293813,0.0018035471941261123,0.0018121846418090747,21
3300020521-bin.7,1576449,0.001141806680710889,0.002804846231663695,22
3300020522-bin.12,2422381,0.0008689797352274477,0.001005966888680765,13
3300020522-bin.7,2411729,0.035757334261021866,0.043173180233783956,529
3300020523-bin.14,1566836,0.8557321889463863,2.2742094832032995,18118
3300020523-bin.3,4818280,0.03754285761724101,0.03950549584189347,988
3300020524-bin.12,2228983,0.01632897155339453,0.030956375088454738,362
3300020525-bin.11,1614305,0.01853243346207811,0.019252157781707174,159
3300020528-bin.19,1077450,0.9984101350410692,16.060969303190873,89298
3300020533-bin.7,2370078,0.005996005194765742,0.01731477783482168,211
3300020534-bin.11,2328727,0.04326312186872914,0.04594770263387248,557
3300020534-bin.13,1337114,0.15122495164959757,0.22052211873573524,1508
3300020536-bin.4,2760056,0.004190856997104407,0.004314680814677419,63
3300020537-bin.19,4310370,0.05966309156754525,0.06483487472954753,1417
3300020538-bin.10,2226241,0.5289660912722387,0.825893726654241,9645
3300020538-bin.12,2107864,0.22103797967990343,0.2712272909658099,2998
3300020538-bin.15,1233688,0.0011226501352043629,0.001173114571211684,9
3300020539-bin.14,2892631,0.004271198089213592,0.004788790128784143,71
3300020539-bin.2,2652915,0.016988482480592104,0.018614627910741626,261
3300020539-bin.6,2963442,0.007616818550860789,0.007823233022876911,124
3300020540-bin.12,2304448,0.242512306634821,0.3109745584517899,3631
