genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9315840098755643,7.653917950538445,175562
3300020492-bin.7,2555680,0.08517459149815314,0.10805173893621443,1394
3300020495-bin.7,5532598,0.0205910496298484,0.021455196012447657,621
3300020497-bin.26,1115662,0.43116911752842707,0.5984526418194669,3453
3300020497-bin.28,2077447,0.5324771221600358,0.8048250317428988,8581
3300020497-bin.30,1842193,0.8619265190997903,2.2527597486376405,21180
3300020497-bin.31,2429201,0.0722624434947952,0.08176754552521175,1023
3300020500-bin.11,1335224,0.9234510464161818,3.101298904679604,21121
3300020500-bin.15,1886585,0.8436195559701789,2.1235479358432032,20519
3300020502-bin.7,1668780,0.9061140473879121,2.8374408907834474,24161
3300020508-bin.4,5675695,0.5474180695051443,0.8739479649765214,25418
3300020509-bin.11,1732222,0.0021827456296017486,0.008953237035882237,81
3300020509-bin.3,3028046,0.051977744063333255,0.06509251175570187,1036
3300020509-bin.4,2331221,0.977066095406656,5.938729869245002,71761
3300020509-bin.9,1690287,0.003921227578511815,0.010626656477028101,93
3300020510-bin.6,4630102,0.9922809475903555,12.885342828414336,304721
3300020512-bin.21,2627940,0.029182553635166707,0.03343908164649878,449
3300020513-bin.8,2366479,0.050409067648603686,0.07240671576493726,883
3300020516-bin.14,1185293,0.004549929848569088,0.011776798246286363,77
3300020516-bin.18,835254,0.0003148742777646081,0.0003167667074662319,1
3300020517-bin.16,4826932,0.1806787416934815,0.22014932072230037,5424
3300020518-bin.8,3501331,0.03532999307977452,0.05218518972553538,952
3300020519-bin.18,2530461,0.03387327447449299,0.035961147941315025,465
3300020519-bin.22,1656815,0.15356995198619036,0.18071447328854576,1520
3300020520-bin.11,2293813,0.6507574941810863,1.1942286723053022,14103
3300020521-bin.7,1576449,0.0014367734065612017,0.003910009010069466,32
3300020522-bin.12,2422381,0.1780384671114907,0.26822899611833484,3328
3300020522-bin.7,2411729,0.35175345156939275,0.5032081714026473,6208
3300020523-bin.14,1566836,0.9844176416676665,7.489096544904765,59638
3300020523-bin.3,4818280,0.1682372132794275,0.19363578363024755,4846
3300020524-bin.12,2228983,0.0063414570680889,0.007443186682399102,85
3300020525-bin.11,1614305,0.008200433003676505,0.00833646501330102,66
3300020528-bin.19,1077450,0.9537621235324145,4.051643982703697,22410
3300020533-bin.7,2370078,0.11826952530676206,0.13572427585689362,1641
3300020534-bin.11,2328727,0.7524012046066371,1.6135739779453317,19390
3300020534-bin.13,1337114,0.6491159317754507,1.4002715053649661,9561
3300020536-bin.4,2760056,0.017498558000272457,0.02503400014151644,360
3300020537-bin.19,4310370,0.09822474636748121,0.14142619005524257,3096
3300020538-bin.10,2226241,0.036030690298130344,0.03892313526083384,453
3300020538-bin.12,2107864,0.023983046344545948,0.028243926335625547,314
3300020538-bin.15,1233688,0.27844641432842016,0.349112578381671,2199
3300020539-bin.14,2892631,0.9167443064808474,2.9697452389151264,44042
3300020539-bin.2,2652915,0.9933405329609128,7.28188643014944,101236
3300020539-bin.6,2963442,0.6624371254777384,1.3349600755571878,20309
3300020540-bin.12,2304448,0.4322306252950815,0.6191045632416189,7237
3300020540-bin.20,900323,0.9926615225868938,8.138946388863888,37488
3300020540-bin.4,1192163,0.26099283403360113,0.3336253707368907,2019
3300020542-bin.8,4789593,0.15044201041716906,0.31494219505311083,7875
3300020543-bin.11,2546855,0.04692807403640961,0.05042154345209645,662
3300020544-bin.10,1670847,0.3688578307888155,0.5115273139416493,4356
3300020544-bin.2,1167181,0.004193008625054726,0.012731848314497066,81
3300020544-bin.4,1837905,0.017984607474270976,0.023772819971669922,225
3300020544-bin.7,6185992,0.8654472880016657,2.5421022873559993,80542
3300020546-bin.10,2648679,0.0053834383101916084,0.00607168570286558,82
3300020546-bin.16,2792585,0.9381870202697501,3.489443620071488,51018
3300020546-bin.23,1278754,0.7841914864000425,1.6923163170902702,10967
3300020547-bin.20,2389223,0.20981381813250585,0.264549430856418,3289
3300020547-bin.4,1279585,0.0064903855546915605,0.01083393360395433,74
3300020547-bin.9,3685659,0.00020430539016224778,0.000224063748036864,5
3300020548-bin.13,1400347,0.044211184799196196,0.06871352270523168,492
3300020548-bin.16,3959933,0.05452718518217354,0.08210679725528351,1698
3300020548-bin.2,4352364,0.0006522891927237703,0.0007468024569646978,18
3300020548-bin.6,836275,0.9996412663298556,46.03515943932796,198779
3300020549-bin.11,2823801,0.06466957126228087,0.07967183796369007,1179
3300020551-bin.8,3712937,0.7319057662438119,2.401342822197826,46580
3300020552-bin.15,1237357,0.18853653391866695,0.22318751786611885,1391
3300020553-bin.6,3312638,0.0045975443136255754,0.014336616492321833,249
3300020555-bin.16,4405293,0.08506948346001049,0.09303671255286539,2108
3300020555-bin.7,5011034,0.1278269115715439,0.2130066193445734,5471
3300020556-bin.9,1216607,0.5013443125019008,1.2584002859459789,7895
3300020557-bin.14,1790125,0.002938900914740591,0.00673530369416996,64
3300020557-bin.24,1191111,0.9973176303467939,13.684305496011042,85513
3300020557-bin.7,1997574,0.1965263865068328,0.23310938818689803,2372
3300020558-bin.18,831182,0.5027262380561658,3.318330951891277,14423
3300020558-bin.22,1903551,0.8417363128174659,2.2051705511620647,21315
3300020558-bin.31,2346779,0.06480840334773748,0.07050328953785635,879
3300020560-bin.28,1013543,0.8765212724077814,2.8816852882840696,14833
3300020560-bin.30,1063131,0.8089689793637849,1.919160108758112,10389
3300020562-bin.12,1753974,0.14934942023085862,0.18096593218728724,1626
3300020562-bin.13,1336106,0.28203151546359345,0.35263006518678164,2441
3300020562-bin.20,2423354,0.3224803309792956,0.4134764119011355,5258
3300020562-bin.25,2270258,0.04483411136531619,0.050988203529071296,594
3300020562-bin.31,2425552,0.24973490570393872,0.30326412645341366,3783
3300020562-bin.36,3656038,0.0004379057329272836,0.0005012154466590336,9
3300020562-bin.39,2066301,0.37665374018596515,0.5297799992730281,5590
3300020562-bin.44,1976431,0.09648401588519913,0.10918180155377447,1092
3300020562-bin.5,2248693,0.05747738797603764,0.06390029147830427,745
3300020563-bin.20,2115286,0.28304730424160135,0.3496619414048263,3845
3300020564-bin.6,4099214,0.5472707694694642,0.9043542121494246,19123
3300020566-bin.10,3811262,0.009778125985565937,0.039940439610309686,783
3300020566-bin.16,1947691,0.026931376691682614,0.03063407711263132,312
3300020566-bin.3,1470926,0.00015976330556397806,0.00027164825790012545,2
3300020568-bin.14,1134331,0.9885571319129954,6.745828108278008,39181
3300020568-bin.25,1889639,0.001123495016773045,0.003459681649250783,34
3300020568-bin.4,994173,0.9826157016937695,6.909411878416335,34961
3300020569-bin.10,2480291,0.0015683643572467908,0.002332659073919552,34
3300020569-bin.8,1917646,0.005633990840853838,0.006680394922767811,63
3300020570-bin.4,1660798,0.0037885402077796337,0.01210768713115382,106
3300020572-bin.32,1326201,0.2671027996510333,0.32594309948820727,2224
3300020572-bin.37,2938332,0.03413024804548975,0.036838804736421205,549
3300020573-bin.11,1457006,0.6026282664587517,1.2954786617250993,9626
3300020573-bin.18,3479868,0.5257343094623129,0.8446535400750159,14801
