genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9060348167704382,4.516927298043426,103881
3300020492-bin.7,2555680,0.04134203030113316,0.06028487005294522,816
3300020495-bin.7,5532598,0.11098601416549693,0.12279809755083695,3623
3300020497-bin.26,1115662,0.8277336684408002,2.0489554077547676,12266
3300020497-bin.28,2077447,0.9296564485158948,3.067345581693443,33825
3300020497-bin.30,1842193,0.8865417467116637,2.5508119112377483,24821
3300020497-bin.31,2429201,0.4706028854755123,0.7059587726457502,9062
3300020500-bin.11,1335224,0.9795674733228282,4.986862028534316,35186
3300020500-bin.15,1886585,0.9847369718300527,5.763183308289367,57769
3300020502-bin.7,1668780,0.99253346756313,8.412508935520977,74389
3300020508-bin.4,5675695,0.209853242642531,0.24552838446236563,7385
3300020509-bin.11,1732222,0.0035157156530744903,0.019593403224436586,179
3300020509-bin.3,3028046,0.07960116854235372,0.18297457773509573,3000
3300020509-bin.4,2331221,0.9699359262806916,4.546904722624969,56213
3300020509-bin.9,1690287,0.04744756363860102,0.06565744459136875,598
3300020510-bin.6,4630102,0.05973302531996055,0.06343939364727012,1547
3300020512-bin.21,2627940,0.009201503839509273,0.019430641211352243,283
3300020513-bin.8,2366479,0.13649899280745784,0.44503779984132724,5676
3300020516-bin.14,1185293,0.007613307426940006,0.02651185637866005,177
3300020517-bin.16,4826932,0.32870651585727745,0.4620442346690313,11429
3300020518-bin.8,3501331,0.0021186228894097704,0.00215543972538289,42
3300020519-bin.18,2530461,0.00743500887782898,0.007587016627708983,98
3300020519-bin.22,1656815,0.5376019652163941,0.8630179570177661,7420
3300020520-bin.11,2293813,0.9878215878975313,8.092014430612911,98296
3300020521-bin.7,1576449,0.0037019909936826375,0.011489266065289333,105
3300020522-bin.12,2422381,0.5538843806981644,0.847550224843375,10721
3300020522-bin.7,2411729,0.9611378392845963,3.813085477944746,48919
3300020523-bin.14,1566836,0.9750401445971372,7.961823289236588,65923
3300020523-bin.3,4818280,0.01402907261512407,0.014473660512337892,374
3300020524-bin.12,2228983,0.20242101442675875,0.2456292451639735,2828
3300020525-bin.11,1614305,0.015323002778285391,0.016521253911828928,146
3300020528-bin.19,1077450,0.997752099865423,11.558963007946076,65383
3300020533-bin.7,2370078,0.00520700162610682,0.021546573353189134,266
3300020534-bin.11,2328727,0.8564550503343672,2.420575446464912,29565
3300020534-bin.13,1337114,0.7294299513728822,2.0720095570874664,14517
3300020536-bin.4,2760056,0.024573052140971052,0.048092390795031505,737
3300020537-bin.19,4310370,0.004827891805111858,0.005055527238932852,115
3300020538-bin.10,2226241,0.04624252270980545,0.06241195771443065,750
3300020538-bin.12,2107864,0.0656849777784525,0.08717744668284624,991
3300020538-bin.15,1233688,0.4064017806771242,0.5511576489772819,3616
3300020539-bin.14,2892631,0.05794171465354551,0.06386404343287404,982
3300020539-bin.2,2652915,0.010488085747187528,0.013362775275040437,194
3300020539-bin.6,2963442,0.8988007863828615,4.539599750126245,71067
3300020540-bin.12,2304448,0.9462986363762602,4.217211691913165,51129
3300020540-bin.20,900323,0.9959458994160985,9.82911263612326,46239
3300020540-bin.4,1192163,0.6415163027203494,1.4255739421919824,9050
3300020542-bin.8,4789593,0.7584287433191087,2.594152806535717,64646
3300020543-bin.11,2546855,0.002362521619801677,0.0033250710224081853,48
3300020544-bin.10,1670847,0.8062222333942006,2.270230047007838,19726
3300020544-bin.2,1167181,0.0038083210744520343,0.026122213318297675,185
3300020544-bin.4,1837905,0.001341745084756829,0.002263317413428333,22
3300020544-bin.7,6185992,0.006945207817921523,0.007190073584281517,231
3300020546-bin.10,2648679,0.014398875816963853,0.017674927131401872,248
3300020546-bin.16,2792585,0.036101676403762106,0.05242626421789003,781
3300020546-bin.23,1278754,0.9879218364126329,6.585117051679444,43670
