genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9613217577783585,3.9301397380976053,91155
3300020492-bin.7,2555680,0.005949884179552996,0.006889011603048071,89
3300020495-bin.7,5532598,0.002185591651517063,0.00232520835599776,69
3300020497-bin.26,1115662,0.01827704089589858,0.01888883594241133,110
3300020497-bin.28,2077447,0.02408966389996953,0.025887080363948642,287
3300020497-bin.30,1842193,0.3917184572951911,0.5294153778147456,5192
3300020497-bin.31,2429201,0.023185812948372738,0.025532801280956502,320
3300020500-bin.11,1335224,0.11915229204987328,0.13338511833767597,939
3300020500-bin.15,1886585,0.06742023285460236,0.07290828083757687,740
3300020502-bin.7,1668780,0.7008659020362181,1.296895334342669,11451
3300020508-bin.4,5675695,0.02472877770916161,0.028714281472761706,874
3300020509-bin.11,1732222,0.00789102089685964,0.009897101077719309,88
3300020509-bin.3,3028046,0.576981327232149,0.9803307194698301,15895
3300020509-bin.4,2331221,0.751695785170089,1.5332372633576956,19045
3300020509-bin.9,1690287,0.6491909362137909,1.1330026092878898,10162
3300020510-bin.6,4630102,0.20911008008030924,0.25008906547680193,6132
3300020512-bin.21,2627940,0.001532378973644756,0.0026786178707093778,39
3300020513-bin.8,2366479,0.01346895535519225,0.014672557268757805,194
3300020516-bin.14,1185293,0.3725576713943303,0.5503768864680665,3432
3300020516-bin.18,835254,0.0021251020647611385,0.0021376097903988488,10
3300020517-bin.16,4826932,0.1742833750299362,0.22768373216411197,5717
3300020518-bin.8,3501331,0.10228138956299762,0.15518808884937413,2921
3300020519-bin.18,2530461,0.5992497019317824,1.0375979085940108,13609
3300020519-bin.22,1656815,0.03247797732396194,0.03499943190829485,296
3300020520-bin.11,2293813,0.1876674340933633,0.21830680720259102,2642
3300020521-bin.7,1576449,0.007393832594647844,0.011142258386173609,91
3300020522-bin.12,2422381,0.014215765397763605,0.015194539930316579,198
3300020522-bin.7,2411729,0.04691115792860641,0.05179163617679016,674
3300020523-bin.14,1566836,0.6514938385383027,1.170930684417795,9663
3300020523-bin.3,4818280,0.20996891006749296,0.2458371244701873,6359
3300020524-bin.12,2228983,0.001659949851569079,0.0018951972573487553,24
3300020525-bin.11,1614305,0.019835161261347763,0.021346324179732458,184
3300020528-bin.19,1077450,0.9561900784259131,3.969091286726994,22443
3300020533-bin.7,2370078,0.027244672960130428,0.030923774567073736,392
3300020534-bin.11,2328727,0.1934975632609576,0.24381795202691056,3007
3300020534-bin.13,1337114,0.23370782147221553,0.32706019845832884,2284
3300020536-bin.4,2760056,0.18748786256510738,0.22256896695650533,3286
3300020537-bin.19,4310370,0.539794959597436,0.8520493129897226,19257
3300020538-bin.10,2226241,0.00234206449346679,0.0024923083866850893,30
3300020538-bin.12,2107864,0.01096987281911926,0.011829046025441586,132
3300020538-bin.15,1233688,0.004677033415255721,0.0047046255151222995,31
3300020539-bin.14,2892631,0.005601820626274143,0.006577690683186898,102
3300020539-bin.2,2652915,0.006875832810323738,0.008493139225574582,130
3300020539-bin.6,2963442,0.39193680861646696,0.5680803800308457,8922
3300020540-bin.12,2304448,0.3805119490654595,0.5351394645617275,6482
3300020540-bin.20,900323,0.7714853447040673,1.665114534790792,7852
3300020540-bin.4,1192163,0.06780113122115013,0.07345778568391155,469
3300020542-bin.8,4789593,0.07764960404777609,0.10816341099564804,2739
3300020543-bin.11,2546855,0.43686625269204565,0.6454638850144909,8456
3300020544-bin.10,1670847,0.19138496822270382,0.2390097770202818,2078
3300020544-bin.2,1167181,0.6867075457876713,1.2296646077944637,7635
3300020544-bin.4,1837905,0.03752424635658535,0.047937750733285475,475
3300020544-bin.7,6185992,0.24632815561352164,0.29852557653577716,9764
3300020546-bin.10,2648679,0.5194657412242103,0.7780795022012672,10847
3300020546-bin.16,2792585,0.5851044820479949,0.9559012062643825,14233
3300020546-bin.23,1278754,0.9174704438852195,2.911801083496435,19396
3300020547-bin.20,2389223,0.21432030413234762,0.2671104944249897,3432
3300020547-bin.4,1279585,0.9030427834024313,2.595310435632053,17214
3300020547-bin.9,3685659,0.002573216892827036,0.00358609464739185,70
3300020548-bin.13,1400347,0.7890365745061759,1.814790406929668,13086
3300020548-bin.16,3959933,0.30905346125805666,0.4447102085829062,9438
3300020548-bin.2,4352364,0.025266958370209845,0.02681369012074031,630
3300020548-bin.6,836275,0.9841009237392007,6.511251021036623,28606
3300020549-bin.11,2823801,0.4430446763068644,0.665256823510538,10067
3300020551-bin.8,3712937,0.14453113532494627,0.17797164600758894,3578
3300020552-bin.15,1237357,0.17628542126484112,0.20468097844992594,1298
3300020553-bin.6,3312638,0.0632000840417818,0.06925823699078738,1190
3300020555-bin.16,4405293,0.02438475715463194,0.04283735909561436,1009
3300020555-bin.7,5011034,0.6298113323517661,1.0885812288755679,28853
3300020556-bin.9,1216607,0.8743423307608784,2.540627006006395,16230
3300020557-bin.14,1790125,0.4545481460791844,0.6319124817900093,5993
3300020557-bin.24,1191111,0.9058828270413085,2.6773284538480437,17209
3300020557-bin.7,1997574,0.18551352790935405,0.21738284810223202,2250
3300020558-bin.18,831182,0.28423498102701933,0.5221612252843902,2275
3300020558-bin.22,1903551,0.24186796150983084,0.29833229764870295,2977
3300020558-bin.31,2346779,0.0410750224030469,0.04505987075364447,559
3300020560-bin.28,1013543,0.4911098986426822,0.7366348349467511,3894
3300020560-bin.30,1063131,0.17796960111218654,0.20399294570539106,1142
3300020562-bin.12,1753974,0.05266212612045561,0.06093468338271436,569
3300020562-bin.13,1336106,0.023134392031769934,0.026946432887097128,194
3300020562-bin.20,2423354,0.31243722543219027,0.39575424477669263,5116
3300020562-bin.25,2270258,0.007817173202340879,0.00901530655039718,112
3300020562-bin.31,2425552,0.0833768973000785,0.09132281752649785,1160
3300020562-bin.36,3656038,0.0014956080872244764,0.0016779643503850067,35
3300020562-bin.39,2066301,0.4053639813366978,0.5550235179978616,6022
3300020562-bin.44,1976431,0.009708914705345139,0.010308963152089096,107
3300020562-bin.5,2248693,0.0028505447386548543,0.0031502842154501752,39
3300020563-bin.20,2115286,0.011927937876958483,0.012462727503364702,138
3300020564-bin.6,4099214,0.3738877745831274,0.503939276179304,10934
