genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.4639005775763419,0.7309780022372876,16573
3300020492-bin.7,2555680,0.010553355662680773,0.012345775846962807,164
3300020495-bin.7,5532598,0.0018517521063341309,0.0018789827000826379,54
3300020497-bin.26,1115662,0.027521776308595255,0.028450166377629964,171
3300020497-bin.28,2077447,0.06297585449833377,0.06972077446791126,753
3300020497-bin.30,1842193,0.605513645964348,1.0225241609191817,9596
3300020497-bin.31,2429201,0.00312983569494661,0.0034650007602758685,42
3300020500-bin.11,1335224,0.007657891110405445,0.009620789709338808,72
3300020500-bin.15,1886585,0.04971204583944005,0.05385374508145142,522
3300020502-bin.7,1668780,0.980220879924256,5.488518096202557,46566
3300020508-bin.4,5675695,0.009957899429056706,0.015239418567716108,442
3300020509-bin.11,1732222,0.8465704742232808,2.27420485229145,20153
3300020509-bin.3,3028046,0.8852071599969089,3.400358927537597,53614
3300020509-bin.4,2331221,0.927947629160856,3.216987062609422,38946
3300020509-bin.9,1690287,0.9628991999583503,4.592094067282006,39580
3300020510-bin.6,4630102,0.019258754990710787,0.02522321650208984,592
3300020512-bin.21,2627940,0.0011541359391766936,0.0015201061149101578,21
3300020513-bin.8,2366479,0.0025535827700140165,0.004624037471912745,58
3300020516-bin.14,1185293,0.7274091722468622,1.4454362903629145,8655
3300020516-bin.18,835254,0.1288709781695149,0.14792444875460997,677
3300020517-bin.16,4826932,0.11881605127231956,0.15050146315934268,3708
3300020518-bin.8,3501331,0.3289663273766462,0.5328499537553899,9733
3300020519-bin.18,2530461,0.1640448123879404,0.18966156824547636,2422
3300020519-bin.22,1656815,0.0012560243599919123,0.0014981332238197989,13
3300020520-bin.11,2293813,0.003638047216577812,0.005290470804096847,64
3300020521-bin.7,1576449,0.8876411479216898,2.561328860405695,20650
3300020522-bin.12,2422381,0.028428641076692726,0.03182382840503335,401
3300020522-bin.7,2411729,0.05542745474304949,0.06108605999713735,764
3300020523-bin.14,1566836,0.8967294598796556,2.9390683753871505,23335
3300020523-bin.3,4818280,0.8997048739384178,3.4772436909569344,87034
3300020524-bin.12,2228983,0.0009955212758464287,0.001165304904009138,14
3300020525-bin.11,1614305,0.008481049120209626,0.009533586159884283,85
3300020528-bin.19,1077450,0.9123745881479419,3.0850768479006905,16969
3300020533-bin.7,2370078,0.5137594627687359,0.7891123469842387,9520
3300020534-bin.11,2328727,0.12476258488006538,0.14261229895394678,1742
3300020534-bin.13,1337114,0.09521028124752265,0.11545063087442808,785
3300020536-bin.4,2760056,0.2820355818867443,0.36474674421169695,5203
3300020537-bin.19,4310370,0.07398204794484001,0.08392555587413686,1839
3300020538-bin.10,2226241,0.0013138739247008748,0.0024108955615564087,27
3300020538-bin.12,2107864,0.01936225487033319,0.02134707474442498,232
3300020538-bin.15,1233688,0.00011915492409750277,0.0001220564220126969,1
3300020539-bin.14,2892631,0.01334840150714004,0.016841478388632914,259
3300020539-bin.2,2652915,0.012398814134640574,0.015068554496529133,208
3300020539-bin.6,2963442,0.11252624481936883,0.13578805587755388,2088
3300020540-bin.12,2304448,0.5834516552337046,1.0391063599674903,12137
3300020540-bin.20,900323,0.5336606973275146,0.8546139868244949,3920
3300020540-bin.4,1192163,0.03854590353835843,0.04124079135295677,250
3300020542-bin.8,4789593,0.22756484736803315,0.29716067398787616,7281
3300020543-bin.11,2546855,0.17675800153522678,0.20870579225990185,2677
3300020544-bin.10,1670847,0.3991251143880918,0.5566326446313493,4691
3300020544-bin.2,1167181,0.876854575254395,2.434528693313204,14459
3300020544-bin.4,1837905,0.24517426091120054,0.3414501701174378,3207
3300020544-bin.7,6185992,0.09992641438915537,0.11109058274195176,3530
3300020546-bin.10,2648679,0.787045919871755,1.731943617633435,23419
3300020546-bin.16,2792585,0.5553904357432271,0.8767147446917752,12955
3300020546-bin.23,1278754,0.7778094926780288,1.7220872573350847,11152
3300020547-bin.20,2389223,0.1975604621251344,0.2692564735757411,3351
3300020547-bin.4,1279585,0.8014817304047797,1.8215567349652038,11833
3300020547-bin.9,3685659,0.01345892281407477,0.014639366066947653,282
3300020548-bin.13,1400347,0.24043469225841882,0.3071751789130488,2167
3300020548-bin.16,3959933,0.15881076775793934,0.2538652750813055,5270
3300020548-bin.2,4352364,0.03040439632346927,0.031828878215639254,713
3300020548-bin.6,836275,0.9985112552689008,19.89955520779408,86482
3300020549-bin.11,2823801,0.468330098332,0.8333106739333781,12422
3300020551-bin.8,3712937,0.11028035218480679,0.1601962045674793,3159
3300020552-bin.15,1237357,0.02743347312053029,0.029740049535890614,190
3300020553-bin.6,3312638,0.0324714019461227,0.03782214689371583,645
3300020555-bin.16,4405293,0.9726528973214722,5.430908616976353,122286
3300020555-bin.7,5011034,0.09255814269071014,0.11285681780360285,2874
3300020556-bin.9,1216607,0.8366308923095133,2.1119499018376517,12985
3300020557-bin.14,1790125,0.7223132462816843,1.4394948080549634,13290
3300020557-bin.24,1191111,0.9968743467233533,12.410784794157466,77511
3300020557-bin.7,1997574,0.24451309438348717,0.2966113146074103,3006
3300020558-bin.18,831182,0.9628673383206084,5.42187681488651,23487
3300020558-bin.22,1903551,0.8444864361396148,2.262428948552153,21831
3300020558-bin.31,2346779,0.011782958685074308,0.013490440835588357,172
3300020560-bin.28,1013543,0.47659448094456774,0.7147712072949914,3692
3300020560-bin.30,1063131,0.05823271073837561,0.06295288338846579,340
3300020562-bin.12,1753974,0.06606084240701401,0.08242645748268103,747
3300020562-bin.13,1336106,0.03443289679112286,0.03787214768513799,267
3300020562-bin.20,2423354,0.08745193644840993,0.09475659270751775,1209
3300020562-bin.25,2270258,0.009050953680154414,0.01120305640419503,135
3300020562-bin.31,2425552,0.40516468003984246,0.5770689472599957,7158
3300020562-bin.36,3656038,0.00039961291430778344,0.0004054573010619693,7
3300020562-bin.39,2066301,0.0889057305784588,0.09706264923479829,1020
3300020562-bin.44,1976431,0.0020385229739869493,0.002244608816067446,23
3300020562-bin.5,2248693,0.008079359877048579,0.009602455020332789,113
3300020563-bin.20,2115286,0.8901236050349692,2.756165702742087,30218
3300020564-bin.6,4099214,0.5475020333166309,0.8961774582121081,18987
3300020566-bin.10,3811262,0.8509666876745813,2.2042705782816787,42415
3300020566-bin.16,1947691,0.7262122174410622,1.43393611915985,14521
3300020566-bin.3,1470926,0.29283934066023715,0.36975395127749894,2764
3300020568-bin.14,1134331,0.9851745213698647,6.8924107949521805,40282
3300020568-bin.25,1889639,0.3575513629852051,0.4704338693174411,4542
3300020568-bin.4,994173,0.8457371101407903,2.213762099578704,11235
3300020569-bin.10,2480291,0.003679003794312845,0.00505730764011227,66
3300020569-bin.8,1917646,0.004805370751431703,0.005167237248031701,50
3300020570-bin.4,1660798,0.027682475532846258,0.030608331408993165,256
3300020572-bin.32,1326201,0.03145526206057755,0.03229365306699625,220
3300020572-bin.37,2938332,0.01995792170523957,0.021434559033172696,319
3300020573-bin.11,1457006,0.0383560534410977,0.04559335274544922,342
3300020573-bin.18,3479868,0.8819986850075923,4.114596240267922,71885
3300020575-bin.17,979260,0.740088434123726,1.4915550005615263,7433
3300020575-bin.25,1872784,0.815504617724201,2.0540736066199843,19533
3300021108-bin.1,2974610,0.0034653282279021452,0.003881792231437499,61
3300021140-bin.2,1811203,0.0037080327274192897,0.003847022411654575,34
3300021140-bin.22,2658358,0.22439415609184316,0.26522411678292296,3579
3300021140-bin.31,1894949,0.3787125669345191,0.5143235370217301,4914
3300021140-bin.33,1172618,0.4653356847669062,0.6692761788492843,3979
3300021140-bin.34,1682713,0.4392822780830718,0.6415225483421951,5462
