genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.47624368135086187,1.5546083116316112,36773
3300020492-bin.7,2555680,0.5947634289112878,1.0026665810851125,13355
3300020495-bin.7,5532598,0.021472552316289743,0.022982701808679305,670
3300020497-bin.26,1115662,0.19527778126350095,0.2379632437699007,1382
3300020497-bin.28,2077447,0.841410635265304,2.177942627801047,23415
3300020497-bin.30,1842193,0.48321212815378195,0.7261607653066594,6848
3300020497-bin.31,2429201,0.11700966696456983,0.14260803004243042,1790
3300020500-bin.11,1335224,0.6740921373492388,1.2302872867574883,8424
3300020500-bin.15,1886585,0.2979908140900092,0.3820261958042522,3725
3300020502-bin.7,1668780,0.9335119069020482,3.25849993719909,27813
3300020508-bin.4,5675695,0.002193563960008422,0.002697014978307538,78
3300020509-bin.11,1732222,0.0022173832222428763,0.015856817790809663,143
3300020509-bin.3,3028046,0.015985886608063417,0.01651811413413459,266
3300020509-bin.4,2331221,0.09890739659603272,0.10740138274538964,1305
3300020509-bin.9,1690287,0.1392923213631768,0.16267597077271612,1412
3300020510-bin.6,4630102,0.5283248619576847,0.8139506132230632,19321
3300020512-bin.21,2627940,0.006812560408532919,0.010885969918858119,159
3300020513-bin.8,2366479,0.020762914016984726,0.024649564702292178,301
3300020516-bin.14,1185293,0.018279024679973645,0.04819549085850502,315
3300020516-bin.18,835254,0.0011062503142756574,0.0011111359925452615,4
3300020517-bin.16,4826932,0.022622237064868534,0.030819295606370298,781
3300020518-bin.8,3501331,0.012081120008362534,0.012686150857252774,232
3300020519-bin.18,2530461,0.002296814691078029,0.003000423118272678,39
3300020519-bin.22,1656815,0.012310970144524282,0.017085087926213247,151
3300020520-bin.11,2293813,0.012956592363893656,0.017404852235042567,213
3300020521-bin.7,1576449,0.002153574267229704,0.0037598591390822036,32
3300020522-bin.12,2422381,0.035180262724980094,0.0399889219240742,499
3300020522-bin.7,2411729,0.6877895484940472,1.5736987925969377,19567
3300020523-bin.14,1566836,0.978519130272728,5.871047778751507,46996
3300020523-bin.3,4818280,0.2244307097138398,0.2695670942427626,6747
3300020524-bin.12,2228983,0.8899574379885355,2.4986872226641235,28689
3300020525-bin.11,1614305,0.014787168471881088,0.01596562760119556,133
3300020528-bin.19,1077450,0.9919959162838182,8.797102695144641,49578
3300020533-bin.7,2370078,0.17741188264690022,0.22010934022673628,2696
3300020534-bin.11,2328727,0.06710876800930293,0.07226730421330106,869
3300020534-bin.13,1337114,0.3501174918518541,0.6928012703266813,4834
3300020536-bin.4,2760056,0.10597103826878874,0.11762228529244631,1692
