genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.09502775249817537,0.1623442484433196,3910
3300020492-bin.7,2555680,0.2235745476742002,0.27314098474375786,3628
3300020495-bin.7,5532598,0.21597014639415335,0.25815128710519236,7406
3300020497-bin.26,1115662,0.021553122719963572,0.021877765293225902,126
3300020497-bin.28,2077447,0.2949707020203163,0.3668630764285053,3946
3300020497-bin.30,1842193,0.13852728785746118,0.15840582487712151,1522
3300020497-bin.31,2429201,0.2506840726642217,0.3026724458866196,3897
3300020500-bin.11,1335224,0.04070777637310294,0.043234680588078854,296
3300020500-bin.15,1886585,0.028970335288364957,0.030936976106969955,299
3300020502-bin.7,1668780,0.763902371792567,1.6169614739530185,13839
3300020508-bin.4,5675695,0.004791659876015184,0.006014999935113323,183
3300020509-bin.11,1732222,0.0016885826412549893,0.0029221634230981943,28
3300020509-bin.3,3028046,0.22089558745144558,0.27379758467567217,4312
3300020509-bin.4,2331221,0.16646812979121242,0.18996577849906304,2285
3300020509-bin.9,1690287,0.10285472230455538,0.11360076959616738,988
3300020510-bin.6,4630102,0.36149419602419125,0.47807125688761354,11324
3300020512-bin.21,2627940,0.003244366309733099,0.005007394446921544,74
3300020513-bin.8,2366479,0.9827304615844891,5.588325031019753,67944
3300020516-bin.14,1185293,0.17441088405989066,0.22089092119122694,1334
3300020516-bin.18,835254,0.011115181729150653,0.01228790944306666,58
3300020517-bin.16,4826932,0.044069814946636914,0.052821166668215784,1354
3300020518-bin.8,3501331,0.0666318037340657,0.07860641996626241,1435
3300020519-bin.18,2530461,0.23369378148882752,0.3044407214723319,4019
3300020519-bin.22,1656815,0.002569991218090131,0.003677412728381262,38
3300020520-bin.11,2293813,0.03957994832185536,0.07544141184061737,914
3300020521-bin.7,1576449,0.0010485591351194995,0.002131987778350584,18
3300020522-bin.12,2422381,0.0024888735504447895,0.004700902962626853,62
3300020522-bin.7,2411729,0.09085597925803438,0.10259219818206362,1287
3300020523-bin.14,1566836,0.8588722750817571,2.414171933286431,19342
3300020523-bin.3,4818280,0.8598321392696149,2.2532594978377283,57172
3300020524-bin.12,2228983,0.0028017261683915937,0.0036277378299242303,44
3300020525-bin.11,1614305,0.04010456512245208,0.042821776286136155,370
3300020528-bin.19,1077450,0.9905443408046777,7.514154589557564,42702
3300020533-bin.7,2370078,0.7481994263479936,1.5204449298121723,18683
3300020534-bin.11,2328727,0.04593754441804471,0.04907810845634801,598
3300020534-bin.13,1337114,0.1150036571302073,0.14829878924641426,1056
3300020536-bin.4,2760056,0.2836598242934201,0.3631359103634779,5207
3300020537-bin.19,4310370,0.005922229414180222,0.0066543733925275555,144
3300020538-bin.10,2226241,0.0017410513956036206,0.003081031278613592,42
3300020538-bin.12,2107864,0.12105904365746557,0.13644834044976825,1555
3300020538-bin.15,1233688,0.0008551594892711934,0.0008257272912186875,6
3300020539-bin.14,2892631,0.037570640707369866,0.042309252574537486,632
3300020539-bin.2,2652915,0.012085196849503281,0.014558419661934902,213
3300020539-bin.6,2963442,0.19838451368375018,0.2403353606169834,3656
3300020540-bin.12,2304448,0.2772169300413808,0.34878246249132633,4080
3300020540-bin.20,900323,0.8581175866883329,2.322241565195158,10997
