genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.833773799118768,2.4071201453100985,57544
3300020492-bin.7,2555680,0.005402867338633945,0.009735994709734356,131
3300020495-bin.7,5532598,0.0014595313087992295,0.0015568092002341753,45
3300020497-bin.26,1115662,0.012305698320817595,0.01314936016398425,82
3300020497-bin.28,2077447,0.016573708017581193,0.017742856002408384,201
3300020497-bin.30,1842193,0.32299547332988454,0.4062027246890037,4039
3300020497-bin.31,2429201,0.0053453789949864175,0.0076476394773944195,97
3300020500-bin.11,1335224,0.058678543824856357,0.06408477404970406,470
3300020500-bin.15,1886585,0.12454090327231479,0.13678218012658114,1378
3300020502-bin.7,1668780,0.7781193446709572,1.6767391253894448,14955
3300020508-bin.4,5675695,0.014616183568708325,0.032542818156565345,1011
3300020509-bin.11,1732222,0.0023322645711692843,0.0029528296712525294,30
3300020509-bin.3,3028046,0.8641916272077769,5.164500751191779,85101
3300020509-bin.4,2331221,0.7613194973792703,1.605556380387548,19958
3300020509-bin.9,1690287,0.10579327652641238,0.11695917152503689,1066
3300020510-bin.6,4630102,0.3388333561550048,0.45900678606735146,11323
3300020512-bin.21,2627940,0.0035122567486320084,0.006070597246322785,91
3300020513-bin.8,2366479,0.045738415595490176,0.06397085761269226,821
3300020516-bin.14,1185293,0.45430286013669197,0.8840443682353413,5484
3300020516-bin.18,835254,0.00021550330797577742,0.00021664385152731983,1
3300020517-bin.16,4826932,0.23466230723780654,0.3587494824913158,9219
3300020518-bin.8,3501331,0.09861021422995998,0.19143283418127388,3635
3300020519-bin.18,2530461,0.06680679923539624,0.0713109106203656,956
3300020519-bin.22,1656815,0.002589305384125566,0.0036559741581781904,32
3300020520-bin.11,2293813,0.5833261037408018,0.9579927682276843,11779
3300020521-bin.7,1576449,0.003456502557329796,0.004227235282907535,36
3300020522-bin.12,2422381,0.10264487708580937,0.1318298288602152,1691
3300020522-bin.7,2411729,0.1151211433788788,0.13472782500725367,1738
3300020523-bin.14,1566836,0.4607629643434284,0.6731365192920775,5674
3300020523-bin.3,4818280,0.04590164955129216,0.04987537643479271,1317
3300020524-bin.12,2228983,0.0027205232161932147,0.003943562473954265,52
3300020525-bin.11,1614305,0.012766484648192257,0.01379678585860726,116
3300020528-bin.19,1077450,0.9882973687874147,7.0193461362525404,40265
3300020533-bin.7,2370078,0.030788016259380494,0.03947575366694344,505
3300020534-bin.11,2328727,0.3213068771049591,0.6675414158781804,8275
3300020534-bin.13,1337114,0.24131674636568012,0.4165607676411069,2940
3300020536-bin.4,2760056,0.30534670311037165,0.41927762462096335,6203
3300020537-bin.19,4310370,0.903442395896408,3.0746319444830243,70505
3300020538-bin.10,2226241,0.002844256304685791,0.00428197920264832,53
3300020538-bin.12,2107864,0.004831431249833955,0.005662510468425858,65
3300020538-bin.15,1233688,0.000570646711324095,0.0005749828360541725,4
3300020539-bin.14,2892631,0.016780225338109148,0.020448958480253302,323
3300020539-bin.2,2652915,0.009294681510715571,0.010106919015640495,153
3300020539-bin.6,2963442,0.08038017953447377,0.11589559148560494,1831
3300020540-bin.12,2304448,0.07815016871719388,0.08553260350690696,1045
3300020540-bin.20,900323,0.8034816393672048,1.839619457930487,8830
3300020540-bin.4,1192163,0.0249571577041059,0.02676366544360209,168
3300020542-bin.8,4789593,0.07797155207133466,0.13600341212770495,3542
3300020543-bin.11,2546855,0.010350019926536846,0.012733040950537232,185
3300020544-bin.10,1670847,0.42981912766399316,0.6270860535251366,5526
3300020544-bin.2,1167181,0.2555721863190028,0.3122780087726532,1960
3300020544-bin.4,1837905,0.05880989496192676,0.12719445766092236,1269
3300020544-bin.7,6185992,0.01627224865470243,0.018288581487450904,617
3300020546-bin.10,2648679,0.7762896145588046,1.6665592861153684,23587
3300020546-bin.16,2792585,0.04629116034068793,0.05019254280935708,779
3300020546-bin.23,1278754,0.69634972793829,1.3095629540816285,8793
3300020547-bin.20,2389223,0.5884620230091541,1.0886227915512994,14115
3300020547-bin.4,1279585,0.9562201807617313,3.8976023577940877,25840
3300020547-bin.9,3685659,0.008017019480098402,0.014942748662969161,299
3300020548-bin.13,1400347,0.12781046412067867,0.16618441451955632,1206
3300020548-bin.16,3959933,0.1979465309135281,0.29595292206186175,6385
3300020548-bin.2,4352364,0.0017133217718003366,0.0020110635732751903,49
3300020548-bin.6,836275,0.9982434007951929,18.053082811348553,81686
3300020549-bin.11,2823801,0.9580583051001115,8.638345284032319,131769
3300020551-bin.8,3712937,0.16828860818268665,0.2493294038214866,5013
3300020552-bin.15,1237357,0.155154898707487,0.1822443914736896,1155
3300020553-bin.6,3312638,0.046829445294052655,0.061574368011894254,1088
3300020555-bin.16,4405293,0.11067254777378031,0.16108721591250727,3849
3300020555-bin.7,5011034,0.9525986053976085,3.9223805932858977,105170
3300020556-bin.9,1216607,0.21570482497634816,0.6276711127128275,4120
3300020557-bin.14,1790125,0.13736973675022693,0.1542360462329893,1478
3300020557-bin.24,1191111,0.788338786225633,1.7527514618375617,11563
3300020557-bin.7,1997574,0.1888185368852418,0.21961779035417725,2269
3300020558-bin.18,831182,0.42740097836574903,1.4404428729205407,6561
3300020558-bin.22,1903551,0.1405415457741873,0.16089066201873445,1635
3300020558-bin.31,2346779,0.04394747012820551,0.04995989691429062,653
3300020560-bin.28,1013543,0.11436909928833804,0.1331052526010825,701
3300020560-bin.30,1063131,0.5893779788191672,0.9655096381627949,5489
3300020562-bin.12,1753974,0.09521178763197174,0.11905182961982216,1127
3300020562-bin.13,1336106,0.007245682603027006,0.01344064287008688,101
3300020562-bin.20,2423354,0.31701889199844513,0.3981179850436263,5045
3300020562-bin.25,2270258,0.010156554893760973,0.011965135751030495,149
3300020562-bin.31,2425552,0.04699878625566469,0.05113251717410138,660
3300020562-bin.36,3656038,0.0002582030055486294,0.0002620762105853386,4
3300020562-bin.39,2066301,0.23813907073558016,0.2913790220626559,3238
3300020562-bin.44,1976431,0.0034941771303931175,0.0037463167611543236,39
3300020562-bin.5,2248693,0.002662880170837015,0.005864136009632262,71
3300020563-bin.20,2115286,0.004083608552224144,0.004818118682500806,55
3300020564-bin.6,4099214,0.35500830159147584,0.48435446523298514,10572
3300020566-bin.10,3811262,0.5037861474755606,0.7624312238106035,15297
3300020566-bin.16,1947691,0.006642224048886604,0.008424267886489697,94
3300020566-bin.3,1470926,0.09406183587753565,0.10550446073025693,823
3300020568-bin.14,1134331,0.9680349033923961,4.3259045392217095,26244
3300020568-bin.25,1889639,0.11610736230571024,0.1321026269805095,1317
3300020568-bin.4,994173,0.9189104914335835,3.2681249884849035,16998
3300020569-bin.10,2480291,0.03400891266387694,0.03904773366896181,501
3300020569-bin.8,1917646,0.0018955531938637266,0.002011887926750819,22
3300020570-bin.4,1660798,0.5685038156356161,0.9113418060786498,7772
3300020572-bin.32,1326201,0.007083390828388759,0.0073737412704395515,53
3300020572-bin.37,2938332,0.010805450166965476,0.012744084250427007,202
3300020573-bin.11,1457006,0.24371896889923583,0.4439343789156798,3459
3300020573-bin.18,3479868,0.9936420002138012,22.73631565819263,413270
3300020575-bin.17,979260,0.7785868921430468,1.9109531714772987,10041
3300020575-bin.25,1872784,0.12774244119983938,0.1475252758485346,1457
3300021108-bin.1,2974610,0.0017165275447873839,0.0023994208264635024,39
3300021140-bin.2,1811203,0.013877516766480621,0.0160718465220486,164
3300021140-bin.22,2658358,0.6486131664734396,1.1342233937495287,15941
3300021140-bin.31,1894949,0.02396951052508537,0.026390803359901762,274
3300021140-bin.33,1172618,0.3146557531949876,0.4542909966685996,2845
3300021140-bin.34,1682713,0.49656299083682126,0.7656281723301471,6815
3300021140-bin.57,1350024,0.44210028858746214,0.6117562827152112,4466
3300021141-bin.17,3723396,0.020683000142880315,0.02595156069295691,497
3300021141-bin.24,1339146,0.2157584012497517,0.3656126377883145,2577
