genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9780894927960642,26.997206923344347,626771
3300020492-bin.7,2555680,0.028095849245601955,0.034311895037956903,461
3300020495-bin.7,5532598,0.000643097510428193,0.0006503728855195335,20
3300020497-bin.26,1115662,0.3736902395169863,0.5228375878589485,3114
3300020497-bin.28,2077447,0.7201411155134162,1.3659705551038615,14878
3300020497-bin.30,1842193,0.5654738672875209,0.893351019024228,8625
3300020497-bin.31,2429201,0.05777578718269917,0.06982578030815685,895
3300020500-bin.11,1335224,0.551530679496474,0.8434085360606459,5898
3300020500-bin.15,1886585,0.8905440253155834,2.4693692585214118,24373
3300020502-bin.7,1668780,0.5773816800297223,0.9219134431757022,8047
3300020508-bin.4,5675695,0.01552091858353911,0.016326490871224068,481
3300020509-bin.11,1732222,0.0019373960150604252,0.005666076464560547,48
3300020509-bin.3,3028046,0.021410176727830424,0.022644230727545785,364
3300020509-bin.4,2331221,0.037345665640451935,0.03917493028469263,481
3300020509-bin.9,1690287,0.00517663568376258,0.007499824661867717,67
3300020510-bin.6,4630102,0.015236381401532838,0.015915292039344258,385
3300020512-bin.21,2627940,0.019637815170818206,0.02823271752916639,393
3300020513-bin.8,2366479,0.14498163727630797,0.28009162372958085,3501
3300020516-bin.14,1185293,0.019925874868070594,0.0242716909774098,157
3300020517-bin.16,4826932,0.17278159294558118,0.21161604616609483,5427
3300020518-bin.8,3501331,0.00386938567076349,0.003924539277028565,73
3300020519-bin.18,2530461,0.0013088524185909207,0.0014983300394379128,18
3300020519-bin.22,1656815,0.011188334243714597,0.013923216223058938,136
3300020520-bin.11,2293813,0.9490032535346168,3.724117864857164,44872
3300020521-bin.7,1576449,0.0009946404863081521,0.0016466880046281233,14
3300020522-bin.12,2422381,0.9993502260792171,11.900216596067752,150839
3300020522-bin.7,2411729,0.9989281548631708,12.66571746864158,160734
3300020523-bin.14,1566836,0.9345809006175503,3.6352124011306874,29638
3300020523-bin.3,4818280,0.0013450857982516583,0.0013571722689094446,34
3300020524-bin.12,2228983,0.036707323474427574,0.03999761361297641,476
3300020525-bin.11,1614305,0.000545126230792818,0.0005527287512193793,5
3300020528-bin.19,1077450,0.9212241867372036,3.251038543804446,18796
3300020533-bin.7,2370078,0.013738788343674766,0.02187920195729698,271
3300020534-bin.11,2328727,0.015654046180595665,0.01689793276593684,207
3300020534-bin.13,1337114,0.6708680037752951,1.3585574982486381,9618
3300020536-bin.4,2760056,0.0034539154278029143,0.004549789024295991,78
3300020537-bin.19,4310370,0.017221259427844943,0.018124606490690816,407
3300020538-bin.10,2226241,0.012335142511525033,0.014455825542171945,178
3300020538-bin.12,2107864,0.34304585115548253,0.46713067213524695,5328
3300020538-bin.15,1233688,0.4182005498959218,0.5742015307383711,3691
3300020539-bin.14,2892631,0.015418834963740623,0.016668422904449625,257
3300020539-bin.2,2652915,0.006701307806695654,0.007491132051240353,109
3300020539-bin.6,2963442,0.0552550041472045,0.059866754229600576,934
3300020540-bin.12,2304448,0.5232402727247479,0.816915058612675,9821
3300020540-bin.20,900323,0.9933468321924465,7.653620233536964,36763
3300020540-bin.4,1192163,0.7995358017318102,2.0097927957497177,12549
3300020542-bin.8,4789593,0.8523978968567892,12.793414182853352,322126
3300020543-bin.11,2546855,0.008055817861637195,0.008658442222128583,118
3300020544-bin.10,1670847,0.7690518641144282,2.307313752389789,20425
3300020544-bin.2,1167181,0.007914796419749808,0.0131160863766044,86
3300020544-bin.4,1837905,0.001432609411259015,0.002407940556713758,25
3300020544-bin.7,6185992,0.0031647308952226258,0.0034205491490036056,108
3300020546-bin.10,2648679,0.009334842009922682,0.010239941291459475,142
3300020546-bin.16,2792585,0.011454261911454799,0.014212843308439057,214
3300020546-bin.23,1278754,0.878964992484872,2.441644820680132,16306
3300020547-bin.20,2389223,0.019510945608676965,0.020130374741970006,257
3300020547-bin.4,1279585,0.06785012328215789,0.07601566831364466,516
3300020547-bin.9,3685659,0.0002064759653565346,0.00020902153451784336,5
3300020548-bin.13,1400347,0.006500531653940059,0.03126092437916002,234
3300020548-bin.16,3959933,0.003038940305303145,0.0031047018477407063,63
3300020548-bin.2,4352364,0.0002894978453088942,0.0002943814795933658,7
3300020548-bin.6,836275,0.9997680188933066,69.99433953924127,312682
3300020549-bin.11,2823801,0.033953525761907445,0.03583990775109047,541
3300020551-bin.8,3712937,0.0851851243368794,0.09384278463991043,1865
3300020552-bin.15,1237357,0.023706981897706158,0.028785007566961278,186
3300020553-bin.6,3312638,0.008155735700671187,0.011945701351563918,214
3300020555-bin.16,4405293,0.051566604082861234,0.057289656936782944,1324
3300020555-bin.7,5011034,0.02074102869786954,0.02157073973282952,564
3300020556-bin.9,1216607,0.7397055910413141,1.7648158415912192,11488
3300020557-bin.14,1790125,0.004706375253124782,0.005390768871847721,54
3300020557-bin.24,1191111,0.9834163230798809,5.847016269273564,37503
3300020557-bin.7,1997574,0.06680453389962024,0.07211650097416862,774
3300020558-bin.18,831182,0.4513427865377258,3.7212389198559768,16647
3300020558-bin.22,1903551,0.4007441880989792,0.5613830197429018,5578
3300020558-bin.31,2346779,0.20608331675032032,0.2523840526539431,3139
3300020560-bin.28,1013543,0.8607182921691532,2.3934535376338815,12597
3300020560-bin.30,1063131,0.9541081955093023,4.019870973982416,22494
3300020562-bin.12,1753974,0.43218200497840903,0.8876591953334538,8373
3300020562-bin.13,1336106,0.8403509901160536,2.0903874925894725,14856
3300020562-bin.20,2423354,0.5165378231987567,0.8473541690139695,10744
3300020562-bin.25,2270258,0.06155776127647166,0.091594706062122,1115
3300020562-bin.31,2425552,0.10755696023008371,0.12599764785834447,1656
3300020562-bin.36,3656038,0.0820817507914305,0.09009594241232187,1718
3300020562-bin.39,2066301,0.9569293147513358,4.74049258540227,51836
3300020562-bin.44,1976431,0.012735076509121744,0.013135557471201625,142
3300020562-bin.5,2248693,0.14688621345821773,0.16682351945730953,2011
3300020563-bin.20,2115286,0.005401633632520614,0.005989954252594873,65
3300020564-bin.6,4099214,0.01512167942439697,0.016094391087643534,347
3300020566-bin.10,3811262,0.008738312926269566,0.009135510257344543,184
3300020566-bin.16,1947691,0.006280256981215193,0.007391025549474736,82
3300020566-bin.3,1470926,0.009611632400270307,0.010398435955779422,83
3300020568-bin.14,1134331,0.9971313487862008,14.099498226018154,85022
3300020568-bin.25,1889639,0.01013315241694313,0.013533019079818952,141
3300020568-bin.4,994173,0.6891617454909759,1.3529365444076744,7004
3300020569-bin.10,2480291,0.002270298122276781,0.004043934785582417,56
3300020569-bin.8,1917646,0.002467608724446535,0.0026652037991704413,28
3300020570-bin.4,1660798,0.014093827184281291,0.01956287990583798,179
3300020572-bin.32,1326201,0.8285207144316736,1.981617814583687,13893
3300020572-bin.37,2938332,0.08387479699366851,0.094136817172847,1450
3300020573-bin.11,1457006,0.22124342658849724,0.3407216310294115,2665
3300020573-bin.18,3479868,0.4294013451084926,0.7316095648402022,13306
3300020575-bin.17,979260,0.8996527990523456,2.8471393103794727,14858
3300020575-bin.25,1872784,0.39789532588915755,0.5423820502380945,5278
3300021108-bin.1,2974610,0.019429773987178153,0.023152403889987926,372
3300021140-bin.2,1811203,0.079878401261482,0.11420056077907169,1093
3300021140-bin.22,2658358,0.5190294159025985,0.8031575254386323,11230
3300021140-bin.31,1894949,0.38626105504686403,0.537040346897046,5465
