genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.4810659031726151,0.7422031566692088,17136
3300020492-bin.7,2555680,0.009879953671821198,0.048011262435547555,654
3300020495-bin.7,5532598,0.2705723423245282,0.33604476306255054,9783
3300020497-bin.26,1115662,0.39079936396507187,0.5945143193970486,3557
3300020497-bin.28,2077447,0.940923161938668,3.3948946037495538,36678
3300020497-bin.30,1842193,0.9930045331840909,7.9936300366580495,77057
3300020497-bin.31,2429201,0.9354660236019992,4.264071061872189,53955
3300020500-bin.11,1335224,0.9861948257371048,5.9163988920555655,41177
3300020500-bin.15,1886585,0.20499579928813172,0.2430159263366025,2405
3300020502-bin.7,1668780,0.9391082107887199,3.436339204103224,30040
3300020508-bin.4,5675695,6.254740608859356e-05,6.55004036985779e-05,2
3300020509-bin.11,1732222,0.002292431339631987,0.016189544515268828,146
3300020509-bin.3,3028046,0.0018500379452623904,0.001938072308289983,32
3300020509-bin.4,2331221,0.004385684583314924,0.005199135242476796,64
3300020509-bin.9,1690287,0.07647872816864829,0.09370211983871975,847
3300020510-bin.6,4630102,0.002015938309782376,0.0020591613754768904,53
3300020512-bin.21,2627940,0.027210666910203428,0.06332684658029487,917
3300020513-bin.8,2366479,0.012891726484790273,0.02184663411354371,271
3300020516-bin.14,1185293,0.01566026290545882,0.04947769274021538,327
3300020516-bin.18,835254,0.0003376218491620513,0.0007298883040799567,3
3300020517-bin.16,4826932,0.0021228805377825916,0.002157620757763813,55
3300020518-bin.8,3501331,0.0014280283697828055,0.001480053606328993,29
3300020519-bin.18,2530461,0.0013906556947528533,0.001677553938350759,22
3300020519-bin.22,1656815,0.13963719546237813,0.16636564913502286,1453
3300020520-bin.11,2293813,0.012096888456033687,0.017814795425946276,218
3300020521-bin.7,1576449,0.0024060404110757784,0.0063848291540760296,58
3300020522-bin.12,2422381,0.0013573422182555097,0.002347177044627208,34
3300020522-bin.7,2411729,0.16643826897632363,0.25719925133591925,3249
3300020523-bin.14,1566836,0.9448934030109086,5.212177676334026,42608
3300020523-bin.3,4818280,0.04453643208779896,0.04689455347768542,1207
3300020524-bin.12,2228983,0.014965569499632791,0.019281590918875543,232
3300020525-bin.11,1614305,0.20842591703550445,0.2988223920966708,2545
3300020528-bin.19,1077450,0.9962411248781846,9.361966818457931,53312
3300020533-bin.7,2370078,0.004709127716471778,0.015387059068570314,192
3300020534-bin.11,2328727,0.001110048537248033,0.00118744572570443,16
3300020534-bin.13,1337114,0.4667096448021635,1.2951481590619276,9244
3300020536-bin.4,2760056,0.0013119299028715359,0.0017533071884983133,33
3300020537-bin.19,4310370,0.0011191614640970497,0.0011443976711196485,27
3300020538-bin.10,2226241,0.002696922750052667,0.012385752718111742,163
3300020538-bin.12,2107864,0.9317721636690033,12.886522335886422,144634
3300020538-bin.15,1233688,0.45700938973224997,0.670506103260177,4305
3300020539-bin.14,2892631,0.001089665429154289,0.002367171736543652,38
3300020539-bin.2,2652915,0.030348503438670293,0.06498900785591075,926
3300020539-bin.6,2963442,0.016159587398707313,0.016700702409415236,268
3300020540-bin.12,2304448,0.7524244417752104,1.655301484071417,19815
3300020540-bin.20,900323,0.9925337906506887,6.957620624738234,32995
3300020540-bin.4,1192163,0.9870646883018513,6.789334316053091,42668
