genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9227018588767447,13.599637475442687,314310
3300020492-bin.7,2555680,0.020841419896074628,0.025187820711888357,336
3300020495-bin.7,5532598,0.017352607219971523,0.018058984990886436,521
3300020497-bin.26,1115662,0.3041969700500689,0.41314619007365116,2444
3300020497-bin.28,2077447,0.7153125928122354,1.3833098571684912,15046
3300020497-bin.30,1842193,0.6836107834521139,1.271826134060958,12272
3300020497-bin.31,2429201,0.02378189371731693,0.031624914215502876,396
3300020500-bin.11,1335224,0.6667076086109897,1.2132345144098817,8449
3300020500-bin.15,1886585,0.9733354182292343,4.567837388761705,45141
3300020502-bin.7,1668780,0.6360586775968072,1.0953838700520204,9581
3300020508-bin.4,5675695,0.20461652713896714,0.23848621324862188,7089
3300020509-bin.11,1732222,0.002232970138931384,0.010109681578268205,90
3300020509-bin.3,3028046,0.019216682969809575,0.019830229609368224,319
3300020509-bin.4,2331221,0.7392739684482939,1.5337621617955088,18736
3300020509-bin.9,1690287,0.006221428668622547,0.009177400651719913,86
3300020510-bin.6,4630102,0.37597767824553324,0.5003935968859007,12001
3300020512-bin.21,2627940,0.006162241147058152,0.010011527552434606,144
3300020513-bin.8,2366479,0.10280336313992222,0.17466432040156848,2186
3300020516-bin.14,1185293,0.01407753188452138,0.0211948835350078,138
3300020516-bin.18,835254,0.00016881092458102565,0.00016992347224916013,1
3300020517-bin.16,4826932,0.7153077772796468,1.50013265472838,37472
3300020518-bin.8,3501331,0.009888239643724058,0.011907406936261801,227
3300020519-bin.18,2530461,0.028865491307710333,0.03003648804453199,395
3300020519-bin.22,1656815,0.034513811137634555,0.03820124830434087,329
3300020520-bin.11,2293813,0.8542998056075191,2.4015638011167253,28764
3300020521-bin.7,1576449,0.0015078191555832126,0.0021024886094142595,19
3300020522-bin.12,2422381,0.21749303680965132,0.3810016253479834,4790
3300020522-bin.7,2411729,0.7478423156167214,2.0256526132242745,25541
3300020523-bin.14,1566836,0.8826475776660735,2.7603067418634124,22603
3300020523-bin.3,4818280,0.01977157823953776,0.021117702084057305,550
3300020524-bin.12,2228983,0.003206843659193453,0.004131780092288277,49
3300020525-bin.11,1614305,0.004608794496702915,0.004677445304692732,40
3300020528-bin.19,1077450,0.9973465125991925,12.152972509598222,70085
3300020533-bin.7,2370078,0.007159258049735072,0.015921871320062883,205
3300020534-bin.11,2328727,0.9422645934882019,4.07212250660335,49343
3300020534-bin.13,1337114,0.9981003863544918,10.898221662209282,76155
3300020536-bin.4,2760056,0.0065614610718043405,0.007265773294287795,108
3300020537-bin.19,4310370,0.014462563538628934,0.01579667403555217,346
3300020538-bin.10,2226241,0.10272427827894644,0.11970183465642802,1436
3300020538-bin.12,2107864,0.04792149778164056,0.05304085487128797,607
3300020538-bin.15,1233688,0.06161930731270791,0.06671387659019458,429
3300020539-bin.14,2892631,0.3526336404470532,0.4672543232150935,7123
3300020539-bin.2,2652915,0.03648891879310117,0.039042742875734435,571
3300020539-bin.6,2963442,0.20499473247662683,0.24782437889586684,3829
3300020540-bin.12,2304448,0.4104683637903741,0.5687066042875653,6766
3300020540-bin.20,900323,0.9987682198499872,22.61828066166255,108746
3300020540-bin.4,1192163,0.46464954876136905,0.8429428334018803,5246
3300020542-bin.8,4789593,0.06140584387859261,0.3810979490868972,9844
3300020543-bin.11,2546855,0.005314790202033489,0.0065303088737736145,93
3300020544-bin.10,1670847,0.8783263817692464,3.04953994429047,27159
3300020544-bin.2,1167181,0.010030149565491557,0.01783749658270423,116
3300020544-bin.4,1837905,0.007041713255037665,0.007815979126511436,74
3300020544-bin.7,6185992,0.016594104874367764,0.017872455120254847,581
3300020546-bin.10,2648679,0.007439557605885802,0.008884573991884406,120
3300020546-bin.16,2792585,0.028160646855870098,0.030549627122647232,458
3300020546-bin.23,1278754,0.8877156982500153,2.6034478129465892,17260
3300020547-bin.20,2389223,0.02503115029446812,0.02662627572897945,336
3300020547-bin.4,1279585,0.045822669068487046,0.053235783180163886,371
3300020547-bin.9,3685659,0.0005304343131038438,0.00060991148102551,12
3300020548-bin.13,1400347,0.04711974960491935,0.06876921237685514,506
3300020548-bin.16,3959933,0.016440429673936403,0.02024965280237566,423
3300020548-bin.2,4352364,0.0007607360046172609,0.0008216213042669456,19
3300020548-bin.6,836275,0.999488206630594,47.71352727985652,214616
3300020549-bin.11,2823801,0.026165087412321195,0.027623368402877393,413
3300020551-bin.8,3712937,0.0690547671560277,0.07481617565051005,1462
3300020552-bin.15,1237357,0.06887987864456256,0.08053478100117832,516
3300020553-bin.6,3312638,0.006304643006570594,0.013987203647190248,254
3300020555-bin.16,4405293,0.009699241344446328,0.013190743059401695,301
3300020555-bin.7,5011034,0.01730760557601485,0.019713324846625097,510
3300020556-bin.9,1216607,0.5183193915537228,1.3877728679573194,9047
3300020557-bin.14,1790125,0.0045812443265135115,0.005689729135375574,55
3300020557-bin.24,1191111,0.9976626863491312,13.048286706946374,84315
3300020557-bin.7,1997574,0.4043199400873259,0.5554819927769883,5687
3300020558-bin.18,831182,0.4332540887555313,3.496946865277526,15831
3300020558-bin.22,1903551,0.7641119150471933,1.7423034180254222,17302
3300020558-bin.31,2346779,0.7668821819182803,1.59972437721785,20289
3300020560-bin.28,1013543,0.7665180461016454,2.0622957439081233,10757
3300020560-bin.30,1063131,0.9706809414832227,5.268557339804127,29156
3300020562-bin.12,1753974,0.7101855557722064,1.7977326659577062,16925
3300020562-bin.13,1336106,0.058435483412244235,0.07344267061467054,534
3300020562-bin.20,2423354,0.4108268952864501,0.5753638117390896,7299
3300020562-bin.25,2270258,0.07748414497383117,0.11035485157462854,1368
3300020562-bin.31,2425552,0.29967735179456056,0.3920820653262403,5040
3300020562-bin.36,3656038,0.00657651807776615,0.006888797489980658,132
3300020562-bin.39,2066301,0.9657194184196785,4.39289198221861,48080
3300020562-bin.44,1976431,0.15486500667111577,0.17845900036441908,1798
3300020562-bin.5,2248693,0.6059911246221694,1.018870296344005,12415
3300020563-bin.20,2115286,0.1905255364995561,0.22238940248682829,2527
3300020564-bin.6,4099214,0.033872591184553914,0.03718355258152566,804
3300020566-bin.10,3811262,0.0049715815916092886,0.006020865527892337,116
3300020566-bin.16,1947691,0.7529582464569585,1.5502563683905413,16187
3300020566-bin.3,1470926,0.0008158126241564837,0.0008417537969394789,6
3300020568-bin.14,1134331,0.9945430390247644,9.741851661522784,59222
3300020568-bin.25,1889639,0.0021945990742147045,0.0059736507796652695,63
3300020568-bin.4,994173,0.9402528533766256,4.049410838039757,20769
3300020569-bin.10,2480291,0.003392747060727955,0.005380019835724518,75
3300020569-bin.8,1917646,0.003007854421514711,0.003375698466405687,31
3300020570-bin.4,1660798,0.03462251279204334,0.04357761983685917,378
3300020572-bin.32,1326201,0.0587475050916113,0.0637530263823749,447
3300020572-bin.37,2938332,0.058129237948604855,0.06375272713765287,973
3300020573-bin.11,1457006,0.39520358872921596,0.8431862165233089,6478
3300020573-bin.18,3479868,0.4732323180074646,0.757324412020704,13434
3300020575-bin.17,979260,0.9440393766721811,4.047434390861365,21234
3300020575-bin.25,1872784,0.7639370050149937,1.736128274290986,16953
3300021108-bin.1,2974610,0.0036707333062149326,0.004851250394921285,85
3300021140-bin.2,1811203,0.046768363347454704,0.06151710036643657,591
3300021140-bin.22,2658358,0.32406244757101943,0.5260563479533092,7343
3300021140-bin.31,1894949,0.7464032013526486,1.5590662577448182,15732
3300021140-bin.33,1172618,0.9713649287321191,4.906887741119529,30324
3300021140-bin.34,1682713,0.9617540246019375,4.9047057596527734,44093
3300021140-bin.57,1350024,0.5596530135760549,0.9217010016430376,6539
3300021141-bin.17,3723396,0.01905008223675376,0.02191202921174486,421
3300021141-bin.24,1339146,0.8592573177233849,2.660820552137629,18523
3300021141-bin.35,1078250,0.9905763969394853,7.362621643296451,41826
3300021141-bin.52,5723746,0.20392414338441991,0.2395004739472695,7173
3300021141-bin.54,2721258,0.04619664875583278,0.05084538513508387,753
