genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.023477442084681163,0.04008226593303394,946
3300020492-bin.7,2555680,0.04360913729418393,0.046547938660666054,614
3300020495-bin.7,5532598,0.07146949769348866,0.07706655679669462,2204
3300020497-bin.26,1115662,0.6386468303124064,1.1565525419369393,6691
3300020497-bin.28,2077447,0.5150663290086341,0.7817665136273372,8381
3300020497-bin.30,1842193,0.9648163900307948,4.570216340078807,43231
3300020497-bin.31,2429201,0.0015581254906448664,0.0016184669521735748,20
3300020500-bin.11,1335224,0.05997495551308245,0.06586415421005988,454
3300020500-bin.15,1886585,0.01353503817744761,0.014396692110601109,143
3300020502-bin.7,1668780,0.9911797840338451,7.726388488906989,66087
3300020508-bin.4,5675695,0.0009329253950397264,0.0011458649605449026,34
3300020509-bin.11,1732222,0.0032212961156249027,0.008367968922308745,77
3300020509-bin.3,3028046,0.00501775732601156,0.005118506397856109,81
3300020509-bin.4,2331221,0.014725759591218508,0.01580017145784076,192
3300020509-bin.9,1690287,0.04573779482419258,0.0716083742811002,635
3300020510-bin.6,4630102,0.017509981421575595,0.018385440771272896,426
3300020512-bin.21,2627940,0.017791121562897173,0.019746992735699825,266
3300020513-bin.8,2366479,0.043530494037766654,0.049931330762479215,615
3300020516-bin.14,1185293,0.008852663434273213,0.009881682198536901,63
3300020516-bin.18,835254,0.0024363846207261504,0.003311789516103246,14
3300020517-bin.16,4826932,0.025907139358913697,0.027266626794657457,663
3300020518-bin.8,3501331,0.01035320568092534,0.011742354762764386,213
3300020519-bin.18,2530461,0.0010666040693770818,0.0011639202835814504,15
3300020519-bin.22,1656815,0.006765390221599877,0.007315665368648282,68
3300020520-bin.11,2293813,0.020496439770809564,0.02373150968866673,284
3300020521-bin.7,1576449,0.002115514044539341,0.007121772911820172,58
3300020522-bin.12,2422381,0.0016958521388666771,0.0017634069353671448,22
3300020522-bin.7,2411729,0.0904056799084806,0.10065920221091502,1255
3300020523-bin.14,1566836,0.992103832181543,8.15731627499834,65439
3300020523-bin.3,4818280,0.9984716537851681,10.15867289326181,255884
3300020524-bin.12,2228983,0.0012826477366583774,0.0016954892623852224,23
3300020525-bin.11,1614305,0.1045669808369546,0.11668209942915606,977
3300020528-bin.19,1077450,0.82579887697805,2.2693348738773502,12896
3300020533-bin.7,2370078,0.0070356334264104385,0.007433095590807437,92
3300020534-bin.11,2328727,0.006883589188427841,0.00747134110843779,91
3300020534-bin.13,1337114,0.22198929934171657,0.32882368045991445,2276
3300020536-bin.4,2760056,0.009544733874964855,0.009863285334709147,139
3300020537-bin.19,4310370,0.005342464800005568,0.0055603211999969825,120
3300020538-bin.10,2226241,0.0026852438707219927,0.0030086730100056997,37
3300020538-bin.12,2107864,0.02429710835234152,0.025487537243780438,290
3300020538-bin.15,1233688,0.005682149781792479,0.005868579973231967,37
3300020539-bin.14,2892631,0.013060428378178897,0.014227228870134667,213
3300020539-bin.2,2652915,0.007282932170838492,0.007612530062287147,109
3300020539-bin.6,2963442,0.010238432201473826,0.01075112537548877,163
3300020540-bin.12,2304448,0.8741069444830172,2.635993852777307,30845
3300020540-bin.20,900323,0.8992739272461105,2.998167601792689,14158
3300020540-bin.4,1192163,0.7743253229633867,1.7076467162009652,10432
3300020542-bin.8,4789593,0.007902967955732355,0.010398219372337796,269
3300020543-bin.11,2546855,0.00437912641277183,0.004926815912539699,67
3300020544-bin.10,1670847,0.025315304154120633,0.02748258437116026,242
3300020544-bin.2,1167181,0.009705435575116456,0.012303936195935507,76
3300020544-bin.4,1837905,0.0025893612564305553,0.003989904643176933,39
3300020544-bin.7,6185992,0.011862931604179248,0.012280404820522168,389
3300020546-bin.10,2648679,0.007989265592395304,0.00855425124219171,120
3300020546-bin.16,2792585,0.04354854015186646,0.04659585120808248,698
3300020546-bin.23,1278754,0.9404686124148977,3.765846303893245,24642
3300020547-bin.20,2389223,0.003608704587223545,0.003708540123081438,47
3300020547-bin.4,1279585,0.005791721534716333,0.005981475336269338,41
3300020547-bin.9,3685659,0.00047427067995167217,0.0005105695548949863,9
3300020548-bin.13,1400347,0.022124516280607593,0.03686685983308066,264
3300020548-bin.16,3959933,0.008999647216253407,0.010219704508672699,215
3300020548-bin.2,4352364,0.0012958474980493359,0.001364456056607949,31
3300020548-bin.6,836275,0.9984383127559714,20.110942940131537,89786
3300020549-bin.11,2823801,0.007377644529483487,0.007922852132537246,117
3300020551-bin.8,3712937,0.00798693864183529,0.00808475473241574,156
3300020552-bin.15,1237357,0.0014102639739379985,0.003346378679941197,22
3300020553-bin.6,3312638,0.0012331561734182847,0.0013533839026558289,26
3300020555-bin.16,4405293,0.0011286422946214928,0.0011405528953103458,26
3300020555-bin.7,5011034,0.005607026414109343,0.005834564144637434,148
3300020556-bin.9,1216607,0.8979991073534839,3.175023086623371,20117
3300020557-bin.14,1790125,0.0075765658822707915,0.013358182389875062,127
3300020557-bin.24,1191111,0.6571050053269595,1.386127333669179,8836
3300020557-bin.7,1997574,0.0028719837162478087,0.0028709904433164932,29
3300020558-bin.18,831182,0.3588431895782151,0.9916496634988138,4441
3300020558-bin.22,1903551,0.16737613019036526,0.2225615174986615,2172
3300020558-bin.31,2346779,0.11322412549285638,0.12830122272172273,1597
3300020560-bin.28,1013543,0.46248259817294385,0.6869398684230865,3533
3300020560-bin.30,1063131,0.49975873152038647,0.7566126402476462,4143
3300020562-bin.12,1753974,0.009670610852840465,0.010359347072092857,98
3300020562-bin.13,1336106,0.023858137004099975,0.029802481105630475,214
3300020562-bin.20,2423354,0.007050146202329499,0.007348580068891505,89
3300020562-bin.25,2270258,0.004683168168551768,0.005169423108681834,65
3300020562-bin.31,2425552,0.06651929127885116,0.07060141992004339,903
3300020562-bin.36,3656038,0.0023952158046497327,0.0025944264991963977,48
3300020562-bin.39,2066301,0.027665378858162483,0.029143152714797387,316
3300020562-bin.44,1976431,0.0018422095180656447,0.0018702277942766025,18
3300020562-bin.5,2248693,0.0019108877912636362,0.0023390935622212548,29
3300020563-bin.20,2115286,0.012480581822032577,0.012856069308001851,140
3300020564-bin.6,4099214,0.11175483885447307,0.160045199552138,3362
3300020566-bin.10,3811262,0.0014890081028278823,0.001526254686926273,28
3300020566-bin.16,1947691,0.001203989749914129,0.0025895911349092336,25
3300020566-bin.3,1470926,0.0011618531455695256,0.0012933442413415087,10
3300020568-bin.14,1134331,0.9830499210547892,6.557046538505428,39468
3300020568-bin.25,1889639,0.0014732972805916898,0.0017368311307856155,18
3300020568-bin.4,994173,0.6979107257992321,1.3890303185488848,7040
3300020569-bin.10,2480291,0.0011752653216900758,0.001825627091296949,27
3300020569-bin.8,1917646,0.0012807369034743639,0.0012900955184022495,13
3300020570-bin.4,1660798,0.0039715847442012816,0.004891077934561579,43
3300020572-bin.32,1326201,0.018853853978393925,0.020471227544456006,140
3300020572-bin.37,2938332,0.029352707590564988,0.03177721917702775,488
3300020573-bin.11,1457006,0.3496746066934522,0.5136010760226861,3893
3300020573-bin.18,3479868,0.013640172558269452,0.014373933325467223,255
3300020575-bin.17,979260,0.8947143761615914,2.8865274626643593,14835
3300020575-bin.25,1872784,0.16095022170202222,0.22799860384275858,2189
3300021108-bin.1,2974610,0.04176413042382027,0.04746278287703436,774
3300021140-bin.2,1811203,0.1514810874319444,0.1725021803753042,1582
3300021140-bin.22,2658358,0.9158943227360649,2.8961521069855007,39738
3300021140-bin.31,1894949,0.08114466405164467,0.08915868509068209,892
3300021140-bin.33,1172618,0.9431127613596244,3.6795727034452317,22427
3300021140-bin.34,1682713,0.05211405628886209,0.05502584832243408,482
3300021140-bin.57,1350024,0.39271746280066133,0.5269426908207336,3733
3300021141-bin.17,3723396,0.008039166395408923,0.008535530339966658,155
3300021141-bin.24,1339146,0.257585804684478,0.3763107901968299,2602
3300021141-bin.35,1078250,0.5076995130999304,0.838687949299717,4684
3300021141-bin.52,5723746,0.0005934924435850228,0.0005923778835871647,19
3300021141-bin.54,2721258,0.002507296257833693,0.0025361548110308537,37
