genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.35073683783710724,1.6689188448051722,39697
3300020492-bin.7,2555680,0.314512771551994,0.4233930526247473,5612
3300020495-bin.7,5532598,0.02217439257289252,0.023636712592039973,681
3300020497-bin.26,1115662,0.18528819660434792,0.2251410615696941,1289
3300020497-bin.28,2077447,0.7890376986753452,1.782076673631203,19210
3300020497-bin.30,1842193,0.5003541974157973,0.7671449308421431,7285
3300020497-bin.31,2429201,0.046353101287213365,0.057415382707222434,734
3300020500-bin.11,1335224,0.5712202596717854,0.9088427431247044,6251
3300020500-bin.15,1886585,0.284211949103804,0.35106997639558996,3445
3300020502-bin.7,1668780,0.9196520811610878,2.989006064691988,25801
3300020508-bin.4,5675695,0.0020540215779741512,0.002481907493658838,75
3300020509-bin.11,1732222,0.006629057938301211,0.0202217530819686,182
3300020509-bin.3,3028046,0.0317623972687337,0.03363090342747665,545
3300020509-bin.4,2331221,0.10320600234812573,0.11456317826367986,1402
3300020509-bin.9,1690287,0.14947698231128798,0.17850938945691772,1570
3300020510-bin.6,4630102,0.456062954984577,0.6573154563497521,15716
3300020512-bin.21,2627940,0.008276825193878094,0.013470074236916367,196
3300020513-bin.8,2366479,0.03358280381951414,0.046427274547941565,577
3300020516-bin.14,1185293,0.03214648192472241,0.06364660636015543,401
3300020516-bin.18,835254,0.006339388976287452,0.0068815723890403415,30
3300020517-bin.16,4826932,0.12268206802996189,0.1501764849850694,3839
3300020518-bin.8,3501331,0.015028570563594244,0.01565109977437268,285
3300020519-bin.18,2530461,0.005414033253229352,0.00680454773560375,87
3300020519-bin.22,1656815,0.024508469563590384,0.032473425112157964,292
3300020520-bin.11,2293813,0.06995077628385575,0.09334772616058279,1132
3300020521-bin.7,1576449,0.005866348990674611,0.007529628130617546,63
3300020522-bin.12,2422381,0.1255260836342425,0.1480984679556234,1860
3300020522-bin.7,2411729,0.7751592322354626,2.4214536073245707,30375
3300020523-bin.14,1566836,0.9733635173049381,5.331796262891784,42986
3300020523-bin.3,4818280,0.2876385349128735,0.36358724007107707,9152
3300020524-bin.12,2228983,0.9975760245816141,7.223521611209235,83374
3300020525-bin.11,1614305,0.01544813402671738,0.01667020379785047,135
3300020528-bin.19,1077450,0.9870852475752935,7.133144055779756,40351
3300020533-bin.7,2370078,0.11934375155585597,0.15165990319600547,1855
3300020534-bin.11,2328727,0.09992154511885679,0.11022290496581147,1334
3300020534-bin.13,1337114,0.3244839258283138,0.6134466970499765,4302
3300020536-bin.4,2760056,0.12576012950461873,0.142878736056152,2094
3300020537-bin.19,4310370,0.006775752429605811,0.007585555645712849,175
3300020538-bin.10,2226241,0.009476961389175744,0.012626843994693252,153
3300020538-bin.12,2107864,0.5223173791098477,0.8528759282695992,9533
3300020538-bin.15,1233688,0.1360044030581476,0.15615091432809028,992
3300020539-bin.14,2892631,0.04798399795895156,0.05328737831506362,792
3300020539-bin.2,2652915,0.023267990116532192,0.02677356213491725,381
3300020539-bin.6,2963442,0.1489032010749662,0.17162721554121835,2637
3300020540-bin.12,2304448,0.9721620969533702,6.384150572257652,75528
3300020540-bin.20,900323,0.8141400364091553,2.036611598159661,9614
3300020540-bin.4,1192163,0.13966462639756477,0.1624314338684139,997
3300020542-bin.8,4789593,0.9999367378397288,120.5094381679241,3028491
3300020543-bin.11,2546855,0.9690979659226772,4.88495433680516,64793
3300020544-bin.10,1670847,0.4833159469418804,0.8477354737452437,7431
3300020544-bin.2,1167181,0.02212081930737392,0.033086884252228055,212
3300020544-bin.4,1837905,0.008611435302695189,0.01074885958294085,100
3300020544-bin.7,6185992,0.063463386308938,0.06874953516619015,2199
3300020546-bin.10,2648679,0.019125760426235115,0.023842353984251094,328
3300020546-bin.16,2792585,0.14013718472311495,0.1714584477679912,2553
3300020546-bin.23,1278754,0.8013683632661168,1.797864493829463,11846
3300020547-bin.20,2389223,0.00901632036858845,0.009474742054618804,121
3300020547-bin.4,1279585,0.027301039008741115,0.04047971187522049,280
3300020547-bin.9,3685659,0.000824818573828995,0.0019850724641094037,41
3300020548-bin.13,1400347,0.6426678530392824,1.1695620319122035,8467
3300020548-bin.16,3959933,0.11135870228107395,0.1225507401145054,2543
3300020548-bin.2,4352364,0.18241282208932894,0.211665024891716,4804
