genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.042966138348005514,0.04724097231118119,1063
3300020492-bin.7,2555680,0.0047822888624553936,0.009239897902199493,124
3300020495-bin.7,5532598,0.0009122296613634318,0.0009411147669593563,27
3300020497-bin.26,1115662,0.02257583389951437,0.026099688916438494,145
3300020497-bin.28,2077447,0.557402908473718,0.8782867479786105,9354
3300020497-bin.30,1842193,0.38598290190007234,0.5184594237906778,4846
3300020497-bin.31,2429201,0.010452408013993079,0.018394855904455373,227
3300020500-bin.11,1335224,0.14098308598407458,0.1611502785423127,1090
3300020500-bin.15,1886585,0.09794204872825767,0.10675333096655651,1044
3300020502-bin.7,1668780,0.9265451407615144,3.1366543200556682,26512
3300020508-bin.4,5675695,0.01266717115701249,0.02904240573161169,847
3300020509-bin.11,1732222,0.015896345849435004,0.02310121203901654,204
3300020509-bin.3,3028046,0.46089161128992095,0.7663917066439445,12081
3300020509-bin.4,2331221,0.8943064600052933,2.7362498519111234,32810
3300020509-bin.9,1690287,0.06005784816424666,0.06967025375228887,601
3300020510-bin.6,4630102,0.28512309232064437,0.3668242224846374,8608
3300020512-bin.21,2627940,0.0026827096509052717,0.004157777145714514,60
3300020513-bin.8,2366479,0.008344464497677773,0.018619691701247717,224
3300020516-bin.14,1185293,0.6838047638853852,1.436694591394305,8587
3300020516-bin.18,835254,0.00017958608997981453,0.0003541042213745759,2
3300020517-bin.16,4826932,0.9820979454444355,5.3323370412089455,130228
3300020518-bin.8,3501331,0.18089834979897645,0.3005348721176184,5473
3300020519-bin.18,2530461,0.5439036602421456,0.8769276064830406,11222
3300020519-bin.22,1656815,0.0035049175677429284,0.0056018179477256074,51
3300020520-bin.11,2293813,0.0119220703692934,0.020647203624649793,243
3300020521-bin.7,1576449,0.01383045058863306,0.018410351227235267,152
3300020522-bin.12,2422381,0.0038548849252037563,0.005537579764094706,71
3300020522-bin.7,2411729,0.013227854373356211,0.016907045918380374,214
3300020523-bin.14,1566836,0.9833881784692208,7.718078733527048,61182
3300020523-bin.3,4818280,0.04342400192599849,0.04718611764018937,1182
3300020524-bin.12,2228983,0.0038125010374686573,0.005027611913246984,60
3300020525-bin.11,1614305,0.0072291171742638475,0.008091163172166412,67
3300020528-bin.19,1077450,0.9979330827416586,14.358415987793867,78908
3300020533-bin.7,2370078,0.05762974889434019,0.07037206577761781,848
3300020534-bin.11,2328727,0.43770094132974796,0.6390712235918337,7638
3300020534-bin.13,1337114,0.5662262155657632,1.2400182830607636,8399
3300020536-bin.4,2760056,0.3017634424808772,0.3940264436190793,5578
3300020537-bin.19,4310370,0.9204588005206049,2.8783163939111,62354
3300020538-bin.10,2226241,0.005783291207016671,0.01497049965237227,178
3300020538-bin.12,2107864,0.008529962084840388,0.014060386592647672,151
3300020538-bin.15,1233688,0.0009629663253594102,0.0011412123035710812,9
3300020539-bin.14,2892631,0.8091550564174967,1.8661144470752642,27478
3300020539-bin.2,2652915,0.009571358298324673,0.029991982776315415,436
3300020539-bin.6,2963442,0.7815050876649517,2.5681972782408975,38936
3300020540-bin.12,2304448,0.5918271967950677,1.0059671473758225,11676
3300020540-bin.20,900323,0.9954794001708276,9.77177870516648,44680
3300020540-bin.4,1192163,0.09429583035205756,0.10852419087203172,645
3300020542-bin.8,4789593,0.003808047990716539,0.012039389651443582,294
3300020543-bin.11,2546855,0.3631702629321261,0.4886090302043312,6254
3300020544-bin.10,1670847,0.9459040833780711,4.149149653013229,35097
3300020544-bin.2,1167181,0.9176297420879881,2.81704508727541,16784
3300020544-bin.4,1837905,0.08079525329111134,0.09880796370259233,910
3300020544-bin.7,6185992,0.648667343895692,1.1680618354078727,36798
3300020546-bin.10,2648679,0.49772207202156243,0.7299541308575932,9836
3300020546-bin.16,2792585,0.9849587389461735,6.61432145832553,95777
3300020546-bin.23,1278754,0.9607907384844935,4.016296811617559,25842
3300020547-bin.20,2389223,0.29399223094704846,0.38933868071895616,4812
3300020547-bin.4,1279585,0.6225401204296706,1.077145989442663,6969
3300020547-bin.9,3685659,0.004451578401583001,0.004781408662565718,90
3300020548-bin.13,1400347,0.828239000761954,2.0270197974534168,14298
3300020548-bin.16,3959933,0.13719196764187677,0.2530265238980404,5169
3300020548-bin.2,4352364,0.0030744211651415184,0.0035238295938932952,80
3300020548-bin.6,836275,0.9986882305461721,22.92413689849032,98431
3300020549-bin.11,2823801,0.592767691491008,1.0798510386333344,15777
3300020551-bin.8,3712937,0.5988426412837061,1.352087595451089,26067
3300020552-bin.15,1237357,0.09835560796116238,0.11213490850852995,698
3300020553-bin.6,3312638,0.02998576964944555,0.04406606308598765,739
