genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9776518052639641,30.923025222497994,707093
3300020492-bin.7,2555680,0.06935766606147875,0.09459341912934834,1286
3300020495-bin.7,5532598,0.48306184544765407,0.7016269091751032,20557
3300020497-bin.26,1115662,0.24830369771489932,0.3012522357290218,1797
3300020497-bin.28,2077447,0.8729233525572494,2.3015184217435625,25408
3300020497-bin.30,1842193,0.7244452671354196,1.4145194739924272,13816
3300020497-bin.31,2429201,0.04003909104269264,0.060344960108924435,758
3300020500-bin.11,1335224,0.3952018537713522,0.5240027840593415,3704
3300020500-bin.15,1886585,0.5332646024430386,0.8250359500140203,8237
3300020502-bin.7,1668780,0.9940387588537735,9.754246806312697,86146
3300020508-bin.4,5675695,0.5164139369715955,0.7997713548524515,24076
3300020509-bin.11,1732222,0.004214817731214591,0.01742958693698123,169
3300020509-bin.3,3028046,0.31205074163338337,0.4472980520152301,7254
3300020509-bin.4,2331221,0.995710402402861,9.768113583296012,120575
3300020509-bin.9,1690287,0.03920399316802413,0.057431835880668775,524
3300020510-bin.6,4630102,0.9796047689662128,7.092177567068912,173592
3300020512-bin.21,2627940,0.01710655494417681,0.03080449780609643,449
3300020513-bin.8,2366479,0.08498744337050952,0.14148456131737072,1796
3300020516-bin.14,1185293,0.14855482990281726,0.19777960982836482,1250
3300020516-bin.18,835254,0.004325630287313799,0.004429103259617194,21
3300020517-bin.16,4826932,0.7841726380234899,2.4417535502131607,60100
3300020518-bin.8,3501331,0.21215874763054393,0.3783717506336736,7062
3300020519-bin.18,2530461,0.037588012619044514,0.03942591766523966,507
3300020519-bin.22,1656815,0.15801583158047217,0.1852385505858887,1600
3300020520-bin.11,2293813,0.8431114480561406,2.1265850103215915,25840
3300020521-bin.7,1576449,0.0035497501029211854,0.009192146035173673,79
3300020522-bin.12,2422381,0.07535643649780939,0.08830733328116387,1129
3300020522-bin.7,2411729,0.582825848177801,1.0556509373134793,13453
3300020523-bin.14,1566836,0.9893256218264068,9.304335421601683,77006
3300020523-bin.3,4818280,0.2545136438729173,0.30938679087853904,7978
3300020524-bin.12,2228983,0.013680678587499322,0.016485956001580097,186
3300020525-bin.11,1614305,0.042682144947825844,0.04719480383631346,404
3300020528-bin.19,1077450,0.9978365585409996,15.576717958372088,89679
3300020533-bin.7,2370078,0.06702057906954961,0.09134386580615875,1139
3300020534-bin.11,2328727,0.31638487465469334,0.42534873865944794,5231
3300020534-bin.13,1337114,0.9632267704922691,4.717010646545171,33409
3300020536-bin.4,2760056,0.2484569153669346,0.31683761086703116,4655
3300020537-bin.19,4310370,0.7061372921582137,1.4279861031615415,32309
3300020538-bin.10,2226241,0.16688040513134023,0.19836576800633274,2356
3300020538-bin.12,2107864,0.13581853478213016,0.1657751180331126,1884
3300020538-bin.15,1233688,0.004027760665581573,0.005372318230600444,40
3300020539-bin.14,2892631,0.9749110757645894,4.6865429034186175,71710
3300020539-bin.2,2652915,0.932116558578017,3.0330697169011445,42939
3300020539-bin.6,2963442,0.8814530535775629,3.6361434978816223,55980
3300020540-bin.12,2304448,0.46876735773599576,0.7063914903511865,8549
3300020540-bin.20,900323,0.9975386611249518,12.493805421849713,59994
3300020540-bin.4,1192163,0.19671051693434538,0.2506170271964018,1602
3300020542-bin.8,4789593,0.3253775425177045,1.17285765379237,29384
3300020543-bin.11,2546855,0.0713479958615626,0.0820836962301317,1064
3300020544-bin.10,1670847,0.8086659041791379,2.4831997835860915,21989
3300020544-bin.2,1167181,0.07214647942349987,0.10174185527619191,652
3300020544-bin.4,1837905,0.026105266594301665,0.04044835194453384,400
3300020544-bin.7,6185992,0.933038064064745,3.297710250702468,107911
3300020546-bin.10,2648679,0.639077819547027,1.1177128634901585,15627
3300020546-bin.16,2792585,0.9760820171991184,4.786476936638346,71233
3300020546-bin.23,1278754,0.9882221287284341,6.489322802035338,43237
3300020547-bin.20,2389223,0.24327323150664462,0.4285770197535665,5471
3300020547-bin.4,1279585,0.7628363883602887,1.5513420173845036,10400
3300020547-bin.9,3685659,0.0026993815759949577,0.003888792495150664,76
3300020548-bin.13,1400347,0.10661785971619891,0.17651360701916174,1279
3300020548-bin.16,3959933,0.17898206863600974,0.3957456631390159,8397
3300020548-bin.2,4352364,0.8803781117571968,5.389229695345453,123669
3300020548-bin.6,836275,0.9982720994888045,21.162993927478396,93310
3300020549-bin.11,2823801,0.23017556832085548,0.32014722340245405,4837
3300020551-bin.8,3712937,0.6741396366272846,1.7011591330776081,33559
3300020552-bin.15,1237357,0.1852117052718011,0.21968198399066566,1377
3300020553-bin.6,3312638,0.0542760784607313,0.08919580670132168,1576
3300020555-bin.16,4405293,0.9900551450266759,6.5262635519508,152185
3300020555-bin.7,5011034,0.7935809256133565,1.835185951164138,48670
3300020556-bin.9,1216607,0.9078617828107186,4.098530341850203,26771
3300020557-bin.14,1790125,0.01614915159555897,0.02551964098992389,254
3300020557-bin.24,1191111,0.9973822758752123,13.3140599385603,85607
3300020557-bin.7,1997574,0.20453960654273634,0.24153403501790885,2478
3300020558-bin.18,831182,0.37342483355029343,1.3775017868037502,6071
3300020558-bin.22,1903551,0.4381295799271992,0.7128089062114592,7205
3300020558-bin.31,2346779,0.4300443288439176,0.605269399778364,7522
3300020560-bin.28,1013543,0.6876975125870338,1.4817524410912803,7869
3300020560-bin.30,1063131,0.702341480024569,1.3370274072161192,7523
3300020562-bin.12,1753974,0.6787478035592318,1.8299406790457897,17134
3300020562-bin.13,1336106,0.06816899257993003,0.09368403246188103,686
3300020562-bin.20,2423354,0.586533787469763,0.9818125887684225,12258
3300020562-bin.25,2270258,0.19280539921013382,0.26070983689111704,3106
3300020562-bin.31,2425552,0.26809237649821566,0.3314408323090287,4273
3300020562-bin.36,3656038,0.0012590131721825649,0.0013409819230088694,25
3300020562-bin.39,2066301,0.789535987254519,2.1787606926838987,23849
3300020562-bin.44,1976431,0.04961013058386556,0.05496034903334494,557
3300020562-bin.5,2248693,0.04258562640609456,0.05173217630887786,628
3300020563-bin.20,2115286,0.5609695331978749,0.885152687172723,10036
3300020564-bin.6,4099214,0.9817138114770295,5.967426710929262,127958
3300020566-bin.10,3811262,0.05397293599862723,0.08002804917664802,1591
3300020566-bin.16,1947691,0.905798712424096,2.6740099152633325,27368
3300020566-bin.3,1470926,0.006137630309070613,0.00738212249973894,58
3300020568-bin.14,1134331,0.9966649946091573,14.54871581282933,87570
3300020568-bin.25,1889639,0.006850514833785713,0.016387303997275036,172
3300020568-bin.4,994173,0.9865224664117814,7.6143371349405,39586
3300020569-bin.10,2480291,0.008309508843921943,0.013577047419733815,194
3300020569-bin.8,1917646,0.002179234332092576,0.0025152720190358387,26
3300020570-bin.4,1660798,0.8277322106601767,2.0528692469267544,17356
3300020572-bin.32,1326201,0.0640023646490992,0.0707774146395953,509
3300020572-bin.37,2938332,0.1638963874742541,0.18963357989260093,2905
3300020573-bin.11,1457006,0.44399062186428884,1.1614237406875882,9090
3300020573-bin.18,3479868,0.9954857483099934,51.99455344340579,918356
3300020575-bin.17,979260,0.9574055919776158,4.433228341407695,23245
3300020575-bin.25,1872784,0.4219130449640749,0.6679409655290734,6574
3300021108-bin.1,2974610,0.010300846161345521,0.01857656193413947,306
3300021140-bin.2,1811203,0.056666756846140386,0.06936330012247882,665
3300021140-bin.22,2658358,0.9003418651663921,2.750806918196791,38575
3300021140-bin.31,1894949,0.4938154008366452,0.7521649629343046,7557
3300021140-bin.33,1172618,0.8955789523954093,2.9299636952263226,18359
3300021140-bin.34,1682713,0.9705968872885632,5.629610309814863,50351
3300021140-bin.57,1350024,0.8079537845253122,1.873910388098314,13362
3300021141-bin.17,3723396,0.07305535054557721,0.08532110361222929,1653
3300021141-bin.24,1339146,0.8405080551336449,2.5354406108120973,17820
3300021141-bin.35,1078250,0.94672664038952,3.9955579530506826,22974
3300021141-bin.52,5723746,0.5150121965579885,0.8072258597692072,24479
3300021141-bin.54,2721258,0.006960383763685766,0.007880417478844088,119
