genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9158995683945901,3.635923883633434,94155
3300020492-bin.7,2555680,0.006686283102735867,0.008160347321179649,121
3300020495-bin.7,5532598,0.00043216586493361706,0.0004820550843749717,16
3300020497-bin.26,1115662,0.006858708103350298,0.007087105974163681,45
3300020497-bin.28,2077447,0.03832107389502596,0.03941449673182348,475
3300020497-bin.30,1842193,0.12066868129452234,0.13393865310833344,1431
3300020497-bin.31,2429201,0.004080765650928021,0.005287232827475743,76
3300020500-bin.11,1335224,0.06944902128781388,0.07533240946669775,574
3300020500-bin.15,1886585,0.03485981283642137,0.03616258695506643,387
3300020502-bin.7,1668780,0.6527439207085416,1.1489732187593813,11007
3300020508-bin.4,5675695,0.006856957606072913,0.0072622650987923055,247
3300020509-bin.11,1732222,0.0010974343935130717,0.001196282976105661,11
3300020509-bin.3,3028046,0.28538436998645333,0.39311348686298686,6994
3300020509-bin.4,2331221,0.08962899699342104,0.095452064743099,1296
3300020509-bin.9,1690287,0.0031675094229559834,0.0033998275478395092,30
3300020510-bin.6,4630102,0.34202075893792405,0.44253349653817936,11824
3300020512-bin.21,2627940,0.0036964314253750087,0.004821095044523848,79
3300020513-bin.8,2366479,0.002522312684794583,0.0027261473533288483,38
3300020516-bin.14,1185293,0.010367056921790645,0.013232634596829981,93
3300020516-bin.18,835254,0.0007111609163200655,0.0007274210041220993,4
3300020517-bin.16,4826932,0.2364709094721036,0.30335830750982185,8731
3300020518-bin.8,3501331,0.012516954266820247,0.013272675773074064,278
3300020519-bin.18,2530461,0.0038024691943483817,0.0038533456485412352,56
3300020519-bin.22,1656815,0.0023587425270775553,0.002851836908430211,28
3300020520-bin.11,2293813,0.04233431408750408,0.04448671530566874,589
3300020521-bin.7,1576449,0.0008170261137531249,0.0011296474915433357,9
3300020522-bin.12,2422381,0.010838922531179034,0.011446933670121584,150
3300020522-bin.7,2411729,0.16354698226873748,0.18817583876452296,2575
3300020523-bin.14,1566836,0.35976579552678134,0.47568771809939264,4305
3300020523-bin.3,4818280,0.00935831873614651,0.009648716124436978,281
3300020524-bin.12,2228983,0.001913877315349646,0.0021157037109652698,30
3300020525-bin.11,1614305,0.008207247081561415,0.00868745821911126,84
3300020528-bin.19,1077450,0.9713824307392455,4.4818151311956935,28446
3300020533-bin.7,2370078,0.33006382068438256,0.43008669670016436,5838
3300020534-bin.11,2328727,0.30034220413127,0.3748679047428769,4844
3300020534-bin.13,1337114,0.2672823708374903,0.36965838465328743,2859
3300020536-bin.4,2760056,0.045220096983539466,0.04938970544755997,800
3300020537-bin.19,4310370,0.0761180594705327,0.08302128863703434,2032
3300020538-bin.10,2226241,0.0019961899902122006,0.002599836585759853,35
3300020538-bin.12,2107864,0.017729322195359852,0.02015423656690958,256
3300020538-bin.15,1233688,0.0018797297209667274,0.0018879091629925883,13
3300020539-bin.14,2892631,0.06188103494707759,0.06607777986276914,1131
3300020539-bin.2,2652915,0.3515593224811198,0.45861178120990287,7200
3300020539-bin.6,2963442,0.20269132987924177,0.23824511346601077,4027
3300020540-bin.12,2304448,0.0510694969033799,0.05432966653324879,729
3300020540-bin.20,900323,0.9569532267863866,3.7992632966018856,20097
3300020540-bin.4,1192163,0.006559505705176221,0.006880004827755267,48
3300020542-bin.8,4789593,0.13196778932990758,0.19680069162417393,5620
3300020543-bin.11,2546855,0.0048691425306898115,0.005560001604905932,83
3300020544-bin.10,1670847,0.41291572477910904,0.6243882282489672,6149
3300020544-bin.2,1167181,0.006411173588329488,0.009565912584035465,67
3300020544-bin.4,1837905,0.0021758469561810865,0.0021733484875404332,22
3300020544-bin.7,6185992,0.02560349253603949,0.026705666446456378,960
3300020546-bin.10,2648679,0.04825613069760435,0.05278688721890611,797
3300020546-bin.16,2792585,0.5080124687341656,0.774292448281863,12722
3300020546-bin.23,1278754,0.5280014764372194,0.7958359589863179,5881
