genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.0337879907371532,0.036617085357620024,845
3300020492-bin.7,2555680,0.006820102673261128,0.016885434251877583,231
3300020495-bin.7,5532598,0.0005500128511053938,0.0005695615264805974,17
3300020497-bin.26,1115662,0.025881494574521675,0.030127593949470365,182
3300020497-bin.28,2077447,0.2224745083749429,0.2653012440683924,2908
3300020497-bin.30,1842193,0.03445404471735589,0.03649938897030332,363
3300020497-bin.31,2429201,0.00921908067714446,0.01674485582720973,228
3300020500-bin.11,1335224,0.08365113269384014,0.09296654887891548,666
3300020500-bin.15,1886585,0.022335595798758073,0.023336170860054,232
3300020502-bin.7,1668780,0.9581616510264984,4.271008777618142,37306
3300020508-bin.4,5675695,0.0050069639048609905,0.008557290368900374,258
3300020509-bin.11,1732222,0.02537203660962625,0.04272152095601667,395
3300020509-bin.3,3028046,0.1960947753105468,0.2575170408226155,4237
3300020509-bin.4,2331221,0.7272952671582832,1.4301675135103415,17761
3300020509-bin.9,1690287,0.02603818168157242,0.03362665084700102,305
3300020510-bin.6,4630102,0.30969188151794497,0.3927547124613237,9500
3300020512-bin.21,2627940,0.004177416531579868,0.007011373740018608,108
3300020513-bin.8,2366479,0.009135513139985608,0.012796431603153373,162
3300020516-bin.14,1185293,0.7951957870332483,1.837299015572884,11473
3300020516-bin.18,835254,0.002117918621161946,0.0021302781974522718,10
3300020517-bin.16,4826932,0.018626738474873894,0.021794897819199965,556
3300020518-bin.8,3501331,0.1883103882494971,0.28455149670995705,5310
3300020519-bin.18,2530461,0.7449741371236308,1.5782942263155126,21078
3300020519-bin.22,1656815,0.0023400319287307275,0.0035848598064955953,35
3300020520-bin.11,2293813,0.022466085945105376,0.026577987829622212,328
3300020521-bin.7,1576449,0.022952851630468223,0.036788120967410305,308
3300020522-bin.12,2422381,0.002259347311591364,0.0034635813928987225,51
3300020522-bin.7,2411729,0.025832919038581863,0.03390874852040094,435
3300020523-bin.14,1566836,0.9682602391060711,5.08084692013006,41525
3300020523-bin.3,4818280,0.2204274139319425,0.2595672050070574,6629
3300020524-bin.12,2228983,0.0031767851078272017,0.004726915976678153,59
3300020525-bin.11,1614305,0.007685660392552833,0.008069760665877267,68
3300020528-bin.19,1077450,0.9791414914845237,7.897702896491995,45572
3300020533-bin.7,2370078,0.9423073839763924,3.490998491562685,43338
3300020534-bin.11,2328727,0.8189684750509613,2.061237716753204,25283
3300020534-bin.13,1337114,0.24586908820040773,0.4103548253972539,2960
3300020536-bin.4,2760056,0.9748925384122641,5.064144987665902,74032
3300020537-bin.19,4310370,0.2975222544700339,0.37664521362655623,8433
3300020538-bin.10,2226241,0.012194546771890375,0.015206496506752555,187
3300020538-bin.12,2107864,0.017796214556536856,0.02577417210936052,293
3300020538-bin.15,1233688,0.009406754381983127,0.010002676214806334,62
3300020539-bin.14,2892631,0.12799869737965194,0.15241828323311912,2327
3300020539-bin.2,2652915,0.004666941835678866,0.007857848784393807,116
3300020539-bin.6,2963442,0.6425798109090712,1.32121389588396,20563
3300020540-bin.12,2304448,0.03424160579887244,0.03694989178406238,449
3300020540-bin.20,900323,0.8574844805697511,2.2724053553836794,10952
3300020540-bin.4,1192163,0.11608228069483786,0.13962066789944252,882
3300020542-bin.8,4789593,0.0636267006403258,0.07178734934964878,1856
3300020543-bin.11,2546855,0.45565373764898276,0.6797056311860897,9179
3300020544-bin.10,1670847,0.968548885684925,5.941428791009167,52600
3300020544-bin.2,1167181,0.9404334032168105,3.4878155702573643,21540
3300020544-bin.4,1837905,0.2139163884966851,0.2991549378752126,2877
3300020544-bin.7,6185992,0.19031644399152148,0.2244521248296824,7312
3300020546-bin.10,2648679,0.08506164771193489,0.10311688850413622,1449
3300020546-bin.16,2792585,0.6431521332385586,1.1966093415701402,17835
3300020546-bin.23,1278754,0.9725138689693248,4.81057525876932,32104
3300020547-bin.20,2389223,0.550736787650211,0.9069116166369567,11626
3300020547-bin.4,1279585,0.5453400907325422,0.8572646122136983,5796
3300020547-bin.9,3685659,0.00474542001850958,0.012048586391326737,239
3300020548-bin.13,1400347,0.9720797773694663,4.689830119587078,34458
3300020548-bin.16,3959933,0.09901000850266911,0.15437416837921353,3274
3300020548-bin.2,4352364,0.1105148834058916,0.12348114921655591,2834
3300020548-bin.6,836275,0.9997130130638845,44.380989297183376,198640
3300020549-bin.11,2823801,0.4751928340559409,0.7343801017657619,10965
3300020551-bin.8,3712937,0.585039282918078,1.1183266750623106,22337
3300020552-bin.15,1237357,0.9783013309820852,5.410479155186579,34898
3300020553-bin.6,3312638,0.7982855355761782,1.765145695318079,30963
3300020555-bin.16,4405293,0.02785648990884375,0.031249823371529862,726
3300020555-bin.7,5011034,0.28469713037269356,0.35958053131751727,9415
3300020556-bin.9,1216607,0.9362982458591805,3.691051549815512,23906
3300020557-bin.14,1790125,0.9980749947629356,10.27882379325109,97199
3300020557-bin.24,1191111,0.9990823693173851,13.042065896492595,83113
3300020557-bin.7,1997574,0.9965372997445902,8.018437691412032,84521
3300020558-bin.18,831182,0.5690221876797139,2.754108321630029,12416
3300020558-bin.22,1903551,0.09095001920095652,0.1147390033365578,1142
3300020558-bin.31,2346779,0.0033386185916952555,0.005592085865009018,77
3300020560-bin.28,1013543,0.2781263350444924,0.3731614534252488,1953
3300020560-bin.30,1063131,0.8181343597355358,2.0918049739999027,11645
3300020562-bin.12,1753974,0.3379702321699181,0.8310062875342148,7886
3300020562-bin.13,1336106,0.07424785159261316,0.08720253256613998,623
3300020562-bin.20,2423354,0.015410460048346218,0.0183596429722235,234
3300020562-bin.25,2270258,0.017624869067744724,0.036723119522624116,454
3300020562-bin.31,2425552,0.05498294821137621,0.06662183820150215,879
3300020562-bin.36,3656038,0.002780058631775709,0.0028979629814268352,55
3300020562-bin.39,2066301,0.982422212446299,5.322771381138859,58506
3300020562-bin.44,1976431,0.46058627900493365,0.6820979416986629,7101
3300020562-bin.5,2248693,0.006115552456471381,0.007718664264230511,96
3300020563-bin.20,2115286,0.002398730006249746,0.003081350626448244,35
3300020564-bin.6,4099214,0.03642112853830027,0.04540955950649578,990
3300020566-bin.10,3811262,0.05354997898333938,0.0594516871007151,1178
3300020566-bin.16,1947691,0.0019448670245947638,0.0025447580556120044,29
3300020566-bin.3,1470926,0.7498161022376381,1.6740304844623326,12815
3300020568-bin.14,1134331,0.9974822163901013,14.946941474451894,90490
3300020568-bin.25,1889639,0.8549458388612852,2.2725627334194516,22560
3300020568-bin.4,994173,0.9873824776975436,7.360664498644099,38365
3300020569-bin.10,2480291,0.14143864570729806,0.16413949036480127,2111
3300020569-bin.8,1917646,0.6690192037529346,1.2756991747279303,12869
3300020570-bin.4,1660798,0.29364799331405744,0.37825034767445204,3270
3300020572-bin.32,1326201,0.0693424299936435,0.07337256102338485,516
3300020572-bin.37,2938332,0.01134555251074419,0.014689622172125442,228
3300020573-bin.11,1457006,0.12798643245120472,0.2034538870778545,1599
3300020573-bin.18,3479868,0.8107229929411116,2.1020653637549365,38342
3300020575-bin.17,979260,0.9312664665155321,3.5420529663536744,18588
3300020575-bin.25,1872784,0.08093992686823467,0.09480457452180231,925
3300021108-bin.1,2974610,0.002455784119598872,0.003526648709311136,58
3300021140-bin.2,1811203,0.005150168147910532,0.005454182598339612,54
3300021140-bin.22,2658358,0.4165131257716229,0.5841609811928321,8202
3300021140-bin.31,1894949,0.655136892866246,1.201446784517314,12214
3300021140-bin.33,1172618,0.18621324250523189,0.2816865788923332,1791
3300021140-bin.34,1682713,0.9606355926411694,4.892120770687041,43932
3300021140-bin.57,1350024,0.9369670465117658,3.3668834306448656,23957
3300021141-bin.17,3723396,0.010863201228126151,0.013628665112933737,262
3300021141-bin.24,1339146,0.1300007616794584,0.32482807670778757,2290
3300021141-bin.35,1078250,0.6398386274055182,1.331201890377056,7631
3300021141-bin.52,5723746,0.004381745800739586,0.006241982257372795,193
3300021141-bin.54,2721258,0.003019191859059303,0.004233034787101186,62
