genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.7699957650408629,2.8211909019697847,65122
3300020492-bin.7,2555680,0.24427510486445878,0.3043855365078501,4058
3300020495-bin.7,5532598,0.577662971356314,0.970822963407119,28499
3300020497-bin.26,1115662,0.07514462265453158,0.0840906382884216,495
3300020497-bin.28,2077447,0.70359725181918,1.3343952958270275,14627
3300020497-bin.30,1842193,0.4592906389287116,0.6623500754431976,6425
3300020497-bin.31,2429201,0.012442774393720404,0.013962252151635702,180
3300020500-bin.11,1335224,0.4349277724187103,0.6066588361239299,4280
3300020500-bin.15,1886585,0.6030356437690324,0.9966807998786913,9916
3300020502-bin.7,1668780,0.6573209170771461,1.1687902418861447,10271
3300020508-bin.4,5675695,0.039887449907015794,0.04704521812343312,1425
3300020509-bin.11,1732222,0.0013699167889566117,0.004827514257563061,43
3300020509-bin.3,3028046,0.0057317491213805865,0.005876170713249073,90
3300020509-bin.4,2331221,0.011259764732730188,0.011633301939816347,146
3300020509-bin.9,1690287,0.010668010817097924,0.011447347633485322,101
3300020510-bin.6,4630102,0.92758323682718,3.36284374880836,82053
3300020512-bin.21,2627940,0.01052573498633911,0.01985410920710405,289
3300020513-bin.8,2366479,0.1515077885753476,0.18137509996603518,2269
3300020516-bin.14,1185293,0.008377675393341562,0.01605251994579872,104
3300020517-bin.16,4826932,0.9996024389819455,21.856746958046006,540611
3300020518-bin.8,3501331,0.024529814519107164,0.026125069554261297,491
3300020519-bin.18,2530461,0.0019253408766228763,0.0020040207087316107,27
3300020519-bin.22,1656815,0.0015312512259968675,0.0021106137245190323,23
3300020520-bin.11,2293813,0.02533772369412851,0.03181250424160058,381
3300020521-bin.7,1576449,0.0010238199903707637,0.0014799326201380446,14
3300020522-bin.12,2422381,0.002851739672660907,0.005531272236216886,79
3300020522-bin.7,2411729,0.6842149345967147,1.5352937341751036,19680
3300020523-bin.14,1566836,0.6136270803070647,1.0700480634108809,8763
3300020523-bin.3,4818280,0.9950691948164075,9.31339999719862,239408
3300020524-bin.12,2228983,0.0023400806556173825,0.0033971312110146193,39
3300020525-bin.11,1614305,0.03590895153022508,0.03885374082988208,327
3300020528-bin.19,1077450,0.9876504710195368,6.357732513776135,36238
3300020533-bin.7,2370078,0.13608075346043463,0.15818423383419017,1971
3300020534-bin.11,2328727,0.07575555228242727,0.08280345409714014,1027
3300020534-bin.13,1337114,0.36584389962262004,0.7760507454479949,5425
3300020536-bin.4,2760056,0.020961531215308676,0.022169867702375008,324
3300020537-bin.19,4310370,0.01058447418667075,0.020654250031065427,466
3300020538-bin.10,2226241,0.0260982526150583,0.028057768274006186,339
3300020538-bin.12,2107864,0.2576039061343616,0.3142071280457941,3491
3300020538-bin.15,1233688,0.0028435066240410866,0.003113028110543347,20
3300020539-bin.14,2892631,0.4131283941850862,0.5766614285629881,8779
3300020539-bin.2,2652915,0.11808972394516974,0.1330736277278759,1904
3300020539-bin.6,2963442,0.08101828886814724,0.08713586259937804,1360
3300020540-bin.12,2304448,0.7350497819868359,1.6776068679367768,20095
3300020540-bin.20,900323,0.9579339859139442,3.9253764373507063,18643
3300020540-bin.4,1192163,0.2944270204661611,0.37218202104717224,2327
3300020542-bin.8,4789593,0.29984510166103884,0.48333311680664254,12228
3300020543-bin.11,2546855,0.6650779098142611,1.2715405209949795,16846
3300020544-bin.10,1670847,0.12617552654432154,0.1629014970912855,1448
3300020544-bin.2,1167181,0.0015396069675568743,0.008627084535826062,61
3300020544-bin.4,1837905,0.0051400915716535945,0.0073691512515244246,70
3300020544-bin.7,6185992,0.22045518325920888,0.26689347090806737,8715
3300020546-bin.10,2648679,0.025715837970550603,0.027840575425173923,386
3300020546-bin.16,2792585,0.32191141898993225,0.4158488426223794,6219
3300020546-bin.23,1278754,0.9653099814350532,4.527370901126334,30132
3300020547-bin.20,2389223,0.003051201164562705,0.0030970632793752197,41
3300020547-bin.4,1279585,0.005226694592387376,0.010306291187937341,72
3300020547-bin.9,3685659,0.00039043221307234337,0.00039830031637017965,8
3300020548-bin.13,1400347,0.12441202073486071,0.1802979413895021,1322
3300020548-bin.16,3959933,0.009887793556103096,0.011690692684109045,252
3300020548-bin.2,4352364,0.0216696030019548,0.023079328204231038,543
3300020548-bin.6,836275,0.9995515829123195,42.37435126192582,188372
3300020549-bin.11,2823801,0.007059279318903846,0.0071246053357068365,105
3300020551-bin.8,3712937,0.058317445192310025,0.06259066531691071,1244
3300020552-bin.15,1237357,0.08557756573082788,0.09728287180742104,602
3300020553-bin.6,3312638,0.006605611600180883,0.013343045226961414,232
3300020555-bin.16,4405293,0.004624891011789681,0.006679027270763964,159
3300020555-bin.7,5011034,0.013798948480493248,0.031421161798733596,829
3300020556-bin.9,1216607,0.9973245263260856,12.008368897530259,76711
3300020557-bin.14,1790125,0.0017244605823615669,0.003729436161884673,36
3300020557-bin.24,1191111,0.9917522380365894,7.0984709042855805,45563
3300020557-bin.7,1997574,0.06989227933483315,0.0747550308772296,768
3300020558-bin.18,831182,0.6348573477288969,2.9160072628258313,12997
3300020558-bin.22,1903551,0.8357606389321852,2.2208306192435616,22099
3300020558-bin.31,2346779,0.008433687194235163,0.00988833442291157,127
3300020560-bin.28,1013543,0.44668356448616386,0.6405491151255355,3368
3300020560-bin.30,1063131,0.5750467251919096,0.9513231473481911,5313
3300020562-bin.12,1753974,0.23884276505809093,0.31623041258803214,2921
3300020562-bin.13,1336106,0.20291054751643955,0.24335627575595498,1731
3300020562-bin.20,2423354,0.2586378217957426,0.32323507830533543,4112
3300020562-bin.25,2270258,0.022121714800696662,0.028374710457963942,354
3300020562-bin.31,2425552,0.825152789962862,2.0810112113962216,26560
3300020562-bin.36,3656038,0.02913044120438573,0.031024077124493826,596
3300020562-bin.39,2066301,0.4228236834807707,0.5913539988300786,6413
3300020562-bin.44,1976431,0.042690081262639575,0.04522075350435,458
3300020562-bin.5,2248693,0.04008061571766355,0.0445578813762301,538
3300020563-bin.20,2115286,0.02169872064581338,0.023792819135962595,271
3300020564-bin.6,4099214,0.025481226400963695,0.027251992396723868,598
3300020566-bin.10,3811262,0.004298313786876892,0.012988103053281302,261
3300020566-bin.16,1947691,0.004277372540100047,0.007408241892852613,78
3300020566-bin.3,1470926,0.00027873597992013197,0.0002873410562326045,2
3300020568-bin.14,1134331,0.9973367562025547,18.413917975001567,110763
3300020568-bin.25,1889639,0.001066341242956988,0.0026349893030289387,28
3300020568-bin.4,994173,0.7705962644328502,1.6629520373528548,8638
3300020569-bin.10,2480291,0.0056513530065625366,0.0076115453299774915,108
3300020569-bin.8,1917646,0.0007441415151701618,0.0010512088554514233,11
3300020570-bin.4,1660798,0.0022820355034146238,0.00786034646869517,74
3300020572-bin.32,1326201,0.20039647082154213,0.2295713950808897,1622
3300020572-bin.37,2938332,0.08484881898982144,0.09335660309306185,1414
3300020573-bin.11,1457006,0.623709167978718,1.5172559987453926,11609
