genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.04428956307836476,0.05136373497479747,1206
3300020492-bin.7,2555680,0.03899275339635635,0.054376258063548365,733
3300020495-bin.7,5532598,0.9352494072405043,3.4504156102253254,112199
3300020497-bin.26,1115662,0.6761644655818698,1.4178021198689388,9011
3300020497-bin.28,2077447,0.850701365666609,2.2614560726165327,27677
3300020497-bin.30,1842193,0.9959890196086947,16.469174010965194,175622
3300020497-bin.31,2429201,0.035699804174294344,0.03912291547624069,500
3300020500-bin.11,1335224,0.047281205250954146,0.065875172247199,545
3300020500-bin.15,1886585,0.15065687472337583,0.1809696969151313,2029
3300020502-bin.7,1668780,0.9727807140545788,5.273596318952349,53025
3300020508-bin.4,5675695,8.122353297701867e-05,0.00010693208885784031,4
3300020509-bin.11,1732222,0.0021954460802368287,0.01792079279204051,191
3300020509-bin.3,3028046,4.9536896070931554e-05,4.960264311523008e-05,1
3300020509-bin.4,2331221,0.0006867645753019555,0.0015875289985685184,27
3300020509-bin.9,1690287,0.04952709214470679,0.06409032803528925,624
3300020510-bin.6,4630102,0.0004814148802769356,0.0005382888850519924,15
3300020512-bin.21,2627940,0.07111768153001971,0.09650482132325917,1562
3300020513-bin.8,2366479,0.03513320845019119,0.04876876029715418,715
3300020516-bin.14,1185293,0.00608625884064109,0.01575673155941147,111
3300020517-bin.16,4826932,6.215127952910876e-05,6.321746367009108e-05,2
3300020518-bin.8,3501331,0.00022877014483920543,0.0003175921062761561,6
3300020519-bin.18,2530461,0.0012381143198808438,0.0014009718726192579,17
3300020519-bin.22,1656815,0.02356811110474012,0.02544257854900444,207
3300020520-bin.11,2293813,0.030859097929953314,0.04216622640100089,593
3300020521-bin.7,1576449,0.0011811355774909306,0.005108142598462748,47
3300020522-bin.12,2422381,0.0007595832364933509,0.0015840289825944393,25
3300020522-bin.7,2411729,0.23399436669708745,0.3915644648578465,5724
3300020523-bin.14,1566836,0.8827924556239454,2.9661477175263147,26989
3300020523-bin.3,4818280,0.03716969540998032,0.039775326949254716,1043
3300020524-bin.12,2228983,0.0027483385920843723,0.006476094323508973,70
3300020525-bin.11,1614305,0.2864477282793524,0.5074538252677457,4407
3300020528-bin.19,1077450,0.9775423453524525,4.6391308908685325,26252
3300020533-bin.7,2370078,0.0023467582079577127,0.007748051587985078,96
3300020534-bin.11,2328727,0.0010756950041803956,0.0012229296583515371,17
3300020534-bin.13,1337114,0.3165743534208751,0.8324618904796528,6209
3300020536-bin.4,2760056,0.0003412974229508387,0.00034593813181645587,6
3300020537-bin.19,4310370,3.3871802188675215e-05,3.440583272062492e-05,1
3300020538-bin.10,2226241,0.0010978146570833976,0.0023940168983178373,35
3300020538-bin.12,2107864,0.7754314320088962,2.044545468782985,21599
3300020538-bin.15,1233688,0.008905817354144646,0.012138190817401159,90
3300020539-bin.14,2892631,0.001460262300998641,0.002529894943853191,42
3300020539-bin.2,2652915,0.016807172487622105,0.08136956874897985,1064
3300020539-bin.6,2963442,0.0006816397958860002,0.0007301671041384648,14
3300020540-bin.12,2304448,0.7061296241008693,1.5509782685517917,21020
3300020540-bin.20,900323,0.9047586255155095,2.6603081498789876,12393
3300020540-bin.4,1192163,0.9722563105884011,7.831214152157376,52425
3300020542-bin.8,4789593,0.003254347498837584,0.005393563092864093,152
3300020543-bin.11,2546855,0.017856532861116946,0.01956769635677119,267
3300020544-bin.10,1670847,0.39914666034651886,0.7117056310110803,6010
3300020544-bin.2,1167181,0.0011883332576524122,0.027917871677632693,213
3300020544-bin.4,1837905,0.00059252246443641,0.0011577741415481212,12
3300020544-bin.7,6185992,0.0008336577221567697,0.000919414042545254,34
3300020546-bin.10,2648679,0.0016245834244164733,0.002486025196464728,40
3300020546-bin.16,2792585,0.023221495496108444,0.03350381477544622,470
3300020546-bin.23,1278754,0.9569839077727225,4.030046933359269,28053
3300020547-bin.4,1279585,0.0035128576843273403,0.00753587981102076,55
3300020547-bin.9,3685659,4.069828489287804e-05,4.1272094415137154e-05,1
3300020548-bin.13,1400347,0.6416074015940335,1.2206319821741327,9908
3300020548-bin.16,3959933,3.7879428768112995e-05,3.796937708731436e-05,1
3300020548-bin.2,4352364,0.0005215556419453887,0.0005595923151624726,15
3300020548-bin.6,836275,0.9949562045977699,14.213073455975486,58385
3300020549-bin.11,2823801,0.00010623978106105918,0.00010831551987339052,2
3300020551-bin.8,3712937,0.0003590149792468873,0.00037596508881139104,9
3300020552-bin.15,1237357,0.48203954073076727,0.7389016991253378,5481
3300020553-bin.6,3312638,0.0019721442548204784,0.004652598036850692,82
3300020555-bin.16,4405293,0.0015009217321072627,0.0015713736158764241,37
3300020555-bin.7,5011034,8.561107348303764e-05,0.00045116773967558395,16
3300020556-bin.9,1216607,0.9994279171499095,81.78769540317208,543971
3300020557-bin.14,1790125,0.0025629495146986944,0.007855003209317785,87
3300020557-bin.24,1191111,0.9803704272733608,5.717959401427574,35250
3300020557-bin.7,1997574,0.018083435206905977,0.020007310772309807,226
3300020558-bin.18,831182,0.32520314443768034,0.8164630992328925,3316
3300020558-bin.22,1903551,0.8737748555200254,2.756298463477365,30420
3300020558-bin.31,2346779,0.03731284454139056,0.040094898540086195,477
3300020560-bin.28,1013543,0.20730052893661147,0.2873879989972067,1838
3300020560-bin.30,1063131,0.9671931304796869,5.6648822344944305,34604
3300020562-bin.12,1753974,0.6726154435584564,1.6668291967012339,14857
3300020562-bin.13,1336106,0.13408966055088445,0.20287073339908965,1559
3300020562-bin.20,2423354,0.43269245846871734,0.9625217461221022,15003
3300020562-bin.25,2270258,0.028948251696503217,0.0509170270581154,590
3300020562-bin.31,2425552,0.9299058523585559,3.3008379626978113,40699
3300020562-bin.36,3656038,0.004983263303061949,0.005483117429761235,115
3300020562-bin.39,2066301,0.08038519073455416,0.09174441166245287,971
3300020562-bin.44,1976431,0.12727436475141302,0.14479531063597978,1554
3300020562-bin.5,2248693,0.0021452461496522645,0.003769191493645419,43
3300020563-bin.20,2115286,0.002955155945815365,0.004902780849510894,53
3300020564-bin.6,4099214,0.0004313021959819614,0.0021610845364743096,57
3300020566-bin.10,3811262,3.935704236549469e-05,4.068607265100117e-05,1
3300020566-bin.16,1947691,0.002894196255976949,0.017089061594629747,200
3300020566-bin.3,1470926,0.00015568424244319566,0.00020269137835621915,2
3300020568-bin.14,1134331,0.9838309981830701,6.11301273375805,35565
3300020568-bin.25,1889639,0.0006493303747435356,0.00601086932698452,67
3300020568-bin.4,994173,0.961686748684585,5.576378289268067,35224
3300020569-bin.10,2480291,0.0008849768031251172,0.0026665669817485128,47
3300020569-bin.8,1917646,0.00021432527171334021,0.0002889880643299128,3
3300020570-bin.4,1660798,0.0018888510222194392,0.012611112893430748,129
3300020572-bin.32,1326201,0.13415085646896663,0.1566059890464409,1131
3300020572-bin.37,2938332,0.33295182436838316,0.43268823404074114,6892
3300020573-bin.11,1457006,0.7454162851765882,2.9662280230544016,23804
3300020573-bin.18,3479868,0.0050231790401245105,0.005455126742742542,108
3300020575-bin.17,979260,0.9794702122010498,5.086407637340342,26121
3300020575-bin.25,1872784,0.8873847704807388,2.8844765223411777,31321
3300021108-bin.1,2974610,0.9985335892772498,11.562522168666153,175475
3300021140-bin.2,1811203,0.10022344265109985,0.1240666463834887,1399
3300021140-bin.22,2658358,0.9977452246838086,23.93772388696746,374975
3300021140-bin.31,1894949,0.9312910268297458,3.167928415769027,30495
3300021140-bin.33,1172618,0.9950990006975844,8.96522164271007,57009
3300021140-bin.34,1682713,0.5962086226231093,1.189152142382373,10109
3300021140-bin.57,1350024,0.5520724076016427,0.9047505633442365,6551
3300021141-bin.17,3723396,0.016288087541588378,0.01886467395630521,426
3300021141-bin.24,1339146,0.6679794436155579,1.8109708091069898,13232
3300021141-bin.35,1078250,0.9723691166241595,5.126819128364111,29622
3300021141-bin.54,2721258,0.1553175038897451,0.21920819486467072,3052
