genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.16583784611780394,0.1932143258894546,4477
3300020492-bin.7,2555680,0.006968008514367996,0.05374196809386459,721
3300020495-bin.7,5532598,0.1757405833570413,0.204789403801627,5978
3300020497-bin.26,1115662,0.26582334076091146,0.36953798845358204,2202
3300020497-bin.28,2077447,0.7635212835754654,1.602018011654887,17387
3300020497-bin.30,1842193,0.9758456361521296,5.0654695909839536,48674
3300020497-bin.31,2429201,0.5723099899925943,0.9463086943472283,12082
3300020500-bin.11,1335224,0.9253570936412168,3.016859488976532,21033
3300020500-bin.15,1886585,0.11403037764002152,0.12660804381479132,1252
3300020502-bin.7,1668780,0.9169734776303647,2.9753004112399175,26032
3300020508-bin.4,5675695,0.0006001027186978863,0.0006814974411166913,21
3300020509-bin.11,1732222,0.0019350868422176833,0.012083364295918364,109
3300020509-bin.3,3028046,0.0033529873720544536,0.0035420104825082234,56
3300020509-bin.4,2331221,0.0043299198145521165,0.004659601312026359,57
3300020509-bin.9,1690287,0.08315688400845538,0.09821631726477222,881
3300020510-bin.6,4630102,0.019568899346061923,0.02031731986397709,497
3300020512-bin.21,2627940,0.0289317868748906,0.05455261330289886,789
3300020513-bin.8,2366479,0.007080561458605802,0.010276976040501986,125
3300020516-bin.14,1185293,0.011860358578005607,0.027796066741670802,183
3300020516-bin.18,835254,0.0003771307889576105,0.0015489048768638045,7
3300020517-bin.16,4826932,0.003223786869174871,0.00331270600452248,87
3300020518-bin.8,3501331,0.006732296946504058,0.00714887892249913,130
3300020519-bin.18,2530461,0.0012926498373221323,0.001319275813652453,17
3300020519-bin.22,1656815,0.09894526546415865,0.1173650293655267,1020
3300020520-bin.11,2293813,0.008388216476234113,0.010577680688082944,134
3300020521-bin.7,1576449,0.0018015172073438468,0.0042907885929218135,36
3300020522-bin.12,2422381,0.000719539989786908,0.0007239601077988971,11
3300020522-bin.7,2411729,0.07757961197132845,0.10817360422978745,1396
3300020523-bin.14,1566836,0.91558912355856,4.094133789899388,33546
3300020523-bin.3,4818280,0.05944673202885677,0.06351463546866286,1626
3300020524-bin.12,2228983,0.012449175251673073,0.01670666886064564,198
3300020525-bin.11,1614305,0.10936285274467959,0.15068562636986382,1289
3300020528-bin.19,1077450,0.959609262610794,4.2197014162702695,23748
3300020533-bin.7,2370078,0.004120961419835128,0.010316256056500462,127
3300020534-bin.11,2328727,0.004217755022379179,0.004351104065423512,51
3300020534-bin.13,1337114,0.24488413104641787,0.46065265065754973,3251
3300020536-bin.4,2760056,0.002792696959771831,0.0032766688653928762,53
3300020537-bin.19,4310370,0.020029139029828065,0.02128641599742929,482
3300020538-bin.10,2226241,0.0027881078463652407,0.012212002534251951,164
3300020538-bin.12,2107864,0.9439802567907607,8.649033684968552,97271
3300020538-bin.15,1233688,0.1763622569077433,0.20969360229462222,1351
3300020539-bin.14,2892631,0.0030525843081955495,0.004348393823157914,66
3300020539-bin.2,2652915,0.036910342020004414,0.0732621817197727,1055
3300020539-bin.6,2963442,0.02014954232274497,0.021008778327059545,328
3300020540-bin.12,2304448,0.6396412503124392,1.1703889085964285,13966
3300020540-bin.20,900323,0.9306393372156437,3.111667346398795,14615
3300020540-bin.4,1192163,0.9738609569329026,4.869622512404007,30510
3300020542-bin.8,4789593,0.008385681205062726,0.00950365099738792,243
3300020543-bin.11,2546855,0.12697228542653585,0.1438337336340632,1946
3300020544-bin.10,1670847,0.35282225122946625,0.5063679218794384,4408
3300020544-bin.2,1167181,0.0023235470762461006,0.02433751881790828,166
3300020544-bin.4,1837905,0.0013167165876364665,0.0019417002211343896,20
3300020544-bin.7,6185992,0.004041712307419731,0.004182158849691076,135
3300020546-bin.10,2648679,0.008738318233353306,0.009548972738911586,137
3300020546-bin.16,2792585,0.054882125342648476,0.13618578828035469,2093
3300020546-bin.23,1278754,0.9324099865963273,3.2859956927429357,21801
3300020547-bin.20,2389223,0.001592149414265642,0.0016134531058354116,22
3300020547-bin.4,1279585,0.01592938335475955,0.025060044164601027,175
3300020547-bin.9,3685659,0.00031337679367516094,0.0006091118423296621,14
3300020548-bin.13,1400347,0.2526738015648978,0.3648493060846062,2680
3300020548-bin.16,3959933,0.01446842661226844,0.014965783190619152,314
3300020548-bin.2,4352364,0.006284860365539279,0.006661084709447508,160
3300020548-bin.6,836275,0.9998206331649278,61.31111287559592,272432
3300020549-bin.11,2823801,0.003124157828402214,0.003150612245170889,46
3300020551-bin.8,3712937,0.004510445504461832,0.004572042598864592,92
3300020552-bin.15,1237357,0.12382117691175627,0.1417152063742298,890
3300020553-bin.6,3312638,0.012468310754148204,0.020462719145184077,364
3300020555-bin.16,4405293,0.07352927489726563,0.08069262256768055,1852
3300020555-bin.7,5011034,0.026033150044481836,0.026876168465425714,710
3300020556-bin.9,1216607,0.9982599146643082,26.703973203882278,169889
3300020557-bin.14,1790125,0.003952796592416731,0.009167259252589679,92
3300020557-bin.24,1191111,0.891723777213039,2.7574893801911164,17554
3300020557-bin.7,1997574,0.03990740768552254,0.044241837240547026,470
3300020558-bin.18,831182,0.6089159774874817,3.257204620937738,14519
3300020558-bin.22,1903551,0.9486533326398925,4.398344335429941,43468
3300020558-bin.31,2346779,0.01825608632086788,0.02363904142199777,306
3300020560-bin.28,1013543,0.9465281690071363,4.000879853662056,21040
3300020560-bin.30,1063131,0.7378432196972904,1.4998250638768977,8369
3300020562-bin.12,1753974,0.1975542396865632,0.2754708930876753,2572
3300020562-bin.13,1336106,0.3185129024194188,0.4775309436690949,3410
3300020562-bin.20,2423354,0.5615795298582048,0.9316408000700723,11675
3300020562-bin.25,2270258,0.23414959885616524,0.4226094063625935,5057
3300020562-bin.31,2425552,0.818733632591674,1.9955059847131131,25359
3300020562-bin.36,3656038,0.004169814427530567,0.004374031377550042,83
3300020562-bin.39,2066301,0.10882635201744567,0.12310608513564729,1336
3300020562-bin.44,1976431,0.2701768996742107,0.32906981096776466,3382
3300020562-bin.5,2248693,0.005620598276421015,0.009337206931028156,114
3300020563-bin.20,2115286,0.015567162076428435,0.0208223701962788,241
3300020564-bin.6,4099214,0.012209657753901114,0.01282112465088817,281
3300020566-bin.10,3811262,0.002318916936174947,0.002373505194832053,46
3300020566-bin.16,1947691,0.007461142450214125,0.017678288637925622,187
3300020566-bin.3,1470926,0.00010197657801956047,0.00010350607270522107,1
3300020568-bin.14,1134331,0.9962762191988053,12.635389659852017,75635
3300020568-bin.25,1889639,0.0014976405546244548,0.00874662251819051,92
3300020568-bin.4,994173,0.9673899814217445,4.900345440435821,25351
3300020569-bin.10,2480291,0.004207167626701867,0.007477642340946282,101
3300020569-bin.8,1917646,0.0009412581884247666,0.0010729507049851744,12
3300020570-bin.4,1660798,0.004531556516806981,0.022144282172184573,211
3300020572-bin.32,1326201,0.3134426832735008,0.4300285623457937,3000
3300020572-bin.37,2938332,0.036489749966988075,0.04291187605237054,650
3300020573-bin.11,1457006,0.7497930687999912,2.4100252133364237,18477
3300020573-bin.18,3479868,0.12146954999442508,0.1373143370662994,2437
3300020575-bin.17,979260,0.9685538059350939,4.5880472420440945,23325
3300020575-bin.25,1872784,0.9455329605549813,4.187266238284555,40773
3300021108-bin.1,2974610,0.9396757894312195,7.289416602966908,114331
