genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.086711013596922,0.09744137306188402,2229
3300020492-bin.7,2555680,0.9807663713766982,8.013412608042676,106517
3300020495-bin.7,5532598,0.0036989855398856016,0.003786760840733085,110
3300020497-bin.26,1115662,0.9545113125659922,5.529877516947876,32190
3300020497-bin.28,2077447,0.9037607216935016,2.8363310313806305,30472
3300020497-bin.30,1842193,0.9945320604301504,11.342421232444979,107776
3300020497-bin.31,2429201,0.06482131367474325,0.13446267154451358,1711
3300020500-bin.11,1335224,0.48245687614961985,0.7231510010179418,5036
3300020500-bin.15,1886585,0.3779045206020402,0.49791507317142353,4877
3300020502-bin.7,1668780,0.9760333896619087,4.9213948451335705,42287
3300020508-bin.4,5675695,4.0523671550356385e-05,4.1042719845939575e-05,1
3300020509-bin.11,1732222,0.0023807572008668633,0.01587991710077825,148
3300020509-bin.3,3028046,0.004378070874748931,0.0043555357036461784,69
3300020509-bin.4,2331221,0.011411616487668908,0.013243015209865731,163
3300020509-bin.9,1690287,0.004435933069354494,0.010742946912437532,95
3300020510-bin.6,4630102,0.005060363680972903,0.005188602156862635,124
3300020512-bin.21,2627940,0.05761927593476259,0.08339648880417092,1177
3300020513-bin.8,2366479,0.009674288256942064,0.04324506019577963,520
3300020516-bin.14,1185293,0.004535587403283407,0.00944075667883941,63
3300020517-bin.16,4826932,0.6887273323925011,1.3295977925439593,32829
3300020518-bin.8,3501331,0.004790463969273399,0.004968435050556488,90
3300020519-bin.18,2530461,0.0010156252161167471,0.0010961897786657057,15
3300020519-bin.22,1656815,0.010807483032203354,0.022985018953325508,211
3300020520-bin.11,2293813,0.04772272194812742,0.08626341715497658,1054
3300020521-bin.7,1576449,0.001964541827867568,0.0060943770689270635,53
3300020522-bin.12,2422381,0.001142264573574512,0.0012882542879637845,16
3300020522-bin.7,2411729,0.3031766836157794,0.5370813218805932,6696
3300020523-bin.14,1566836,0.9203228672305206,3.434533560633147,27660
3300020523-bin.3,4818280,0.034638294163062334,0.0365847880620394,912
3300020524-bin.12,2228983,0.03865215661133351,0.053403174419260305,633
3300020525-bin.11,1614305,0.010813322141726625,0.011370932347999727,97
3300020528-bin.19,1077450,0.9202756508422665,3.273233772220151,18363
3300020533-bin.7,2370078,0.011393717843885307,0.0461299019363561,564
3300020534-bin.11,2328727,0.004845995258353599,0.005018500550821198,60
3300020534-bin.13,1337114,0.35575351091978696,0.5264063501094072,3670
3300020536-bin.4,2760056,0.004669832786001443,0.004815841218886068,67
3300020537-bin.19,4310370,0.0004447414027102082,0.00045801204040752877,10
3300020538-bin.10,2226241,0.1123890001127461,0.21662343841639287,2579
3300020538-bin.12,2107864,0.8015037972089281,1.855113535532322,20631
3300020538-bin.15,1233688,0.6879713509412428,1.3082478405914788,8298
3300020539-bin.14,2892631,0.00438735531770212,0.006592142128853803,101
3300020539-bin.2,2652915,0.010560458966834595,0.013674602419986281,202
3300020539-bin.6,2963442,0.01837559162622383,0.019069047674214315,290
3300020540-bin.12,2304448,0.9411012962757241,4.20366489439714,49567
3300020540-bin.20,900323,0.9838446868512745,5.4725030731010955,25530
3300020540-bin.4,1192163,0.9372980037125795,4.175572448958239,25614
3300020542-bin.8,4789593,0.0030025515737976067,0.003661641035326969,91
