genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.10473076472549356,0.11870839448210546,2705
3300020492-bin.7,2555680,0.005894712953108371,0.00720766196273438,92
3300020495-bin.7,5532598,0.0002863031075093473,0.0002903008767063864,8
3300020497-bin.26,1115662,0.012964500000896328,0.013256616120810158,71
3300020497-bin.28,2077447,0.02682330764635632,0.029595743219188172,321
3300020497-bin.30,1842193,0.5221879575049954,0.787880050317486,7331
3300020497-bin.31,2429201,0.00201218425317625,0.0024445988741450377,33
3300020500-bin.11,1335224,0.013933242661905418,0.015871711991151147,111
3300020500-bin.15,1886585,0.036554939215566754,0.039029544220622124,383
3300020502-bin.7,1668780,0.9436522489483335,3.6711504271471376,30920
3300020508-bin.4,5675695,0.006037146111621572,0.009720546675622634,283
3300020509-bin.11,1732222,0.9582536187624912,3.805981300610316,33569
3300020509-bin.3,3028046,0.9854493623940984,7.600362229244076,119339
3300020509-bin.4,2331221,0.9829574287465667,5.514724284350479,66398
3300020509-bin.9,1690287,0.9931638828198999,7.229268951452327,61778
3300020510-bin.6,4630102,0.009993732319503977,0.011973773593553292,283
3300020512-bin.21,2627940,0.0012500285394643714,0.0018569133040917984,27
3300020513-bin.8,2366479,0.00214157826881202,0.00370152105539242,44
3300020516-bin.14,1185293,0.6787655035505988,1.2595767671451525,7562
3300020516-bin.18,835254,0.2952060091900188,0.3599531133757038,1586
3300020517-bin.16,4826932,0.01611893434587436,0.01882685193407829,467
3300020518-bin.8,3501331,0.3875149193263933,0.6572592116349901,12000
3300020519-bin.18,2530461,0.00922519651557562,0.009523189291421996,125
3300020519-bin.22,1656815,0.001001318795399607,0.0013165688964609807,12
3300020520-bin.11,2293813,0.0032836155344834125,0.004643760755487043,56
3300020521-bin.7,1576449,0.9182783585133423,3.1052621655101427,24908
3300020522-bin.12,2422381,0.029074286827712074,0.032720759533160566,420
3300020522-bin.7,2411729,0.01219664398446094,0.014233661546582389,180
3300020523-bin.14,1566836,0.8336456400031657,2.2718453234963065,17865
3300020523-bin.3,4818280,0.40120603202802657,0.5566566241753587,13771
3300020524-bin.12,2228983,0.0007824196057125604,0.0009042335577898081,11
3300020525-bin.11,1614305,0.001976082586623965,0.0020000715231433958,15
3300020528-bin.19,1077450,0.9387396166875493,3.803914847725648,20967
3300020533-bin.7,2370078,0.5810471216559118,0.9539660626440482,11444
3300020534-bin.11,2328727,0.1942181286170513,0.23807214957999887,2863
3300020534-bin.13,1337114,0.07886986449921249,0.08958632594101774,601
3300020536-bin.4,2760056,0.4545791824513706,0.6797357081642011,9709
3300020537-bin.19,4310370,0.05312096177358324,0.05894281076962185,1283
3300020538-bin.10,2226241,0.0011952883807278727,0.0017798684294022973,21
3300020538-bin.12,2107864,0.010526770228060254,0.011178297321695469,123
3300020538-bin.15,1233688,0.00014995687726556472,0.0001529818327226981,1
3300020539-bin.14,2892631,0.010798819483024278,0.014618154529713951,217
3300020539-bin.2,2652915,0.009402110508629187,0.010343790686620908,142
3300020539-bin.6,2963442,0.06205452983388911,0.08344390065823994,1289
3300020540-bin.12,2304448,0.3882170480739856,0.6051298495365502,6948
3300020540-bin.20,900323,0.4814372175319302,0.7386460823431262,3395
3300020540-bin.4,1192163,0.018208080606427143,0.018619696912997807,112
3300020542-bin.8,4789593,0.07454850547844044,0.08633022347338508,2125
3300020543-bin.11,2546855,0.005694866806316025,0.006432289664882768,82
3300020544-bin.10,1670847,0.6036632917316787,1.0722972878491632,9101
3300020544-bin.2,1167181,0.9286691609955954,3.1552239046302177,18756
3300020544-bin.4,1837905,0.8021241576686499,1.9038866325622164,17747
3300020544-bin.7,6185992,0.04409106898295374,0.047566329656403165,1481
3300020546-bin.10,2648679,0.8688368805732971,2.3428972720872565,31633
3300020546-bin.16,2792585,0.4031139607209807,0.5512456387975377,7989
3300020546-bin.23,1278754,0.8104248354257347,1.9013023749137845,12246
3300020547-bin.20,2389223,0.4151692830681774,0.6931630564473741,8582
3300020547-bin.4,1279585,0.7675355681724935,1.6510252667433976,10774
3300020547-bin.9,3685659,0.008762612059335928,0.009558371402916903,182
3300020548-bin.13,1400347,0.049888349102044,0.06380594065244753,463
3300020548-bin.16,3959933,0.1647982427985524,0.2912932457225282,5998
3300020548-bin.2,4352364,0.11298181861627382,0.12661859899007152,2837
3300020548-bin.6,836275,0.9911332994529312,9.954434302141399,42923
3300020549-bin.11,2823801,0.7646572828609381,2.342977854828908,34608
3300020551-bin.8,3712937,0.08989325700920861,0.14936052429448063,2923
3300020552-bin.15,1237357,0.015447441603352954,0.017664928920114394,110
3300020553-bin.6,3312638,0.04268078794000431,0.047816314213630355,806
3300020555-bin.16,4405293,0.7342780605058505,1.5311756263722391,34106
3300020555-bin.7,5011034,0.062343620099165165,0.07390088291608027,1873
3300020556-bin.9,1216607,0.6504565566366132,1.1754355526872684,7237
3300020557-bin.14,1790125,0.7116151106766287,1.3828162205379222,12683
3300020557-bin.24,1191111,0.9972764922832549,13.149944055521281,81164
3300020557-bin.7,1997574,0.09188846070283253,0.10006142689674018,1038
3300020558-bin.18,831182,0.8487719897687871,2.596871553214578,11170
