genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.01753498346563826,0.04033428216712717,958
3300020492-bin.7,2555680,0.0009692136730733112,0.0013687081007229776,17
3300020495-bin.7,5532598,0.9966117184006501,10.021732965588445,285499
3300020497-bin.26,1115662,0.8388248412153502,2.2313087262308837,12849
3300020497-bin.28,2077447,0.5422318836533495,0.8447385431913106,8971
3300020497-bin.30,1842193,0.9928617685551948,9.249443784927646,86896
3300020497-bin.31,2429201,0.0010892470404877982,0.0010956993291761365,14
3300020500-bin.11,1335224,0.03767083275914753,0.046530933279844464,323
3300020500-bin.15,1886585,0.05248372058507833,0.05948531291728547,583
3300020502-bin.7,1668780,0.9724900825752946,4.702077691200999,40130
3300020508-bin.4,5675695,0.0005553504901161884,0.0005659132212718795,17
3300020509-bin.11,1732222,0.0017595897061693016,0.008512365669942998,79
3300020509-bin.3,3028046,0.0005402824131469601,0.000542215128600259,9
3300020509-bin.4,2331221,0.001009342314606809,0.0017281101858723394,21
3300020509-bin.9,1690287,0.0434056464967192,0.055848768094891005,494
3300020510-bin.6,4630102,0.0017001785273844938,0.0018402273536959875,41
3300020512-bin.21,2627940,0.021513048243110573,0.0238895391029662,315
3300020513-bin.8,2366479,0.019667193328147006,0.025156000224738736,306
3300020516-bin.14,1185293,0.001083276455694921,0.0015017255096765102,10
3300020517-bin.16,4826932,0.00012906749048878253,0.00013100871194269984,3
3300020518-bin.8,3501331,0.0007577118530067566,0.0008382552570608148,14
3300020519-bin.18,2530461,0.0002707016626614676,0.00027823209508544093,3
3300020519-bin.22,1656815,0.0016664503882449157,0.0022426332282922353,18
3300020520-bin.11,2293813,0.019596627972724892,0.02292856228586593,270
3300020521-bin.7,1576449,0.0008417652585018608,0.0034247845664464884,30
3300020522-bin.12,2422381,0.0015365047859936154,0.0019939479757438657,27
3300020522-bin.7,2411729,0.0600071566913198,0.07134790956837687,896
3300020523-bin.14,1566836,0.8880252942873409,2.827448883795994,22576
3300020523-bin.3,4818280,0.12132794275135525,0.13609559713249392,3416
3300020524-bin.12,2228983,0.0003225686333184237,0.00039644904665939575,5
3300020525-bin.11,1614305,0.03648133407255754,0.052996334427932154,437
3300020528-bin.19,1077450,0.2603684625736693,0.330303313199432,1837
3300020533-bin.7,2370078,0.0007835185171120951,0.0008199468512791562,10
3300020534-bin.11,2328727,0.0012191210047377817,0.0013392663574957476,16
3300020534-bin.13,1337114,0.04088731402109319,0.047387689210765874,334
3300020536-bin.4,2760056,0.00031774717614425213,0.00032059146483622074,5
3300020537-bin.19,4310370,0.00036771785252774126,0.00037623649111670227,8
3300020538-bin.10,2226241,0.0004433482268990644,0.0005788556813300986,7
3300020538-bin.12,2107864,0.07503188061468861,0.08195928376277081,896
3300020538-bin.15,1233688,0.008271135003339581,0.00982294789522148,65
3300020539-bin.14,2892631,0.0017935229208288232,0.0018336131560928444,27
3300020539-bin.2,2652915,0.006517736150611686,0.007130608688143573,102
3300020539-bin.6,2963442,0.0006546441604053664,0.000660580207465778,10
3300020540-bin.12,2304448,0.5204161690782347,0.8322035424186482,9748
3300020540-bin.20,900323,0.21180620732781458,0.24778427307302603,1158
3300020540-bin.4,1192163,0.9823832814808042,9.686136983374848,58860
3300020542-bin.8,4789593,0.002245702296625204,0.005826947962579702,154
