genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.6591853560519368,1.320794790377311,30921
3300020492-bin.7,2555680,0.0090089526075252,0.010408369734247634,139
3300020495-bin.7,5532598,0.0009707916606267073,0.0010230414724170995,30
3300020497-bin.26,1115662,0.009368428789364521,0.010635616960631087,67
3300020497-bin.28,2077447,0.01841539158399709,0.02000618288094848,221
3300020497-bin.30,1842193,0.33121285337638345,0.41680777207383696,4031
3300020497-bin.31,2429201,0.006137820624970927,0.009329704397265685,119
3300020500-bin.11,1335224,0.04552569456510668,0.050974502490296766,359
3300020500-bin.15,1886585,0.10598144265962042,0.11571199063402929,1159
3300020502-bin.7,1668780,0.9029536547657571,2.7164402063941937,23940
3300020508-bin.4,5675695,0.007214270675221272,0.0137058607847162,417
3300020509-bin.11,1732222,0.01046055297762065,0.013115869735186603,122
3300020509-bin.3,3028046,0.7698935220931254,2.007896068078767,32793
3300020509-bin.4,2331221,0.6080277245271898,1.003530875961755,12514
3300020509-bin.9,1690287,0.6977548783135645,1.3410829073996653,12021
3300020510-bin.6,4630102,0.06605081270347823,0.07706713240097583,1891
3300020512-bin.21,2627940,0.0025179418099347778,0.00552669608543536,79
3300020513-bin.8,2366479,0.00349591101378884,0.004987604413405231,63
3300020516-bin.14,1185293,0.4681171659665585,0.8205653488577134,5074
3300020516-bin.18,835254,0.006460310276873861,0.007473786152739406,35
3300020517-bin.16,4826932,0.14936506252833062,0.22666735342839528,5720
3300020518-bin.8,3501331,0.13381968171532482,0.3022603409069918,5700
3300020519-bin.18,2530461,0.15077450314389354,0.17018452057483244,2251
3300020519-bin.22,1656815,0.0020527337089536247,0.0024245207527889352,22
3300020520-bin.11,2293813,0.010922424800975494,0.011957198106784953,149
3300020521-bin.7,1576449,0.009003145677405358,0.012334003684105038,107
3300020522-bin.12,2422381,0.003912266484917113,0.0055892302891612,74
3300020522-bin.7,2411729,0.06056070147184862,0.06797718551585566,864
3300020523-bin.14,1566836,0.7966513406636049,1.844661409577096,15249
3300020523-bin.3,4818280,0.4654191952314934,0.7160146382669823,18624
3300020524-bin.12,2228983,0.0011668998821435606,0.0013464916376562763,15
3300020525-bin.11,1614305,0.0056637376456121985,0.005898885519648702,50
3300020528-bin.19,1077450,0.9948907141862732,9.249864837518489,53376
3300020533-bin.7,2370078,0.016208327320872983,0.02224717143710621,277
3300020534-bin.11,2328727,0.2339136360767063,0.3027666018995462,3747
3300020534-bin.13,1337114,0.26371274251858856,0.4249070645653549,3015
3300020536-bin.4,2760056,0.2539426736269119,0.31834234714280646,4684
3300020537-bin.19,4310370,0.697110688873577,1.38704041503549,31396
3300020538-bin.10,2226241,0.0013956260800155958,0.0031795455683128197,41
3300020538-bin.12,2107864,0.0065056379348952306,0.0075742304408797255,87
3300020538-bin.15,1233688,0.0006379246616648618,0.0007885309419845212,7
3300020539-bin.14,2892631,0.003067103961756615,0.0041845486911323984,68
3300020539-bin.2,2652915,0.0067706654755240936,0.007281919157305079,108
3300020539-bin.6,2963442,0.10194935483805656,0.12254808782994166,1926
3300020540-bin.12,2304448,0.3023951939900575,0.3968922237774337,4791
3300020540-bin.20,900323,0.938498738785969,3.4298288792440066,16444
3300020540-bin.4,1192163,0.020345372235172538,0.02140619868220042,133
3300020542-bin.8,4789593,0.06173948391857095,0.10208264213982714,2579
3300020543-bin.11,2546855,0.04757946565469962,0.05160324494416405,688
3300020544-bin.10,1670847,0.8426863740366413,2.393390597444703,21053
3300020544-bin.2,1167181,0.7772419187769506,1.6509201266447098,10256
3300020544-bin.4,1837905,0.04405069902960164,0.0767007701809177,742
3300020544-bin.7,6185992,0.04490371148232975,0.047805669755188886,1548
3300020546-bin.10,2648679,0.6625963357583158,1.1814811356549428,16476
3300020546-bin.16,2792585,0.15082477346258036,0.1738789511626217,2602
3300020546-bin.23,1278754,0.9407681227194598,3.422854664639018,22955
3300020547-bin.20,2389223,0.5052399880630648,0.861890838267211,11072
3300020547-bin.4,1279585,0.984516855074106,6.192093259821582,41478
3300020547-bin.9,3685659,0.003145977422219473,0.0042943430061930035,87
3300020548-bin.13,1400347,0.11238714404358348,0.1504803433488678,1106
3300020548-bin.16,3959933,0.27773247678685475,0.4374311395649991,9365
3300020548-bin.2,4352364,0.000679400895697143,0.000991697931027598,22
3300020548-bin.6,836275,0.9975235418971032,14.023096802332962,62791
3300020549-bin.11,2823801,0.6525785634327631,1.4075135824826548,21477
3300020551-bin.8,3712937,0.2036495636742557,0.26425618359214764,5287
3300020552-bin.15,1237357,0.16926642836303507,0.19976832289590074,1277
3300020553-bin.6,3312638,0.30441539341153484,0.3884921360809215,6734
3300020555-bin.16,4405293,0.09663420798571173,0.14111632987694941,3304
3300020555-bin.7,5011034,0.7878667356876844,1.7927767427644385,47527
3300020556-bin.9,1216607,0.7662910044081613,1.9933606911639015,12928
3300020557-bin.14,1790125,0.7583358704001117,1.564869248526214,14799
3300020557-bin.24,1191111,0.9736179079867452,4.537869207882976,29358
3300020557-bin.7,1997574,0.2942964816322199,0.3732965033569926,3878
3300020558-bin.18,831182,0.45007591598470614,1.1869079526085362,5349
3300020558-bin.22,1903551,0.21840234383003135,0.2643275253442923,2654
3300020558-bin.31,2346779,0.030590012949664198,0.0348246715552561,427
3300020560-bin.28,1013543,0.49274179783196176,0.7466757305315217,3942
3300020560-bin.30,1063131,0.3344442030191952,0.42576642016904787,2375
3300020562-bin.12,1753974,0.19526515216303092,0.33948101683755355,3189
3300020562-bin.13,1336106,0.01121767284930986,0.015454012870289779,119
3300020562-bin.20,2423354,0.44322661897518895,0.6448468051051932,8281
3300020562-bin.25,2270258,0.01430057729121536,0.025998125427524575,317
3300020562-bin.31,2425552,0.14295137766578495,0.16431709117005505,2110
3300020562-bin.36,3656038,0.000477019111945773,0.0005193339824263314,9
3300020562-bin.39,2066301,0.5405267673973927,0.8702029204157862,9503
3300020562-bin.44,1976431,0.001971229959457224,0.0020090835615743734,22
3300020562-bin.5,2248693,0.0019838190451075357,0.0026037757706958227,31
3300020563-bin.20,2115286,0.0038514886403067956,0.004020567252303849,48
3300020564-bin.6,4099214,0.342561525209467,0.46050444500520943,9996
3300020566-bin.10,3811262,0.38544004584308295,0.5186269447872952,10360
3300020566-bin.16,1947691,0.003592972396545448,0.005269507133083225,52
3300020566-bin.3,1470926,0.17275512160367007,0.20239298891620464,1557
3300020568-bin.14,1134331,0.9939118299685012,9.172673023524883,55660
3300020568-bin.25,1889639,0.21469603453358022,0.25721312700880217,2554
3300020568-bin.4,994173,0.96399922347519,4.846556402261881,25351
3300020569-bin.10,2480291,0.011164012609810703,0.012957808958082547,173
3300020569-bin.8,1917646,0.00783043377140515,0.008354837580403784,79
3300020570-bin.4,1660798,0.11784094152329182,0.14250059811677096,1229
3300020572-bin.32,1326201,0.011266014729290659,0.011817748110991396,84
3300020572-bin.37,2938332,0.006240955753127965,0.007229458012215232,111
3300020573-bin.11,1457006,0.14370084955037934,0.21445782976988903,1672
3300020573-bin.18,3479868,0.9891550484098822,21.01380397551803,378308
3300020575-bin.17,979260,0.9110236300880257,2.9901751313834932,15633
3300020575-bin.25,1872784,0.21251142683833266,0.2581303252448834,2558
3300021108-bin.1,2974610,0.0014764960784775147,0.001712564466052087,28
3300021140-bin.2,1811203,0.0014747104548744675,0.0017823534256033145,16
3300021140-bin.22,2658358,0.9549782233995572,3.725821105870914,52106
3300021140-bin.31,1894949,0.06042326205085203,0.07190989531631296,711
3300021140-bin.33,1172618,0.5547219981272674,0.9089427507136933,5695
3300021140-bin.34,1682713,0.8863686201984533,2.836718034853644,25281
3300021140-bin.57,1350024,0.588461390316024,0.949894591090091,6790
3300021141-bin.17,3723396,0.007046524194579357,0.008203698486751745,159
3300021141-bin.24,1339146,0.1551697873122124,0.2841854227651279,2005
3300021141-bin.35,1078250,0.6439183862740552,1.2982885450947002,7431
3300021141-bin.52,5723746,0.006149643956947076,0.00994292457081541,306
3300021141-bin.54,2721258,0.0010737680881415875,0.001527535584495296,25
