genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.014092277056433082,0.014871991782006369,355
3300020492-bin.7,2555680,0.023328429224316032,0.030506879867003116,415
3300020495-bin.7,5532598,0.001085385202394969,0.0010924975414207392,31
3300020497-bin.26,1115662,0.4778660562069874,0.7131890473394235,4184
3300020497-bin.28,2077447,0.4850602686855549,0.7142088580308665,7759
3300020497-bin.30,1842193,0.6496436584006128,1.1595660232847156,11103
3300020497-bin.31,2429201,0.0057158711856285255,0.007778382211063061,105
3300020500-bin.11,1335224,0.19697818493376393,0.23218674407045187,1613
3300020500-bin.15,1886585,0.14138403517466747,0.158607033323414,1570
3300020502-bin.7,1668780,0.8569625714593895,2.2402882720987787,19505
3300020508-bin.4,5675695,0.006115374416701391,0.011026691227960822,331
3300020509-bin.11,1732222,0.0089491993520461,0.011774638583218951,111
3300020509-bin.3,3028046,0.722968871675001,3.374346634752036,55538
3300020509-bin.4,2331221,0.3408865997689623,0.4341849431770051,5367
3300020509-bin.9,1690287,0.0034710081779011494,0.005815111435514204,51
3300020510-bin.6,4630102,0.3571001243601113,0.4692083339751044,11323
3300020512-bin.21,2627940,0.003458983081805521,0.005867207706989505,86
3300020513-bin.8,2366479,0.04754616457614878,0.062118893455316085,783
3300020516-bin.14,1185293,0.30508321571122077,0.397251070635286,2463
3300020517-bin.16,4826932,0.03511215819903823,0.038267070743549854,960
3300020518-bin.8,3501331,0.176266111373075,0.22059090781648846,4079
3300020519-bin.18,2530461,0.11031231068172953,0.12415520837790464,1643
3300020519-bin.22,1656815,0.0035586350920289835,0.006084587947443439,58
3300020520-bin.11,2293813,0.1873823193085051,0.23434715579680787,2797
3300020521-bin.7,1576449,0.006827369613606276,0.009241297438864373,78
3300020522-bin.12,2422381,0.002118576722654281,0.0037104975572948267,51
3300020522-bin.7,2411729,0.0636489423148289,0.07760612538329345,986
3300020523-bin.14,1566836,0.8029832094743802,1.8740346673885846,15285
3300020523-bin.3,4818280,0.03909175058319566,0.040773608660850835,1038
3300020524-bin.12,2228983,0.007081256339774687,0.010173424024266227,119
3300020525-bin.11,1614305,0.0027745686224102633,0.0030623759283124313,26
3300020528-bin.19,1077450,0.9548832892477609,4.203102276797901,24186
3300020533-bin.7,2370078,0.8610834748898559,2.2371389787882068,27603
3300020534-bin.11,2328727,0.49008192029379144,0.7368197757925687,9032
3300020534-bin.13,1337114,0.33977357203649056,0.58113785452832,4098
3300020536-bin.4,2760056,0.8356826818006591,2.1189077768128897,30892
3300020537-bin.19,4310370,0.32534677997480493,0.4274091625584676,9520
3300020538-bin.10,2226241,0.02290632505645166,0.029922710071217586,364
3300020538-bin.12,2107864,0.08014653696822945,0.08907803311481152,1003
3300020538-bin.15,1233688,0.21725590262692027,0.2641316978937871,1695
3300020539-bin.14,2892631,0.11548137318586435,0.13537358737485358,2065
3300020539-bin.2,2652915,0.00523989649121815,0.007445372596861376,112
3300020539-bin.6,2963442,0.49741010622107673,0.8201669129156807,12850
3300020540-bin.12,2304448,0.5182412447579637,0.8176234140760855,9717
3300020540-bin.20,900323,0.8623916083450051,2.334366171793791,11153
3300020540-bin.4,1192163,0.3054699734851694,0.4000414173245958,2485
3300020542-bin.8,4789593,0.013325349356406693,0.01577160189041186,402
3300020543-bin.11,2546855,0.034630161512924765,0.037972620224867845,509
3300020544-bin.10,1670847,0.7265602416020138,1.5653370744520128,13798
3300020544-bin.2,1167181,0.9280223033102835,3.049818083429819,18784
3300020544-bin.4,1837905,0.3759351000187714,0.5115931981309224,4895
3300020544-bin.7,6185992,0.4526611091640597,0.6596234184193317,21308
3300020546-bin.10,2648679,0.12465950007532056,0.14465717028559347,2028
3300020546-bin.16,2792585,0.5089639169443365,0.7929007571000933,11757
3300020546-bin.23,1278754,0.9424846373892085,3.4929232452184706,23147
3300020547-bin.20,2389223,0.33625366907986404,0.4562836336814201,5833
3300020547-bin.4,1279585,0.21065579855968927,0.2528506014889202,1708
3300020547-bin.9,3685659,0.004239947320140034,0.005672710832871814,108
3300020548-bin.13,1400347,0.30109394314409216,0.4072681926373322,2977
3300020548-bin.16,3959933,0.06623319131914605,0.08944191573104839,1870
3300020548-bin.2,4352364,0.024203628189186383,0.025958847604298625,592
3300020548-bin.6,836275,0.9996807270335715,49.67815866169622,221497
3300020549-bin.11,2823801,0.9919289638327914,15.918283975573706,236995
3300020551-bin.8,3712937,0.42028426552887915,0.6645320530589635,13203
3300020552-bin.15,1237357,0.18487227210901946,0.22011882700017796,1413
3300020553-bin.6,3312638,0.996261891580064,7.029585975263796,122292
3300020555-bin.16,4405293,0.004104607797937618,0.005090841304339254,123
3300020555-bin.7,5011034,0.33106181279153163,0.43625859917868454,11372
3300020556-bin.9,1216607,0.9266213329366015,3.5014738424194514,22573
3300020557-bin.14,1790125,0.8913332867816494,2.5656616588902166,24166
3300020557-bin.24,1191111,0.9983888991034421,17.214208052890964,109413
