genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.8120714356511475,2.2831557419862714,52960
3300020492-bin.7,2555680,0.0881444468791085,0.11758328452750244,1550
3300020495-bin.7,5532598,0.0037906242239179495,0.0039999467623795006,118
3300020497-bin.26,1115662,0.41568503722453576,0.5907547312126252,3435
3300020497-bin.28,2077447,0.27411481496278844,0.339938586430552,3662
3300020497-bin.30,1842193,0.12443375911210172,0.1452403501591733,1358
3300020497-bin.31,2429201,0.016932316428323553,0.02947046909984315,374
3300020500-bin.11,1335224,0.8851863058183496,2.453069703385799,16863
3300020500-bin.15,1886585,0.8660892565137537,2.3165993034280037,22570
3300020502-bin.7,1668780,0.7419587962463596,1.4926442175682069,12848
3300020508-bin.4,5675695,0.10409526938991613,0.14904928026094263,4392
3300020509-bin.11,1732222,0.0013202695728376616,0.00263325068074069,25
3300020509-bin.3,3028046,0.12506844347807133,0.15944996582744972,2556
3300020509-bin.4,2331221,0.9527179104855352,3.8571074849839193,47147
3300020509-bin.9,1690287,0.0018411074568993313,0.0028311939012286083,25
3300020510-bin.6,4630102,0.9909520351819463,14.489181983775719,345270
3300020512-bin.21,2627940,0.006329672671369971,0.008863456207757407,129
3300020513-bin.8,2366479,0.09264819168055156,0.12449662367354332,1561
3300020516-bin.14,1185293,0.0037408471998062924,0.007397403437950446,51
3300020517-bin.16,4826932,0.8335969928724912,3.053317899285515,76099
3300020518-bin.8,3501331,0.028607406726184986,0.031008769640013496,574
3300020519-bin.18,2530461,0.01802122221998284,0.0189845963733141,250
3300020519-bin.22,1656815,0.017624176507334856,0.02138095223744051,188
3300020520-bin.11,2293813,0.42884707689772444,0.6477545633096364,7712
3300020521-bin.7,1576449,0.0011925536442980395,0.0014985734985711557,13
3300020522-bin.12,2422381,0.02841501811647301,0.030691395226866574,386
3300020522-bin.7,2411729,0.2672750545355635,0.3398561074292967,4264
3300020523-bin.14,1566836,0.7974459356307871,1.8675907178194149,14989
3300020523-bin.3,4818280,0.0031121063948130866,0.0032669392761034656,83
3300020524-bin.12,2228983,0.004555440754819575,0.006755769405767564,78
3300020528-bin.19,1077450,0.972963014525036,4.698248197914985,26393
3300020533-bin.7,2370078,0.029103683507462622,0.03620901212625751,435
3300020534-bin.11,2328727,0.7367896709232126,1.511702806354541,18244
3300020534-bin.13,1337114,0.6181208184193718,1.1307967700569956,7782
3300020536-bin.4,2760056,0.02404806279292884,0.041266617419480865,624
3300020537-bin.19,4310370,0.20160566262293028,0.2910101704770273,6404
3300020538-bin.10,2226241,0.5998766530667614,1.0264801089321367,12049
3300020538-bin.12,2107864,0.04626721648075967,0.05453505916511762,620
3300020538-bin.15,1233688,0.03865401949277289,0.04119047694458287,260
3300020539-bin.14,2892631,0.9956776374172855,7.334358807295016,109279
3300020539-bin.2,2652915,0.9979347246330923,8.532291248792328,118284
3300020539-bin.6,2963442,0.9972174248728337,11.420641760744191,174793
3300020540-bin.12,2304448,0.3246534528008443,0.42569742313333647,5007
3300020540-bin.20,900323,0.9951461864242055,8.45955798308651,39642
3300020540-bin.4,1192163,0.4002833505149883,0.620315449684636,3800
3300020542-bin.8,4789593,0.7355754445106296,2.276735782409692,56878
3300020543-bin.11,2546855,0.011978695292821931,0.01381530351906775,184
3300020544-bin.10,1670847,0.46008760826095985,0.7314539957570204,6363
3300020544-bin.2,1167181,0.0016672649743270324,0.008161744754244716,54
3300020544-bin.4,1837905,0.003309202597522723,0.0033306192511810997,34
3300020544-bin.7,6185992,0.37920158965611334,0.5239995453275751,16663
3300020546-bin.10,2648679,0.016718145158397826,0.020219000980112964,282
3300020546-bin.16,2792585,0.8881982106184771,2.6582098769658824,38890
3300020546-bin.23,1278754,0.5534301358979131,0.8804659241277052,5778
3300020547-bin.20,2389223,0.0524459207030905,0.06268888929332422,811
3300020547-bin.4,1279585,0.02033862541370835,0.023619654946471627,161
3300020547-bin.9,3685659,0.00010771479401648389,0.0001085180733087353,2
3300020548-bin.13,1400347,0.04528520431007457,0.06742960401201915,483
3300020548-bin.16,3959933,0.024343088633065255,0.027779990909717365,575
3300020548-bin.2,4352364,0.062416884249571036,0.06698198130359276,1508
3300020548-bin.6,836275,0.9995731069325282,44.67818571177423,194414
3300020549-bin.11,2823801,0.14694519904200048,0.18321220718593903,2747
3300020551-bin.8,3712937,0.7996564444804746,5.4448550860299445,106938
3300020552-bin.15,1237357,0.5079875896770294,0.7736279951115648,4871
3300020553-bin.6,3312638,0.019970790650834774,0.03727802800901549,631
3300020555-bin.16,4405293,0.004041047893976632,0.013427388383993297,316
3300020555-bin.7,5011034,0.19910581329122892,0.3324907246759368,8596
3300020556-bin.9,1216607,0.47646281831355564,0.9447392027425534,5968
3300020557-bin.14,1790125,0.001481460791844145,0.002545703517507437,24
3300020557-bin.24,1191111,0.9960448690340363,9.527931848645428,59645
3300020557-bin.7,1997574,0.30801311991445623,0.4554394478187512,4749
3300020558-bin.18,831182,0.38245534672310033,2.585179643549966,11287
3300020558-bin.22,1903551,0.38422296014133583,0.544288297047266,5303
3300020558-bin.31,2346779,0.006223849795826535,0.00856065113313908,106
3300020560-bin.28,1013543,0.7060775911826138,1.4163691155957763,7405
3300020560-bin.30,1063131,0.8110167044324735,1.940599262812973,10625
3300020562-bin.12,1753974,0.3444184463395695,0.49862376225220106,4600
3300020562-bin.13,1336106,0.29095820241807163,0.36882205002443674,2556
3300020562-bin.20,2423354,0.9694658725056265,4.8437790096512945,60230
3300020562-bin.25,2270258,0.028632869039554094,0.03816664564903507,463
3300020562-bin.31,2425552,0.06205309142001491,0.07038935037723118,900
3300020562-bin.36,3656038,0.00879722803756416,0.009989820236646477,192
3300020562-bin.39,2066301,0.8945439217229242,2.698820391738815,29009
3300020562-bin.44,1976431,0.3880039323406686,0.5883918625423067,5994
3300020562-bin.5,2248693,0.16986133723011546,0.20643114335744264,2430
3300020563-bin.20,2115286,0.8503795704221557,2.1703983871258545,24139
3300020564-bin.6,4099214,0.09535047450560034,0.10757275525956003,2293
3300020566-bin.10,3811262,0.008591904728669926,0.050124136045741306,984
3300020566-bin.16,1947691,0.01387848483152615,0.01983307914580649,202
3300020566-bin.3,1470926,0.00021551050154800446,0.0003252813675195081,3
3300020568-bin.14,1134331,0.9866493995138985,6.6113306421840745,38968
3300020568-bin.25,1889639,0.0009081099617440156,0.00537562621980283,59
3300020568-bin.4,994173,0.8139297687625795,1.9635547130056852,9982
