target_id	length	eff_length	est_counts	tpm
GEODES117-bin.116_GPPANJBG_00001	693	442.217	0	0
GEODES117-bin.116_GPPANJBG_00002	2388	2136.41	0	0
GEODES117-bin.116_GPPANJBG_00003	807	555.414	0	0
GEODES117-bin.116_GPPANJBG_00004	531	282.508	0	0
GEODES117-bin.116_GPPANJBG_00005	4542	4290.41	0	0
GEODES117-bin.116_GPPANJBG_00006	2538	2286.41	0	0
GEODES117-bin.116_GPPANJBG_00007	1650	1398.41	0	0
GEODES117-bin.116_GPPANJBG_00008	1509	1257.41	0	0
GEODES117-bin.116_GPPANJBG_00009	618	367.217	0	0
GEODES117-bin.116_GPPANJBG_00010	1029	777.414	0	0
GEODES117-bin.116_GPPANJBG_00011	768	517.217	0	0
GEODES117-bin.116_GPPANJBG_00012	2601	2349.41	0	0
GEODES117-bin.116_GPPANJBG_00013	879	627.414	0	0
GEODES117-bin.116_GPPANJBG_00014	765	514.217	0	0
GEODES117-bin.116_GPPANJBG_00015	468	225.462	0	0
GEODES117-bin.116_GPPANJBG_00016	903	651.414	0	0
GEODES117-bin.116_GPPANJBG_00017	354	128.075	0	0
GEODES117-bin.116_GPPANJBG_00018	2121	1869.41	0	0
GEODES117-bin.116_GPPANJBG_00019	1464	1212.41	0	0
GEODES117-bin.116_GPPANJBG_00020	1134	882.414	0	0
GEODES117-bin.116_GPPANJBG_00021	1338	1086.41	0	0
GEODES117-bin.116_GPPANJBG_00022	1173	921.414	0	0
GEODES117-bin.116_GPPANJBG_00023	2166	1914.41	0	0
GEODES117-bin.116_GPPANJBG_00024	1446	1194.41	0	0
GEODES117-bin.116_GPPANJBG_00025	1659	1407.41	0	0
GEODES117-bin.116_GPPANJBG_00026	693	442.217	0	0
GEODES117-bin.116_GPPANJBG_00027	504	256.741	0	0
GEODES117-bin.116_GPPANJBG_00028	693	442.217	0	0
GEODES117-bin.116_GPPANJBG_00029	768	517.217	0	0
GEODES117-bin.116_GPPANJBG_00030	717	466.217	0	0
GEODES117-bin.116_GPPANJBG_00031	948	696.414	0	0
GEODES117-bin.116_GPPANJBG_00032	456	215.529	0	0
GEODES117-bin.116_GPPANJBG_00033	1791	1539.41	0	0
GEODES117-bin.116_GPPANJBG_00034	1158	906.414	0	0
GEODES117-bin.116_GPPANJBG_00035	1842	1590.41	0	0
GEODES117-bin.116_GPPANJBG_00036	1509	1257.41	0	0
GEODES117-bin.116_GPPANJBG_00037	231	46.1036	0	0
GEODES117-bin.116_GPPANJBG_00038	540	290.65	0	0
GEODES117-bin.116_GPPANJBG_00039	738	487.217	0	0
GEODES117-bin.116_GPPANJBG_00040	993	741.414	0	0
GEODES117-bin.116_GPPANJBG_00041	876	624.414	0	0
GEODES117-bin.116_GPPANJBG_00042	2646	2394.41	0	0
GEODES117-bin.116_GPPANJBG_00043	468	225.462	0	0
GEODES117-bin.116_GPPANJBG_00044	1086	834.414	0	0
GEODES117-bin.116_GPPANJBG_00045	1209	957.414	0	0
GEODES117-bin.116_GPPANJBG_00046	3021	2769.41	0	0
GEODES117-bin.116_GPPANJBG_00047	741	490.217	0	0
GEODES117-bin.116_GPPANJBG_00048	588	337.724	0	0
