genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.6058998837638875,1.0653636613475055,27878
3300020492-bin.7,2555680,0.013005149314468166,0.016401898348256002,245
3300020495-bin.7,5532598,0.0006602684670023016,0.000736025027304532,22
3300020497-bin.26,1115662,0.028316819968771903,0.028953485426921416,192
3300020497-bin.28,2077447,0.092394655555593,0.09965314600146624,1199
3300020497-bin.30,1842193,0.19958115137773294,0.2319864906448962,2448
3300020497-bin.31,2429201,0.03013665810280829,0.034099577164860166,471
3300020500-bin.11,1335224,0.10366650090172136,0.11524553667006514,869
3300020500-bin.15,1886585,0.0851029770723291,0.09247744394816879,988
3300020502-bin.7,1668780,0.6675948896798859,1.1969012030303634,11430
3300020508-bin.4,5675695,0.026359943584001608,0.029303973209061626,951
3300020509-bin.11,1732222,0.0029401543220210803,0.0038570277361712297,40
3300020509-bin.3,3028046,0.555232978627141,1.1715334690966848,20417
3300020509-bin.4,2331221,0.09808336489762232,0.10648589596547725,1397
3300020509-bin.9,1690287,0.013071744620883908,0.014047007911195024,141
3300020510-bin.6,4630102,0.19761810862914034,0.23261235355155283,6155
3300020512-bin.21,2627940,0.003502743593841564,0.0044849474358935135,71
3300020513-bin.8,2366479,0.0032998391280886076,0.003939190438529183,54
3300020516-bin.14,1185293,0.21428794399359483,0.26517114931320684,1792
3300020516-bin.18,835254,0.033405407217445234,0.037359229376147864,188
3300020517-bin.16,4826932,0.3857562111917052,0.5715129942123569,16392
3300020518-bin.8,3501331,0.09050415399172486,0.11377757762554074,2267
3300020519-bin.18,2530461,0.0081921831634631,0.008433306273487838,122
3300020519-bin.22,1656815,0.011328361947471504,0.01245801762155461,120
3300020520-bin.11,2293813,0.03236706741133649,0.034819672158587486,450
3300020521-bin.7,1576449,0.0030137353000319073,0.0033643866175822996,28
3300020522-bin.12,2422381,0.006836661945416514,0.007454171161912721,100
3300020522-bin.7,2411729,0.04836613068881288,0.05423917517370981,755
3300020523-bin.14,1566836,0.535739541343191,0.8433566776581591,7567
3300020523-bin.3,4818280,0.10000560365939713,0.10971312153834394,3139
3300020524-bin.12,2228983,0.0036375333504113758,0.004819241377774977,61
3300020525-bin.11,1614305,0.0005116753029941678,0.0005211152639197674,5
3300020528-bin.19,1077450,0.9940219963803425,8.025624245435523,50187
3300020533-bin.7,2370078,0.3316346550619853,0.43273297875753297,5972
3300020534-bin.11,2328727,0.18681021863017863,0.24024112774714027,3120
3300020534-bin.13,1337114,0.25277874586609667,0.35156339089981475,2696
3300020536-bin.4,2760056,0.32836978669998,0.43856963556446676,6867
3300020537-bin.19,4310370,0.3801622598524025,0.5142469748449157,12663
3300020538-bin.10,2226241,0.013687197387883881,0.014893397820791734,196
3300020538-bin.12,2107864,0.0372467104139546,0.04079847874840551,515
3300020538-bin.15,1233688,0.01712669653915739,0.01784857474944655,128
3300020539-bin.14,2892631,0.019558319052793115,0.022087808616361716,377
3300020539-bin.2,2652915,0.08660134229705814,0.09490531609758658,1495
3300020539-bin.6,2963442,0.28250122661418714,0.37489094650995347,6320
3300020540-bin.12,2304448,0.2444016961979615,0.31243777611074625,4109
3300020540-bin.20,900323,0.9388075168578388,3.3296646685513984,17433
3300020540-bin.4,1192163,0.0464542180893049,0.050521715065668875,349
3300020542-bin.8,4789593,0.1169873932920814,0.14625673766158712,4190
3300020543-bin.11,2546855,0.005261783650816399,0.006911887545154436,102
3300020544-bin.10,1670847,0.5180354634505733,0.9780152871984145,9554
3300020544-bin.2,1167181,0.038209155220998284,0.04551031952013612,319
3300020544-bin.4,1837905,0.012017487302118445,0.014381786014462498,153
3300020544-bin.7,6185992,0.1184356526810898,0.13279866541798788,4764
3300020546-bin.10,2648679,0.4036042117598999,0.5479916040500602,8425
3300020546-bin.16,2792585,0.3186076699545403,0.41162923327072615,6843
3300020546-bin.23,1278754,0.4267834157312509,0.5880622063452128,4324
3300020547-bin.20,2389223,0.5713606473736441,1.0624434927227215,14614
3300020547-bin.4,1279585,0.7908579734835904,1.7156232435737755,12518
3300020547-bin.9,3685659,0.005262288236649131,0.006233712105035491,130
3300020548-bin.13,1400347,0.04830088542339863,0.06720866217809869,544
3300020548-bin.16,3959933,0.02513476869431882,0.02998937053954681,694
3300020548-bin.2,4352364,0.002279221131320818,0.0026027363570150387,68
3300020548-bin.6,836275,0.9971217601865415,12.674503654762729,62718
3300020549-bin.11,2823801,0.7896200900842517,2.2400877665162424,35991
3300020551-bin.8,3712937,0.9955644278370466,10.280328505853051,219891
3300020552-bin.15,1237357,0.32137693487004965,0.4076882730488736,2820
