genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.24482861931321578,0.40693527396867313,9380
3300020492-bin.7,2555680,0.04358800788831153,0.048787592639999135,642
3300020495-bin.7,5532598,0.22689069402837508,0.27770418939323416,8053
3300020497-bin.26,1115662,0.27918312176985505,0.3581778818248269,2084
3300020497-bin.28,2077447,0.6089493498510431,1.0246659753188307,11109
3300020497-bin.30,1842193,0.9720555880952756,5.015195717365714,47753
3300020497-bin.31,2429201,0.001719907080558587,0.0022595728231587257,29
3300020500-bin.11,1335224,0.05134194711898528,0.05708236778917547,399
3300020500-bin.15,1886585,0.016773164209404823,0.018050027042591146,175
3300020502-bin.7,1668780,0.976653603231103,5.107872115081076,44147
3300020508-bin.4,5675695,0.0004832888307070764,0.0004970531466228365,16
3300020509-bin.11,1732222,0.001678191363462651,0.007497347609586993,73
3300020509-bin.3,3028046,0.0009937101351828869,0.000997517534303376,16
3300020509-bin.4,2331221,0.0016544977932165161,0.002014326540898954,26
3300020509-bin.9,1690287,0.007496360085594932,0.012994462602504779,116
3300020510-bin.6,4630102,0.0670432314450092,0.07229487660263866,1736
3300020512-bin.21,2627940,0.03895484676210263,0.04634444243961849,641
3300020513-bin.8,2366479,0.009950648199286788,0.01460125967921186,175
3300020516-bin.14,1185293,0.004185463003662386,0.00822934496069377,54
3300020516-bin.18,835254,0.0001712054057807565,0.00017223437374499256,1
3300020517-bin.16,4826932,0.1499826390759182,0.1767393329282509,4382
3300020518-bin.8,3501331,0.0025855881663287474,0.002788156230433084,54
3300020519-bin.18,2530461,0.0002845331344762871,0.0002582745494017098,4
3300020519-bin.22,1656815,0.10400497339775412,0.11772306757861017,1011
3300020520-bin.11,2293813,0.011048851846249019,0.014571147537436487,173
3300020521-bin.7,1576449,0.0008626983809815605,0.0033838874014947514,30
3300020522-bin.12,2422381,0.0005490465785522591,0.0006099041767900261,9
3300020522-bin.7,2411729,0.2496383300113736,0.32117658272306826,4051
3300020523-bin.14,1566836,0.8537613381362185,2.6217689020041286,21165
3300020523-bin.3,4818280,0.9886085906173987,6.519083755210427,164430
3300020524-bin.12,2228983,0.0018281880122010801,0.0019352148171004444,21
3300020525-bin.11,1614305,0.49133961673909204,0.8405319436687927,7058
3300020528-bin.19,1077450,0.8815480996797995,2.5423094887199396,14425
3300020533-bin.7,2370078,0.0229405952040397,0.025939137170009927,316
3300020534-bin.11,2328727,0.007950695809341327,0.00864225583266965,105
3300020534-bin.13,1337114,0.2751769856571691,0.4281460159215146,3037
3300020536-bin.4,2760056,0.0016169961768891647,0.0016407889774177043,25
3300020537-bin.19,4310370,0.0005556367550813503,0.0005489423924338282,12
3300020538-bin.10,2226241,0.0009994425581057935,0.0018107486287603184,25
3300020538-bin.12,2107864,0.7052314570579507,1.3343028004231814,14922
3300020538-bin.15,1233688,0.0006792641251272607,0.0009730525862519534,7
3300020539-bin.14,2892631,0.004529094792941097,0.00516661191210825,77
3300020539-bin.2,2652915,0.061567747176219365,0.0686350976988445,965
3300020539-bin.6,2963442,0.0015853186936002123,0.001612328032038251,25
3300020540-bin.12,2304448,0.7423938400866498,1.7307482020418035,20520
3300020540-bin.20,900323,0.8401395943455848,2.1136364172929056,9968
3300020540-bin.4,1192163,0.8368956258498209,2.1151127698311374,13045
3300020542-bin.8,4789593,0.00872391453720598,0.026246672477877583,692
3300020543-bin.11,2546855,0.021433100824350033,0.023601539964930474,302
3300020544-bin.10,1670847,0.12178074952404379,0.15468251879531164,1361
3300020544-bin.2,1167181,0.0011454950003469899,0.006649015200660823,48
3300020544-bin.4,1837905,0.001345009671337746,0.001481331580833068,16
3300020544-bin.7,6185992,0.0033609807448829548,0.003448401597569849,113
3300020546-bin.10,2648679,0.0018998149643652553,0.002203909859298163,32
3300020546-bin.16,2792585,0.03671687701538181,0.04426129906641158,671
3300020546-bin.23,1278754,0.8921755083464059,2.60660642198484,17150
3300020547-bin.20,2389223,0.0009383803855897921,0.0009528392329506707,12
3300020547-bin.4,1279585,0.003211978883778725,0.00774627319638164,54
3300020547-bin.9,3685659,0.00034620674348874924,0.0004105121323578769,8
3300020548-bin.13,1400347,0.0500718750424002,0.07581145464999099,552
3300020548-bin.16,3959933,0.0014389132341380523,0.001513900983247015,31
3300020548-bin.2,4352364,0.17812756469817323,0.20548281047874753,4660
3300020548-bin.6,836275,0.9978272697378254,16.46629055283333,72302
3300020549-bin.11,2823801,0.003133365276094172,0.003151418207028221,46
3300020551-bin.8,3712937,0.0035882644925028353,0.0037410671018884775,71
3300020552-bin.15,1237357,0.04586065298858777,0.04869008495914358,306
3300020553-bin.6,3312638,0.002797468362072765,0.003906918967646178,71
3300020555-bin.16,4405293,0.0007202699116721635,0.000712358033436845,14
3300020555-bin.7,5011034,0.0007042458702136126,0.0008577001196884714,26
3300020556-bin.9,1216607,0.9989594010226803,27.601706924334643,175399
3300020557-bin.14,1790125,0.0034036729278681655,0.007822903427450765,79
3300020557-bin.24,1191111,0.8725752679641108,2.3894963526639077,14995
3300020557-bin.7,1997574,0.004192585606340491,0.004341461416446602,42
3300020558-bin.18,831182,0.31434751955648704,0.8093151823317448,3560
3300020558-bin.22,1903551,0.3097185208066398,0.4347883835370212,4291
3300020558-bin.31,2346779,0.043432722041572724,0.047295299086330254,583
3300020560-bin.28,1013543,0.5596259852813349,0.9293469197094052,4831
3300020560-bin.30,1063131,0.47325964533063186,0.6944725971943247,3806
3300020562-bin.12,1753974,0.3523792256897765,0.4833647425804287,4449
3300020562-bin.13,1336106,0.06457197258301363,0.07866906844535763,564
3300020562-bin.20,2423354,0.3487835454498187,0.5061590030654852,6366
