genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.7013768122471414,2.0975375452595224,49330
3300020492-bin.7,2555680,0.07291444938333437,0.10402681898392953,1409
3300020495-bin.7,5532598,0.015378308707771647,0.01644384242993522,482
3300020497-bin.26,1115662,0.07277114394861527,0.07889889185991723,481
3300020497-bin.28,2077447,0.5361056142467172,0.8145627876560125,9042
3300020497-bin.30,1842193,0.5909022561696847,0.9709382575442094,9517
3300020497-bin.31,2429201,0.03647083958881953,0.050612699005561736,656
3300020500-bin.11,1335224,0.17461789182938592,0.2018847554701772,1449
3300020500-bin.15,1886585,0.9053156894600561,2.726446765700777,27401
3300020502-bin.7,1668780,0.9942490921511523,9.571640558162548,84846
3300020508-bin.4,5675695,0.044200754268860463,0.08055575434068872,2465
3300020509-bin.11,1732222,0.007838487214687263,0.020895119661611446,199
3300020509-bin.3,3028046,0.3957733799288386,0.7315331080578433,11957
3300020509-bin.4,2331221,0.399820094276776,0.5463251818256011,6768
3300020509-bin.9,1690287,0.9292510680138935,3.34072761920958,30096
3300020510-bin.6,4630102,0.683661396660376,1.285786515713998,31635
3300020512-bin.21,2627940,0.005800360738829654,0.01331541040930691,203
3300020513-bin.8,2366479,0.007241560140613967,0.018126195818743543,232
3300020516-bin.14,1185293,0.9576214488738227,4.41006611369788,27277
3300020516-bin.18,835254,0.042955795482571765,0.045463418324020004,206
3300020517-bin.16,4826932,0.2956078519440506,0.5257102792883854,13373
3300020518-bin.8,3501331,0.20518882676330802,0.5567308278936741,10514
3300020519-bin.18,2530461,0.04962376420739146,0.05354199699903416,694
3300020519-bin.22,1656815,0.29946916221786984,0.3901140622572001,3386
3300020520-bin.11,2293813,0.0092422529648232,0.014073063677087539,178
3300020521-bin.7,1576449,0.007754136036116614,0.02219457195260424,193
3300020522-bin.12,2422381,0.010993316080335835,0.028540810159828248,384
3300020522-bin.7,2411729,0.0670324070407579,0.08067879418470862,1040
3300020523-bin.14,1566836,0.9907967394162503,10.176691018527023,84359
3300020523-bin.3,4818280,0.8907051894036876,2.9856758876817633,77421
3300020524-bin.12,2228983,0.00785963822963208,0.010422723101359681,124
3300020525-bin.11,1614305,0.07638829093634722,0.08664599320506784,741
3300020528-bin.19,1077450,0.9974783052577846,14.155479889270966,80734
3300020533-bin.7,2370078,0.06841800143286424,0.09613699932080634,1198
3300020534-bin.11,2328727,0.6733597368862902,1.3882542186311204,17106
3300020534-bin.13,1337114,0.3633317727583437,0.6240349081255149,4439
3300020536-bin.4,2760056,0.13362953505291197,0.1710930763257264,2548
3300020537-bin.19,4310370,0.8195512218208646,2.065966923961898,46927
3300020538-bin.10,2226241,0.003647403852502941,0.007626433258387117,94
3300020538-bin.12,2107864,0.13591104549439623,0.16394111645705806,1848
3300020538-bin.15,1233688,0.0011161655134847709,0.0014077307610497953,12
3300020539-bin.14,2892631,0.0060992916137592385,0.01588490125064085,244
3300020539-bin.2,2652915,0.032483136474406454,0.037203314226426205,528
