genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.7692656851172723,2.0836490206059133,47920
3300020492-bin.7,2555680,0.10597610029424655,0.13238651116857306,1763
3300020495-bin.7,5532598,0.030144066133125882,0.03178472200122076,920
3300020497-bin.26,1115662,0.4697175309367891,0.6799704697634861,3937
3300020497-bin.28,2077447,0.5380108373402547,0.8204903876649027,8843
3300020497-bin.30,1842193,0.760073998761259,1.5964304647194945,15196
3300020497-bin.31,2429201,0.1102543593551954,0.12177740716921776,1560
3300020500-bin.11,1335224,0.9453110489326135,3.627598539727509,25059
3300020500-bin.15,1886585,0.8269762560393515,1.9791572255078045,19357
3300020502-bin.7,1668780,0.7103728472297127,1.3508423807989196,11623
3300020508-bin.4,5675695,0.9962959602304211,10.632799856317444,312168
3300020509-bin.11,1732222,0.0018150098543951063,0.006105681388160407,57
3300020509-bin.3,3028046,0.011328097393500627,0.012532173350638462,203
3300020509-bin.4,2331221,0.29083042748842775,0.36247738093439,4407
3300020509-bin.9,1690287,0.0036337024422479734,0.007242379238903808,64
3300020510-bin.6,4630102,0.89194773678852,2.7769333727364933,66353
3300020512-bin.21,2627940,0.011564190963264002,0.01350327377955091,187
3300020513-bin.8,2366479,0.06575718609799622,0.10419132538932863,1294
3300020516-bin.14,1185293,0.004012509986982122,0.00710661745799604,50
3300020516-bin.18,835254,0.00017719160878008365,0.00017825654642587764,1
3300020517-bin.16,4826932,0.002907229685439944,0.0029648972342659263,71
3300020518-bin.8,3501331,0.012095971503408276,0.013604815481559871,251
3300020519-bin.18,2530461,0.0022122451205531324,0.002350751531658776,31
3300020519-bin.22,1656815,0.02284322631072268,0.0254217589768463,222
3300020520-bin.11,2293813,0.7685905520633112,1.744334517583957,20703
3300020521-bin.7,1576449,0.0014443854510992743,0.0028669790125858807,22
3300020522-bin.12,2422381,0.10835165896694203,0.13853227192770454,1739
3300020522-bin.7,2411729,0.3850652374292468,0.5481915668108188,6874
3300020523-bin.14,1566836,0.9629993183715462,4.5882974805822005,36913
3300020523-bin.3,4818280,0.07673215338253485,0.0827894911341495,2109
3300020524-bin.12,2228983,0.0016617443919491534,0.0017624625070653298,19
3300020525-bin.11,1614305,0.006957173520493339,0.007345095116939796,66
3300020528-bin.19,1077450,0.9527189196714465,3.9953119055982187,22829
3300020533-bin.7,2370078,0.03330312335712158,0.03800531835450227,478
3300020534-bin.11,2328727,0.33747236150909915,0.44070549037876056,5361
3300020534-bin.13,1337114,0.5408731043127213,0.98492315024775,6899
3300020536-bin.4,2760056,0.004866930236198106,0.0058019870908508735,82
3300020537-bin.19,4310370,0.04590928388978208,0.09844353014171194,2198
3300020538-bin.10,2226241,0.10572440270393008,0.11840036469899158,1414
3300020538-bin.12,2107864,0.06190105243981585,0.06866152606048348,788
3300020538-bin.15,1233688,0.4211575374000558,0.5934279452924806,3794
3300020539-bin.14,2892631,0.8368364302256319,2.0642157426467125,31069
3300020539-bin.2,2652915,0.9020775260421084,2.6160518395615773,37081
3300020539-bin.6,2963442,0.38608213017160453,0.5514417543928088,8497
3300020540-bin.12,2304448,0.4374843780376038,0.6172444265347409,7276
3300020540-bin.20,900323,0.9933546071798677,8.312257867782339,39563
3300020540-bin.4,1192163,0.32032364701806715,0.4349463151695533,2696
3300020542-bin.8,4789593,0.035930610387980774,0.0676709726353297,1758
3300020543-bin.11,2546855,0.002204679889510789,0.002465238771284584,34
3300020544-bin.10,1670847,0.5156199221113603,0.8336248147745667,7342
3300020544-bin.2,1167181,0.0016852570423953098,0.0077508308868495975,54
