filename	ref	meta	metareads	baseCovSum	coveredBases	totalBases	AvgCov
mappingResults/GEODES005-bin.115-vs-GEODES005.depth	GEODES005-bin.115	GEODES005	215116212	24007631	2550673	2553213	9.40290958882
mappingResults/GEODES005-bin.115-vs-GEODES006.depth	GEODES005-bin.115	GEODES006	246243078	14176024	2503843	2553213	5.55222928913
mappingResults/GEODES005-bin.13-vs-GEODES005.depth	GEODES005-bin.13	GEODES005	215116212	13493515	1676673	1678751	8.03782991045
mappingResults/GEODES005-bin.13-vs-GEODES006.depth	GEODES005-bin.13	GEODES006	246243078	12673459	1665228	1678751	7.54933816867
mappingResults/GEODES005-bin.140-vs-GEODES005.depth	GEODES005-bin.140	GEODES005	215116212	33927755	3089340	3091668	10.9739321945
mappingResults/GEODES005-bin.140-vs-GEODES006.depth	GEODES005-bin.140	GEODES006	246243078	36147506	3080782	3091668	11.691910645
mappingResults/GEODES005-bin.144-vs-GEODES005.depth	GEODES005-bin.144	GEODES005	215116212	54170491	4123335	4125704	13.1299993892
mappingResults/GEODES005-bin.144-vs-GEODES006.depth	GEODES005-bin.144	GEODES006	246243078	41517767	4112728	4125704	10.06319576
mappingResults/GEODES005-bin.153-vs-GEODES005.depth	GEODES005-bin.153	GEODES005	215116212	23068808	2668724	2672580	8.63166228887
mappingResults/GEODES005-bin.153-vs-GEODES006.depth	GEODES005-bin.153	GEODES006	246243078	13847187	2607583	2672580	5.18120580114
mappingResults/GEODES005-bin.155-vs-GEODES005.depth	GEODES005-bin.155	GEODES005	215116212	33820095	4774495	4782962	7.07095205858
mappingResults/GEODES005-bin.155-vs-GEODES006.depth	GEODES005-bin.155	GEODES006	246243078	11014752	3938573	4782962	2.30291438652
mappingResults/GEODES005-bin.165-vs-GEODES005.depth	GEODES005-bin.165	GEODES005	215116212	68457881	3665765	3665875	18.6743631466
mappingResults/GEODES005-bin.165-vs-GEODES006.depth	GEODES005-bin.165	GEODES006	246243078	7404244	3024146	3665875	2.01977536059
mappingResults/GEODES005-bin.19-vs-GEODES005.depth	GEODES005-bin.19	GEODES005	215116212	38973756	1957163	1957718	19.907747694
mappingResults/GEODES005-bin.19-vs-GEODES006.depth	GEODES005-bin.19	GEODES006	246243078	32002091	1956386	1957718	16.3466295963
mappingResults/GEODES005-bin.21-vs-GEODES005.depth	GEODES005-bin.21	GEODES005	215116212	93543874	7118876	7121732	13.1349893537
mappingResults/GEODES005-bin.21-vs-GEODES006.depth	GEODES005-bin.21	GEODES006	246243078	30778018	6827255	7121732	4.32170404615
mappingResults/GEODES005-bin.2-vs-GEODES005.depth	GEODES005-bin.2	GEODES005	215116212	23901234	2324748	2329227	10.2614446767
mappingResults/GEODES005-bin.2-vs-GEODES006.depth	GEODES005-bin.2	GEODES006	246243078	16766694	2302712	2329227	7.19839414535
mappingResults/GEODES005-bin.35-vs-GEODES005.depth	GEODES005-bin.35	GEODES005	215116212	25104808	2587041	2590177	9.6923136913
mappingResults/GEODES005-bin.35-vs-GEODES006.depth	GEODES005-bin.35	GEODES006	246243078	24235135	2568918	2590177	9.35655555586
mappingResults/GEODES005-bin.45-vs-GEODES005.depth	GEODES005-bin.45	GEODES005	215116212	38969868	2651582	2653206	14.6878410497
mappingResults/GEODES005-bin.45-vs-GEODES006.depth	GEODES005-bin.45	GEODES006	246243078	18293023	2627157	2653206	6.89468627766
mappingResults/GEODES005-bin.52-vs-GEODES005.depth	GEODES005-bin.52	GEODES005	215116212	28491832	2929976	2934568	9.70903792313
mappingResults/GEODES005-bin.52-vs-GEODES006.depth	GEODES005-bin.52	GEODES006	246243078	14363250	2839810	2934568	4.89450235946
mappingResults/GEODES005-bin.5-vs-GEODES005.depth	GEODES005-bin.5	GEODES005	215116212	225660409	2795612	2795612	80.7195022056
mappingResults/GEODES005-bin.5-vs-GEODES006.depth	GEODES005-bin.5	GEODES006	246243078	174415843	2795596	2795612	62.3891452033
mappingResults/GEODES005-bin.61-vs-GEODES005.depth	GEODES005-bin.61	GEODES005	215116212	22182459	2659418	2662182	8.33243519789
mappingResults/GEODES005-bin.61-vs-GEODES006.depth	GEODES005-bin.61	GEODES006	246243078	16527604	2623296	2662182	6.20829229557
mappingResults/GEODES005-bin.64-vs-GEODES005.depth	GEODES005-bin.64	GEODES005	215116212	25545451	1927970	1929520	13.2392776442
mappingResults/GEODES005-bin.64-vs-GEODES006.depth	GEODES005-bin.64	GEODES006	246243078	17864552	1921930	1929520	9.25854720345
