genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.009967922437173931,0.010629510964106874,249
3300020492-bin.7,2555680,0.009026169160458274,0.011802227471022426,165
3300020495-bin.7,5532598,0.003037271097592849,0.0031361616349413965,90
3300020497-bin.26,1115662,0.05154697390428284,0.05886081925707069,355
3300020497-bin.28,2077447,0.017946546891448974,0.019436219011593547,210
3300020497-bin.30,1842193,0.01394967845388621,0.015149754486499517,147
3300020497-bin.31,2429201,0.00273793728884518,0.0037013617954310897,51
3300020500-bin.11,1335224,0.13759264363133078,0.1593257613803168,1124
3300020500-bin.15,1886585,0.04645642788424587,0.04919682488136131,493
3300020502-bin.7,1668780,0.655194812977145,1.1564540340667073,10097
3300020508-bin.4,5675695,0.008181376906264344,0.015227745060519845,460
3300020509-bin.11,1732222,0.001847915567404178,0.0019671389435134182,17
3300020509-bin.3,3028046,0.8426718088166428,3.9481832477906993,65071
3300020509-bin.4,2331221,0.4856639503504816,0.6997599751659541,8655
3300020509-bin.9,1690287,0.001713318507448735,0.0027386198566101494,23
3300020510-bin.6,4630102,0.5868384756966477,0.9811074512912712,23773
3300020512-bin.21,2627940,0.0009216344360982367,0.0017386009400050988,27
3300020513-bin.8,2366479,0.023894570794839084,0.027146898967020154,349
3300020516-bin.14,1185293,0.20639031868069752,0.2523449956238794,1588
3300020516-bin.18,835254,0.0004166397287531697,0.0005508425493155376,3
3300020517-bin.16,4826932,0.14015921500447903,0.16824413351330175,4348
3300020518-bin.8,3501331,0.3785060595527815,0.6111964067359411,11341
3300020519-bin.18,2530461,0.11796506644441468,0.13372372131981394,1792
3300020519-bin.22,1656815,0.0026080159824723942,0.003461884557941593,35
3300020520-bin.11,2293813,0.09474704345995075,0.10488701963351203,1254
3300020521-bin.7,1576449,0.0016010667011746018,0.002230276316055261,20
3300020522-bin.12,2422381,0.0038784154928559957,0.004976015578108604,70
3300020522-bin.7,2411729,0.005610912337165577,0.009742305204619049,140
3300020523-bin.14,1566836,0.6935161050677927,1.3243858270745952,10839
3300020523-bin.3,4818280,0.050191769677146204,0.05411132628451916,1376
3300020524-bin.12,2228983,0.0027658353607901004,0.00361578135531092,45
3300020525-bin.11,1614305,0.0016675906969253022,0.001700128693608705,14
3300020528-bin.19,1077450,0.9977075502343496,16.25464347068867,94149
3300020533-bin.7,2370078,0.5776176986580188,0.9532145447810235,11936
3300020534-bin.11,2328727,0.5124160109793892,0.7851996057367138,9642
3300020534-bin.13,1337114,0.24777917215734785,0.35996689546882765,2579
3300020536-bin.4,2760056,0.9056319871770717,2.856681017975324,41988
3300020537-bin.19,4310370,0.5927604822787835,1.012351105666873,22607
3300020538-bin.10,2226241,0.004170258296383905,0.007164846887533291,89
3300020538-bin.12,2107864,0.001453604217349886,0.0018900222098593648,23
3300020538-bin.15,1233688,0.001022949076265636,0.0011319539840056805,8
3300020539-bin.14,2892631,0.4143971353414936,0.5960719287952148,9113
3300020539-bin.2,2652915,0.013029818143438444,0.018647399539778776,276
3300020539-bin.6,2963442,0.7881554624656059,2.3082600478620847,36233
3300020540-bin.12,2304448,0.014541877273863416,0.015523574435134144,187
3300020540-bin.20,900323,0.9960936241771009,9.71489257816761,46806
3300020540-bin.4,1192163,0.16692851564760858,0.21020689039375745,1321
3300020542-bin.8,4789593,0.0693271850029846,0.07915259737733032,2025
3300020543-bin.11,2546855,0.05196801545435449,0.058128093935173,765
3300020544-bin.10,1670847,0.6619983756741341,1.2424717737361588,11073
3300020544-bin.2,1167181,0.787057020290769,1.7240287091886342,10675
3300020544-bin.4,1837905,0.2720249414414782,0.34619074714055464,3346
3300020544-bin.7,6185992,0.38350841708169037,0.5249846002019426,17052
3300020546-bin.10,2648679,0.13063568669514125,0.14928452992012847,2090
3300020546-bin.16,2792585,0.8384783274278133,2.1697585042359635,32558
3300020546-bin.23,1278754,0.9157758255301646,3.017626372069859,20146
3300020547-bin.20,2389223,0.5396143432404593,0.8704837899292867,11200
3300020547-bin.4,1279585,0.20734144273338623,0.2531407696383716,1737
3300020547-bin.9,3685659,0.0045858827417294985,0.0049948817221779325,99
3300020548-bin.13,1400347,0.18058095600590426,0.22481216233110946,1659
3300020548-bin.16,3959933,0.06785594604757202,0.09613014990817746,2046
