bin	classification	completeness	contamination	size_bp	contigs	percent_gc
3300003811-bin.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__	91.68	4.64	1908775	185	45.3
3300004693-bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__	86.13	2.15	3434599	383	45.5
3300004693-bin.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__	75.83	0.27	2549945	428	45.1
3300004693-bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__	91.56	1.67	3625033	294	46.7
3300004693-bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__	97.69	1.44	2799157	143	51.8
3300004693-bin.8	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Fen-1087;g__Fen-1087;s__Fen-1087	76.26	4.41	2358597	341	50.3
3300004771-bin.13	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	94.2	0.54	2818877	275	67.2
3300004771-bin.16	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA6177;g__;s__	78.42	3.59	1360865	285	36.6
3300004771-bin.17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__	81.26	3.41	1551428	243	44.7
3300004771-bin.19	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA4655;s__	79.24	1.28	3399551	565	70.3
3300004771-bin.20	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Oscillochloris;s__	94.97	1.42	5475245	631	61
3300004771-bin.35	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	95.24	2.31	3515085	367	63
3300004772-bin.11	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__UBA10649;s__	77.5	2.44	1934223	348	62.7
3300004772-bin.20	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA4615;s__	77.16	1.22	3188018	499	63.8
3300004772-bin.21	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__PCC7001;s__	89.74	1.63	2063111	307	61.8
3300004772-bin.27	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	84.69	1.3	2480382	427	60
3300004772-bin.31	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__;g__;s__	75.88	1.72	565550	74	40.2
3300004772-bin.38	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	80.57	1.37	2351354	406	67.3
3300004772-bin.46	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	93.32	2.14	3069806	310	62.9
3300004772-bin.48	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__	78.24	1.83	3890906	674	67.3
3300004773-bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Alsobacter;s__	83.43	1.05	2744640	389	54.1
3300004773-bin.21	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA4615;s__	87.58	1.02	3291097	497	63.8
3300004773-bin.22	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__	78.73	1.05	3990513	684	67.3
3300004773-bin.28	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	85.33	1.78	2597044	425	60
3300004773-bin.31	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	79.05	1.36	2381348	404	67.3
3300004773-bin.37	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__2-12-FULL-41-12;g__;s__	77.43	1.72	553106	70	40.1
3300004773-bin.4	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__PCC7001;s__	94.04	0.74	2083558	271	61.8
3300004773-bin.40	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__;s__	90.39	2.2	1958003	306	56.9
3300004773-bin.5	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA4655;s__	79.84	6.47	3024079	527	71.6
3300004774-bin.10	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__UBA8499;s__	86.36	0.85	2449067	390	53.3
3300004774-bin.14	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__	88.34	3.38	3109582	460	59.2
3300004774-bin.18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__	78.78	3.65	3615271	726	44.5
3300004774-bin.19	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__	78.57	1.75	2777311	398	67.5
3300004774-bin.26	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__	96.67	1.43	3906696	141	46.5
3300004774-bin.34	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans;s__	84.94	2.67	2321332	350	56
3300004774-bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__	98.57	0.25	2880778	54	51.7
3300004775-bin.1	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__	75.91	3.41	3770172	724	48.9
3300004775-bin.11	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Fen-1087;g__Fen-1087;s__Fen-1087	94.19	1.51	2779398	73	50.3
3300004775-bin.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__	99.46	1.34	4025868	152	46.5
3300004775-bin.15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__	97.04	0.94	3499598	301	45.2
