genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.603319036591849,1.06621710742464,25479
3300020492-bin.7,2555680,0.007748622675765354,0.008996975794078012,123
3300020495-bin.7,5532598,0.0009153023588556407,0.0009237930709462176,32
3300020497-bin.26,1115662,0.0037385874933447585,0.004125080972177594,26
3300020497-bin.28,2077447,0.00966907940371042,0.010065913415184069,117
3300020497-bin.30,1842193,0.1689627525454716,0.19348971243739546,2016
3300020497-bin.31,2429201,0.0032142255828150903,0.004080430514889052,55
3300020500-bin.11,1335224,0.022982660587287228,0.024942608750375215,183
3300020500-bin.15,1886585,0.04285998245507094,0.045528579124071274,497
3300020502-bin.7,1668780,0.6323577703471998,1.0900651457713115,10268
3300020508-bin.4,5675695,0.004587279619500343,0.007439327716963193,245
3300020509-bin.11,1732222,0.0059230283416328855,0.006821742361089281,69
3300020509-bin.3,3028046,0.44358077783494704,0.6670822313080808,11398
3300020509-bin.4,2331221,0.40675894734990803,0.5571058411782279,7264
3300020509-bin.9,1690287,0.40008471934056167,0.5416596700297672,5179
3300020510-bin.6,4630102,0.03402344052031683,0.03784664802614802,983
3300020512-bin.21,2627940,0.0013942479660875057,0.0024260430818047597,41
3300020513-bin.8,2366479,0.002684156504241111,0.004051336819793964,52
3300020516-bin.14,1185293,0.3385365475034443,0.50922054525272,3375
3300020516-bin.18,835254,0.0026506906881020626,0.002859814458431088,15
3300020517-bin.16,4826932,0.09203257887204543,0.12240944776896205,3110
3300020518-bin.8,3501331,0.09066095150672701,0.150163419362991,3009
3300020519-bin.18,2530461,0.12034803144565358,0.13415184696028662,1844
3300020519-bin.22,1656815,0.003090870133358281,0.0032364889103971783,27
3300020520-bin.11,2293813,0.011835751214244579,0.01235928965179376,157
3300020521-bin.7,1576449,0.003174222572376271,0.003978024447637698,33
3300020522-bin.12,2422381,0.001670670303309017,0.0021200623350396165,29
3300020522-bin.7,2411729,0.03832437226570647,0.04146584024904993,550
3300020523-bin.14,1566836,0.5102346384688634,0.7709454640809201,6835
3300020523-bin.3,4818280,0.30338751587703494,0.39261844487220904,10971
3300020524-bin.12,2228983,0.0009686031701453084,0.0014112366959927462,18
3300020525-bin.11,1614305,0.004201808208486005,0.0044784987506758635,40
3300020528-bin.19,1077450,0.9608501554596501,4.1008941308880225,25369
3300020533-bin.7,2370078,0.011547721214238518,0.01706556217000242,223
3300020534-bin.11,2328727,0.1308800902810849,0.156390669446108,1992
3300020534-bin.13,1337114,0.16627602433300376,0.22424303522799183,1712
3300020536-bin.4,2760056,0.10255226705545105,0.11590018958313462,1744
3300020537-bin.19,4310370,0.47760215480341595,0.7136325253434587,17166
3300020538-bin.10,2226241,0.001581589773973258,0.00352322690740176,42
3300020538-bin.12,2107864,0.0046411912723021975,0.005037613429279402,61
3300020538-bin.15,1233688,0.00040042539118480524,0.00039514545214106,3
3300020539-bin.14,2892631,0.002791576250133529,0.003548051659371348,59
3300020539-bin.2,2652915,0.004688804579113918,0.00526282945270116,80
3300020539-bin.6,2963442,0.0626804911315963,0.07061594096005619,1123
3300020540-bin.12,2304448,0.18229094342766683,0.21574807112620922,2777
3300020540-bin.20,900323,0.7312953240114937,1.4673077814855442,7592
3300020540-bin.4,1192163,0.018221501589967142,0.0192090080176855,127
3300020542-bin.8,4789593,0.054132992093482685,0.07162093111697321,1853
3300020543-bin.11,2546855,0.05494070137483288,0.06079625963193551,870
3300020544-bin.10,1670847,0.7216064666603226,1.541610260878077,14462
3300020544-bin.2,1167181,0.5346891356182117,0.81954628857663,5428
3300020544-bin.4,1837905,0.02348162717877148,0.032873210837866755,338
3300020544-bin.7,6185992,0.027545945743221136,0.028823167352522792,1011
3300020546-bin.10,2648679,0.5201128562577798,0.7932604575458552,11757
3300020546-bin.16,2792585,0.11444414404574972,0.12668089154315548,1993
3300020546-bin.23,1278754,0.8283227266542275,1.964449521618065,13977
3300020547-bin.20,2389223,0.13038255533284251,0.15877468238070092,2123
3300020547-bin.4,1279585,0.9515467905610022,3.6649315090554366,26041
3300020547-bin.9,3685659,0.0024570911199326903,0.0030175575967210746,62
3300020548-bin.13,1400347,0.06218244477975816,0.08028876835751345,592
3300020548-bin.16,3959933,0.16789703260130917,0.22630788846498492,5098
3300020548-bin.2,4352364,0.0008657364135904075,0.000917172795190384,22
3300020548-bin.6,836275,0.9944683268063735,9.444353545571257,45089
3300020549-bin.11,2823801,0.34253971862748117,0.4764490750588359,7601
3300020551-bin.8,3712937,0.11017127411534319,0.12712338511960267,2590
3300020552-bin.15,1237357,0.12355771212350194,0.1395377771197699,885
3300020553-bin.6,3312638,0.2380024620861078,0.28946895717991633,5292
3300020555-bin.16,4405293,0.05599377839340085,0.07513623782070618,1839
3300020555-bin.7,5011034,0.5653030891428795,0.9171455319543,25862
3300020556-bin.9,1216607,0.5338387827786623,0.9854414801522017,6863
3300020557-bin.14,1790125,0.42207052580127086,0.5830099570623057,5881
3300020557-bin.24,1191111,0.8273192003096269,1.9504621636181017,13588
3300020557-bin.7,1997574,0.21119918461093307,0.25164360802481706,2615
3300020558-bin.18,831182,0.35820794964279784,0.803557359700446,3843
3300020558-bin.22,1903551,0.11407732180540474,0.12683791060890567,1368
3300020558-bin.31,2346779,0.010378480461943796,0.011594734566545466,158
3300020560-bin.28,1013543,0.38937864501062114,0.5560910904071262,3073
3300020560-bin.30,1063131,0.17910962995152996,0.20865906098501505,1228
3300020562-bin.12,1753974,0.15987808257134942,0.2433872917456199,2467
3300020562-bin.13,1336106,0.0051552795960799515,0.007970731372774018,62
3300020562-bin.20,2423354,0.5256697948380633,0.8543347645105667,11115
3300020562-bin.25,2270258,0.01082167753620954,0.015307820444696155,201
3300020562-bin.31,2425552,0.10832668192642335,0.12041534536901867,1647
3300020562-bin.36,3656038,0.000536920021071991,0.0005614918187376609,10
3300020562-bin.39,2066301,0.4685062824825618,0.6898023255034845,8084
3300020562-bin.44,1976431,0.0016899148009720552,0.0017218885000361763,17
3300020562-bin.5,2248693,0.0023004474154542215,0.002644159111245955,33
3300020563-bin.20,2115286,0.002641250403018788,0.002946798389223395,34
3300020564-bin.6,4099214,0.1772525171898808,0.2116480236609374,4866
3300020566-bin.10,3811262,0.23791305871913293,0.28818052685884155,6066
3300020566-bin.16,1947691,0.004587996761293244,0.005652849673108825,60
3300020566-bin.3,1470926,0.13057692909092639,0.150653054091205,1221
3300020568-bin.14,1134331,0.9854028497854682,5.8872643410690495,37988
3300020568-bin.25,1889639,0.1673335488947889,0.19680248617775245,2078
3300020568-bin.4,994173,0.8715002318509958,2.5163606996087213,13343
3300020569-bin.10,2480291,0.005829154724183574,0.006801231830644871,102
3300020569-bin.8,1917646,0.010309514894824175,0.010834073519946594,113
3300020570-bin.4,1660798,0.10784032736070251,0.12453936154190762,1109
3300020572-bin.32,1326201,0.005678626392228629,0.006000498190689946,43
3300020572-bin.37,2938332,0.004786048683402692,0.005729557082815081,93
3300020573-bin.11,1457006,0.08524741833595743,0.11046791067858602,922
3300020573-bin.18,3479868,0.9582498531553496,9.269856673192821,168233
3300020575-bin.17,979260,0.6750730143169332,1.2823421828214772,7200
3300020575-bin.25,1872784,0.10315925381677758,0.11283571671203292,1204
3300021108-bin.1,2974610,0.0009833221834122793,0.0010659285484335762,18
3300021140-bin.2,1811203,0.0007939474481877515,0.0009299613465787103,11
3300021140-bin.22,2658358,0.8361755640135753,2.0155650739949205,29430
3300021140-bin.31,1894949,0.05859577223450341,0.06883094492958121,739
