genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.08107378740505132,0.10461442966858969,2409
3300020492-bin.7,2555680,0.06429052150503975,0.07996214113796717,1066
3300020495-bin.7,5532598,0.012430688078186775,0.013121683156418311,370
3300020497-bin.26,1115662,0.995758572040636,8.478871895567924,48689
3300020497-bin.28,2077447,0.9944041893728215,7.199855481260558,76735
3300020497-bin.30,1842193,0.995156859243304,8.242745371833136,77742
3300020497-bin.31,2429201,0.9986637581657508,11.35235369333175,143387
3300020500-bin.11,1335224,0.1162254423227863,0.14254552351939903,988
3300020500-bin.15,1886585,0.4387196972307105,0.6126639668685323,5936
3300020502-bin.7,1668780,0.9784687016862618,5.287662168085309,45045
3300020508-bin.4,5675695,0.0023521348486837293,0.002367918207186574,71
3300020509-bin.11,1732222,0.0025851189974495188,0.019277273132375646,174
3300020509-bin.3,3028046,0.0010376328496991129,0.0010412841052301054,16
3300020509-bin.4,2331221,0.00756427640279493,0.008798981735461458,110
3300020509-bin.9,1690287,0.016183642186208613,0.024865303121378562,215
3300020510-bin.6,4630102,0.0057199603810024055,0.0058627113817535355,142
3300020512-bin.21,2627940,0.16284009528375837,0.18643683183551468,2500
3300020513-bin.8,2366479,0.004562051892283853,0.005022414779368337,62
3300020516-bin.14,1185293,0.005480501445634118,0.010682860228130343,69
3300020516-bin.18,835254,0.0001783888493799491,0.00017861641078522218,1
3300020517-bin.16,4826932,0.0010702450334912528,0.0011177872781833265,28
3300020518-bin.8,3501331,0.0008782374474164253,0.0008777222114341659,16
3300020519-bin.18,2530461,0.0010373603861114635,0.001052509418003281,14
3300020519-bin.22,1656815,0.05624345506287667,0.06339321100736288,548
3300020520-bin.11,2293813,0.006663141241243292,0.00713181237478164,86
3300020521-bin.7,1576449,0.001384123431839533,0.005719828455693777,47
3300020522-bin.12,2422381,0.00040084528404078464,0.00040634200048918814,5
3300020522-bin.7,2411729,0.174566877124254,0.20499331774204807,2557
3300020523-bin.14,1566836,0.9796998537179386,6.3679992133050956,50854
3300020523-bin.3,4818280,0.09306246212341333,0.10015851285055213,2521
3300020524-bin.12,2228983,0.001062816540099229,0.0015562382611978647,18
3300020525-bin.11,1614305,0.014694868689621849,0.01567224631522252,134
3300020528-bin.19,1077450,0.9209726669451018,3.217013917507449,17975
3300020533-bin.7,2370078,0.0013425718478463579,0.0017362361641418552,21
3300020534-bin.11,2328727,0.0019044739894371475,0.0019033984366551339,23
3300020534-bin.13,1337114,0.2833124176397824,0.5552282489273068,3863
3300020536-bin.4,2760056,0.0004952798059169814,0.0005005450932513688,7
3300020537-bin.19,4310370,0.001292696450652728,0.0013228952696005215,29
3300020538-bin.10,2226241,0.00256351401308304,0.00479004194882827,57
3300020538-bin.12,2107864,0.4266385307591002,0.6097830701928043,6890
3300020538-bin.15,1233688,0.006939355817678376,0.009673349387130296,67
3300020539-bin.14,2892631,0.002000946543129767,0.0020946360087878476,32
