Bin	Id	#	markers	marker	Contamination	ambiguous	#
3300020480-bin.1	k__Bacteria	10.34	0.00	351521	112	36.8	392
3300020480-bin.2	k__Bacteria	50.17	0.00	602996	127	42.2	705
3300020480-bin.3	k__Bacteria	49.25	3.01	582606	130	29.6	730
3300020480-bin.4	k__Bacteria	45.63	0.00	471435	106	29.4	582
3300020480-bin.5	k__Bacteria	36.36	0.86	385573	101	46.0	462
3300020481-bin.1	k__Bacteria	30.66	0.00	582271	155	66.9	688
3300020481-bin.2	p__Cyanobacteria	95.82	0.56	4197120	262	37.1	3939
3300020482-bin.1	k__Bacteria	47.41	0.00	755270	162	46.0	895
3300020482-bin.2	c__Betaproteobacteria	20.31	0.00	211016	53	36.4	274
3300020483-bin.1	k__Bacteria	67.79	0.00	1330508	95	34.8	1330
3300020483-bin.2	k__Bacteria	55.17	3.45	962323	164	45.9	1070
3300020483-bin.3	k__Bacteria	35.43	0.71	296642	63	28.7	372
3300020483-bin.4	o__Actinomycetales	70.25	0.00	1045637	102	42.3	1134
3300020483-bin.5	o__Actinomycetales	78.80	2.06	1091477	73	40.8	1156
3300020483-bin.6	root	4.17	0.00	246958	69	46.0	300
3300020484-bin.1	p__Cyanobacteria	45.31	0.11	1697010	446	42.5	1783
3300020484-bin.2	k__Bacteria	63.09	0.00	811850	152	45.9	925
3300020484-bin.3	c__Betaproteobacteria	35.65	0.00	348613	87	36.8	440
3300020485-bin.1	k__Bacteria	6.78	0.00	210567	51	29.8	263
3300020485-bin.2	o__Actinomycetales	52.25	2.84	652083	141	40.9	771
3300020485-bin.3	c__Betaproteobacteria	16.15	0.03	204882	52	36.7	254
3300020485-bin.4	k__Bacteria	57.76	0.00	898192	153	45.9	989
3300020485-bin.5	p__Cyanobacteria	95.58	1.67	4297039	268	37.0	4050
3300020485-bin.6	k__Bacteria	18.97	0.00	520663	135	46.2	611
3300020485-bin.7	k__Bacteria	30.17	1.72	358629	89	39.1	427
3300020485-bin.8	o__Actinomycetales	37.84	0.34	543006	139	42.3	648
3300020485-bin.9	k__Bacteria	25.71	1.61	218470	61	29.2	265
3300020486-bin.1	k__Bacteria	52.16	0.86	762435	160	45.8	879
3300020486-bin.2	k__Bacteria	54.24	0.11	535470	115	29.3	666
3300020486-bin.3	o__Actinomycetales	56.28	0.34	756114	137	42.3	882
3300020486-bin.4	k__Bacteria	12.76	0.00	347901	107	42.4	351
3300020486-bin.5	k__Bacteria	19.98	0.00	238050	64	29.1	304
3300020486-bin.6	p__Cyanobacteria	97.05	0.22	4237138	188	37.1	3876
3300020487-bin.1	o__Actinomycetales	48.43	0.26	614239	135	40.6	712
3300020487-bin.2	k__Bacteria	58.93	0.00	793870	149	45.9	914
3300020487-bin.3	p__Cyanobacteria	97.79	0.67	4375691	203	37.0	4024
3300020487-bin.4	o__Actinomycetales	18.78	0.53	300119	81	42.1	363
3300020488-bin.1	p__Cyanobacteria	44.51	0.29	1904522	490	42.0	2049
3300020488-bin.2	k__Bacteria	67.24	1.72	1030247	160	45.9	1140
3300020488-bin.3	o__Actinomycetales	69.46	1.73	1007702	166	44.1	1149
3300020488-bin.4	k__Bacteria	34.28	0.00	409772	99	39.9	482
3300020488-bin.5	k__Bacteria	61.66	1.20	613699	143	29.5	762
3300020488-bin.6	k__Bacteria	26.72	0.00	298998	77	39.5	360
3300020488-bin.7	o__Actinomycetales	51.33	1.53	724030	151	42.1	846
3300020488-bin.8	o__Burkholderiales	24.26	0.41	403302	114	45.8	509
3300020489-bin.1	k__Bacteria	38.95	3.45	659132	158	46.3	740
3300020489-bin.2	k__Bacteria	21.97	0.00	390278	112	66.7	459
3300020489-bin.3	k__Bacteria	28.45	0.00	400506	105	38.7	488
3300020489-bin.4	o__Actinomycetales	24.63	0.00	316825	89	42.2	405
3300020489-bin.5	k__Bacteria	37.10	1.72	385407	97	40.0	477
3300020489-bin.6	k__Bacteria	55.64	0.86	779562	150	46.0	886
3300020489-bin.7	k__Bacteria	53.91	1.72	596646	132	39.9	711
3300020489-bin.8	k__Bacteria	8.62	0.00	391908	118	40.9	420
3300020490-bin.1	o__Actinomycetales	18.28	0.00	223709	68	42.2	275
3300020490-bin.2	k__Bacteria	32.76	0.00	495734	110	46.5	573
3300020490-bin.3	k__Bacteria	45.69	0.00	633577	135	46.0	727
3300020490-bin.4	o__Actinomycetales	36.24	0.53	416374	103	39.7	499
3300020490-bin.5	k__Bacteria	20.71	0.00	276031	66	29.3	344
3300020490-bin.6	p__Cyanobacteria	98.16	0.00	4413662	111	37.0	4024
3300020491-bin.1	k__Bacteria	39.93	0.00	803248	208	58.3	887
3300020491-bin.2	k__Bacteria	11.49	0.00	231798	59	29.4	303
3300020491-bin.3	k__Bacteria	43.10	0.00	608968	124	45.9	692
3300020491-bin.4	k__Bacteria	32.82	0.00	456364	111	39.7	549
3300020491-bin.5	k__Bacteria	26.45	0.00	501488	109	46.3	587
3300020491-bin.6	p__Cyanobacteria	99.15	0.22	4439240	127	37.0	4061
3300020491-bin.7	k__Bacteria	18.10	0.00	227295	63	42.0	283
3300020492-bin.1	o__Actinomycetales	68.02	0.79	881226	100	40.2	965
3300020492-bin.10	k__Bacteria	46.18	0.86	637454	134	41.1	727
3300020492-bin.11	k__Bacteria	49.11	0.11	500319	107	29.1	600
3300020492-bin.12	o__Actinomycetales	74.36	4.32	948371	111	40.0	1039
3300020492-bin.13	k__Bacteria	21.55	0.00	233675	69	38.5	299
3300020492-bin.14	o__Actinomycetales	67.14	0.53	1003028	126	42.3	1091
3300020492-bin.15	root	0.00	0.00	371092	76	39.8	437
3300020492-bin.16	root	0.00	0.00	200065	49	62.1	231
3300020492-bin.17	k__Bacteria	41.48	0.00	519749	121	62.4	605
3300020492-bin.2	k__Bacteria	35.27	0.00	467846	102	40.0	540
3300020492-bin.3	k__Bacteria	55.81	0.67	639786	116	29.6	747
3300020492-bin.4	o__Actinomycetales	76.12	3.11	1019048	157	45.1	1173
3300020492-bin.5	o__Actinomycetales	59.88	0.69	834851	163	49.3	972
3300020492-bin.6	c__Betaproteobacteria	89.96	2.56	1111350	90	37.1	1224
3300020492-bin.7	k__Bacteria	94.16	0.36	2555680	219	41.3	2387
3300020492-bin.8	k__Archaea	2.23	0.00	270240	38	31.1	303
3300020492-bin.9	root	0.00	0.00	318748	54	34.9	345
3300020493-bin.1	o__Actinomycetales	62.47	3.86	805339	150	40.7	933
3300020493-bin.10	k__Bacteria	82.43	4.34	1359440	243	54.2	1587
3300020493-bin.11	k__Bacteria	58.62	1.72	807703	187	45.9	946
3300020493-bin.12	k__Bacteria	24.73	0.00	295445	67	29.2	378
3300020493-bin.13	c__Betaproteobacteria	59.28	1.28	664119	145	37.0	806
3300020493-bin.14	k__Bacteria	60.97	0.93	956427	210	51.9	1158
3300020493-bin.15	k__Bacteria	48.63	1.54	728969	161	63.3	833
3300020493-bin.16	o__Actinomycetales	45.88	0.71	632539	152	38.7	750
3300020493-bin.17	k__Bacteria	20.55	0.00	300985	82	51.3	375
3300020493-bin.18	k__Bacteria	35.69	0.93	531031	142	51.1	668
3300020493-bin.19	k__Bacteria	23.07	0.00	245465	66	42.1	306
3300020493-bin.2	o__Actinomycetales	18.78	0.00	265942	73	43.6	317
3300020493-bin.3	k__Bacteria	18.73	0.00	234849	52	29.5	280
3300020493-bin.4	k__Archaea	4.91	0.50	438214	47	30.8	439
3300020493-bin.5	o__Actinomycetales	34.70	0.54	417503	102	39.9	496
3300020493-bin.6	p__Cyanobacteria	66.29	0.45	2572022	558	37.1	2739
3300020493-bin.7	k__Bacteria	71.17	2.88	795995	174	62.7	917
3300020493-bin.8	k__Archaea	4.91	0.50	497139	25	28.0	520
3300020493-bin.9	k__Bacteria	26.68	0.00	1467713	375	36.9	1642
3300020494-bin.1	o__Actinomycetales	23.61	0.29	301918	85	49.0	375
3300020494-bin.2	k__Bacteria	22.84	0.00	220126	64	43.9	295
3300020494-bin.3	root	4.17	0.00	275966	86	41.2	345
3300020494-bin.4	k__Bacteria	39.66	0.00	509579	122	45.8	599
3300020495-bin.1	k__Archaea	0.60	0.14	345514	85	24.0	373
3300020495-bin.10	o__Actinomycetales	32.43	0.20	545188	137	47.9	657
3300020495-bin.11	k__Bacteria	40.91	1.03	771808	189	51.6	928
3300020495-bin.12	o__Actinomycetales	61.96	1.48	921429	153	38.7	1070
3300020495-bin.13	k__Archaea	2.52	0.07	387407	72	27.1	425
3300020495-bin.14	o__Actinomycetales	77.89	1.49	894304	149	50.2	1011
3300020495-bin.15	root	0.00	0.00	283579	22	28.6	443
3300020495-bin.16	k__Bacteria	91.97	4.27	1884725	129	51.3	1981
3300020495-bin.17	root	0.00	0.00	332397	37	26.1	302
3300020495-bin.2	k__Bacteria	80.29	2.56	1314620	216	54.1	1518
3300020495-bin.3	k__Bacteria	8.78	0.00	217718	67	51.2	277
3300020495-bin.4	k__Bacteria	38.30	0.00	822625	154	49.1	870
3300020495-bin.5	o__Actinomycetales	66.71	1.45	1029245	168	49.1	1059
3300020495-bin.6	k__Archaea	1.73	0.00	228362	24	30.3	229
3300020495-bin.7	k__Bacteria	98.24	0.00	5532598	466	51.5	4396
3300020495-bin.8	k__Archaea	3.20	0.50	400829	70	23.8	382
3300020495-bin.9	k__Bacteria	37.93	0.00	441275	117	38.2	542
3300020496-bin.1	k__Bacteria	78.63	1.28	1606726	220	51.6	1767
3300020496-bin.10	o__Actinomycetales	75.03	1.58	1101057	114	38.7	1216
3300020496-bin.2	o__Actinomycetales	46.26	0.00	641389	119	42.0	754
3300020496-bin.3	o__Actinomycetales	53.97	0.70	641659	107	40.1	731
3300020496-bin.4	c__Betaproteobacteria	84.73	0.66	1027185	108	36.9	1167
