genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.36319572719654714,0.4894486818224605,11107
3300020492-bin.7,2555680,0.003356053966067739,0.0066562213460092425,85
3300020495-bin.7,5532598,0.0006721977631485244,0.0006818408242497828,19
3300020497-bin.26,1115662,0.04227714128472602,0.04571757078234718,254
3300020497-bin.28,2077447,0.04964218100389565,0.05412087154721298,569
3300020497-bin.30,1842193,0.11479958940241332,0.12726526820939607,1181
3300020497-bin.31,2429201,0.005125141970549164,0.006628234117733238,83
3300020500-bin.11,1335224,0.15153861823933662,0.17256069476999444,1165
3300020500-bin.15,1886585,0.037482541205405534,0.03924551850330888,366
3300020502-bin.7,1668780,0.8350843130910006,2.065555596506076,17292
3300020508-bin.4,5675695,0.011750279040716599,0.018098211633913078,520
3300020509-bin.11,1732222,0.15873080933044378,0.18490295430550183,1637
3300020509-bin.3,3028046,0.344757312141229,0.56816509257681,8946
3300020509-bin.4,2331221,0.30849970895080303,0.3849388563722617,4632
3300020509-bin.9,1690287,0.4421970943396003,0.6257163963117978,5349
3300020510-bin.6,4630102,0.22985865106211484,0.2767357894832777,6462
3300020512-bin.21,2627940,0.0019364977891428267,0.004063771843547417,56
3300020513-bin.8,2366479,0.003598595212549953,0.007366838348395148,88
3300020516-bin.14,1185293,0.9171116340010445,3.946683230360424,23501
3300020516-bin.18,835254,0.24369712686200845,0.3005441435928209,1324
3300020517-bin.16,4826932,0.23368466761081366,0.30101901146442445,7332
3300020518-bin.8,3501331,0.7428877761057152,1.9819059253940965,36050
3300020519-bin.18,2530461,0.07593991766717606,0.08178582609538347,1056
3300020519-bin.22,1656815,0.003579759961130241,0.0051038668092858895,44
3300020520-bin.11,2293813,0.005806053065354499,0.00845047106807582,97
3300020521-bin.7,1576449,0.15318478428417284,0.17872654688789108,1431
3300020522-bin.12,2422381,0.003134106484487783,0.005676030977412677,75
3300020522-bin.7,2411729,0.024920710411493165,0.02834151414718817,360
3300020523-bin.14,1566836,0.8779253221141204,2.6229486244742715,20562
3300020523-bin.3,4818280,0.3882101081713807,0.518463645128345,12657
3300020524-bin.12,2228983,0.0026074671722485098,0.0031077663315700475,40
3300020525-bin.11,1614305,0.001528831292723494,0.001891325012901403,16
3300020528-bin.19,1077450,0.9949046359459836,9.814279425443685,53762
3300020533-bin.7,2370078,0.6392460501299957,1.119838738031672,13317
3300020534-bin.11,2328727,0.34867504864245574,0.5907556836665655,7052
3300020534-bin.13,1337114,0.256583208312829,0.38150039686972187,2581
3300020536-bin.4,2760056,0.3724163567695728,0.5047831371419815,7129
3300020537-bin.19,4310370,0.45267645236951815,0.6636347172988838,14344
3300020538-bin.10,2226241,0.0021839504348361207,0.005175048553516533,63
3300020538-bin.12,2107864,0.004534922556673485,0.005321165506610247,63
3300020538-bin.15,1233688,0.00028127046708730245,0.00035064561977015253,3
3300020539-bin.14,2892631,0.05249684456814575,0.06620845447932662,970
3300020539-bin.2,2652915,0.49289969712561466,0.721928281175058,9841
3300020539-bin.6,2963442,0.22184034646198575,0.2869869289205639,4343
3300020540-bin.12,2304448,0.23584216263504318,0.30414661113350316,3510
3300020540-bin.20,900323,0.838467972050031,2.1211233441639292,9682
3300020540-bin.4,1192163,0.020044238916993733,0.02136180199927024,124
3300020542-bin.8,4789593,0.14391034895866936,0.16745109425953886,4075
3300020543-bin.11,2546855,0.006653696421665151,0.008480563246777142,108
3300020544-bin.10,1670847,0.5685361975094069,1.0025610202296018,8565
3300020544-bin.2,1167181,0.8808573820170137,2.4079334848325153,14220
3300020544-bin.4,1837905,0.037421955977049955,0.05865821634305391,554
3300020544-bin.7,6185992,0.05462470691846999,0.06124258691109295,1906
3300020546-bin.10,2648679,0.9908482681366825,6.6739034012433756,89430
3300020546-bin.16,2792585,0.5210720533126117,0.8156674725813918,11743
3300020546-bin.23,1278754,0.5090713303731601,0.780815664412389,4994
3300020547-bin.20,2389223,0.983741576236291,6.881006614400331,84616
3300020547-bin.4,1279585,0.9992231856422199,18.611563900205134,120033
3300020547-bin.9,3685659,0.996761501810124,9.777695573221424,186116
3300020548-bin.13,1400347,0.10701490416303959,0.1358224561654533,965
3300020548-bin.16,3959933,0.28772683780255875,0.49010280125712974,10049
3300020548-bin.2,4352364,0.015146251554327717,0.021906889608236994,486
3300020548-bin.6,836275,0.9961280679202416,12.363633145179877,53014
3300020549-bin.11,2823801,0.40311941245151484,0.6956257537871307,10143
3300020551-bin.8,3712937,0.6968327229899134,1.508773727997402,29159
3300020552-bin.15,1237357,0.041918379255138166,0.04591533677653985,290
3300020553-bin.6,3312638,0.7525977785680174,1.7177845885557108,29100
3300020555-bin.16,4405293,0.07510011252372997,0.08619722719508924,1923
3300020555-bin.7,5011034,0.5026048516134595,0.7573557247662122,19188
3300020556-bin.9,1216607,0.5993570643601426,1.192522837515443,7350
3300020557-bin.14,1790125,0.9589956008658613,4.096868336995347,37400
3300020557-bin.24,1191111,0.9868139913072753,5.749642877854874,35183
3300020557-bin.7,1997574,0.21327970828615112,0.25329411404428676,2558
3300020558-bin.18,831182,0.5272262873835093,1.2867177048784588,5529
3300020558-bin.22,1903551,0.0915168545523603,0.10533390713495888,1015
3300020558-bin.31,2346779,0.10801656227535698,0.12140254943410271,1459
3300020560-bin.28,1013543,0.729765782014182,1.5089358247645341,7720
3300020560-bin.30,1063131,0.17428990406638503,0.19759525924790072,1047
3300020562-bin.12,1753974,0.1440802429226431,0.21766724925462455,1969
3300020562-bin.13,1336106,0.0391855137242105,0.04557069375764197,316
3300020562-bin.20,2423354,0.016276614972472035,0.017180291255529563,215
3300020562-bin.25,2270258,0.011375799578726295,0.0167744123191373,206
3300020562-bin.31,2425552,0.25248149699532313,0.308732824013036,3800
3300020562-bin.36,3656038,0.0006173349401729413,0.0006689905840505487,11
3300020562-bin.39,2066301,0.2148530151221918,0.2591013984549327,2729
3300020562-bin.44,1976431,0.020353354101408042,0.020998482464718474,213
3300020562-bin.5,2248693,0.00440077858560506,0.005079309642136789,60
3300020563-bin.20,2115286,0.007633010382520378,0.008334299810094144,91
3300020564-bin.6,4099214,0.4660832540091832,0.7114173385271939,14980
3300020566-bin.10,3811262,0.07164162421790997,0.07928749047740588,1511
3300020566-bin.16,1947691,0.6432432043891972,1.117306327617061,11092
3300020566-bin.3,1470926,0.5564508343723613,0.8977788503606435,6608
3300020568-bin.14,1134331,0.9752488471178166,4.788251844362008,27836
3300020568-bin.25,1889639,0.6549081597066952,1.1952442489830541,11450
3300020568-bin.4,994173,0.8596954453601133,2.3386575839533967,11704
3300020569-bin.10,2480291,0.25635379074471504,0.32209636148974835,4064
3300020569-bin.8,1917646,0.039905175407765565,0.04452081816460043,426
3300020570-bin.4,1660798,0.6811906083701931,1.27961724694338,10693
3300020572-bin.32,1326201,0.03608276573460584,0.037841583570680466,251
3300020572-bin.37,2938332,0.020084524144991105,0.022688651744921125,337
3300020573-bin.11,1457006,0.13090337308151098,0.18137536493727893,1338
3300020573-bin.18,3479868,0.7701306486337988,2.044907680639804,35542
3300020575-bin.17,979260,0.7094418234176827,1.5914082930125,7936
3300020575-bin.25,1872784,0.08394561252125178,0.0943701079387431,892
3300021108-bin.1,2974610,0.0016503003755114116,0.002353198929152729,38
3300021140-bin.2,1811203,0.0007713105598875444,0.0008971357465877652,10
3300021140-bin.22,2658358,0.06124005871293483,0.06556648292290015,886
3300021140-bin.31,1894949,0.20518810796491094,0.24587029846050087,2384
3300021140-bin.33,1172618,0.5521874984010138,0.901605582067664,5366
3300021140-bin.34,1682713,0.7796599895525856,1.8037972484800897,15481
3300021140-bin.57,1350024,0.1985112857252908,0.2343620972527805,1611
3300021141-bin.17,3723396,0.009179791781481208,0.011308559631030377,211
3300021141-bin.24,1339146,0.33689530491820907,0.5237841481623557,3514
