genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9230953947072021,8.254260332086785,188152
3300020492-bin.7,2555680,0.024211951418017904,0.027710060302961442,364
3300020495-bin.7,5532598,0.0052982342111246835,0.00546379826096626,152
3300020497-bin.26,1115662,0.9701486650974936,5.780524849282668,33263
3300020497-bin.28,2077447,0.852679755488347,2.131723266262895,22686
3300020497-bin.30,1842193,0.9284325800825429,3.161486945348994,29772
3300020497-bin.31,2429201,0.06156592229296794,0.06970579497609586,867
3300020500-bin.11,1335224,0.7909399471549343,1.8058880980994199,12334
3300020500-bin.15,1886585,0.9953042136982961,9.682313224601117,93758
3300020502-bin.7,1668780,0.9305978019870804,3.220308414674973,27427
3300020508-bin.4,5675695,0.0219470919420441,0.022457088122433987,661
3300020509-bin.11,1732222,0.0024217450188255317,0.01455602312157795,133
3300020509-bin.3,3028046,0.005390605030438771,0.005845752537056899,92
3300020509-bin.4,2331221,0.005122208490743692,0.005878196114323526,74
3300020509-bin.9,1690287,0.0061320947271084735,0.01075192275150847,98
3300020510-bin.6,4630102,0.011016387975902042,0.011347619896211383,269
3300020512-bin.21,2627940,0.07527645227821031,0.09350633219430847,1260
3300020513-bin.8,2366479,0.13237514467696523,0.3464154139841218,4263
3300020516-bin.14,1185293,0.003615139885243564,0.006248063506280895,42
3300020517-bin.16,4826932,0.00794024030170717,0.008409110264372736,201
3300020518-bin.8,3501331,0.00043412062441397286,0.00044095930919287545,8
3300020519-bin.18,2530461,0.007843630073729648,0.008231795333982503,106
3300020519-bin.22,1656815,0.029828918738664244,0.0326190604379306,279
3300020520-bin.11,2293813,0.9871188279079419,6.117059055218455,72141
3300020521-bin.7,1576449,0.0014983040999106219,0.0033069615628275955,29
3300020522-bin.12,2422381,0.0027394534550923243,0.004988631960026684,59
3300020522-bin.7,2411729,0.7435093246380501,1.9574123496238554,24213
3300020523-bin.14,1566836,0.9879355593055048,7.8147658772468205,62320
3300020523-bin.3,4818280,0.058769311870626034,0.062272398885491666,1564
3300020524-bin.12,2228983,0.004473789167526177,0.004873990113808406,57
3300020525-bin.11,1614305,0.045840779778294684,0.05095158120120918,426
3300020528-bin.19,1077450,0.9475660123439603,3.9886937627270873,22255
3300020533-bin.7,2370078,0.003304110666400009,0.007949351309801619,95
3300020534-bin.11,2328727,0.0036504923075998176,0.004180435713529022,52
3300020534-bin.13,1337114,0.5065948004433429,0.9030700708540634,6195
3300020536-bin.4,2760056,0.0010065013173645753,0.0012191540740858157,20
3300020537-bin.19,4310370,0.0010189380494017915,0.0010419443400977175,23
3300020538-bin.10,2226241,0.48897491331801,0.7197773845087113,8448
3300020538-bin.12,2107864,0.7048984184937928,1.4713332354304083,16354
3300020538-bin.15,1233688,0.3350879638936263,0.4377245514526802,2728
3300020539-bin.14,2892631,0.05539144121735541,0.058874174292484566,883
3300020539-bin.2,2652915,0.01535141532992953,0.01788788733792248,257
3300020539-bin.6,2963442,0.08640459303742068,0.09512598401509292,1453
3300020540-bin.12,2304448,0.9282678541672452,3.669005855296747,42846
3300020540-bin.20,900323,0.9883908330676879,7.526202493105478,35014
3300020540-bin.4,1192163,0.9749690268864241,5.836173549784885,35455
3300020542-bin.8,4789593,0.15966074779214018,0.3574832915722925,8952
3300020543-bin.11,2546855,0.03506010353946338,0.038042307213853585,489
