genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9999860336453987,241.03755050027706,5563885
3300020492-bin.7,2555680,0.002074594628435485,0.004373716768202912,61
3300020495-bin.7,5532598,0.0022654817863144946,0.002346263984756746,70
3300020497-bin.26,1115662,0.27774809933474476,0.44821750661727305,2650
3300020497-bin.28,2077447,0.2801082289945303,0.34263189832112106,3677
3300020497-bin.30,1842193,0.20414256269565675,0.24103414553798977,2296
3300020497-bin.31,2429201,0.008422522467263927,0.01508040749222106,192
3300020500-bin.11,1335224,0.9455604452885807,3.5381651847142503,24312
3300020500-bin.15,1886585,0.6614925911103926,1.1907960513198232,11648
3300020502-bin.7,1668780,0.4159074293795467,0.5654876690342513,4901
3300020508-bin.4,5675695,0.08635083456739659,0.09243875101978392,2732
3300020509-bin.11,1732222,0.0020615140553578003,0.0036596829805238588,34
3300020509-bin.3,3028046,0.002224536879558633,0.002233639417941609,36
3300020509-bin.4,2331221,0.8545770649801113,2.254352138200003,27547
3300020509-bin.9,1690287,0.001906185162638061,0.0024475770332334098,21
3300020510-bin.6,4630102,0.009946217167569958,0.01017017735375408,241
3300020512-bin.21,2627940,0.008018067383578012,0.017052890424373846,243
3300020513-bin.8,2366479,0.10533962059244979,0.20257996075928814,2516
3300020516-bin.14,1185293,0.017054011117926118,0.023720349690951607,153
3300020516-bin.18,835254,0.000428612134751824,0.00042936320087458426,2
3300020517-bin.16,4826932,0.17870626725215935,0.23854895408045276,5953
3300020518-bin.8,3501331,0.007490294405184771,0.008239951536623472,155
3300020519-bin.18,2530461,0.0001517510050540198,0.00015322079489349966,2
3300020519-bin.22,1656815,0.001601265077875321,0.0024763464849895736,26
3300020520-bin.11,2293813,0.9050476215803119,2.892846189392073,34524
3300020521-bin.7,1576449,0.0014805426626551192,0.0022735494083297334,18
3300020522-bin.12,2422381,0.12993331767380936,0.17084132016465045,2148
3300020522-bin.7,2411729,0.6952522443442029,1.6345966341663263,20496
3300020523-bin.14,1566836,0.5946729587525433,1.0046138884371487,8055
3300020523-bin.3,4818280,0.0016447778045277567,0.001736375936115232,46
3300020524-bin.12,2228983,0.001429800047824501,0.0014645996979639592,16
3300020528-bin.19,1077450,0.992867418441691,7.903659681741886,44935
3300020533-bin.7,2370078,0.00489477561497976,0.009443008045682884,115
3300020534-bin.11,2328727,0.5227156296122302,0.8157485088934817,9870
3300020534-bin.13,1337114,0.9146879024525957,3.1768156084653234,22209
3300020536-bin.4,2760056,0.0014648253513696824,0.0070952060283012,184
3300020537-bin.19,4310370,0.005946589271918652,0.006083819291409787,136
3300020538-bin.10,2226241,0.26695133186389075,0.3354392822672675,3951
3300020538-bin.12,2107864,0.01978875297457521,0.02299055051702198,257
3300020538-bin.15,1233688,0.06766702764394239,0.07598708902434162,489
3300020539-bin.14,2892631,0.0028621002817158497,0.0032904449899974104,47
3300020539-bin.2,2652915,0.007385460898671838,0.009111265382471959,128
3300020539-bin.6,2963442,0.002267633380373228,0.0026703707715975884,51
3300020540-bin.12,2304448,0.1080106819507318,0.12063558011107248,1420
3300020540-bin.20,900323,0.996998854855424,13.3612744416354,63296
3300020540-bin.4,1192163,0.6632490691289697,2.0121619398725943,12464
3300020542-bin.8,4789593,0.16852893346052578,2.314034642091321,59204
3300020543-bin.11,2546855,0.0002795604775301303,0.0007414962241666683,12
3300020544-bin.10,1670847,0.5513802281118498,0.9653455634374967,8381
3300020544-bin.2,1167181,0.0174617304428362,0.030706395873804065,201
3300020544-bin.4,1837905,0.0019500463843343371,0.002213522703739475,23
3300020544-bin.7,6185992,0.0015058215400213903,0.0015488424135481423,50
3300020546-bin.10,2648679,0.0028999361568540394,0.002994325161091397,43
3300020546-bin.16,2792585,0.005944671334981747,0.007252771362254184,110
3300020546-bin.23,1278754,0.875826781382502,2.459206416052815,16165
3300020547-bin.20,2389223,0.006808071075826744,0.006944587136520536,90
3300020547-bin.4,1279585,0.0525537576636175,0.061558919211468596,425
3300020547-bin.9,3685659,9.197812385790438e-05,0.000250749042143074,6
3300020548-bin.13,1400347,0.002666481950545115,0.023620629048422995,178
3300020548-bin.16,3959933,0.009077426309990599,0.009683385756393052,199
3300020548-bin.2,4352364,0.00037887456104314805,0.00038330008284509287,8
3300020548-bin.6,836275,0.9991773041164689,31.043941439965323,136211
3300020549-bin.11,2823801,0.002861037303974324,0.0029325078081824476,44
3300020551-bin.8,3712937,0.004114801840160498,0.0041245202136734604,80
3300020552-bin.15,1237357,0.01142030957920794,0.012963945729960713,81
3300020553-bin.6,3312638,0.0039826265351058585,0.006776112574811162,122
3300020555-bin.16,4405293,0.0028052617612494787,0.017521807229262616,405
3300020555-bin.7,5011034,0.007862848266445607,0.008105425852844681,209
3300020556-bin.9,1216607,0.13924956867747762,0.7534036822180961,4874
3300020557-bin.14,1790125,0.0029562181411912575,0.004075701744614705,40
3300020557-bin.24,1191111,0.9965905780401658,9.362458562137197,59339
3300020557-bin.7,1997574,0.05062490801342028,0.054785502882840884,563
3300020558-bin.18,831182,0.36079943983387514,2.1106249730906206,9301
3300020558-bin.22,1903551,0.3217449913346162,0.4215558007136504,4146
3300020558-bin.31,2346779,0.5054971090162304,0.7809235844943003,9767
3300020560-bin.28,1013543,0.6171420452807627,1.1551804395722327,6029
3300020560-bin.30,1063131,0.9210981525324725,3.396951077786708,18599
3300020562-bin.12,1753974,0.27957369949611566,0.3951825729896789,3590
3300020562-bin.13,1336106,0.02955903199297062,0.048090692089985745,360
3300020562-bin.20,2423354,0.12815131425289084,0.14463407491247085,1838
3300020562-bin.25,2270258,0.029962233367308914,0.03932941086266806,470
3300020562-bin.31,2425552,0.009298089671959208,0.011008362506645252,147
3300020562-bin.36,3656038,0.00742908033231602,0.00785632910888831,146
3300020562-bin.39,2066301,0.597431835923227,1.061002131388435,11478
3300020562-bin.44,1976431,0.011245016901677823,0.012410698671182043,128
3300020562-bin.5,2248693,0.21142503667686074,0.25182945942695906,2953
3300020563-bin.20,2115286,0.05519064561482466,0.06048301154549833,674
3300020564-bin.6,4099214,0.09356403447099859,0.10309589218319935,2214
3300020566-bin.10,3811262,0.0016986499484947506,0.0017509402075996873,34
3300020566-bin.16,1947691,0.25224791817593245,0.31364334385735776,3217
3300020566-bin.3,1470926,0.0011978848698031036,0.001219228624399868,9
3300020568-bin.14,1134331,0.9555015246872386,3.9302929423285606,23291
3300020568-bin.25,1889639,0.0026169019585222364,0.005661065082538411,56
3300020568-bin.4,994173,0.9306126800868662,3.737940707229933,19130
3300020569-bin.10,2480291,0.0018364780584213707,0.0033476226757473216,48
3300020569-bin.8,1917646,0.02109878465577067,0.023055550276465518,221
3300020570-bin.4,1660798,0.0964024523150919,0.11231458694681834,951
3300020572-bin.32,1326201,0.026062414370069092,0.02920947467348999,205
3300020572-bin.37,2938332,0.03415611306006265,0.036430321140577274,546
3300020573-bin.11,1457006,0.2256387413641399,0.4437822369248569,3412
3300020573-bin.18,3479868,0.9257089636733348,7.3759148195891555,129751
3300020575-bin.17,979260,0.9199344402916488,3.3676410919471844,17417
3300020575-bin.25,1872784,0.30198891062717326,0.3903908605298078,3784
3300021108-bin.1,2974610,0.008397739535602987,0.010169870690549346,164
3300021140-bin.2,1811203,0.043495952690007694,0.05956493916767621,571
3300021140-bin.22,2658358,0.0775647975178663,0.09505756285717168,1322
