genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.158007676989755,0.18453258987523893,4250
3300020492-bin.7,2555680,0.0040748450510236026,0.007643914765989756,106
3300020495-bin.7,5532598,0.00010031453577505541,0.00010233138067775755,3
3300020497-bin.26,1115662,0.006800446730282111,0.008511501298824824,47
3300020497-bin.28,2077447,0.004672562043700754,0.005226063174849901,54
3300020497-bin.30,1842193,0.09257607644801603,0.10072772129061068,956
3300020497-bin.31,2429201,0.002998516796263463,0.0042387239335402865,55
3300020500-bin.11,1335224,0.009010473149074612,0.01198149417651218,90
3300020500-bin.15,1886585,0.014043894126159171,0.014374648424919893,139
3300020502-bin.7,1668780,0.4382800608828006,0.6153073192103815,5244
3300020508-bin.4,5675695,0.011709402989413632,0.016854008517667603,484
3300020509-bin.11,1732222,0.7295254303432239,1.4852728920475031,13153
3300020509-bin.3,3028046,0.5228520306494684,0.9821092346632213,15623
3300020509-bin.4,2331221,0.8773771341284246,2.427857836313399,29384
3300020509-bin.9,1690287,0.7430016322671831,1.524831680331702,13194
3300020510-bin.6,4630102,0.08769698810091009,0.09816314241152047,2305
3300020512-bin.21,2627940,0.0018071188839927851,0.0026550104921280546,39
3300020513-bin.8,2366479,0.001913391160453991,0.004259005567006257,53
3300020516-bin.14,1185293,0.9978739434047109,9.697551859097123,58216
3300020516-bin.18,835254,0.998967978602916,9.697234172823237,43719
3300020517-bin.16,4826932,0.07927768611614996,0.09345254991994938,2306
3300020518-bin.8,3501331,0.35387342699104996,0.5449090372151792,9961
3300020519-bin.18,2530461,0.24658787469951127,0.2992034170735787,3855
3300020519-bin.22,1656815,0.0026780298343508477,0.004735318586406328,41
3300020520-bin.11,2293813,0.00261398814986226,0.0030159372775298158,36
3300020521-bin.7,1576449,0.7164069373636572,1.4211865038416842,11471
3300020522-bin.12,2422381,0.01739156639686325,0.019758397609809266,249
3300020522-bin.7,2411729,0.01740618452570749,0.020788058716151855,263
3300020523-bin.14,1566836,0.4562966385760858,0.6610339062441191,5247
3300020523-bin.3,4818280,0.8199577442572868,1.939801852317882,48876
3300020524-bin.12,2228983,0.0017416014388624767,0.0022078394228125563,29
3300020525-bin.11,1614305,0.004066146112413701,0.004592991546611948,38
3300020528-bin.19,1077450,0.9898760963385772,7.760817227613627,42856
3300020533-bin.7,2370078,0.5258194034120396,0.8140856652318748,9934
3300020534-bin.11,2328727,0.18021176376621217,0.22336601054581096,2706
3300020534-bin.13,1337114,0.14307456207922437,0.18024369702348036,1237
3300020536-bin.4,2760056,0.4743519696701806,0.7100201397967165,10150
3300020537-bin.19,4310370,0.28593601013370085,0.36324365889431587,7952
3300020538-bin.10,2226241,0.0015011851816582303,0.0038133189541167834,47
3300020538-bin.12,2107864,0.005603777093778346,0.006274301222436411,71
3300020538-bin.15,1233688,0.00028856566652184343,0.0002728865021204713,2
3300020539-bin.14,2892631,0.012052349573796313,0.015769497146169414,239
3300020539-bin.2,2652915,0.02896625033218177,0.032376791825400424,459
3300020539-bin.6,2963442,0.09732297780756297,0.11545243104896132,1783
3300020540-bin.12,2304448,0.08045223845363401,0.08998473653694504,1042
