genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.224572449338175,0.2803074017445649,6378
3300020492-bin.7,2555680,0.01865961309710136,0.022666753025268726,297
3300020495-bin.7,5532598,0.0006058636466990734,0.0006166946721145291,18
3300020497-bin.26,1115662,0.010694995437686323,0.011024477552072046,65
3300020497-bin.28,2077447,0.019399772894326546,0.02093667920325694,220
3300020497-bin.30,1842193,0.35151691489436776,0.46033438667642024,4317
3300020497-bin.31,2429201,0.008280088802861517,0.012161398056743471,153
3300020500-bin.11,1335224,0.011702905280312518,0.01392476664830328,97
3300020500-bin.15,1886585,0.0321363733942547,0.033581951979798415,319
3300020502-bin.7,1668780,0.8684470091923441,2.3025822542064383,19563
3300020508-bin.4,5675695,0.004961330726897763,0.007776244697003575,224
3300020509-bin.11,1732222,0.8968457853554568,2.817646518664638,24927
3300020509-bin.3,3028046,0.9197816017326025,3.902292749097107,61248
3300020509-bin.4,2331221,0.9065987308796549,2.855830172301468,34474
3300020509-bin.9,1690287,0.969134827399134,4.495983971250857,38842
3300020510-bin.6,4630102,0.010571689349392302,0.012122677731944458,292
3300020512-bin.21,2627940,0.0012584001156799622,0.0022877319289435834,31
3300020513-bin.8,2366479,0.001798875037555795,0.0031290099324655747,37
3300020516-bin.14,1185293,0.9813649452076406,5.556322264467981,33455
3300020516-bin.18,835254,0.1502429201177127,0.1626213732490596,717
3300020517-bin.16,4826932,0.12125756070315472,0.15179765916893173,3750
3300020518-bin.8,3501331,0.25840116230085075,0.3738213957386117,6822
3300020519-bin.18,2530461,0.03481776640699066,0.03696433265946133,474
3300020519-bin.22,1656815,0.012143178327091438,0.014022957688037288,121
3300020520-bin.11,2293813,0.0037457281827245727,0.004395728004804794,55
3300020521-bin.7,1576449,0.8803329508280953,2.597139874539678,20829
3300020522-bin.12,2422381,0.03551258039094593,0.038328206119038234,476
3300020522-bin.7,2411729,0.01733071999383015,0.019819394959085492,252
3300020523-bin.14,1566836,0.6845011220063874,1.3604062447787488,10821
3300020523-bin.3,4818280,0.3066266385515163,0.386881225334729,9622
3300020524-bin.12,2228983,0.002760451739649876,0.003421925785446995,40
3300020525-bin.11,1614305,0.003136334211936406,0.003411199534246936,29
3300020528-bin.19,1077450,0.9909471437189661,7.986974929953498,44366
3300020533-bin.7,2370078,0.5138792900486819,0.7849381221744343,9496
3300020534-bin.11,2328727,0.19818553226720007,0.23907443802239123,2878
3300020534-bin.13,1337114,0.14321441552477948,0.18162006838355224,1248
3300020536-bin.4,2760056,0.2799214943464915,0.3655313514828078,5252
3300020537-bin.19,4310370,0.03999656642005211,0.044167509175581786,969
3300020538-bin.10,2226241,0.0023550909357971574,0.003469731535855193,42
3300020538-bin.12,2107864,0.01602380419230083,0.018222220899017767,202
3300020538-bin.15,1233688,0.00012158665724234976,0.000124039322499692,1
3300020539-bin.14,2892631,0.005541667775806869,0.009674113703612144,141
3300020539-bin.2,2652915,0.007620296918672479,0.008764372577933707,124
3300020539-bin.6,2963442,0.10025672849342082,0.12461752874919226,1919
3300020540-bin.12,2304448,0.315057662398978,0.4448856961706381,5164
3300020540-bin.20,900323,0.7140992732608186,1.4214013731980861,6623
3300020540-bin.4,1192163,0.009848485483948084,0.010360465191800958,63
3300020542-bin.8,4789593,0.21336781643033134,0.2728204035763216,6690
3300020543-bin.11,2546855,0.04192464824263651,0.04565789881970746,589
3300020544-bin.10,1670847,0.7825198836278845,1.8797810458002673,16215
3300020544-bin.2,1167181,0.9533996869380156,3.7760584582211325,22526
3300020544-bin.4,1837905,0.600098481695191,1.005870895606003,9380
3300020544-bin.7,6185992,0.028385099754412873,0.03032077348406086,965
3300020546-bin.10,2648679,0.8758954935649054,2.3583822130283902,32039
3300020546-bin.16,2792585,0.29287559734081503,0.3714735442224191,5447
3300020546-bin.23,1278754,0.732498197464094,1.4654171607474082,9458
3300020547-bin.20,2389223,0.3308259630850699,0.5096975264017344,6332
3300020547-bin.4,1279585,0.9870794046507266,6.514838039568063,42481
3300020547-bin.9,3685659,0.008507569474007227,0.009602802185644929,183
3300020548-bin.13,1400347,0.23956633605813415,0.30154199803832693,2151
3300020548-bin.16,3959933,0.11117839620013772,0.17065068557707141,3525
3300020548-bin.2,4352364,0.06674005207285053,0.07192573379573022,1616
3300020548-bin.6,836275,0.9964545155600729,13.157893664283636,57120
3300020549-bin.11,2823801,0.5850801809334298,1.1893589324684544,17639
3300020551-bin.8,3712937,0.08577899382618127,0.13219222478820383,2606
3300020552-bin.15,1237357,0.21737946283893816,0.2630130988230137,1655
3300020553-bin.6,3312638,0.07419524862058577,0.08609752546770402,1489
3300020555-bin.16,4405293,0.8373045788327814,2.102168113490847,47400
3300020555-bin.7,5011034,0.048277461298406675,0.05607942662332816,1431
3300020556-bin.9,1216607,0.8001515690769493,1.888614807871893,11807
3300020557-bin.14,1790125,0.6380319810069129,1.1297652846885216,10381
3300020557-bin.24,1191111,0.9933910441596123,7.106106893440995,44297
3300020557-bin.7,1997574,0.6700933232010429,1.2400263013432862,12618
3300020558-bin.18,831182,0.8790481507058623,2.9969866908808176,12990
3300020558-bin.22,1903551,0.4459234346755091,0.6431942813900816,6214
3300020558-bin.31,2346779,0.000954499763292581,0.0023062073308343476,31
3300020560-bin.28,1013543,0.6933193756949632,1.3580979982717665,7021
3300020560-bin.30,1063131,0.040521817160820255,0.0426705445506518,227
3300020562-bin.12,1753974,0.17601344147632747,0.29983593842856743,2774
3300020562-bin.13,1336106,0.04893848242579556,0.054075548711762414,379
3300020562-bin.20,2423354,0.09044324518828037,0.09904327960859745,1276
3300020562-bin.25,2270258,0.01602857472586816,0.025693311762115156,306
3300020562-bin.31,2425552,0.3058000817958139,0.3933547557323815,4927
3300020562-bin.36,3656038,0.00026203228741057943,0.00026660129082329014,6
3300020562-bin.39,2066301,0.24040737530495315,0.2976681229381716,3172
3300020562-bin.44,1976431,0.01092980225467016,0.013421392594863264,133
