genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.4720355286039953,0.7037328725699037,15993
3300020492-bin.7,2555680,0.009083296813372567,0.013859713443295363,183
3300020495-bin.7,5532598,0.0012664936075239878,0.0013240447777659974,34
3300020497-bin.26,1115662,0.056357570662082246,0.05965608729701827,342
3300020497-bin.28,2077447,0.07767418374572252,0.08456811193311939,879
3300020497-bin.30,1842193,0.1982761849599906,0.23324650786692813,2157
3300020497-bin.31,2429201,0.006647864874088229,0.010331244522640202,129
3300020500-bin.11,1335224,0.16216305279114215,0.18462311424008854,1248
3300020500-bin.15,1886585,0.06294972132185934,0.06653313913525818,632
3300020502-bin.7,1668780,0.8860275171083066,2.533994284844857,21233
3300020508-bin.4,5675695,0.02484136304012108,0.03692843073782783,1069
3300020509-bin.11,1732222,0.031213089315341797,0.033437519778658005,297
3300020509-bin.3,3028046,0.29772335030577474,0.49205581149494076,7735
3300020509-bin.4,2331221,0.2541573707512072,0.30447293006938625,3644
3300020509-bin.9,1690287,0.09248784378037576,0.10409364590793395,880
3300020510-bin.6,4630102,0.5026576088388549,0.7634415546957319,17779
3300020512-bin.21,2627940,0.0025251718075755152,0.00408186552920957,60
3300020513-bin.8,2366479,0.004251886452404606,0.006356690780093844,75
3300020516-bin.14,1185293,0.6950956430182242,1.584247121692097,9434
3300020516-bin.18,835254,0.5003687501047586,0.8156619001234597,3554
3300020517-bin.16,4826932,0.465579378371189,0.7454370893985182,18195
3300020518-bin.8,3501331,0.26325217467300294,0.413550357920384,7490
3300020519-bin.18,2530461,0.2256648096927793,0.2697099813063557,3436
3300020519-bin.22,1656815,0.0060803408950305254,0.008922121293013402,83
3300020520-bin.11,2293813,0.014158521204649202,0.01615262709590712,187
3300020521-bin.7,1576449,0.027348173014160305,0.029359926060438055,240
3300020522-bin.12,2422381,0.003294279471313555,0.005440755229154332,69
3300020522-bin.7,2411729,0.014552630084060025,0.01959202636661291,242
3300020523-bin.14,1566836,0.8496881613646865,2.29874593963755,18032
3300020523-bin.3,4818280,0.33899690345932576,0.45022550954468327,11013
3300020524-bin.12,2228983,0.00567702849236625,0.007931206306767255,90
3300020525-bin.11,1614305,0.0029517346474179293,0.003011089005418121,26
3300020528-bin.19,1077450,0.9945751542995035,10.77522080782384,59131
3300020533-bin.7,2370078,0.5711077863260197,0.9272584208755452,11023
3300020534-bin.11,2328727,0.27249995383743997,0.4916607146070847,5831
3300020534-bin.13,1337114,0.2979170063285554,0.4574573581976119,3111
3300020536-bin.4,2760056,0.258521566229091,0.3409700742683519,4817
3300020537-bin.19,4310370,0.8361894686535031,2.1479908446446925,46253
3300020538-bin.10,2226241,0.0015411628839824619,0.0017765464721244916,21
3300020538-bin.12,2107864,0.01220382339657587,0.014972548812768799,161
3300020538-bin.15,1233688,0.0008511066006964483,0.0011329610773015545,8
3300020539-bin.14,2892631,0.054971408382196,0.06243782725651891,905
3300020539-bin.2,2652915,0.45677452915001043,0.6550942310814049,8966
3300020539-bin.6,2963442,0.37060317023245265,0.5645472688817927,8529
