genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.505283336787378,0.9285811107073776,21089
3300020492-bin.7,2555680,0.9948189914230263,6.927771484099857,90926
3300020495-bin.7,5532598,0.002023461672075217,0.0020850236215044175,59
3300020497-bin.26,1115662,0.6609080527973527,1.2684850812330077,7255
3300020497-bin.28,2077447,0.4274794976719021,0.5903930582093599,6276
3300020497-bin.30,1842193,0.8771958204162105,2.4280696936056616,22702
3300020497-bin.31,2429201,0.30236114673096215,0.38464681894130764,4895
3300020500-bin.11,1335224,0.10077934488894748,0.11408451180249267,778
3300020500-bin.15,1886585,0.023359138337260183,0.023988195893099425,227
3300020502-bin.7,1668780,0.895354091012596,2.603169334273288,22007
3300020508-bin.4,5675695,0.0016117849884463489,0.0017495015427639966,49
3300020509-bin.11,1732222,0.00185657496556446,0.004602361576690517,38
3300020509-bin.3,3028046,0.0010297069463277638,0.0010185674297465757,16
3300020509-bin.4,2331221,0.0030739256381098145,0.003114254896633095,40
3300020509-bin.9,1690287,0.016064135853852038,0.01878902240145106,164
3300020510-bin.6,4630102,0.0027161388669191306,0.0027867837153360774,66
3300020512-bin.21,2627940,0.01015738563285311,0.01171177240876751,160
3300020513-bin.8,2366479,0.017053183231290032,0.019846628761801138,238
3300020516-bin.14,1185293,0.0052932059836681734,0.009660513521509533,63
3300020517-bin.16,4826932,0.03664149401731783,0.039211242346693605,977
3300020518-bin.8,3501331,0.0013797610108841466,0.001406621312526722,25
3300020519-bin.18,2530461,0.00011776510288046329,0.00011831970698777812,2
3300020519-bin.22,1656815,0.36022790715921815,0.48679246964149564,4232
3300020520-bin.11,2293813,0.008726953766501453,0.010258232693544244,121
3300020521-bin.7,1576449,0.0004009010123384899,0.0017784892699985858,14
3300020522-bin.12,2422381,0.00046689600025759777,0.00046904282900175496,7
3300020522-bin.7,2411729,0.2799108025818821,0.3598682227635615,4436
3300020523-bin.14,1566836,0.713192701725005,1.4312476916152295,11341
3300020523-bin.3,4818280,0.1494664070996289,0.1663367814415583,4138
3300020524-bin.12,2228983,0.04475852888963262,0.05773396714508788,673
3300020525-bin.11,1614305,0.004375876925364166,0.004610877137155618,37
3300020528-bin.19,1077450,0.9793948675112534,5.204606140879672,29315
3300020533-bin.7,2370078,0.016432792507250816,0.021624270757277405,259
3300020534-bin.11,2328727,0.0010005466505949388,0.0009798569204986242,13
3300020534-bin.13,1337114,0.3946454827337086,0.6558870993621188,4521
3300020536-bin.4,2760056,0.0010173706620445382,0.0010248552417251317,14
3300020537-bin.19,4310370,0.00021019077248588867,0.00021516644802371956,5
3300020538-bin.10,2226241,0.0025383595037554336,0.004135298627737068,50
3300020538-bin.12,2107864,0.15608265049358022,0.1797085360709471,2027
3300020538-bin.15,1233688,0.03432391333951534,0.03664858395091954,237
3300020539-bin.14,2892631,0.001738209954881905,0.0021607265112300877,32
3300020539-bin.2,2652915,0.002698164094967234,0.0032111533218867542,47
3300020539-bin.6,2963442,0.007909721195825664,0.00799947023541884,120
3300020540-bin.12,2304448,0.8401183276862833,2.2021942242518087,25537
3300020540-bin.20,900323,0.9926615225868938,7.544705932598078,35286
3300020540-bin.4,1192163,0.9720466077205886,4.774486122839746,28829
3300020542-bin.8,4789593,0.02047313832302661,0.03288576544957056,843
3300020543-bin.11,2546855,0.0017916214311376188,0.0022808950189959773,28
3300020544-bin.10,1670847,0.4729116430169848,0.8117397601468483,7105
3300020544-bin.2,1167181,0.0015224716646347054,0.006909193099117445,45
3300020544-bin.4,1837905,0.0006578141960547471,0.0007822851578215415,7
3300020544-bin.7,6185992,0.0011162316407780676,0.0011401427051945267,38
3300020546-bin.10,2648679,0.0014509119451620977,0.0016623535718436248,24
3300020546-bin.16,2792585,0.011095096478710586,0.01395176561786374,209
3300020546-bin.23,1278754,0.891470916220008,2.6482143966877896,17202
3300020547-bin.20,2389223,0.0005717339905065371,0.0005767531529846314,7
3300020547-bin.4,1279585,0.0031775927351445975,0.00596593515768339,41
3300020547-bin.9,3685659,0.00027647701537228484,0.0003748166493954812,7
3300020548-bin.13,1400347,0.027008305798491374,0.04264408900974473,303
3300020548-bin.16,3959933,0.0016783112239525265,0.0016990955333745549,34
3300020548-bin.2,4352364,0.00023366611799932173,0.0002722678720215037,6
3300020548-bin.6,836275,0.9997548653254014,55.761559957381245,246516
3300020549-bin.11,2823801,0.0008895811000846022,0.0008972716711310039,14
3300020551-bin.8,3712937,0.01287659876803727,0.013205693398072925,254
3300020552-bin.15,1237357,0.049170126325708746,0.05791339421978702,360
3300020553-bin.6,3312638,0.003331181976418794,0.004855506988624171,87
3300020555-bin.7,5011034,0.0002879645198974902,0.0002921160591407481,7
3300020556-bin.9,1216607,0.8184910986045617,2.2556523390684418,14208
3300020557-bin.14,1790125,0.0015362055722365757,0.0026097877615401163,24
3300020557-bin.24,1191111,0.8498032509144824,2.635089019482206,16490
3300020557-bin.7,1997574,0.08264024261429113,0.09005749159524055,931
3300020558-bin.18,831182,0.5203373027808591,2.6197575111229936,11599
3300020558-bin.22,1903551,0.08983998852670615,0.10598999269968234,1020
3300020558-bin.31,2346779,0.16039899794569493,0.18309593421600803,2241
3300020560-bin.28,1013543,0.8637709500238273,2.526066347203622,12909
3300020560-bin.30,1063131,0.8204294672998906,2.028330162454081,10929
3300020562-bin.12,1753974,0.21294614401353726,0.31872035883391725,2944
3300020562-bin.13,1336106,0.03685785409241482,0.049339434705295816,349
3300020562-bin.20,2423354,0.28455768327697895,0.3809188180929342,4702
3300020562-bin.25,2270258,0.04968862569804842,0.06195831032129785,754
3300020562-bin.31,2425552,0.7948091815801104,1.8662584789857835,23784
3300020562-bin.36,3656038,0.26439796304086555,0.3269392925711156,6070
3300020562-bin.39,2066301,0.8964657133689622,2.685231372564566,28793
3300020562-bin.44,1976431,0.12192887077767957,0.13540777901917148,1378
3300020562-bin.5,2248693,0.0067559244414422065,0.007623442087380314,91
3300020563-bin.20,2115286,0.0020484227664722405,0.0025786530283900618,28
3300020564-bin.6,4099214,0.006886686081770798,0.0076710123205048575,162
3300020566-bin.10,3811262,9.970450732591986e-05,0.00010104745496688498,2
3300020566-bin.16,1947691,0.0028633905480900204,0.004610200566467166,49
3300020566-bin.3,1470926,0.00025834066431621984,0.00026562531917989076,2
3300020568-bin.14,1134331,0.994818972592656,11.23714165104198,66656
3300020568-bin.25,1889639,0.0007583459062815702,0.002412879728267145,26
3300020568-bin.4,994173,0.9228353616523483,3.4126145508193244,17142
3300020569-bin.10,2480291,0.000953517147786288,0.0017599180886891902,25
3300020569-bin.8,1917646,0.0020092342382274937,0.002114961199099834,22
3300020570-bin.4,1660798,0.0018334559651444666,0.0029315413120879243,27
3300020572-bin.32,1326201,0.03125016494483114,0.03380518941432934,226
3300020572-bin.37,2938332,0.872224105376792,2.3699004254491025,35792
3300020573-bin.11,1457006,0.4031308038539306,0.6203587235112938,4661
3300020573-bin.18,3479868,0.013187281816436715,0.013802151228213108,243
3300020575-bin.17,979260,0.9845179012723894,5.589671149949756,28429
3300020575-bin.25,1872784,0.08921423933566285,0.10973525668292984,1047
3300021108-bin.1,2974610,0.04666662184286344,0.05206860415837237,813
3300021140-bin.2,1811203,0.04858317924605911,0.051752093326282014,479
3300021140-bin.22,2658358,0.8702037122163381,2.2933536720477847,31171
3300021140-bin.31,1894949,0.8484893260979584,2.130123608969318,21269
3300021140-bin.33,1172618,0.9898756457772266,6.685414858002221,40495
3300021140-bin.34,1682713,0.8123589703056908,2.0026803088835345,17625
3300021140-bin.57,1350024,0.44489431298999127,0.6348801201406047,4390
3300021141-bin.17,3723396,0.01047377179327689,0.011052860464824446,208
3300021141-bin.24,1339146,0.4871574869357038,0.8251704782372646,5602
3300021141-bin.35,1078250,0.8632988638998377,2.361350494830141,13165
3300021141-bin.52,5723746,0.0014048492019037883,0.0014095876663003217,43
3300021141-bin.54,2721258,0.101194006595479,0.11381362415320963,1613
