genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.034461754714771,0.037986317335281176,878
3300020492-bin.7,2555680,0.005808630188442998,0.006045576392687269,78
3300020495-bin.7,5532598,0.08833824543189293,0.0958115890979636,2741
3300020497-bin.26,1115662,0.6548049498862559,1.2654808021329402,7276
3300020497-bin.28,2077447,0.3495545253380712,0.4590398613799387,4861
3300020497-bin.30,1842193,0.9703657542939312,5.082316868355218,47453
3300020497-bin.31,2429201,0.00030421525431613113,0.0003073464324080222,4
3300020500-bin.11,1335224,0.04121330952709058,0.04406737806282764,309
3300020500-bin.15,1886585,0.004878656408272089,0.006048541200017333,59
3300020502-bin.7,1668780,0.9895138963793909,7.396467716829236,62557
3300020508-bin.4,5675695,0.00025494675101463344,0.00026136670214061894,8
3300020509-bin.11,1732222,0.001804618576602768,0.0063165519123819,63
3300020509-bin.3,3028046,0.0006598314556648082,0.000663541491383288,11
3300020509-bin.4,2331221,0.0023159537426953513,0.0026766652116991486,35
3300020509-bin.9,1690287,0.04911651098304608,0.0717587342548075,635
3300020510-bin.6,4630102,0.0034035967242190346,0.0035562856147971257,84
3300020512-bin.21,2627940,0.08829958066013684,0.10053758102304013,1344
3300020513-bin.8,2366479,0.027720507978308703,0.04159116448791009,508
3300020516-bin.14,1185293,0.002411218154498508,0.0027881570462413934,18
3300020516-bin.18,835254,0.00016881092458102565,0.0001691067410745713,1
3300020517-bin.16,4826932,0.00414134692595628,0.004445737350949547,112
3300020518-bin.8,3501331,0.001962110980081575,0.002092503645501126,39
3300020519-bin.18,2530461,6.915735907409757e-05,7.080658172562233e-05,1
3300020519-bin.22,1656815,0.014408367862434853,0.015402208303778938,128
3300020520-bin.11,2293813,0.019910079853937526,0.02941461543763407,346
3300020521-bin.7,1576449,0.0010885223689443807,0.006037978468441414,47
3300020522-bin.12,2422381,0.0013631216559244809,0.0017011691818199118,22
3300020522-bin.7,2411729,0.01940226285789158,0.02253136044166807,278
3300020523-bin.14,1566836,0.9833837108669956,6.4388305594408095,50957
3300020523-bin.3,4818280,0.9916463966394647,6.582747067394213,163451
3300020524-bin.12,2228983,0.0006765417232881543,0.0008854981610043684,11
3300020525-bin.11,1614305,0.6376322937734815,1.5236963664124759,12847
3300020528-bin.19,1077450,0.6549538261636271,1.249416722578996,7050
3300020533-bin.7,2370078,0.004478755551505056,0.004967088552466418,63
3300020534-bin.11,2328727,0.0021002891279226807,0.0021951177341955497,26
3300020534-bin.13,1337114,0.11910652345274973,0.14947470397976992,1043
3300020536-bin.4,2760056,0.0025282095725593975,0.0026705550822757585,38
3300020537-bin.19,4310370,0.0002345506302243195,0.00023801920103169792,5
3300020538-bin.10,2226241,0.0010780503997545638,0.0012208774678042495,15
3300020538-bin.12,2107864,0.014248547344610469,0.015794344910448913,178
3300020538-bin.15,1233688,0.0045757112008870966,0.00463912029847133,29
3300020539-bin.14,2892631,0.001368995907186226,0.0013977245616589187,21
3300020539-bin.2,2652915,0.00327564207673446,0.0035121118555455797,48
3300020539-bin.6,2963442,0.003316413818795846,0.0034365242621204996,52
3300020540-bin.12,2304448,0.8197498923820368,2.114316623942502,24486
3300020540-bin.20,900323,0.7089966600875464,1.433171433695385,6695
3300020540-bin.4,1192163,0.6373432156508799,1.1350509909078785,6847
3300020542-bin.8,4789593,0.003633502888450021,0.0042793077780461965,114
3300020543-bin.11,2546855,0.0015843069197107806,0.0016126612440755365,22
3300020544-bin.10,1670847,0.044564822512174966,0.05040727139826151,442
3300020544-bin.2,1167181,0.0010349722964990006,0.0032007595031481833,23
3300020544-bin.4,1837905,0.0017280544968319908,0.0032034445291361634,29
3300020544-bin.7,6185992,0.0025963499467829896,0.002692258996409468,83
3300020546-bin.10,2648679,0.0017582349541035362,0.0017888408930508757,24
3300020546-bin.16,2792585,0.012519225019113116,0.013690603202293141,204
3300020546-bin.23,1278754,0.8648019869341562,2.3452632537610025,15239
3300020547-bin.20,2389223,0.0005792678205424944,0.0005825572176766254,7
3300020547-bin.4,1279585,0.0020061191714501186,0.002218734385418866,15
3300020547-bin.9,3685659,0.0005871405900545872,0.000590480333762239,12
3300020548-bin.13,1400347,0.07780071653668698,0.10018398592982741,716
3300020548-bin.16,3959933,0.0015469958708897347,0.0015640782537983346,34
3300020548-bin.2,4352364,0.0011306499180675147,0.0013028403189722412,32
3300020548-bin.6,836275,0.9944312576604586,10.974062685961549,48179
