genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.053752218848271326,0.05792799941014563,1323
3300020492-bin.7,2555680,0.06902507356163526,0.08118199777773621,1072
3300020495-bin.7,5532598,0.001635940294234282,0.0016767985148054313,47
3300020497-bin.26,1115662,0.6160279726297032,1.0450156858903328,6004
3300020497-bin.28,2077447,0.7420535878893662,1.4950775857365513,15852
3300020497-bin.30,1842193,0.8934085625121798,2.6059826428203783,24403
3300020497-bin.31,2429201,0.0075419860275045165,0.014867479105400667,194
3300020500-bin.11,1335224,0.2733219295039634,0.33864349572433067,2307
3300020500-bin.15,1886585,0.25478682381127804,0.3019537907383886,2898
3300020502-bin.7,1668780,0.9155892328527427,2.9738317928003566,25042
3300020508-bin.4,5675695,0.005032863816677957,0.007610112173592239,228
3300020509-bin.11,1732222,0.006518794935060287,0.01340028817229778,115
3300020509-bin.3,3028046,0.5794875639273643,1.794407624933337,28527
3300020509-bin.4,2331221,0.19425657198523863,0.2240037381152662,2654
3300020509-bin.9,1690287,0.004805692761051822,0.007489810924938781,65
3300020510-bin.6,4630102,0.27368792307383294,0.33859385428776767,7951
3300020512-bin.21,2627940,0.006815985144257479,0.012239329644407406,171
3300020513-bin.8,2366479,0.03233031013586007,0.044315690675674424,531
3300020516-bin.14,1185293,0.24596787460990657,0.29763311310409346,1827
3300020516-bin.18,835254,0.0017886774561989525,0.0017966882957446478,8
3300020517-bin.16,4826932,0.16682024938408083,0.19679508209393387,4819
3300020518-bin.8,3501331,0.11162754963755211,0.13350277965048007,2394
3300020519-bin.18,2530461,0.16563977868064356,0.18975108216838404,2454
3300020519-bin.22,1656815,0.004688513805101957,0.007759763191590491,72
3300020520-bin.11,2293813,0.11752832510758288,0.1406470857704382,1648
3300020521-bin.7,1576449,0.006201278950349805,0.008456371508179206,71
3300020522-bin.12,2422381,0.0021916453274691307,0.003790408567004943,49
3300020522-bin.7,2411729,0.11599188797746347,0.15063471631891212,1843
3300020523-bin.14,1566836,0.8664212463844333,2.4320741091509883,19254
3300020523-bin.3,4818280,0.0337751230729638,0.035296292359983446,873
3300020524-bin.12,2228983,0.011466664393582186,0.017429629844694556,198
3300020525-bin.11,1614305,0.003726681141419992,0.003758785733697969,34
3300020528-bin.19,1077450,0.9560694231750894,4.130409849686481,23389
3300020533-bin.7,2370078,0.7034063857813962,1.3678235900026416,16590
3300020534-bin.11,2328727,0.3227557373620867,0.41222653677433835,4883
3300020534-bin.13,1337114,0.3704082075275556,0.6334511191831197,4422
3300020536-bin.4,2760056,0.7644080409962697,1.8169320050447268,25575
3300020537-bin.19,4310370,0.2411210638529871,0.29554575370825314,6397
3300020538-bin.10,2226241,0.052747209309324555,0.0642065645313749,758
3300020538-bin.12,2107864,0.19267561854085463,0.22726836811745887,2557
3300020538-bin.15,1233688,0.4046809241882875,0.5516474638051111,3444
3300020539-bin.14,2892631,0.07996872051775701,0.0907478803208674,1355
3300020539-bin.2,2652915,0.005501118580881785,0.0064652327538869125,98
3300020539-bin.6,2963442,0.33980486204892824,0.4789435798474369,7236
3300020540-bin.12,2304448,0.8277209986946983,2.2092510848822893,25572
3300020540-bin.20,900323,0.9417286907032254,3.479049755701569,16434
