genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.2069509645795226,0.2482159719749234,5801
3300020492-bin.7,2555680,0.022024275339635635,0.03151918407456069,421
3300020495-bin.7,5532598,0.001209196836639857,0.0012267460550226855,35
3300020497-bin.26,1115662,0.4978030980709211,0.751161235051924,4332
3300020497-bin.28,2077447,0.4346132536714535,0.6047721715997137,6437
3300020497-bin.30,1842193,0.348802758451476,0.448928941385313,4228
3300020497-bin.31,2429201,0.02465378533929469,0.04319592116787383,566
3300020500-bin.11,1335224,0.3869657825203861,0.519951423407054,3558
3300020500-bin.15,1886585,0.36006487913346075,0.47397143476581377,4567
3300020502-bin.7,1668780,0.8293411953642781,2.0399771203380337,17331
3300020508-bin.4,5675695,0.014418498527493108,0.015963244203350553,464
3300020509-bin.11,1732222,0.005171392581320408,0.008860301956302717,82
3300020509-bin.3,3028046,0.42882505747931177,0.8736487737302776,14017
3300020509-bin.4,2331221,0.08856603470885,0.09641495257145119,1160
3300020509-bin.9,1690287,0.0034964476446899253,0.005599988743533791,49
3300020510-bin.6,4630102,0.18163098782705003,0.21020160746893055,4952
3300020512-bin.21,2627940,0.00392817187607023,0.0058703383983968425,88
3300020513-bin.8,2366479,0.026022204295918113,0.032944022559702246,402
3300020516-bin.14,1185293,0.20607562855766465,0.24299133767298634,1491
3300020517-bin.16,4826932,0.26742639009623503,0.35569601422312136,8997
3300020518-bin.8,3501331,0.03733037522016627,0.0412425466162198,746
3300020519-bin.18,2530461,0.09668910131395031,0.10708135515841656,1396
3300020519-bin.22,1656815,0.004037867836783226,0.00833295800005251,80
3300020520-bin.11,2293813,0.09780919368754122,0.11267627539607543,1312
3300020521-bin.7,1576449,0.004193602203433159,0.00629609968490798,52
3300020522-bin.12,2422381,0.0013321603826978497,0.0019191901411972764,25
3300020522-bin.7,2411729,0.06978395997228544,0.08139112215971786,1013
3300020523-bin.14,1566836,0.7764016144637984,1.7552555093242301,13986
3300020523-bin.3,4818280,0.015122823912267448,0.015754113489788897,392
3300020524-bin.12,2228983,0.009310972762017476,0.01680962159608296,199
3300020525-bin.11,1614305,0.0014613099755002928,0.001470809084119482,13
3300020528-bin.19,1077450,0.9035407675530187,2.9654651462827974,16844
3300020533-bin.7,2370078,0.7534823748416719,1.5446961606923364,18804
3300020534-bin.11,2328727,0.2367632616446668,0.28886236420542677,3454
3300020534-bin.13,1337114,0.26396328211356695,0.3814485498661991,2666
3300020536-bin.4,2760056,0.8577467268780053,2.645591482081231,37504
3300020537-bin.19,4310370,0.18838475583302594,0.22048052898418227,4800
3300020538-bin.10,2226241,0.29484633514520664,0.37692670526578365,4481
3300020538-bin.12,2107864,0.20511285358068643,0.24442037219596957,2796
3300020538-bin.15,1233688,0.4697524819889632,0.6789999654602948,4232
3300020539-bin.14,2892631,0.0668204828061374,0.07354341668989682,1094
3300020539-bin.2,2652915,0.008057174843521184,0.009883798132172609,145
3300020539-bin.6,2963442,0.28512486493746125,0.3684933089309203,5607
3300020540-bin.12,2304448,0.5715863408503902,0.9527490618168898,11105
3300020540-bin.20,900323,0.9431914990508962,3.419030181107668,16228
3300020540-bin.4,1192163,0.43357493899743577,0.6327466686493879,3843
3300020542-bin.8,4789593,0.31657742108776254,0.4322633902798591,10908
3300020543-bin.11,2546855,0.04242722887639854,0.046342375026783206,617
3300020544-bin.10,1670847,0.6510129293705528,1.2450444252629507,11000
3300020544-bin.2,1167181,0.44197515209723254,0.6194496908212823,3750
3300020544-bin.4,1837905,0.13351669427962817,0.15681731494926493,1453
3300020544-bin.7,6185992,0.1828015619806815,0.21144036920579948,6705
3300020546-bin.10,2648679,0.04188352004905087,0.046688983490264964,640
3300020546-bin.16,2792585,0.21742650626570006,0.25942059202295187,3838
3300020546-bin.23,1278754,0.8160169977962923,1.9109906846263178,12493
3300020547-bin.20,2389223,0.1255629968403954,0.14759135545276356,1827
3300020547-bin.4,1279585,0.11584537174161935,0.12966941383434866,856
3300020547-bin.9,3685659,0.0013891681243435707,0.0015486602946407416,29
3300020548-bin.13,1400347,0.19418972583224015,0.24442675586430918,1730
3300020548-bin.16,3959933,0.025010776697484527,0.028070582116671235,581
3300020548-bin.2,4352364,0.00711452442856342,0.007650030433327017,171
3300020548-bin.6,836275,0.9997955218080177,49.02996052099131,218809
3300020549-bin.11,2823801,0.9037255104024682,4.0919551774292175,59419
3300020551-bin.8,3712937,0.25477593613896493,0.33045263777329636,6384
3300020552-bin.15,1237357,0.5449591346717236,0.8525934643584593,5343
3300020553-bin.6,3312638,0.2979124190448821,0.37782741148929366,6623
3300020555-bin.16,4405293,0.004128442761922987,0.005839442502070032,138
3300020555-bin.7,5011034,0.18650941103173516,0.2171019970466741,5569
3300020556-bin.9,1216607,0.7501247321443983,1.7066802467064057,10863
3300020557-bin.14,1790125,0.8147676838209622,1.974751290815418,18037
3300020557-bin.24,1191111,0.996762686265176,10.971581802777823,69448
3300020557-bin.7,1997574,0.612494455774855,1.0598410065478427,10935
3300020558-bin.18,831182,0.4412439152917171,2.558511198566669,11498
3300020558-bin.22,1903551,0.42564291684331024,0.6265246338315701,6095
3300020558-bin.31,2346779,0.00110917985886187,0.0022763460349389526,31
3300020560-bin.28,1013543,0.5839318114771648,1.0207377242055145,5207
3300020560-bin.30,1063131,0.8799282496700783,2.5615822996493374,13972
3300020562-bin.12,1753974,0.4203454555198652,0.6486492782599632,6042
3300020562-bin.13,1336106,0.26098677799515907,0.3179284918712706,2208
3300020562-bin.20,2423354,0.9601065300405967,4.814965554237476,59731
3300020562-bin.25,2270258,0.09011530848035774,0.10886998591518096,1326
3300020562-bin.31,2425552,0.5556928897009835,0.8689818023012866,11104
3300020562-bin.36,3656038,0.22079748624056972,0.2635116484997486,4929
3300020562-bin.39,2066301,0.9390098538402681,3.4081689994932005,37051
3300020562-bin.44,1976431,0.9047171391260307,2.757979596207306,28143
3300020562-bin.5,2248693,0.7419981295801605,1.5164631280186351,18183
3300020563-bin.20,2115286,0.7143407558126892,1.3468513212006041,15156
3300020564-bin.6,4099214,0.012633885422912782,0.013346686822968492,286
3300020566-bin.10,3811262,0.022306784471915076,0.024780140328188677,475
3300020566-bin.16,1947691,0.003503122415208573,0.004753764892570228,48
3300020566-bin.3,1470926,0.10708152551521967,0.11687213250922149,880
3300020568-bin.14,1134331,0.9917581376159164,7.840513427716776,46929
3300020568-bin.25,1889639,0.13464159027200434,0.15223055874266778,1487
3300020568-bin.4,994173,0.8813968997347544,2.747963133487029,13814
3300020569-bin.10,2480291,0.011063621163806988,0.012206982402372741,155
3300020569-bin.8,1917646,0.28722402362062655,0.36313818484812316,3564
3300020570-bin.4,1660798,0.5342022329024962,0.8447407418861537,7094
3300020572-bin.32,1326201,0.23455418899548408,0.2810194917067548,1937
3300020572-bin.37,2938332,0.42641845781892584,0.5911646090033358,9010
3300020573-bin.11,1457006,0.1392684724702575,0.18995464995683678,1460
3300020573-bin.18,3479868,0.5805866774256955,0.9813502380963609,17626
3300020575-bin.17,979260,0.7283744868574229,1.6900344528564017,8794
3300020575-bin.25,1872784,0.4149015583217285,0.6093780194762134,5787
3300021108-bin.1,2974610,0.006426052490914776,0.008119960394851897,134
3300021140-bin.2,1811203,0.01836127700760213,0.02122888521825069,199
3300021140-bin.22,2658358,0.6503988552331929,1.1559620223518434,15886
3300021140-bin.31,1894949,0.722023653407031,1.3957336801282882,14038
3300021140-bin.33,1172618,0.7554310099282119,1.6488855943731373,10098
3300021140-bin.34,1682713,0.650591633867451,1.205385562614516,10768
3300021140-bin.57,1350024,0.48995203048242103,0.7119951882000833,4990
3300021141-bin.17,3723396,0.006559603115005763,0.008639841254508384,165
3300021141-bin.24,1339146,0.35672958736388716,0.5681655690060159,3909
3300021141-bin.35,1078250,0.8275418502202643,2.0170250714378852,11326
3300021141-bin.52,5723746,0.01356856156789627,0.014559017149628928,430
3300021141-bin.54,2721258,0.2159266045336385,0.2699428788854817,3902
