genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9117695821807337,3.0656508429279823,70014
3300020492-bin.7,2555680,0.023088962624428725,0.02793717936722797,365
3300020495-bin.7,5532598,0.002681741923053148,0.0027768306887256404,77
3300020497-bin.26,1115662,0.050576249796085194,0.05408016564558083,311
3300020497-bin.28,2077447,0.17520880195740252,0.2003998543333024,2150
3300020497-bin.30,1842193,0.47365341199320593,0.6848846310620975,6453
3300020497-bin.31,2429201,0.006242793412319524,0.008791942555608407,110
3300020500-bin.11,1335224,0.140574165832849,0.15680309216535057,1079
3300020500-bin.15,1886585,0.10229117691490179,0.11270666097042856,1091
3300020502-bin.7,1668780,0.9821054902383778,5.928405349937434,50525
3300020508-bin.4,5675695,0.020886252696806294,0.030150195330252816,886
3300020509-bin.11,1732222,0.003995446311154113,0.005893583704566678,52
3300020509-bin.3,3028046,0.5610654527705325,1.195057349255252,18980
3300020509-bin.4,2331221,0.2845839154674739,0.34613837553745136,4220
3300020509-bin.9,1690287,0.01828979339011659,0.024169032805160303,212
3300020510-bin.6,4630102,0.6561267980705393,1.17092327472312,27723
3300020512-bin.21,2627940,0.002553711271946848,0.005219833485810179,76
3300020513-bin.8,2366479,0.02253389951907454,0.02887934982590591,360
3300020516-bin.14,1185293,0.07970856151179498,0.08993218548325352,551
3300020516-bin.18,835254,0.03341019617984469,0.036683380297991994,160
3300020517-bin.16,4826932,0.4473079380442898,0.7085508275906,17525
3300020518-bin.8,3501331,0.19354525464744693,0.293763129257757,5366
3300020519-bin.18,2530461,0.1373974939744181,0.15472054327651347,1991
3300020519-bin.22,1656815,0.024496398209818235,0.02742695375474901,238
3300020520-bin.11,2293813,0.25954600483997603,0.32526759094472013,3845
3300020521-bin.7,1576449,0.0038015819097224203,0.006490259745306382,52
3300020522-bin.12,2422381,0.025043129053604698,0.028635605292364988,361
3300020522-bin.7,2411729,0.06664181589224992,0.07403239492791351,915
3300020523-bin.14,1566836,0.9272553094261301,3.401323085997837,27141
3300020523-bin.3,4818280,0.19847954041691226,0.23147513382768878,5746
3300020524-bin.12,2228983,0.006318576678242947,0.0075974605948415045,86
3300020525-bin.11,1614305,0.01974657824884393,0.020257058540704517,170
3300020528-bin.19,1077450,0.9906111652512878,7.962332017972062,44257
3300020533-bin.7,2370078,0.8340286690986541,2.087044276540258,25262
3300020534-bin.11,2328727,0.2843420461050179,0.38575895814274896,4641
3300020534-bin.13,1337114,0.3534807054596691,0.5601814874106397,3870
3300020536-bin.4,2760056,0.26349501604315273,0.33428595920244725,4765
3300020537-bin.19,4310370,0.6410800000927994,1.153799018958056,25210
3300020538-bin.10,2226241,0.002816406669358798,0.004214102329971462,50
3300020538-bin.12,2107864,0.04229305116459126,0.04669512596071652,517
3300020538-bin.15,1233688,0.001061046228868239,0.0010452589221521163,7
3300020539-bin.14,2892631,0.069922503077648,0.07780978260397302,1157
3300020539-bin.2,2652915,0.4411422906500962,0.6150489105430924,8514
3300020539-bin.6,2963442,0.16485121018059407,0.2021230128046498,3102
3300020540-bin.12,2304448,0.3101406497347738,0.4205229206626492,4913
3300020540-bin.20,900323,0.9516040354406141,3.7646644598998353,17430
3300020540-bin.4,1192163,0.03153679488459212,0.03307626470999227,205
3300020542-bin.8,4789593,0.09521957293657311,0.1274580928964855,3183
3300020543-bin.11,2546855,0.09133028774704488,0.10172225449771903,1318
3300020544-bin.10,1670847,0.5227306868911397,0.9869368181398467,8539
3300020544-bin.2,1167181,0.07120746482336501,0.08441013339479736,509
3300020544-bin.4,1837905,0.031924392174785966,0.05101102889378016,483
3300020544-bin.7,6185992,0.2737261865194782,0.3409553341883853,10791
3300020546-bin.10,2648679,0.5442112841911005,0.8500254425838388,11548
3300020546-bin.16,2792585,0.5959224159694333,1.004071153057607,14585
3300020546-bin.23,1278754,0.6100469675950183,1.021443887906062,6625
3300020547-bin.20,2389223,0.5738124905042351,1.0731749885087378,13346
3300020547-bin.4,1279585,0.38199338066638794,0.5052731447645762,3300
3300020547-bin.9,3685659,0.0022031338222011313,0.002640661553734597,52
3300020548-bin.13,1400347,0.2664025416557467,0.3506818690775201,2509
3300020548-bin.16,3959933,0.0550840127850648,0.08559653960175043,1781
3300020548-bin.2,4352364,0.00400655827499722,0.0059934968807349295,136
3300020548-bin.6,836275,0.9954596275148725,13.036511021919221,56642
3300020549-bin.11,2823801,0.7856736363504369,2.230410556247189,32725
3300020551-bin.8,3712937,0.782363934534844,1.946169000883263,37939
3300020552-bin.15,1237357,0.08585800217722128,0.0950201208459757,595
3300020553-bin.6,3312638,0.8519285838054143,2.1639019883990227,36884
3300020555-bin.16,4405293,0.029619596244790075,0.036703785489359465,837
3300020555-bin.7,5011034,0.7081458637079693,1.390699498779373,35663
3300020556-bin.9,1216607,0.7765482197620103,2.0453080557514123,12741
3300020557-bin.14,1790125,0.03618071363731583,0.04133294629081433,383
3300020557-bin.24,1191111,0.9453426254983792,3.4192649100055332,21345
3300020557-bin.7,1997574,0.3103804915362334,0.38931281300549664,3950
3300020558-bin.18,831182,0.3604120397217457,0.9644349190175783,4196
3300020558-bin.22,1903551,0.1881473099486171,0.22690235343490867,2199
3300020558-bin.31,2346779,0.0283482168538239,0.03202221565752659,392
3300020560-bin.28,1013543,0.5431353183831372,0.8911620494140161,4606
3300020560-bin.30,1063131,0.1837167762016158,0.21543209085466328,1175
3300020562-bin.12,1753974,0.18146677202740746,0.2999906568712011,2782
3300020562-bin.13,1336106,0.030067973648797326,0.035909555121107176,256
3300020562-bin.20,2423354,0.08919126136750966,0.09741932558665141,1234
3300020562-bin.25,2270258,0.022932195371627367,0.0331114243211406,399
3300020562-bin.31,2425552,0.2636067996068524,0.3250635643845093,4061
3300020562-bin.36,3656038,0.00025847652568162583,0.0002599092820668166,5
3300020562-bin.39,2066301,0.46727848459638743,0.6758706353811083,7209
3300020562-bin.44,1976431,0.04859162804064498,0.05275097961532214,529
3300020562-bin.5,2248693,0.004920191417859174,0.005578632367130597,65
3300020563-bin.20,2115286,0.03940460060719921,0.04246046892181507,467
3300020564-bin.6,4099214,0.6276554480932198,1.1377998640399911,24118
3300020566-bin.10,3811262,0.019034115209082977,0.023365072505303622,454
3300020566-bin.16,1947691,0.9707325237935587,4.442481467453868,44624
3300020566-bin.3,1470926,0.03652053196421846,0.04230538558452294,316
3300020568-bin.14,1134331,0.9748309796699552,4.937333490388518,28968
3300020568-bin.25,1889639,0.03808399382104201,0.04782999156401026,461
3300020568-bin.4,994173,0.8682563296327701,2.4476372534633333,12431
3300020569-bin.10,2480291,0.07730826745732658,0.08872828364743936,1129
3300020569-bin.8,1917646,0.0011472398972490231,0.0011740874600246344,12
3300020570-bin.4,1660798,0.356653247414797,0.4811918251203206,4092
3300020572-bin.32,1326201,0.03159777439468075,0.03282984546812473,219
3300020572-bin.37,2938332,0.08202034351461986,0.09243966104861161,1403
