genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.04974432560528379,0.15489769700756595,3715
3300020492-bin.7,2555680,0.03918526576097164,0.04525002477159346,612
3300020495-bin.7,5532598,0.46303544916872685,0.6993822311808369,20550
3300020497-bin.26,1115662,0.26142326260103865,0.3318577605422971,1993
3300020497-bin.28,2077447,0.62478176338554,1.0865997556583638,11924
3300020497-bin.30,1842193,0.9871658398441423,7.500531299237052,73102
3300020497-bin.31,2429201,0.001931499287214191,0.0019575424583660223,25
3300020500-bin.11,1335224,0.22086256688016392,0.26340389188777014,1878
3300020500-bin.15,1886585,0.05559039216361839,0.06008526596409276,607
3300020502-bin.7,1668780,0.9902186028116349,7.157446229103419,63298
3300020508-bin.4,5675695,0.0001462375973338948,0.00014833926007000025,5
3300020509-bin.11,1732222,0.002221424274717675,0.010112606513087236,99
3300020509-bin.3,3028046,0.0006756832624075064,0.0006781854173633427,11
3300020509-bin.4,2331221,0.002800249311412346,0.0047077312277853545,63
3300020509-bin.9,1690287,0.012499652425889804,0.0222661135913352,206
3300020510-bin.6,4630102,0.044314358517371755,0.047058773602915834,1157
3300020512-bin.21,2627940,0.015692519616125177,0.02410503029673356,354
3300020513-bin.8,2366479,0.012218574515134088,0.023447740951510875,296
3300020516-bin.14,1185293,0.005550526325558322,0.011231260507729733,76
3300020516-bin.18,835254,0.0002753653379690489,0.00027702031005658154,1
3300020517-bin.16,4826932,0.07540773311080413,0.08247969755073116,2087
3300020518-bin.8,3501331,0.0026538479224043655,0.0028237095705249226,56
3300020519-bin.18,2530461,0.00027662943629639026,0.0002799987598212342,4
3300020519-bin.22,1656815,0.12843678986489138,0.1466841796442295,1291
3300020520-bin.11,2293813,0.018827166817870507,0.028311527784211053,362
3300020521-bin.7,1576449,0.0011544934216076764,0.005571612752531163,48
3300020522-bin.12,2422381,0.0003566738675707909,0.0006262916420080079,8
3300020522-bin.7,2411729,0.1776285809889917,0.22071205159221288,2860
3300020523-bin.14,1566836,0.9369257535568496,4.170560558593435,34496
3300020523-bin.3,4818280,0.9894642901616344,6.645624654200609,172276
3300020524-bin.12,2228983,0.0018115885136853892,0.0019147698104323816,22
3300020525-bin.11,1614305,0.9982048002081391,10.063114089810233,86595
3300020528-bin.19,1077450,0.9078769316441598,3.140224167380482,18323
3300020533-bin.7,2370078,0.04165981035223313,0.04887646964128965,619
3300020534-bin.11,2328727,0.011052819845348982,0.011362769953592458,142
3300020534-bin.13,1337114,0.39987764693212396,0.7758627962032707,5548
3300020536-bin.4,2760056,0.0006387551556924932,0.000647630680632748,10
3300020537-bin.19,4310370,8.676749327783926e-05,0.0001284899029301429,3
3300020538-bin.10,2226241,0.0013830488253517926,0.0028493140096283827,39
3300020538-bin.12,2107864,0.3581246228409423,0.4775107199550113,5491
3300020538-bin.15,1233688,0.0009289220613315522,0.001374855214910901,10
3300020539-bin.14,2892631,0.0042808778582543025,0.004389593250179509,68
3300020539-bin.2,2652915,0.13842659866599571,0.1593207646501309,2290
3300020539-bin.6,2963442,0.0002800797181115743,0.0002764899232323764,4
3300020540-bin.12,2304448,0.9195924577165551,3.572371931569663,43079
3300020540-bin.20,900323,0.8679307315263523,2.5477606286609373,12331
