bin	classf	size	completeness	redundancy
KMBP001A-bin.103	'o__Clostridiales'	2717550	75.70183215130022	1.6770094562647753
KMBP001A-bin.106	'p__Cyanobacteria'	6911350	97.81659388646288	0.4366812227074236
KMBP001A-bin.108	'k__Bacteria'	8265412	93.58108108108108	5.968468468468468
KMBP001A-bin.115	'k__Bacteria'	4242268	96.20071684587813	6.272401433691756
KMBP001A-bin.11	'k__Bacteria'	3889430	89.951441211032	9.183889772125067
KMBP001A-bin.122	'k__Bacteria'	2707991	88.56103546001245	5.0675675675675675
KMBP001A-bin.127	'k__Bacteria'	9319329	97.12837837837837	5.743243243243243
KMBP001A-bin.134	'k__Bacteria'	997278	69.10891089108911	1.4851485148514851
KMBP001A-bin.138	'k__Bacteria'	3755043	68.61718600483671	0.3401360544217687
KMBP001A-bin.13	'p__Bacteroidetes'	1723622	63.834154351395725	2.3426382047071703
KMBP001A-bin.144	'c__Deltaproteobacteria'	5637506	85.86021505376344	1.6129032258064515
KMBP001A-bin.146	'k__Bacteria'	3515804	70.24536017615603	2.3529411764705883
KMBP001A-bin.150	'k__Bacteria'	653044	54.52991452991453	0
KMBP001A-bin.152	'o__Actinomycetales'	790943	62.07142857142857	2.3684210526315788
KMBP001A-bin.162	'c__Spirochaetia'	587010	51.821960784313724	1.6
KMBP001A-bin.166	'o__Actinomycetales'	3047070	79.78236543330884	2.861635220125786
KMBP001A-bin.173	'k__Bacteria'	673662	53.02129023212962	0
KMBP001A-bin.17	'k__Bacteria'	3661558	51.272032902467686	0.6756756756756757
KMBP001A-bin.184	'k__Bacteria'	3982865	95.79234972677595	5.46448087431694
KMBP001A-bin.185	'k__Bacteria'	4570308	74.1522948779982	3.199523052464229
KMBP001A-bin.188	'k__Bacteria'	2963350	58.118097813838176	1.1494252873563218
KMBP001A-bin.207	'k__Bacteria'	847848	68.81188118811882	0.9900990099009901
KMBP001A-bin.213	'k__Bacteria'	5138572	82.02115158636899	6.711711711711712
KMBP001A-bin.215	'k__Bacteria'	647734	63.75183194919394	1.1235955056179776
KMBP001A-bin.216	'k__Bacteria'	2402768	80.7347670250896	4.2065819485174325
KMBP001A-bin.218	'p__Proteobacteria'	2444388	67.80149051490514	1.4227642276422763
KMBP001A-bin.219	'k__Bacteria'	4821561	61.64806110458284	0.9753231492361928
KMBP001A-bin.221	'k__Archaea'	810533	72.11838006230529	0
KMBP001A-bin.225	'p__Bacteroidetes'	3418271	92.77777777777777	1.2698412698412698
KMBP001A-bin.226	'k__Bacteria'	3823645	89.24731182795699	1.254480286738351
KMBP001A-bin.228	'p__Bacteroidetes'	5071552	98.80952380952381	4.523809523809524
KMBP001A-bin.230	'c__Deltaproteobacteria'	2987331	67.6436251920123	2.4961597542242706
KMBP001A-bin.231	'p__Bacteroidetes'	2480903	88.14997263273126	1.1658456486042692
KMBP001A-bin.238	'k__Bacteria'	3354807	55.84799608993157	5.724177256435321
KMBP001A-bin.241	'k__Bacteria'	797701	75.94684451921728	4.813835646618198
KMBP001A-bin.243	'k__Bacteria'	3001736	76.88063063063063	5.096944770857815
KMBP001A-bin.25	'k__Bacteria'	2506956	93.18181818181819	1.1363636363636365
KMBP001A-bin.29	'o__Actinomycetales'	1366236	85.62656641604009	1.8421052631578947
KMBP001A-bin.37	'c__Deltaproteobacteria'	5224114	86.10599078341015	0.25806451612903225
KMBP001A-bin.40	'k__Bacteria'	1809180	88.13615333773959	1.1235955056179776
KMBP001A-bin.46	'k__Bacteria'	3481804	90.54054054054055	3.5135135135135136
KMBP001A-bin.48	'k__Bacteria'	3939774	88.69175627240143	1.881720430107527
KMBP001A-bin.5	'k__Bacteria'	2231103	70.57873090481786	1.718566392479436
KMBP001A-bin.62	'k__Bacteria'	1488988	77.46621621621621	5.058754406580493
KMBP001A-bin.63	'p__Cyanobacteria'	3064701	90.99143610013176	1.947463768115942
KMBP001A-bin.67	'k__Bacteria'	2959449	51.30824372759857	1.003584229390681
KMBP001A-bin.72	'o__Clostridiales'	1847392	91.94630872483222	1.0067114093959733
KMBP001A-bin.74	'k__Bacteria'	3005562	87.01199281122555	6.5540540540540535
KMBP001A-bin.76	'k__Bacteria'	4817758	84.79729729729729	2.725225225225225
KMBP001A-bin.79	'f__Rhodocyclaceae'	4240741	93.51906737798853	6.078807842566305
KMBP001A-bin.7	'c__Gammaproteobacteria'	1993071	75.538822480864	1.3398186932151601
KMBP001A-bin.87	'k__Bacteria'	3448987	62.9226285108638	4.898648648648648
KMBP001A-bin.93	'k__Bacteria'	4622484	88.42293906810036	2.3655913978494625
KMBP001A-bin.96	'k__Bacteria'	2351070	66.39507154213037	1.3807285546415982
KMBP001A-bin.97	'k__Bacteria'	4120493	86.32491186839013	5.405405405405405
KMBP001B-bin.101	'k__Bacteria'	5155939	85.47297297297297	6.432167461579226
KMBP001B-bin.106	'k__Bacteria'	4053185	80.76131687242798	0.9259259259259259
KMBP001B-bin.10	'c__Deltaproteobacteria'	6464114	92.64976958525347	5.619559651817716
KMBP001B-bin.112	'k__Bacteria'	4934919	91.89189189189189	1.0428907168037604
KMBP001B-bin.113	'k__Bacteria'	874970	79.54545454545455	3.4482758620689653
KMBP001B-bin.118	'k__Bacteria'	3016381	83.90699523052464	2.027027027027027
KMBP001B-bin.119	'k__Bacteria'	991801	70.86708670867087	1.5951595159515952
KMBP001B-bin.123	'k__Bacteria'	3360159	80.68693693693693	5.209557383470427
KMBP001B-bin.125	'f__Rhodocyclaceae'	4213717	93.59989940902804	3.869567591177113
KMBP001B-bin.12	'k__Bacteria'	905966	66.13861386138613	0.9900990099009901
KMBP001B-bin.131	'c__Deltaproteobacteria'	3007223	68.00358422939068	2.903225806451613
KMBP001B-bin.135	'k__Bacteria'	6053084	75.29717057210662	2.9729729729729732
KMBP001B-bin.136	'k__Bacteria'	4151413	83.20113591852721	2.59009009009009
KMBP001B-bin.141	'k__Bacteria'	933994	65.24294670846396	0
KMBP001B-bin.145	'k__Archaea'	854252	72.11838006230529	0
KMBP001B-bin.14	'k__Bacteria'	622564	65.18947588805918	0.5617977528089888
KMBP001B-bin.156	'k__Bacteria'	2812885	90.84900117508813	0.7050528789659224
KMBP001B-bin.160	'k__Bacteria'	622281	70.5851619644723	0.15673981191222572
KMBP001B-bin.169	'k__Bacteria'	9572816	97.23854289071681	4.72972972972973
KMBP001B-bin.180	'k__Bacteria'	1801053	74.1554054054054	2.619467293380337
KMBP001B-bin.185	'c__Betaproteobacteria'	2990572	81.32663808019257	3.4132336857455337
KMBP001B-bin.186	'k__Archaea'	663685	57.3208722741433	0.4672897196261682
KMBP001B-bin.193	'k__Bacteria'	4808367	83.40023847376789	5.405405405405405
KMBP001B-bin.199	'p__Bacteroidetes'	4670807	91.74603174603173	2.634920634920635
KMBP001B-bin.1	'p__Cyanobacteria'	6949941	98.2532751091703	0.5458515283842795
KMBP001B-bin.202	'p__Bacteroidetes'	1980268	70.85659551176794	0.7389162561576355
KMBP001B-bin.206	'k__Bacteria'	2594361	65.22482893450635	1.3929618768328444
KMBP001B-bin.207	'k__Bacteria'	4033826	96.88524590163935	1.639344262295082
KMBP001B-bin.216	'p__Cyanobacteria'	3198641	89.5078502415459	2.1739130434782608
KMBP001B-bin.218	'c__Betaproteobacteria'	2899568	82.63743891705977	1.9555405100428798
KMBP001B-bin.23	'k__Bacteria'	2257194	68.213866039953	2.742448330683625
KMBP001B-bin.26	'k__Bacteria'	3573229	85.06493506493507	3.4612446377152257
KMBP001B-bin.27	'c__Deltaproteobacteria'	6211782	82.52688172043011	2.1198156682027647
KMBP001B-bin.2	'k__Bacteria'	4443572	91.77438307873092	1.3807285546415982
KMBP001B-bin.31	'k__Bacteria'	5948383	89.81481481481481	5.967078189300412
KMBP001B-bin.33	'k__Bacteria'	2771587	93.58108108108108	2.7027027027027026
KMBP001B-bin.35	'k__Bacteria'	2445516	92.18181818181819	0.9090909090909091
KMBP001B-bin.40	'k__Bacteria'	1966641	92.87749287749287	3.4188034188034186
KMBP001B-bin.4	'p__Bacteroidetes'	3479199	73.80952380952381	3.619047619047619
KMBP001B-bin.53	'f__Rhodocyclaceae'	2665566	83.29251788467775	3.6779015311445975
KMBP001B-bin.60	'k__Bacteria'	4113959	90.84900117508813	3.2657657657657655
KMBP001B-bin.69	'k__Bacteria'	5477193	81.89068224234465	4.054054054054054
KMBP001B-bin.72	'k__Bacteria'	6017081	67.66549157853505	2.191539365452409
KMBP001B-bin.76	'o__Actinomycetales'	2230786	58.764450434261754	1.5256064690026954
KMBP001B-bin.85	'k__Bacteria'	3184316	87.9994124559342	2.9279279279279278
KMBP001B-bin.89	'o__Actinomycetales'	2323481	76.33513027852652	3.2328677611696484
KMBP001B-bin.91	'k__Bacteria'	3715347	84.54545454545455	7.2727272727272725
KMBP001B-bin.95	'o__Actinomycetales'	839501	57.25062656641604	0.3684210526315789
KMBP001C-bin.100	'c__Betaproteobacteria'	1713486	93.64952141994239	0.8937187707748065
KMBP001C-bin.105	'k__Bacteria'	4051501	87.93103448275862	5.172413793103448
KMBP001C-bin.107	'k__Bacteria'	3797644	90.1010101010101	3.8636363636363638
KMBP001C-bin.10	'k__Bacteria'	4409226	64.68186216907445	3.2094594594594597
KMBP001C-bin.114	'c__Betaproteobacteria'	1674029	88.78143461476795	1.1752136752136753
KMBP001C-bin.116	'k__Bacteria'	741351	67.65676567656766	0
KMBP001C-bin.117	'k__Bacteria'	2777669	86.11570247933884	1.2727272727272727
KMBP001C-bin.118	'k__Bacteria'	1052564	57.902474883606956	0.9433962264150944
KMBP001C-bin.122	'k__Bacteria'	5579484	97.66042780748663	2.37603305785124
KMBP001C-bin.128	'k__Bacteria'	2052857	92.28336495888678	2.6881720430107525
KMBP001C-bin.132	'k__Bacteria'	2762235	66.8670576735093	0.6720430107526881
KMBP001C-bin.133	'k__Bacteria'	2397995	76.67626491155903	1.098901098901099
KMBP001C-bin.134	'k__Archaea'	804749	67.4454828660436	0
KMBP001C-bin.137	'k__Bacteria'	884275	51.724137931034484	1.7241379310344827
KMBP001C-bin.144	'k__Bacteria'	1373828	56.14035087719298	0
