bin	classf	size	completeness	redundancy
GEODES005-bin.100	'c__Alphaproteobacteria'	2652166	81.73913043478261	0.8115942028985507
GEODES005-bin.108	'k__Bacteria'	1146247	70.22792022792024	1.0256410256410255
GEODES005-bin.10	'k__Bacteria'	1554672	66.37931034482759	0
GEODES005-bin.115	'c__Alphaproteobacteria'	2553213	89.7760210803689	2.1884057971014492
GEODES005-bin.116	'k__Bacteria'	858854	56.77899686520376	0
GEODES005-bin.117	'k__Bacteria'	4244008	89.3103448275862	1.3584117032392895
GEODES005-bin.120	'o__Burkholderiales'	2312424	82.30068453844892	2.8913551401869158
GEODES005-bin.129	'k__Bacteria'	1455176	62.55681818181818	4.4421487603305785
GEODES005-bin.13	'o__Actinomycetales'	1678751	79.69755469755471	1.0810810810810811
GEODES005-bin.140	'p__Bacteroidetes'	3091668	90.64039408866995	6.267104542966612
GEODES005-bin.144	'k__Bacteria'	4125704	90.51464063886425	2.0408163265306123
GEODES005-bin.148	'o__Cytophagales'	1839902	69.51423324150598	1.5869809203142535
GEODES005-bin.153	'o__Burkholderiales'	2672580	83.63095238095238	2.475801068090788
GEODES005-bin.155	'k__Bacteria'	4782962	81.09243697478992	7.6923076923076925
GEODES005-bin.159	'k__Bacteria'	2868834	79.88505747126437	0.0676132521974307
GEODES005-bin.165	'c__Gammaproteobacteria'	3665875	100	0.5747126436781609
GEODES005-bin.171	'p__Proteobacteria'	1508757	51.32373113854596	0
GEODES005-bin.19	'k__Bacteria'	1957718	87.65432098765433	1.2820512820512822
GEODES005-bin.21	'k__Bacteria'	7121732	94.187675070028	1.680672268907563
GEODES005-bin.23	'k__Bacteria'	1679774	68.96551724137932	5.329153605015674
GEODES005-bin.29	'k__Bacteria'	2815225	57.784743991640546	3.4482758620689653
GEODES005-bin.2	'k__Bacteria'	2329227	76.06837606837607	3.276353276353276
GEODES005-bin.31	'p__Cyanobacteria'	2463395	55.05324074074074	0.1111111111111111
GEODES005-bin.35	'o__Burkholderiales'	2590177	75.58363104659401	5.617283950617284
GEODES005-bin.37	'o__Cytophagales'	2703998	99.62406015037594	0
GEODES005-bin.3	'c__Betaproteobacteria'	710745	52.65767275571198	1.1396011396011394
GEODES005-bin.45	'c__Gammaproteobacteria'	2653206	82.46087636932708	2.787558685446009
GEODES005-bin.49	'k__Bacteria'	4593043	87.14285714285714	2.947845804988662
GEODES005-bin.52	'o__Actinomycetales'	2934568	83.79369163331427	2.7184785864031147
GEODES005-bin.53	'k__Bacteria'	649759	58.62068965517241	0
GEODES005-bin.55	'c__Deltaproteobacteria'	2940575	60.44802867383512	1.935483870967742
GEODES005-bin.56	'o__Actinomycetales'	1204985	84.25725509058843	0.6734006734006733
GEODES005-bin.59	'o__Rickettsiales'	1172893	72.24665349358926	6.844800348640845
GEODES005-bin.5	'k__Bacteria'	2795612	82.95922184811073	2.037037037037037
GEODES005-bin.61	'p__Bacteroidetes'	2662182	75.37493158182814	3.5030103995621236
GEODES005-bin.63	'k__Bacteria'	3187012	70.35005224660397	0.5747126436781609
GEODES005-bin.64	'o__Burkholderiales'	1929520	82.48195627130698	4.585280373831775
GEODES005-bin.65	'k__Bacteria'	1404955	96.7032967032967	0.5494505494505495
GEODES005-bin.66	'k__Bacteria'	2086543	90.27027027027027	0.09009009009009007
GEODES005-bin.67	'k__Bacteria'	2615001	72.97313909889974	0
GEODES005-bin.6	'o__Sphingomonadales'	2594919	79.13790296344	4.5563139931740615
GEODES005-bin.70	'k__Bacteria'	3302480	59.50427192820702	9.648411088573361
GEODES005-bin.72	'o__Burkholderiales'	2050803	69.35652906693241	7.279478698871221
GEODES005-bin.75	'o__Burkholderiales'	2561042	77.48619047619047	4.38
GEODES005-bin.76	'k__Bacteria'	3903435	61.56299840510368	0
GEODES005-bin.78	'o__Burkholderiales'	2543894	94.56098682194299	1.9389110225763615
GEODES005-bin.82	'k__Bacteria'	3501120	68.33855799373042	3.605015673981191
GEODES005-bin.83	'c__Alphaproteobacteria'	2834361	98.91304347826087	0.43478260869565216
GEODES005-bin.84	'o__Burkholderiales'	2919942	92.0221912044342	4.336059190031152
GEODES005-bin.87	'k__Bacteria'	1525515	52.507836990595614	1.7241379310344827
GEODES005-bin.89	'o__Cytophagales'	2599160	85.94949494949495	1.6666666666666667
GEODES005-bin.93	'k__Bacteria'	3081499	97.78311324529813	0.6802721088435374
GEODES005-bin.97	'c__Alphaproteobacteria'	3670496	99.02597402597402	0.487012987012987
GEODES057-bin.102	'o__Burkholderiales'	2329845	77.05992359829055	2.949766355140187
GEODES057-bin.109	'o__Burkholderiales'	3730327	91.88666666666667	9.206666666666665
GEODES057-bin.110	'k__Bacteria'	1006543	62.09358542691876	0.42735042735042733
GEODES057-bin.113	'o__Rhizobiales'	5247834	88.84407737856014	2.727272727272727
GEODES057-bin.114	'p__Bacteroidetes'	2276722	67.83251231527093	0.49261083743842365
GEODES057-bin.117	'o__Burkholderiales'	1838801	81.48139039186752	2.764797507788162
GEODES057-bin.121	'o__Actinomycetales'	885033	63.557644110275696	1.7543859649122806
GEODES057-bin.134	'o__Rhodospirillales'	5717828	99.95477159656265	0.4975124378109453
GEODES057-bin.136	'o__Rickettsiales'	1305349	87.34740772655465	7.187993680884675
GEODES057-bin.141	'k__Bacteria'	651904	50.86206896551724	0
GEODES057-bin.142	'p__Bacteroidetes'	3691096	98.0295566502463	0.9852216748768473
GEODES057-bin.143	'p__Bacteroidetes'	3801816	94.35185185185185	1.6666666666666667
GEODES057-bin.144	'c__Betaproteobacteria'	1387311	92.21611721611721	0.7359924026590694
GEODES057-bin.146	'k__Bacteria'	4412187	71.59863945578232	0.1360544217687075
GEODES057-bin.150	'k__Bacteria'	1416992	69.08999792631506	1.8581081081081081
GEODES057-bin.15	'k__Bacteria'	1626068	83.32713293650794	0.07440476190476189
GEODES057-bin.22	'p__Bacteroidetes'	3831065	98.25944170771757	1.2315270935960592
GEODES057-bin.26	'c__Alphaproteobacteria'	2048279	87.11594202898551	2.163561076604555
GEODES057-bin.30	'k__Bacteria'	1375228	69.3861693861694	1.452991452991453
GEODES057-bin.32	'c__Gammaproteobacteria'	2712509	92.34601449275362	3.6065102369450197
GEODES057-bin.33	'o__Actinomycetales'	1887547	76.29601029601031	1.3153153153153154
GEODES057-bin.41	'p__Bacteroidetes'	4483965	96.92118226600985	0.41050903119868637
GEODES057-bin.42	'k__Bacteria'	2345476	78.04075235109718	4.310344827586207
GEODES057-bin.45	'p__Bacteroidetes'	2947796	99.50738916256158	0
GEODES057-bin.46	'c__Gammaproteobacteria'	2988498	89.39563204508858	2.5181159420289854
GEODES057-bin.47	'k__Bacteria'	1144687	58.33863275039746	0
GEODES057-bin.49	'o__Rhizobiales'	2158556	87.14733542319749	1.5543364681295715
GEODES057-bin.51	'c__Gammaproteobacteria'	2354742	92.85539215686273	0.9299307958477508
GEODES057-bin.52	'k__Bacteria'	2196059	89.74358974358974	1.9943019943019942
GEODES057-bin.53	'k__Bacteria'	1573606	97.43589743589743	1.2820512820512822
GEODES057-bin.55	'c__Betaproteobacteria'	2261430	70.1929587000677	0.7334687429474159
GEODES057-bin.56	'k__Bacteria'	3355853	68.96551724137932	5.172413793103448
GEODES057-bin.61	'k__Bacteria'	1959195	95.12820512820512	1.7094017094017093
GEODES057-bin.68	'p__Actinobacteria'	1644657	96.12068965517241	0.43103448275862066
GEODES057-bin.6	'o__Burkholderiales'	2893107	81.0982333169372	4.205607476635514
GEODES057-bin.71	'k__Bacteria'	1379469	64.65517241379311	0
GEODES057-bin.76	'k__Bacteria'	3148331	97.48858447488585	1.36986301369863
GEODES057-bin.78	'g__Mycobacterium'	3249630	87.02394179894179	1.5476190476190474
GEODES057-bin.79	'k__Bacteria'	927491	51.724137931034484	3.4482758620689653
GEODES057-bin.80	'k__Bacteria'	4333135	92.12962962962963	3.7037037037037037
GEODES057-bin.89	'k__Bacteria'	2585669	88.79310344827586	0.8620689655172413
GEODES057-bin.8	'p__Bacteroidetes'	3113196	94.45539135194308	2.654625068418172
GEODES057-bin.90	'k__Bacteria'	2762741	72.75862068965517	2.586206896551724
GEODES057-bin.91	'k__Bacteria'	1653989	89.74358974358974	1.2820512820512822
GEODES057-bin.95	'o__Sphingomonadales'	3875242	99.81797497155858	0.4509995124329595
GEODES057-bin.96	'o__Rhizobiales'	2288011	80.69631318049039	2.3389321648815318
GEODES057-bin.97	'k__Bacteria'	1933891	62.06896551724138	0
GEODES057-bin.9	'k__Bacteria'	1437564	82.05128205128206	2.849002849002849
GEODES058-bin.100	'p__Bacteroidetes'	3854185	98.52216748768473	1.477832512315271
GEODES058-bin.102	'k__Bacteria'	1330389	63.019943019943014	2.1367521367521367
GEODES058-bin.105	'k__Bacteria'	1492965	66.37931034482759	3.4482758620689653
GEODES058-bin.107	'c__Gammaproteobacteria'	2924737	87.04422590292155	3.967391304347826
GEODES058-bin.10	'k__Bacteria'	1808731	95.2991452991453	3.4188034188034186
GEODES058-bin.111	'k__Bacteria'	973853	64.65517241379311	1.7241379310344827
GEODES058-bin.113	'k__Bacteria'	944243	55.485893416927894	6.896551724137931
GEODES058-bin.118	'c__Gammaproteobacteria'	1496701	73.33937198067632	0.7900563607085346
GEODES058-bin.11	'k__Bacteria'	1544164	91.83285849952516	1.2820512820512822
GEODES058-bin.121	'k__Bacteria'	759385	60.81504702194358	2.586206896551724
GEODES058-bin.128	'k__Bacteria'	3134364	98.63013698630137	0.684931506849315
