genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.7525743145223056,2.20628144927325,50108
3300020492-bin.7,2555680,0.29448952920553434,0.38692285856831105,5107
3300020495-bin.7,5532598,0.005979469319838528,0.006122715596626179,173
3300020497-bin.26,1115662,0.9099673557045055,3.1491025960284564,18032
3300020497-bin.28,2077447,0.9709061169791576,4.544851908749058,48085
3300020497-bin.30,1842193,0.993008333003111,10.47162346004854,98095
3300020497-bin.31,2429201,0.5667855397721309,0.9303697233855658,11780
3300020500-bin.11,1335224,0.5213357459122964,0.8076486473412925,5487
3300020500-bin.15,1886585,0.5436632857782713,0.8664459897507771,8381
3300020502-bin.7,1668780,0.994147221323362,8.926816556702386,75554
3300020508-bin.4,5675695,0.11204654231772497,0.12285153808498063,3555
3300020509-bin.11,1732222,0.013894292994777806,0.02793033273713185,251
3300020509-bin.3,3028046,0.025036938012170225,0.027573366507194403,429
3300020509-bin.4,2331221,0.04408119178747961,0.04731200252352221,573
3300020509-bin.9,1690287,0.04824979426570754,0.06954781455605025,605
3300020510-bin.6,4630102,0.07208134939575846,0.07821662189604359,1833
3300020512-bin.21,2627940,0.059757072079271216,0.07074267041623021,948
3300020513-bin.8,2366479,0.01086508690759563,0.014998984317451756,188
3300020516-bin.14,1185293,0.02850434449541168,0.03489566740978745,210
3300020516-bin.18,835254,0.019954409077957123,0.02117704935499022,91
3300020517-bin.16,4826932,0.11070883119961085,0.12507203272998543,3071
3300020518-bin.8,3501331,0.0054702054732900145,0.005780101652291227,104
3300020519-bin.18,2530461,0.00417038634462258,0.004205399323088283,53
3300020519-bin.22,1656815,0.3266339331790212,0.42584319659265374,3627
3300020520-bin.11,2293813,0.04899527555210473,0.054595977416425405,639
3300020521-bin.7,1576449,0.012280765188090449,0.016627218148977538,140
3300020522-bin.12,2422381,0.0016281501547444437,0.0016990248837445475,23
3300020522-bin.7,2411729,0.5584935123307802,1.0442545292680607,12833
3300020523-bin.14,1566836,0.9842593609031194,6.873483644308396,54443
3300020523-bin.3,4818280,0.10165930581037216,0.11087017262118759,2750
3300020524-bin.12,2228983,0.01946268769209994,0.02729097065338946,315
3300020525-bin.11,1614305,0.015191676913594396,0.015740574921205595,130
3300020528-bin.19,1077450,0.9752925889832474,5.258703596357233,29195
3300020533-bin.7,2370078,0.019850401547965933,0.026893112208917123,324
3300020534-bin.11,2328727,0.014709753440398982,0.015493824032964579,184
3300020534-bin.13,1337114,0.549272537719297,1.040654309801363,7112
3300020536-bin.4,2760056,0.013928702895883271,0.01488766684003259,214
3300020537-bin.19,4310370,0.004427926140911337,0.00465796982983897,100
3300020538-bin.10,2226241,0.03786831704204531,0.04158067322136084,483
3300020538-bin.12,2107864,0.29797320889772777,0.3717540592076453,4110
3300020538-bin.15,1233688,0.8498331831062635,2.210451934566844,13852
3300020539-bin.14,2892631,0.07864120933503098,0.08602197129149969,1262
3300020539-bin.2,2652915,0.015113563759110262,0.01719413368322181,241
3300020539-bin.6,2963442,0.37855136020883823,0.5380078870282393,8181
3300020540-bin.12,2304448,0.9944598446135474,8.812371790372143,102523
3300020540-bin.20,900323,0.9970332869425751,9.708165385483547,44891
3300020540-bin.4,1192163,0.9968905258760756,9.970547231433706,60199
3300020542-bin.8,4789593,0.08433284414771777,0.12417028538769868,3105
3300020543-bin.11,2546855,0.024957054877486156,0.026108562903402615,350
3300020544-bin.10,1670847,0.5502771947401528,1.0182525954506068,8764
3300020544-bin.2,1167181,0.0253653889156866,0.03679310013474697,224
3300020544-bin.4,1837905,0.007148356416680949,0.00843550554648853,78
3300020544-bin.7,6185992,0.015974479113455044,0.016325440298125885,512
3300020546-bin.10,2648679,0.02365405547444594,0.025760254967947795,349
3300020546-bin.16,2792585,0.04704494223094373,0.05350092863583311,786
3300020546-bin.23,1278754,0.9797967396387421,5.819081996978388,37629
3300020547-bin.20,2389223,0.015386592210103451,0.01652803474542066,204
3300020547-bin.4,1279585,0.03823583427439365,0.04256355317065065,284
3300020547-bin.9,3685659,0.0003850057750866263,0.0003876220044037715,8
3300020548-bin.13,1400347,0.01787414119500381,0.05803562237430387,414
3300020548-bin.16,3959933,0.005576104444191354,0.006008505551886939,123
3300020548-bin.2,4352364,0.004334196312624587,0.004464453756873528,100
3300020548-bin.6,836275,0.9998983587934591,90.332964684446,393784
3300020549-bin.11,2823801,0.020553856309279583,0.022327867575505717,326
3300020551-bin.8,3712937,0.5337052581285381,1.0402141061480736,20089
3300020552-bin.15,1237357,0.2283164842482808,0.2813807890981721,1770
3300020553-bin.6,3312638,0.004091301252959122,0.008011132622839864,142
3300020555-bin.16,4405293,0.008120004730672852,0.008628273826900823,194
3300020555-bin.7,5011034,0.004147646972660732,0.004335437086287142,110
3300020556-bin.9,1216607,0.8062159760711552,2.2749174925472224,14213
3300020557-bin.14,1790125,0.01258012708609734,0.020699236599940954,193
3300020557-bin.24,1191111,0.9951952420891084,11.062834658622071,68937
3300020557-bin.7,1997574,0.17161817284365935,0.20101021128504026,2045
3300020558-bin.18,831182,0.5984934707440729,4.434605047600224,19247
3300020558-bin.22,1903551,0.6004982267351913,1.1001419392123089,10639
3300020558-bin.31,2346779,0.4140790419549519,0.5703514813025593,6971
3300020560-bin.28,1013543,0.9921177493209464,11.65555082912977,59753
3300020560-bin.30,1063131,0.9897830088672045,12.321155512678208,66528
3300020562-bin.12,1753974,0.28991649819210547,0.45335080673391287,4149
3300020562-bin.13,1336106,0.4918307379803698,0.8197291201245109,5661
3300020562-bin.20,2423354,0.30812295686061547,0.4054636661578903,5052
3300020562-bin.25,2270258,0.1725425039797239,0.21785046018883092,2571
3300020562-bin.31,2425552,0.6566628957037408,1.1917165772357439,14993
3300020562-bin.36,3656038,0.18635145477153137,0.2175105372111505,4066
3300020562-bin.39,2066301,0.9563292085712585,4.658857202886654,49714
