genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9091671096854417,4.8782592579475885,111185
3300020492-bin.7,2555680,0.025790396293745695,0.029297364512075187,390
3300020495-bin.7,5532598,0.24992996057186878,0.30468695894345016,8645
3300020497-bin.26,1115662,0.09032843280491762,0.09990168446721676,565
3300020497-bin.28,2077447,0.7309052890398648,1.464569786784529,15532
3300020497-bin.30,1842193,0.9333891725785518,3.3021791371133764,30968
3300020497-bin.31,2429201,0.04176352636113685,0.045548089662717,565
3300020500-bin.11,1335224,0.09440288670664997,0.10463448486498077,718
3300020500-bin.15,1886585,0.48964133606490035,0.7110028651906379,6882
3300020502-bin.7,1668780,0.9823625642685075,5.8664519041767,49798
3300020508-bin.4,5675695,0.004143281131209482,0.00457767599153524,134
3300020509-bin.11,1732222,0.002776203050186408,0.009473209589205656,86
3300020509-bin.3,3028046,0.002610594422938093,0.0026801400403176833,42
3300020509-bin.4,2331221,0.0260751769137289,0.02789708067763104,340
3300020509-bin.9,1690287,0.6091048443252537,1.0454051008218368,8994
3300020510-bin.6,4630102,0.04288739211360786,0.045516165522266644,1079
3300020512-bin.21,2627940,0.007277182888498215,0.014810421002080715,201
3300020513-bin.8,2366479,0.006863783705665674,0.00737606595433849,91
3300020516-bin.14,1185293,0.011856983884997212,0.019968618795345117,120
3300020516-bin.18,835254,0.0004968548489441535,0.0005096055286559538,2
3300020517-bin.16,4826932,0.030472150840326732,0.03257230853085316,800
3300020518-bin.8,3501331,0.003440405948480735,0.0036342925552073483,65
3300020519-bin.18,2530461,0.004407892474928481,0.0044541883354693055,55
3300020519-bin.22,1656815,0.6999894375654494,1.4446608986552332,12281
3300020520-bin.11,2293813,0.004886187322157473,0.005061810121257533,63
3300020521-bin.7,1576449,0.0026515288474286197,0.005335297971064083,43
3300020522-bin.12,2422381,0.006546864428015246,0.0068577567841378384,85
3300020522-bin.7,2411729,0.16823117356883796,0.2108165174046718,2582
3300020523-bin.14,1566836,0.9698960197493548,5.306765019067597,42068
3300020523-bin.3,4818280,0.10702512099753439,0.1176053454087953,2923
3300020524-bin.12,2228983,0.11865231811996772,0.13612915492951272,1543
3300020525-bin.11,1614305,0.496904859986186,1.0858727940078237,8987
3300020528-bin.19,1077450,0.9928646340897489,7.650920420185162,42545
