genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.06808485236211603,0.10337079985105829,2377
3300020492-bin.7,2555680,0.12111140674888875,0.14564734362927514,1895
3300020495-bin.7,5532598,0.018234652147146785,0.01901256858288197,537
3300020497-bin.26,1115662,0.009726063987121548,0.010235479011372263,59
3300020497-bin.28,2077447,0.3942353282658956,0.5237373284091098,5519
3300020497-bin.30,1842193,0.22765801411687048,0.27520780094837777,2557
3300020497-bin.31,2429201,0.12997030710920998,0.1606496915909473,2023
3300020500-bin.11,1335224,0.026303451705481627,0.029346565944836214,202
3300020500-bin.15,1886585,0.013567371732521991,0.01466975621405206,144
3300020502-bin.7,1668780,0.9933502319059433,9.863726016941358,83238
3300020508-bin.4,5675695,0.0032478841798229117,0.004870231677963226,142
3300020509-bin.11,1732222,0.006713342747061289,0.009939299661330881,87
3300020509-bin.3,3028046,0.391072658737681,0.5517549184343832,8626
3300020509-bin.4,2331221,0.6288374203904306,1.0892510103072128,13075
3300020509-bin.9,1690287,0.16241265536562727,0.2077737667190364,1779
3300020510-bin.6,4630102,0.17520780319742416,0.20217638470878643,4711
3300020512-bin.21,2627940,0.002782788039300745,0.0063288602676446195,92
3300020513-bin.8,2366479,0.7350113818884512,1.6864213171433389,20368
3300020516-bin.14,1185293,0.9743666755814807,4.589833423713968,27666
3300020516-bin.18,835254,0.0016809258022110639,0.0016901010860299979,7
3300020517-bin.16,4826932,0.029509220349489076,0.03455095557081329,856
3300020518-bin.8,3501331,0.15254941620772214,0.2064311752292653,3742
3300020519-bin.18,2530461,0.06372593768487245,0.07122221434869717,920
3300020519-bin.22,1656815,0.003363079160920199,0.00605975302150391,55
3300020520-bin.11,2293813,0.06779890078223465,0.1022903528399425,1204
3300020521-bin.7,1576449,0.004273528671082921,0.008758461138373648,69
3300020522-bin.12,2422381,0.0024174562135353605,0.003744435589680112,48
3300020522-bin.7,2411729,0.3572213130082194,0.508646235632215,6207
3300020523-bin.14,1566836,0.9906946227939618,9.792276559963263,77265
3300020523-bin.3,4818280,0.9990766414571175,18.381012008294668,453932
3300020524-bin.12,2228983,0.004319458694839754,0.006348613797833364,77
3300020525-bin.11,1614305,0.003243501073217267,0.004029538291811336,34
3300020528-bin.19,1077450,0.9930966634182561,11.126776834969881,61975
3300020533-bin.7,2370078,0.7093770753536381,1.3692569681304272,16408
3300020534-bin.11,2328727,0.4094863846212974,0.5760141568448304,6851
3300020534-bin.13,1337114,0.1285918777306946,0.18307350474656453,1283
3300020536-bin.4,2760056,0.680643798531624,1.3466241612562244,18983
3300020537-bin.19,4310370,0.012528390834197529,0.013904417988894696,298
3300020538-bin.10,2226241,0.0012882702277067037,0.0026835955636256817,34
3300020538-bin.12,2107864,0.04340650060914746,0.05161371951891536,581
3300020538-bin.15,1233688,0.00045716583123123515,0.000917216170231047,7
3300020539-bin.14,2892631,0.025561158682182415,0.030165824441314836,443
3300020539-bin.2,2652915,0.005942142888106102,0.006960303015852599,98
3300020539-bin.6,2963442,0.4289852813046451,0.6733860992765344,10198
3300020540-bin.12,2304448,0.20687513886188796,0.2446600157035456,2847
3300020540-bin.20,900323,0.9226333215968047,3.204255276356041,14856
3300020540-bin.4,1192163,0.03558154379896038,0.03784162279745974,223
3300020542-bin.8,4789593,0.970044427574535,4.190753597971132,102407
3300020543-bin.11,2546855,0.8854355666105844,2.608981093656353,33794
3300020544-bin.10,1670847,0.9551742319913193,4.551159739790298,39204
3300020544-bin.2,1167181,0.773326502059235,1.6587822722567793,9881
3300020544-bin.4,1837905,0.017963931759258502,0.0223623800052353,212
3300020544-bin.7,6185992,0.07326197641380719,0.0787592896499189,2471
3300020546-bin.10,2648679,0.3164728530712857,0.4055690936456611,5445
3300020546-bin.16,2792585,0.400392467910556,0.5535372627225272,8050
3300020546-bin.23,1278754,0.9378754631461563,3.3043191613977365,21261
3300020547-bin.20,2389223,0.18129408598527638,0.21735780111403333,2688
3300020547-bin.4,1279585,0.6120203034577617,1.0599959534863412,6921
3300020547-bin.9,3685659,0.0053056997405348675,0.006093013498846909,113
3300020548-bin.13,1400347,0.9265282105078241,3.2088580943156204,22581
3300020548-bin.16,3959933,0.7115590087003997,1.5145839197490771,30902
3300020548-bin.2,4352364,0.7969099091895806,1.9386066639098383,42983
3300020548-bin.6,836275,0.9996340916564527,40.20515037365461,175079
3300020549-bin.11,2823801,0.35645040142701273,0.48166271744830086,7038
3300020551-bin.8,3712937,0.15996473950406376,0.20343309349091288,3927
3300020552-bin.15,1237357,0.9893110880691668,6.273581191307925,38715
3300020553-bin.6,3312638,0.44358755771080327,0.6245449425612652,10596
3300020555-bin.16,4405293,0.4520089810144297,0.6448892708439862,14550
3300020555-bin.7,5011034,0.015006284132177111,0.016638644029926247,429
3300020556-bin.9,1216607,0.9938805218118916,8.14634234228481,50591
3300020557-bin.14,1790125,0.4111941903498359,0.5679052657076069,5184
3300020557-bin.24,1191111,0.9836152969790389,5.41780845619174,33493
3300020557-bin.7,1997574,0.966124909515242,4.0525704169362955,40975
3300020558-bin.18,831182,0.6117456826543405,2.3387648158046375,10140
