genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.043438291239040916,0.04700655217836725,1070
3300020492-bin.7,2555680,0.0033247511425530583,0.00459772386131558,63
3300020495-bin.7,5532598,0.0012608904532734892,0.0013049236347320375,37
3300020497-bin.26,1115662,0.03476232048774629,0.04165218135859929,238
3300020497-bin.28,2077447,0.40463944447198896,0.5480648955411916,5830
3300020497-bin.30,1842193,0.1729954461883201,0.19942876010662133,1869
3300020497-bin.31,2429201,0.002498763996886219,0.0064444163408209935,79
3300020500-bin.11,1335224,0.409740238342031,0.5650295162629042,3833
3300020500-bin.15,1886585,0.06624297341492696,0.06986166604696954,674
3300020502-bin.7,1668780,0.9057383238054147,2.897574421763625,24559
3300020508-bin.4,5675695,0.015572718407173043,0.02976891037339828,863
3300020509-bin.11,1732222,0.020082876213326006,0.029794827326487316,263
3300020509-bin.3,3028046,0.7684628965345969,2.7145841969245614,42677
3300020509-bin.4,2331221,0.935927138611054,3.453295188990662,41398
3300020509-bin.9,1690287,0.022278465136393998,0.02974492183235598,257
3300020510-bin.6,4630102,0.1999990496969613,0.24541317164517693,5767
3300020512-bin.21,2627940,0.0041576291696157446,0.007170555459242219,100
3300020513-bin.8,2366479,0.04347640524171142,0.0572297919902427,697
3300020516-bin.14,1185293,0.631583920600223,1.2457344475446155,7481
3300020516-bin.18,835254,0.005952680262530919,0.006241673583643297,28
3300020517-bin.16,4826932,0.9221277614849349,3.2156162986009127,78887
3300020518-bin.8,3501331,0.1293653756242983,0.22998775792580264,4171
3300020519-bin.18,2530461,0.17274757445382483,0.1993492730379611,2554
3300020519-bin.22,1656815,0.0018113066335106816,0.002760054528347884,27
3300020520-bin.11,2293813,0.17047989526609186,0.21183543845717326,2473
3300020521-bin.7,1576449,0.0179802835359723,0.02609976346720065,204
3300020522-bin.12,2422381,0.005372400130285037,0.010203396481933023,131
3300020522-bin.7,2411729,0.016250167411015086,0.021724547067503402,273
3300020523-bin.14,1566836,0.9792977695176777,6.37774277282957,50597
3300020523-bin.3,4818280,0.009508372282225192,0.011135171052522602,273
3300020524-bin.12,2228983,0.0020332142506246124,0.0027231044485256286,30
3300020525-bin.11,1614305,0.008596268982627199,0.009201789464189232,77
3300020528-bin.19,1077450,0.9980732284560768,19.366025223403405,107464
3300020533-bin.7,2370078,0.034995050795796595,0.049541196330018626,600
3300020534-bin.11,2328727,0.6253347859152232,1.114086832726537,13280
3300020534-bin.13,1337114,0.6480599260796013,1.6914276619297617,11532
3300020536-bin.4,2760056,0.2371285220299878,0.30681608999561355,4335
3300020537-bin.19,4310370,0.8390873637297959,2.1540340140221366,46730
3300020538-bin.10,2226241,0.003724214943485454,0.008931381552758215,106
3300020538-bin.12,2107864,0.004088024654342026,0.00716659949195489,79
3300020538-bin.15,1233688,0.0015117274383798821,0.0024217713986753537,18
3300020539-bin.14,2892631,0.5270219395422369,0.8006733195251873,11826
3300020539-bin.2,2652915,0.003856512553172642,0.00452227319568467,64
3300020539-bin.6,2963442,0.4488780276448805,0.7213787342279617,10907
3300020540-bin.12,2304448,0.1910683165773322,0.2242695533530746,2613
3300020540-bin.20,900323,0.9963968486865269,12.82873185868494,59316
3300020540-bin.4,1192163,0.14371273055781802,0.1781876749848012,1084
3300020542-bin.8,4789593,0.0033148954410113763,0.009141534603179666,224
3300020543-bin.11,2546855,0.06573558369047315,0.07323036464855634,933
3300020544-bin.10,1670847,0.9916264026568561,7.470122339770067,64199
3300020544-bin.2,1167181,0.9980063075050056,9.398278175357374,56205
3300020544-bin.4,1837905,0.9654438069432315,4.065771373632041,37712
3300020544-bin.7,6185992,0.9886176703752607,5.432162085766417,170575
3300020546-bin.10,2648679,0.5555912966425905,0.8791741737088157,11966
3300020546-bin.16,2792585,0.18510054304524304,0.21506405108869175,3173
3300020546-bin.23,1278754,0.9844708208146368,6.044896207530219,38965
3300020547-bin.20,2389223,0.5768122104968854,1.0493223112560583,12948
3300020547-bin.4,1279585,0.6395784570778807,1.1197502937647368,7289
3300020547-bin.9,3685659,0.004891933844123941,0.006008664961631448,115
3300020548-bin.13,1400347,0.39829699353088915,0.5705971371958233,4032
3300020548-bin.16,3959933,0.15206216872861233,0.28615667413338225,5847
3300020548-bin.2,4352364,0.0022084549913564213,0.0029964957755530103,67
3300020548-bin.6,836275,0.9990804460255299,32.07385907303101,139135
3300020549-bin.11,2823801,0.88326691576354,3.600164947412156,52428
3300020551-bin.8,3712937,0.24711730901978676,0.3458062653119211,6708
3300020552-bin.15,1237357,0.011304740669022763,0.01493922494989078,95
3300020553-bin.6,3312638,0.006565764203634686,0.012316333475933076,216
3300020555-bin.16,4405293,0.005493618699142146,0.012466253278368773,281
3300020555-bin.7,5011034,0.8510367321395145,2.2800828670280975,58081
3300020556-bin.9,1216607,0.6892924337933285,2.006341060120235,12550
